datetime,open,high,low,close,volume
1569504600000,12.01,12.11,11.88,12.0,5052
1569505500000,11.975,12.05,11.85,11.85,4750
1569506400000,11.82,11.97,11.82,11.9,30986
1569507300000,11.925,11.925,11.75,11.83,28880
1569508200000,11.83,11.92,11.8,11.8304,12118
1569509100000,11.86,11.92,11.83,11.91,26784
1569510000000,11.91,11.96,11.85,11.895,30602
1569510900000,11.9,11.96,11.865,11.96,18424
1569511800000,11.935,11.94,11.86,11.885,14745
1569512700000,11.89,11.9,11.86,11.89,5050
1569513600000,11.875,11.92,11.87,11.91,3818
1569514500000,11.88,11.95,11.88,11.95,3515
1569515400000,11.92,11.97,11.9,11.925,10175
1569516300000,11.91,11.91,11.8,11.85,9398
1569517200000,11.835,11.8822,11.8,11.83,5437
1569518100000,11.8,11.85,11.76,11.79,5530
1569519000000,11.75,11.79,11.715,11.78,5611
1569519900000,11.78,11.78,11.72,11.73,4617
1569520800000,11.74,11.74,11.59,11.72,8937
1569521700000,11.7,11.71,11.63,11.6535,7918
1569522600000,11.64,11.66,11.62,11.65,6646
1569523500000,11.66,11.68,11.63,11.67,3935
1569524400000,11.655,11.73,11.64,11.73,7585
1569525300000,11.71,11.74,11.67,11.7,12515
1569526200000,11.71,11.72,11.64,11.7,23107
1569527100000,11.71,11.72,11.62,11.62,31696
1569591000000,11.65,11.65,10.57,10.6425,39030
1569591900000,10.7,10.79,10.5006,10.66,75814
1569592800000,10.7,10.9834,10.66,10.87,26565
1569593700000,10.86,11.0,10.75,10.925,60682
1569594600000,10.935,10.97,10.77,10.795,10930
1569595500000,10.75,10.83,10.66,10.67,11271
1569596400000,10.74,10.875,10.705,10.8,39996
1569597300000,10.8304,10.835,10.72,10.79,16893
1569598200000,10.82,10.88,10.7,10.745,27328
1569599100000,10.745,10.8,10.71,10.775,20465
1569600000000,10.775,10.8,10.655,10.655,12332
1569600900000,10.655,10.8194,10.63,10.78,15220
1569601800000,10.77,10.87,10.73,10.85,35226
1569602700000,10.85,10.875,10.82,10.82,10706
1569603600000,10.82,10.87,10.82,10.86,6413
1569604500000,10.86,10.879,10.7,10.715,12112
1569605400000,10.73,10.84,10.71,10.73,9488
1569606300000,10.72,10.765,10.7,10.765,13306
1569607200000,10.765,10.77,10.72,10.75,9731
1569608100000,10.75,10.89,10.73,10.86,44069
1569609000000,10.84,10.96,10.82,10.96,35890
1569609900000,10.98,11.0,10.91,10.965,15803
1569610800000,10.965,11.0,10.94,11.0,15935
1569611700000,11.0,11.01,10.95,10.99,25411
1569612600000,10.99,11.02,10.83,10.87,24891
1569613500000,10.9,10.9,10.62,10.79,291263
1569850200000,10.88,10.88,10.68,10.85,6821
1569851100000,10.7441,10.96,10.73,10.79,16433
1569852000000,10.78,10.95,10.78,10.87,7617
1569852900000,10.831,10.831,10.71,10.7611,5961
1569853800000,10.79,10.86,10.78,10.83,1700
1569854700000,10.81,10.87,10.77,10.81,5401
