datetime,open,high,low,close,volume
1569504600000,6.2,6.27,6.15,6.19,41474
1569505500000,6.19,6.2,6.17,6.17,12662
1569506400000,6.18,6.22,6.15,6.17,13805
1569507300000,6.16,6.17,6.14,6.155,8768
1569508200000,6.14,6.145,6.09,6.105,14324
1569509100000,6.1,6.115,5.99,6.05,96248
1569510000000,6.05,6.13,5.94,6.11,92937
1569510900000,6.105,6.105,6.07,6.085,7689
1569511800000,6.08,6.095,6.065,6.08,3327
1569512700000,6.075,6.08,6.035,6.045,12148
1569513600000,6.04,6.06,6.03,6.06,2914
1569514500000,6.06,6.07,6.05,6.07,3946
1569515400000,6.08,6.08,6.055,6.06,4641
1569516300000,6.05,6.05,6.025,6.04,9873
1569517200000,6.05,6.06,6.035,6.04,2902
1569518100000,6.035,6.04,6.01,6.015,15499
1569519000000,6.015,6.05,6.015,6.04,6050
1569519900000,6.03,6.035,6.01,6.03,7238
1569520800000,6.03,6.04,6.02,6.02,4350
1569521700000,6.02,6.05,6.02,6.03,7102
1569522600000,6.04,6.04,6.01,6.01,3665
1569523500000,6.02,6.02,5.995,6.02,17741
1569524400000,6.015,6.03,6.01,6.015,5624
1569525300000,6.0175,6.02,6.005,6.02,16959
1569526200000,6.015,6.065,6.015,6.055,26230
1569527100000,6.05,6.06,6.04,6.06,31342
1569591000000,6.06,6.12,6.03,6.11,12451
1569591900000,6.1,6.109,5.95,5.975,33682
1569592800000,5.98,5.99,5.94,5.94,38397
1569593700000,5.935,5.97,5.935,5.95,8889
1569594600000,5.953,5.97,5.94,5.965,15021
1569595500000,5.97,5.98,5.96,5.965,18219
1569596400000,5.965,5.98,5.9512,5.955,12093
1569597300000,5.955,5.98,5.94,5.98,12218
1569598200000,5.98,5.98,5.915,5.92,21348
1569599100000,5.93,6.01,5.93,6.01,8265
1569600000000,6.005,6.01,5.985,6.01,5217
1569600900000,6.01,6.01,5.94,5.94,7854
1569601800000,5.94,5.95,5.93,5.95,5000
1569602700000,5.9427,5.95,5.93,5.93,4600
1569603600000,5.935,5.96,5.925,5.96,5705
1569604500000,5.955,5.96,5.95,5.955,7931
1569605400000,5.95,5.95,5.935,5.945,10900
1569606300000,5.94,5.96,5.92,5.95,20749
1569607200000,5.945,5.955,5.93,5.95,7163
1569608100000,5.95,5.95,5.925,5.94,18673
1569609000000,5.935,5.95,5.93,5.935,7109
1569609900000,5.93,5.94,5.91,5.92,11280
1569610800000,5.91,5.91,5.86,5.87,24298
1569611700000,5.87,5.91,5.865,5.9,21710
1569612600000,5.9,5.92,5.86,5.86,41872
1569613500000,5.86,5.87,5.84,5.86,95540
1569850200000,5.9,5.9,5.79,5.82,38983
1569851100000,5.83,5.94,5.81,5.93,22082
1569852000000,5.93,5.95,5.88,5.9,15761
1569852900000,5.9,5.92,5.875,5.88,5182
1569853800000,5.88,5.89,5.85,5.865,6244
1569854700000,5.86,5.925,5.86,5.915,11706
1569855600000,5.92,5.94,5.91,5.925,17085
1569856500000,5.92,5.95,5.92,5.95,11928
1569857400000,5.95,6.025,5.95,6.02,30429
1569858300000,6.015,6.02,6.0,6.02,11771
1569859200000,6.015,6.04,6.015,6.02,12877
1569860100000,6.02,6.1,6.02,6.08,22440
1569861000000,6.08,6.08,6.035,6.06,9773
1569861900000,6.05,6.065,6.04,6.04,7291
1569862800000,6.04,6.07,6.04,6.07,7699
1569863700000,6.065,6.07,6.025,6.03,9110
1569864600000,6.02,6.05,6.02,6.03,7929
1569865500000,6.035,6.065,6.02,6.03,15310
1569866400000,6.025,6.07,6.025,6.055,15915
1569867300000,6.05,6.09,6.045,6.08,13828
1569868200000,6.075,6.085,6.065,6.085,10166
1569869100000,6.085,6.085,6.05,6.06,15480
1569870000000,6.055,6.1,6.05,6.1,26190
1569870900000,6.095,6.115,6.09,6.105,25413
1569871800000,6.105,6.12,6.09,6.09,37646
1569872700000,6.095,6.11,6.08,6.09,121954
1569936600000,6.13,6.1683,6.0773,6.16,34043
1569937500000,6.1633,6.17,6.11,6.11,13102
1569938400000,6.1,6.1,5.98,5.98,21881
1569939300000,5.975,6.0,5.965,5.97,15204
1569940200000,5.97,5.97,5.89,5.89,10371
1569941100000,5.9,5.9,5.83,5.8434,23216
1569942000000,5.845,5.87,5.84,5.855,24871
1569942900000,5.85,5.88,5.843,5.88,18704
1569943800000,5.88,5.89,5.8476,5.8476,10463
1569944700000,5.85,5.85,5.825,5.84,10142
1569945600000,5.835,5.835,5.79,5.7924,19604
1569946500000,5.7927,5.82,5.7923,5.815,11458
1569947400000,5.815,5.815,5.805,5.805,7154
1569948300000,5.8,5.81,5.77,5.78,17125
1569949200000,5.77,5.79,5.73,5.73,9627
1569950100000,5.735,5.745,5.715,5.735,18091
1569951000000,5.735,5.74,5.69,5.715,22383
1569951900000,5.71,5.72,5.705,5.71,9144
1569952800000,5.71,5.71,5.685,5.7,10566
1569953700000,5.705,5.72,5.7,5.715,5252
1569954600000,5.715,5.8,5.71,5.78,38105
1569955500000,5.775,5.78,5.755,5.77,11559
1569956400000,5.76,5.76,5.735,5.735,13534
1569957300000,5.74,5.79,5.74,5.775,15734
1569958200000,5.77,5.785,5.755,5.785,27022
1569959100000,5.785,5.805,5.77,5.8,69800
1570023000000,5.76,5.77,5.7201,5.77,22585
1570023900000,5.7705,5.86,5.76,5.85,23482
1570024800000,5.86,5.9997,5.86,5.995,58275
