datetime,open,high,low,close,volume
1569504600000,27.68,27.68,27.645,27.645,4179
1569505500000,27.68,27.68,27.56,27.59,4052
1569506400000,27.61,27.645,27.36,27.39,25042
1569507300000,27.36,27.68,27.36,27.68,22040
1569508200000,27.68,27.69,27.65,27.655,8306
1569509100000,27.67,27.72,27.63,27.68,10184
1569510000000,27.69,27.705,27.62,27.67,10000
1569510900000,27.67,27.71,27.65,27.7,9465
1569511800000,27.7,27.725,27.65,27.68,4350
1569512700000,27.67,27.69,27.65,27.66,4720
1569513600000,27.65,27.65,27.45,27.49,25069
1569514500000,27.48,27.48,27.33,27.43,30169
1569515400000,27.405,27.61,27.405,27.58,19882
1569516300000,27.57,27.57,27.49,27.4975,4410
1569517200000,27.49,27.49,27.42,27.47,21214
1569518100000,27.46,27.66,27.45,27.66,6000
1569519000000,27.66,27.7,27.66,27.69,3186
1569519900000,27.7,27.73,27.66,27.7101,3096
1569520800000,27.72,27.73,27.68,27.71,2686
1569521700000,27.72,27.73,27.7,27.72,4590
1569522600000,27.71,27.75,27.66,27.66,3997
1569523500000,27.63,27.65,27.57,27.64,8608
1569524400000,27.65,27.69,27.63,27.66,4513
1569525300000,27.65,27.65,27.44,27.63,8636
1569526200000,27.63,27.67,27.6,27.655,18768
1569527100000,27.66,27.79,27.65,27.67,53572
1569591000000,27.7,27.94,27.68,27.94,8788
1569591900000,27.895,27.895,27.8,27.84,159663
1569592800000,27.85,28.17,27.8451,28.093,24631
1569593700000,28.14,28.23,28.11,28.21,36699
1569594600000,28.21,28.22,28.17,28.21,10584
1569595500000,28.22,28.37,28.17,28.26,18734
1569596400000,28.25,28.25,28.19,28.2,8301
1569597300000,28.16,28.19,28.13,28.17,2685
1569598200000,28.18,28.21,28.0,28.0,5158
1569599100000,28.0,28.01,27.905,27.969,9489
1569600000000,27.95,27.95,27.86,27.885,5601
1569600900000,27.895,27.99,27.87,27.91,8730
1569601800000,27.92,27.94,27.89,27.89,6205
1569602700000,27.88,27.96,27.845,27.9,6279
1569603600000,27.89,27.9,27.87,27.87,6121
1569604500000,27.8701,27.88,27.83,27.84,4755
1569605400000,27.84,27.87,27.82,27.85,7867
1569606300000,27.85,27.86,27.82,27.86,6881
1569607200000,27.86,27.86,27.8,27.82,20197
1569608100000,27.82,27.86,27.8,27.86,6851
1569609000000,27.85,27.87,27.82,27.87,5448
1569609900000,27.86,27.87,27.84,27.86,19224
1569610800000,27.87,27.9,27.86,27.88,21602
1569611700000,27.89,27.96,27.89,27.94,4122
1569612600000,27.94,28.07,27.94,28.05,6389
1569613500000,28.05,28.12,28.03,28.1,26284
1569850200000,28.02,28.02,27.85,27.96,5026
1569851100000,28.04,28.04,27.97,27.98,2945
1569852000000,28.08,28.09,28.03,28.09,900
1569852900000,28.085,28.15,28.065,28.15,1391
1569853800000,28.1777,28.1777,28.1109,28.1109,2258
1569854700000,28.13,28.13,28.08,28.12,3353
1569855600000,28.1292,28.22,28.08,28.18,9724
1569856500000,28.1715,28.2,28.1651,28.1996,2199
1569857400000,28.1892,28.1892,28.11,28.1293,7720
1569858300000,28.12,28.12,28.07,28.07,600
1569859200000,28.08,28.15,28.065,28.1287,1322
1569860100000,28.125,28.22,28.125,28.19,3764
1569861000000,28.155,28.24,28.155,28.16,22843
1569861900000,28.15,28.155,28.1,28.12,5064
1569862800000,28.13,28.13,28.1,28.11,600
1569863700000,28.13,28.13,28.085,28.085,873
1569864600000,28.08,28.16,28.08,28.15,1431
1569865500000,28.15,28.2,28.15,28.17,985
1569866400000,28.17,28.21,28.165,28.205,21106
1569867300000,28.22,28.27,28.205,28.205,1439
1569868200000,28.195,28.24,28.195,28.24,5982
1569869100000,28.24,28.3,28.23,28.25,2866
1569870000000,28.22,28.28,28.22,28.28,9655
1569870900000,28.2879,28.31,28.25,28.28,10832
1569871800000,28.27,28.34,28.265,28.34,11220
1569872700000,28.34,28.43,28.32,28.32,77589
1569936600000,28.35,28.375,28.3,28.32,2859
1569937500000,28.29,28.33,28.14,28.1561,5365
1569938400000,28.14,28.15,27.93,28.01,7322
1569939300000,28.02,28.24,28.02,28.155,4416
1569940200000,28.17,28.3,28.17,28.235,3171
1569941100000,28.25,28.265,28.18,28.18,2106
1569942000000,28.15,28.17,28.04,28.1,22942
