datetime,open,high,low,close,volume
1569504600000,43.65,44.1,43.41,43.47,6894
1569505500000,43.43,43.5,42.93,43.12,41726
1569506400000,43.11,43.2,43.01,43.12,6926
1569507300000,43.15,43.32,43.09,43.32,2932
1569508200000,43.31,43.425,43.29,43.39,5868
1569509100000,43.36,43.57,43.345,43.37,14676
1569510000000,43.3,43.3,43.11,43.235,5886
1569510900000,43.26,43.26,42.79,42.84,10969
1569511800000,42.85,42.99,42.78,42.96,4616
1569512700000,42.93,42.94,42.79,42.8,2433
1569513600000,42.73,42.9,42.705,42.89,3630
1569514500000,42.88,43.01,42.85,43.01,5139
1569515400000,42.98,43.0184,42.95,43.005,2542
1569516300000,42.99,43.1,42.91,42.91,7038
1569517200000,42.94,42.94,42.69,42.73,5072
1569518100000,42.69,42.71,42.67,42.67,2259
1569519000000,42.68,42.75,42.68,42.69,4830
1569519900000,42.7,42.71,42.525,42.59,4150
1569520800000,42.605,42.64,42.58,42.62,5057
1569521700000,42.64,42.7,42.64,42.675,5033
1569522600000,42.67,42.8,42.66,42.8,6781
1569523500000,42.8,42.8,42.7,42.7,3360
1569524400000,42.7,42.77,42.66,42.68,7019
1569525300000,42.67,42.86,42.66,42.82,12798
1569526200000,42.81,42.93,42.79,42.91,11698
1569527100000,42.9,42.925,42.75,42.83,41924
1569591000000,42.76,43.25,42.73,43.25,4166
1569591900000,43.5,43.5,42.91,42.91,7076
1569592800000,42.815,42.91,42.66,42.8,9997
1569593700000,42.8,42.91,42.8,42.9,1750
1569594600000,42.92,43.015,42.87,42.93,4467
1569595500000,43.005,43.08,42.98,42.99,1574
1569596400000,43.02,43.04,42.93,42.94,1948
1569597300000,42.91,42.91,42.74,42.82,5567
1569598200000,42.81,42.83,42.5,42.625,9578
1569599100000,42.56,42.7,42.47,42.65,8950
1569600000000,42.59,42.64,42.53,42.6,3808
1569600900000,42.53,42.56,42.32,42.36,6532
1569601800000,42.38,42.38,42.2,42.23,3580
1569602700000,42.23,42.23,41.93,41.945,4236
1569603600000,41.935,41.97,41.87,41.96,12027
1569604500000,41.945,41.96,41.84,41.89,6400
1569605400000,41.89,41.89,41.8,41.8,4910
1569606300000,41.815,41.82,41.74,41.81,5633
1569607200000,41.8,41.82,41.75,41.8,12872
1569608100000,41.79,42.11,41.78,42.07,17776
1569609000000,42.05,42.13,42.04,42.04,5443
1569609900000,42.04,42.0504,41.94,41.95,11491
1569610800000,41.95,42.06,41.95,42.04,6801
1569611700000,42.045,42.1,42.03,42.06,11802
1569612600000,42.06,42.135,41.92,41.935,21695
1569613500000,41.935,42.22,41.85,42.2,61861
1569850200000,42.12,42.35,42.0,42.215,4654
1569851100000,42.14,42.195,42.0,42.15,11336
1569852000000,42.07,42.07,41.53,41.565,9258
1569852900000,41.56,41.97,41.56,41.97,15310
1569853800000,41.93,42.05,41.91,42.01,11368
1569854700000,42.04,42.24,42.0,42.165,29076
1569855600000,42.18,42.27,42.12,42.23,26918
1569856500000,42.23,42.41,42.23,42.34,19275
1569857400000,42.325,42.4,42.25,42.33,15753
1569858300000,42.365,42.4,42.2,42.2,18837
1569859200000,42.22,42.28,42.15,42.2,9698
1569860100000,42.195,42.28,42.195,42.225,8106
1569861000000,42.24,42.295,42.21,42.21,7443
1569861900000,42.21,42.31,42.2,42.31,5767
1569862800000,42.28,42.4,42.25,42.26,5890
1569863700000,42.265,42.28,42.23,42.28,2878
1569864600000,42.3,42.465,42.24,42.435,7250
1569865500000,42.46,42.51,42.43,42.45,4200
1569866400000,42.44,42.57,42.44,42.53,4631
1569867300000,42.52,42.6,42.5,42.59,5232
1569868200000,42.55,42.63,42.55,42.6,6165
1569869100000,42.585,42.585,42.475,42.52,15616
1569870000000,42.53,42.57,42.51,42.52,4917
1569870900000,42.52,42.56,42.49,42.52,13207
1569871800000,42.53,42.61,42.53,42.56,13744
1569872700000,42.56,42.58,42.5,42.53,60967
