datetime,open,high,low,close,volume
1569504600000,15.93,16.08,15.77,15.96,25258
1569505500000,15.95,15.95,15.65,15.695,5548
1569506400000,15.695,15.74,15.555,15.6,6311
1569507300000,15.595,15.61,15.575,15.6,2500
1569508200000,15.55,15.57,15.545,15.57,1700
1569509100000,15.55,15.55,15.34,15.38,8748
1569510000000,15.37,15.39,15.3,15.39,3500
1569510900000,15.39,15.405,15.35,15.405,1800
1569511800000,15.4,15.4,15.36,15.385,2323
1569512700000,15.375,15.39,15.33,15.33,2551
1569513600000,15.35,15.355,15.32,15.35,2400
1569514500000,15.32,15.38,15.28,15.37,5800
1569515400000,15.38,15.48,15.38,15.465,3200
1569516300000,15.46,15.48,15.44,15.465,1000
1569517200000,15.48,15.48,15.42,15.43,1271
1569518100000,15.42,15.42,15.38,15.39,1339
1569519000000,15.405,15.44,15.39,15.42,3200
1569519900000,15.4,15.42,15.38,15.39,5813
1569520800000,15.41,15.45,15.39,15.45,4256
1569521700000,15.44,15.56,15.43,15.56,3183
1569522600000,15.56,15.59,15.54,15.565,4727
1569523500000,15.58,15.58,15.54,15.54,1600
1569524400000,15.57,15.57,15.54,15.56,1800
1569525300000,15.55,15.565,15.54,15.56,1700
1569526200000,15.55,15.6,15.54,15.55,5546
1569527100000,15.56,15.58,15.53,15.54,12196
1569591000000,15.6,15.8473,15.42,15.76,11638
1569591900000,15.725,15.725,15.57,15.57,900
1569592800000,15.5292,15.616,15.5292,15.605,2950
1569593700000,15.61,15.64,15.54,15.64,3693
1569594600000,15.68,15.68,15.675,15.675,500
1569595500000,15.72,15.76,15.67,15.705,4152
1569596400000,15.715,15.715,15.66,15.69,1400
1569597300000,15.7,15.7,15.65,15.685,3326
1569598200000,15.685,15.685,15.5209,15.57,1537
1569599100000,15.595,15.66,15.56,15.56,3423
1569600000000,15.52,15.58,15.52,15.57,700
1569600900000,15.575,15.59,15.51,15.57,1400
1569601800000,15.55,15.56,15.52,15.52,2900
1569602700000,15.51,15.51,15.38,15.42,4398
1569603600000,15.42,15.48,15.42,15.47,1800
1569604500000,15.45,15.48,15.45,15.48,1100
1569605400000,15.485,15.485,15.43,15.48,2702
1569606300000,15.465,15.51,15.45,15.51,700
1569607200000,15.5,15.5,15.48,15.49,1874
1569608100000,15.48,15.48,15.45,15.45,1300
1569609000000,15.465,15.48,15.45,15.46,1000
1569609900000,15.43,15.43,15.4,15.4,1200
1569610800000,15.42,15.48,15.39,15.39,2800
1569611700000,15.395,15.46,15.38,15.45,17100
1569612600000,15.46,15.465,15.41,15.41,11622
1569613500000,15.41,15.415,15.32,15.34,47258
1569850200000,15.34,15.63,15.15,15.56,17063
1569851100000,15.54,15.54,15.45,15.535,1000
1569852000000,15.55,15.575,15.51,15.54,1400
1569852900000,15.55,15.58,15.48,15.48,1600
1569853800000,15.5,15.5,15.47,15.47,1085
1569854700000,15.47,15.48,15.47,15.48,700
1569855600000,15.49,15.505,15.46,15.5,1700
1569856500000,15.495,15.53,15.44,15.48,3807
1569857400000,15.48,15.505,15.48,15.505,500
1569858300000,15.48,15.48,15.48,15.48,1011
1569859200000,15.48,15.5594,15.48,15.5594,1926
1569860100000,15.56,15.6,15.545,15.6,2108
1569861000000,15.62,15.625,15.5802,15.6,2800
1569861900000,15.59,15.615,15.58,15.595,2636
1569862800000,15.6,15.62,15.59,15.6069,2146
1569863700000,15.62,15.65,15.59,15.59,2100
1569864600000,15.6,15.615,15.6,15.61,2526
1569865500000,15.62,15.63,15.61,15.625,2000
1569866400000,15.62,15.63,15.61,15.63,500
1569867300000,15.62,15.63,15.605,15.605,4140
1569868200000,15.605,15.61,15.59,15.61,3600
1569869100000,15.619,15.625,15.6,15.625,2710
1569870000000,15.6,15.65,15.595,15.65,7711
1569870900000,15.65,15.78,15.64,15.78,33440
1569871800000,15.78,15.82,15.59,15.76,37425
1569872700000,15.75,15.79,15.65,15.67,49330
1569936600000,15.77,16.02,15.6,15.9495,19753
1569937500000,15.9462,16.04,15.94,15.9767,2572
1569938400000,15.91,15.91,15.58,15.615,7020
1569939300000,15.64,15.66,15.5,15.63,13351
1569940200000,15.63,15.69,15.53,15.555,12432
1569941100000,15.57,15.57,15.5,15.5,7156
1569942000000,15.5,15.5,15.45,15.45,4734
1569942900000,15.42,15.45,15.4,15.45,2005
1569943800000,15.455,15.48,15.4,15.4,3103
1569944700000,15.4,15.42,15.35,15.39,3325
1569945600000,15.38,15.38,15.36,15.37,1300
1569946500000,15.36,15.37,15.3,15.3,1921
1569947400000,15.29,15.31,15.26,15.27,3697
1569948300000,15.27,15.27,15.23,15.23,3258
1569949200000,15.24,15.24,15.175,15.219,5296
1569950100000,15.24,15.24,15.21,15.24,2800
1569951000000,15.24,15.24,15.17,15.22,2280
1569951900000,15.19,15.195,15.12,15.12,12589
1569952800000,15.12,15.17,15.11,15.15,3511
1569953700000,15.13,15.13,15.09,15.1,2200
1569954600000,15.12,15.16,15.115,15.16,4277
1569955500000,15.15,15.2,15.15,15.15,2200
1569956400000,15.15,15.16,15.08,15.08,2743
1569957300000,15.1,15.15,15.09,15.15,4458
1569958200000,15.16,15.245,15.085,15.19,14280
1569959100000,15.22,15.27,15.2,15.22,22893
1570023000000,15.1,15.11,14.72,14.8,5436
1570023900000,14.84,15.03,14.84,14.9,4000
1570024800000,14.91,15.04,14.89,15.03,8256
1570025700000,15.05,15.08,14.99,14.99,2450
1570026600000,14.99,15.0,14.89,14.97,9488
1570027500000,14.95,15.04,14.93,15.03,9880
1570028400000,15.04,15.13,15.04,15.11,6893
1570029300000,15.1,15.1,15.0,15.05,4400
1570030200000,15.045,15.045,14.97,14.98,2389
1570031100000,14.98,14.9991,14.965,14.995,3438
1570032000000,14.98,14.98,14.94,14.95,4544
