datetime,open,high,low,close,volume
1569504600000,16.3,16.3,16.06,16.06,2951
1569505500000,16.16,16.16,16.015,16.09,3107
1569506400000,16.12,16.16,16.06,16.06,2040
1569507300000,16.06,16.06,15.94,15.94,1800
1569508200000,15.97,16.04,15.97,16.04,850
1569509100000,16.02,16.12,16.02,16.07,2780
1569510000000,16.04,16.115,16.02,16.115,7957
1569510900000,16.14,16.33,16.14,16.33,8358
1569511800000,16.31,16.34,16.24,16.255,5187
1569512700000,16.23,16.29,16.21,16.29,2793
1569513600000,16.29,16.35,16.285,16.345,2961
1569514500000,16.345,16.37,16.33,16.36,2322
1569515400000,16.38,16.43,16.38,16.385,4848
1569516300000,16.375,16.375,16.31,16.31,900
1569517200000,16.33,16.33,16.26,16.27,3240
1569518100000,16.27,16.33,16.27,16.32,6434
1569519000000,16.32,16.44,16.32,16.4,5237
1569519900000,16.41,16.41,16.3786,16.3896,4230
1569520800000,16.41,16.41,16.37,16.4,3175
1569521700000,16.4,16.42,16.38,16.385,1555
1569522600000,16.38,16.43,16.37,16.43,2444
1569523500000,16.42,16.46,16.42,16.42,2594
1569524400000,16.42,16.46,16.42,16.435,5740
1569525300000,16.43,16.505,16.41,16.47,10854
1569526200000,16.49,16.51,16.44,16.44,3308
1569527100000,16.44,16.49,16.425,16.44,35375
1569591000000,16.49,16.68,16.49,16.54,3834
1569591900000,16.5,16.71,16.48,16.56,11082
1569592800000,16.45,16.5,16.45,16.4555,2388
1569593700000,16.44,16.52,16.42,16.47,36528
1569594600000,16.505,16.64,16.49,16.62,23200
1569595500000,16.67,16.69,16.64,16.69,1100
1569596400000,16.75,16.78,16.71,16.715,3238
1569597300000,16.73,16.74,16.73,16.73,700
1569598200000,16.73,16.77,16.6,16.66,7081
1569599100000,16.66,16.71,16.65,16.71,6100
1569600000000,16.705,16.71,16.65,16.71,2722
1569600900000,16.72,16.7321,16.68,16.7321,1803
1569601800000,16.735,16.805,16.735,16.8,2264
1569602700000,16.79,16.79,16.64,16.65,5629
1569603600000,16.635,16.72,16.635,16.72,1843
1569604500000,16.71,16.75,16.71,16.75,1248
1569605400000,16.7402,16.765,16.73,16.75,5152
1569606300000,16.74,16.785,16.71,16.77,4843
1569607200000,16.78,16.79,16.73,16.755,3220
1569608100000,16.75,16.765,16.69,16.71,7128
1569609000000,16.7,16.7,16.63,16.64,25252
1569609900000,16.65,16.71,16.63,16.69,9016
1569610800000,16.7,16.72,16.65,16.65,3293
1569611700000,16.675,16.715,16.675,16.7,4970
1569612600000,16.7,16.75,16.7,16.73,7071
1569613500000,16.735,16.75,16.64,16.67,37205
1569850200000,16.72,16.79,16.71,16.71,2232
1569851100000,16.66,16.68,16.64,16.66,6521
1569852000000,16.7,16.7,16.62,16.645,27259
1569852900000,16.63,16.68,16.63,16.65,5466
1569853800000,16.69,16.73,16.69,16.69,1200
1569854700000,16.69,16.77,16.69,16.755,1203
1569855600000,16.75,16.765,16.69,16.735,3197
1569856500000,16.71,16.72,16.65,16.67,3575
1569857400000,16.68,16.68,16.65,16.655,5500
1569858300000,16.655,16.66,16.62,16.64,11788
1569859200000,16.645,16.745,16.645,16.73,2220
1569860100000,16.73,16.8,16.73,16.78,2936
1569861000000,16.8,16.8,16.73,16.74,2099
1569861900000,16.75,16.76,16.725,16.73,3084
1569862800000,16.71,16.73,16.7,16.72,2235
1569863700000,16.73,16.75,16.72,16.72,1220
1569864600000,16.72,16.79,16.72,16.79,3940
1569865500000,16.81,16.81,16.78,16.79,1100
1569866400000,16.79,16.87,16.79,16.87,4219
1569867300000,16.86,16.87,16.79,16.84,37068
1569868200000,16.83,16.86,16.79,16.83,26513
1569869100000,16.82,16.87,16.82,16.865,4353
1569870000000,16.87,16.92,16.87,16.89,32632
1569870900000,16.885,16.89,16.73,16.8,50076
1569871800000,16.8,16.81,16.715,16.715,15997
1569872700000,16.715,16.74,16.69,16.7,60968
1569936600000,16.83,17.02,16.8,16.99,15076
1569937500000,17.06,17.13,16.99,17.04,2113
1569938400000,17.0,17.0,16.78,16.8,3169
1569939300000,16.8,16.82,16.67,16.67,2500
1569940200000,16.69,16.72,16.63,16.7,6917
1569941100000,16.705,16.73,16.67,16.67,4344
1569942000000,16.67,16.74,16.65,16.69,9038
1569942900000,16.65,16.76,16.65,16.73,21781
1569943800000,16.71,16.86,16.62,16.67,58213
1569944700000,16.675,16.7,16.635,16.65,5905
1569945600000,16.635,16.65,16.58,16.58,8491
1569946500000,16.58,16.645,16.535,16.535,7503
1569947400000,16.52,16.63,16.52,16.615,7621
1569948300000,16.615,16.62,16.5,16.5,4602
1569949200000,16.47,16.47,16.39,16.44,9836
1569950100000,16.44,16.46,16.32,16.35,8251
1569951000000,16.345,16.35,16.155,16.185,29350
1569951900000,16.21,16.22,16.08,16.08,4515
1569952800000,16.06,16.08,15.965,15.99,2803
1569953700000,15.98,15.98,15.95,15.955,2619
1569954600000,15.95,15.995,15.93,15.98,3293
1569955500000,15.98,15.995,15.9,15.915,7432
1569956400000,15.93,15.94,15.86,15.86,5011
1569957300000,15.87,15.93,15.855,15.91,6155
1569958200000,15.9,15.905,15.83,15.86,9746
1569959100000,15.875,15.93,15.845,15.89,37176
1570023000000,15.64,15.73,15.41,15.73,9726
1570023900000,15.75,15.77,15.61,15.62,6110
1570024800000,15.66,15.9,15.65,15.88,7100
1570025700000,15.85,16.01,15.85,15.98,3900
1570026600000,15.88,15.95,15.8,15.92,5372
1570027500000,15.92,15.97,15.855,15.97,3755
1570028400000,15.97,16.06,15.97,15.99,5502
1570029300000,15.98,16.07,15.945,16.03,7128
1570030200000,16.02,16.02,15.91,15.98,5102
1570031100000,16.0,16.0,15.94,15.96,6250
1570032000000,15.95,16.0,15.93,15.96,12639
1570032900000,15.95,15.98,15.95,15.975,4325
1570033800000,15.97,15.99,15.95,15.97,3300
1570034700000,15.98,16.0,15.964,16.0,3800
1570035600000,15.99,16.06,15.98,16.04,6708
1570036500000,16.03,16.1,16.01,16.1,3150
1570037400000,16.09,16.11,16.06,16.075,3150
1570038300000,16.075,16.09,16.04,16.07,5100
1570039200000,16.07,16.1,16.02,16.02,9030
1570040100000,16.04,16.12,16.04,16.12,6925
1570041000000,16.11,16.19,16.11,16.19,5980
1570041900000,16.185,16.24,16.16,16.21,7423
1570042800000,16.22,16.2399,16.16,16.22,12456
1570043700000,16.21,16.27,16.21,16.26,6738
1570044600000,16.26,16.31,16.22,16.28,15355
1570045500000,16.28,16.32,16.24,16.3,42390
1570109400000,16.17,16.17,15.97,15.97,4016
1570110300000,16.05,16.12,15.94,15.94,5942
