datetime,open,high,low,close,volume
1569504600000,22.24,22.27,22.05,22.05,25147
1569505500000,22.05,22.09,22.04,22.085,5849
1569506400000,22.05,22.185,22.02,22.09,6906
1569507300000,22.13,22.15,22.04,22.05,4785
1569508200000,22.0513,22.09,22.05,22.06,2045
1569509100000,22.06,22.14,22.05,22.12,25570
1569510000000,22.09,22.11,22.07,22.08,3181
1569510900000,22.09,22.1,22.02,22.03,3630
1569511800000,22.04,22.16,22.03,22.115,4506
1569512700000,22.08,22.08,22.05,22.08,2200
1569513600000,22.06,22.11,22.06,22.09,4513
1569514500000,22.09,22.16,22.08,22.155,6997
1569515400000,22.17,22.19,22.17,22.17,1434
1569516300000,22.18,22.19,22.16,22.19,2300
1569517200000,22.18,22.18,22.09,22.1,2094
1569518100000,22.09,22.12,22.08,22.095,9506
1569519000000,22.1,22.13,22.1,22.13,800
1569519900000,22.13,22.14,22.09,22.13,3203
1569520800000,22.14,22.22,22.13,22.22,2299
1569521700000,22.2,22.23,22.18,22.18,2800
1569522600000,22.15,22.17,22.15,22.16,2400
1569523500000,22.15,22.16,22.12,22.12,2904
1569524400000,22.11,22.15,22.11,22.15,4648
1569525300000,22.14,22.14,22.09,22.09,3300
1569526200000,22.09,22.13,22.08,22.115,5205
1569527100000,22.11,22.115,21.99,22.04,22672
1569591000000,22.12,22.3525,22.12,22.35,3024
1569591900000,22.465,22.53,22.28,22.28,1665
1569592800000,22.18,22.27,22.1,22.25,11163
1569593700000,22.2526,22.28,22.22,22.26,6397
1569594600000,22.24,22.29,22.16,22.29,12140
1569595500000,22.2608,22.3,22.23,22.29,1800
1569596400000,22.29,22.31,22.23,22.24,3457
1569597300000,22.24,22.3,22.23,22.3,6941
1569598200000,22.26,22.27,22.0805,22.09,12075
1569599100000,22.05,22.15,22.05,22.15,5500
1569600000000,22.15,22.22,22.15,22.21,3498
1569600900000,22.21,22.21,22.11,22.11,3415
1569601800000,22.09,22.14,22.09,22.13,1500
1569602700000,22.1,22.1,22.0,22.02,2395
1569603600000,22.03,22.11,22.03,22.11,2508
1569604500000,22.08,22.08,22.04,22.04,1200
1569605400000,22.04,22.04,21.97,21.97,1599
1569606300000,21.97,22.03,21.94,22.02,4982
1569607200000,22.02,22.09,22.0,22.08,6323
1569608100000,22.07,22.1,22.03,22.03,14210
1569609000000,22.03,22.07,22.0,22.07,9218
1569609900000,22.03,22.08,21.99,22.06,12901
1569610800000,22.065,22.07,22.02,22.05,7401
1569611700000,22.06,22.12,22.05,22.09,4810
1569612600000,22.075,22.14,22.075,22.13,3221
1569613500000,22.12,22.15,22.06,22.13,22587
1569850200000,22.11,22.35,22.0,22.24,15137
1569851100000,22.24,22.24,22.14,22.155,1328
1569852000000,22.08,22.08,22.035,22.075,300
1569852900000,22.04,22.05,21.91,21.91,1539
1569853800000,21.88,21.95,21.86,21.89,2322
1569854700000,21.87,21.975,21.87,21.97,2900
1569855600000,21.995,22.05,21.91,22.01,3132
1569856500000,22.0,22.02,21.915,21.95,3289
1569857400000,21.94,22.03,21.94,22.01,4836
1569858300000,21.98,21.98,21.93,21.94,1901
1569859200000,21.94,21.99,21.9,21.9,1900
1569860100000,21.94,22.01,21.94,22.01,1100
1569861000000,22.01,22.01,21.94,21.94,4013
1569861900000,21.93,21.97,21.93,21.93,1543
1569862800000,21.95,21.97,21.94,21.97,1800
1569863700000,21.98,22.005,21.96,22.005,3302
1569864600000,22.02,22.02,21.98,21.98,3865
1569865500000,22.0,22.04,22.0,22.04,2021
1569866400000,22.05,22.07,22.041,22.07,2907
1569867300000,22.075,22.075,22.04,22.04,5170
1569868200000,22.02,22.05,22.02,22.04,1900
1569869100000,22.06,22.06,22.04,22.055,700
1569870000000,22.06,22.13,22.01,22.13,9828
1569870900000,22.125,22.26,22.125,22.13,35784
1569871800000,22.08,22.1,21.94,21.97,10489
1569872700000,21.975,21.975,21.83,21.88,54798
1569936600000,22.11,22.3,22.11,22.3,8245
1569937500000,22.34,22.34,22.18,22.21,2501
1569938400000,22.17,22.17,21.9,22.02,7858
1569939300000,22.02,22.06,21.94,21.94,6458
1569940200000,21.96,22.1,21.96,22.02,1401
1569941100000,22.07,22.07,21.99,21.99,1200
1569942000000,21.96,21.9709,21.93,21.94,3184
1569942900000,21.91,22.01,21.9,22.0,2100
1569943800000,22.0,22.01,21.97,21.98,1700
1569944700000,21.98,22.0,21.92,21.92,2415
1569945600000,21.94,21.98,21.9,21.92,5654
1569946500000,21.94,21.995,21.94,21.94,2400
1569947400000,21.92,21.96,21.92,21.96,960
1569948300000,21.96,21.96,21.85,21.85,1853
1569949200000,21.83,21.83,21.75,21.76,2119
1569950100000,21.74,21.76,21.66,21.67,3878
1569951000000,21.7,21.7,21.56,21.56,3641
1569951900000,21.56,21.56,21.42,21.42,4956
1569952800000,21.42,21.45,21.2789,21.36,8439
1569953700000,21.35,21.35,21.29,21.33,2624
1569954600000,21.36,21.46,21.36,21.46,3853
1569955500000,21.48,21.5,21.435,21.44,2961
1569956400000,21.43,21.45,21.39,21.42,4052
1569957300000,21.41,21.485,21.41,21.44,5995
1569958200000,21.44,21.45,21.32,21.39,8093
1569959100000,21.41,21.51,21.39,21.45,30682
1570023000000,21.27,21.27,20.9,21.09,12163
1570023900000,21.13,21.21,21.08,21.17,4860
1570024800000,21.26,21.31,21.23,21.31,1735
1570025700000,21.42,21.42,21.252,21.252,2947
1570026600000,21.25,21.29,21.2,21.28,7742
1570027500000,21.25,21.34,21.23,21.34,7923
1570028400000,21.34,21.43,21.34,21.43,3898
1570029300000,21.49,21.53,21.45,21.47,1903
1570030200000,21.455,21.455,21.36,21.38,2021
1570031100000,21.41,21.445,21.4,21.4,2406
1570032000000,21.38,21.42,21.34,21.34,2059
1570032900000,21.36,21.38,21.31,21.325,2902
1570033800000,21.3,21.3,21.21,21.23,12556
1570034700000,21.23,21.245,21.21,21.22,1412
1570035600000,21.25,21.27,21.21,21.235,3945
1570036500000,21.25,21.27,21.23,21.25,1524
1570037400000,21.24,21.24,21.17,21.17,2087
1570038300000,21.17,21.1796,21.11,21.13,4062
1570039200000,21.11,21.1445,21.06,21.11,10947
1570040100000,21.14,21.28,21.14,21.25,3059
1570041000000,21.24,21.32,21.24,21.295,1877
1570041900000,21.32,21.35,21.3,21.3,1935
1570042800000,21.32,21.34,21.26,21.34,3252
1570043700000,21.32,21.36,21.32,21.35,3685
1570044600000,21.34,21.37,21.33,21.36,5932
1570045500000,21.36,21.37,21.32,21.33,31007
1570109400000,21.11,21.21,21.11,21.19,2678
1570110300000,21.18,21.27,21.18,21.22,6428
1570111200000,21.08,21.08,20.83,20.85,2900
1570112100000,20.93,21.02,20.93,21.02,1800
1570113000000,21.05,21.07,20.99,21.01,2600
1570113900000,21.02,21.06,20.94,21.06,1478
1570114800000,21.11,21.24,21.11,21.2,3872
1570115700000,21.23,21.3,21.19,21.2,4659
