datetime,open,high,low,close,volume
1569504600000,3.85,3.8886,3.68,3.7384,176477
1569505500000,3.73,3.77,3.65,3.68,85397
1569506400000,3.7042,3.73,3.68,3.7057,64990
1569507300000,3.7051,3.75,3.68,3.73,39661
1569508200000,3.74,3.74,3.7015,3.7111,20961
1569509100000,3.71,3.72,3.68,3.685,67309
1569510000000,3.6845,3.689,3.67,3.68,64201
1569510900000,3.675,3.6833,3.64,3.65,74237
1569511800000,3.65,3.68,3.62,3.68,81470
1569512700000,3.69,3.69,3.658,3.6699,19198
1569513600000,3.67,3.71,3.6636,3.71,44066
1569514500000,3.72,3.72,3.68,3.71,31303
1569515400000,3.7,3.71,3.68,3.6834,20093
1569516300000,3.6881,3.7,3.68,3.68,27466
1569517200000,3.68,3.69,3.67,3.689,55598
1569518100000,3.68,3.68,3.67,3.67,27186
1569519000000,3.67,3.67,3.66,3.6681,43927
1569519900000,3.6601,3.67,3.66,3.6601,18531
1569520800000,3.665,3.71,3.65,3.7,148531
1569521700000,3.6992,3.71,3.6946,3.705,24714
1569522600000,3.708,3.74,3.7001,3.735,34633
1569523500000,3.73,3.73,3.7,3.71,42141
1569524400000,3.7,3.7,3.68,3.6977,21211
1569525300000,3.699,3.71,3.68,3.705,25985
1569526200000,3.705,3.73,3.7,3.7045,36525
1569527100000,3.7,3.71,3.69,3.7,72172
1569591000000,3.73,3.73,3.63,3.63,66983
1569591900000,3.6342,3.655,3.59,3.64,165686
1569592800000,3.6359,3.6899,3.62,3.66,57035
1569593700000,3.6554,3.68,3.65,3.68,300442
1569594600000,3.67,3.69,3.65,3.66,16819
1569595500000,3.6586,3.66,3.6,3.61,79641
1569596400000,3.62,3.62,3.59,3.62,60463
1569597300000,3.619,3.7,3.6157,3.7,38106
1569598200000,3.6939,3.7564,3.68,3.69,47859
1569599100000,3.68,3.7131,3.6673,3.7131,14521
1569600000000,3.7,3.7,3.6714,3.6835,10584
1569600900000,3.6865,3.71,3.6865,3.7031,24350
1569601800000,3.69,3.69,3.64,3.6607,43492
1569602700000,3.65,3.6652,3.6193,3.62,11320
1569603600000,3.62,3.65,3.6195,3.6459,15949
1569604500000,3.64,3.64,3.6,3.6216,22194
1569605400000,3.6257,3.63,3.61,3.63,28737
1569606300000,3.62,3.647,3.6184,3.635,18386
1569607200000,3.63,3.65,3.62,3.6351,36380
1569608100000,3.64,3.6502,3.62,3.62,45940
1569609000000,3.63,3.64,3.6,3.61,48021
1569609900000,3.6039,3.61,3.56,3.585,51363
1569610800000,3.59,3.6145,3.59,3.59,22050
1569611700000,3.6,3.625,3.5911,3.615,36796
1569612600000,3.62,3.6928,3.619,3.6928,40406
1569613500000,3.7,3.7,3.64,3.67,55844
1569850200000,3.7,3.7,3.56,3.5799,117414
1569851100000,3.5824,3.59,3.47,3.47,166653
1569852000000,3.47,3.5639,3.45,3.55,80678
1569852900000,3.55,3.57,3.4801,3.4801,76127
1569853800000,3.488,3.4884,3.44,3.465,53232
