datetime,open,high,low,close,volume
1569504600000,17.48,17.5138,17.17,17.2674,7796
1569505500000,17.24,17.33,17.17,17.18,7203
1569506400000,17.18,17.22,17.05,17.1,25266
1569507300000,17.1,17.27,17.1,17.13,23189
1569508200000,17.13,17.17,16.96,16.985,40809
1569509100000,16.98,17.03,16.85,16.88,40378
1569510000000,16.88,16.8912,16.77,16.82,18107
1569510900000,16.81,16.87,16.7259,16.77,26350
1569511800000,16.75,16.8,16.685,16.69,10596
1569512700000,16.675,16.675,16.5,16.63,27696
1569513600000,16.63,16.71,16.5942,16.66,18761
1569514500000,16.62,16.74,16.62,16.74,5324
1569515400000,16.72,16.72,16.6,16.6,4911
1569516300000,16.6,16.61,16.56,16.61,19947
1569517200000,16.61,16.62,16.52,16.6,12834
1569518100000,16.57,16.6197,16.55,16.6,6775
1569519000000,16.62,16.67,16.6,16.61,9450
1569519900000,16.59,16.66,16.5635,16.66,8622
1569520800000,16.66,16.68,16.5969,16.67,11129
1569521700000,16.6626,16.7,16.61,16.624,6455
1569522600000,16.61,16.61,16.575,16.59,4500
1569523500000,16.575,16.62,16.53,16.615,15073
1569524400000,16.615,16.67,16.59,16.59,4843
1569525300000,16.59,16.6,16.55,16.59,4952
1569526200000,16.58,16.62,16.56,16.56,13472
1569527100000,16.55,16.55,16.44,16.48,67048
1569591000000,16.4,16.5,16.15,16.41,17638
1569591900000,16.38,16.39,16.17,16.2553,16924
1569592800000,16.218,16.3,16.18,16.28,4399
1569593700000,16.32,16.35,16.18,16.35,5101
1569594600000,16.32,16.47,16.31,16.43,19736
1569595500000,16.41,16.515,16.41,16.49,6950
1569596400000,16.54,16.56,16.47,16.53,2398
1569597300000,16.54,16.58,16.5,16.55,6709
1569598200000,16.55,16.57,16.35,16.41,12184
1569599100000,16.46,16.52,16.41,16.46,5470
1569600000000,16.44,16.45,16.37,16.4325,4119
1569600900000,16.44,16.45,16.35,16.37,6460
1569601800000,16.38,16.42,16.34,16.34,3800
1569602700000,16.37,16.38,16.25,16.27,16900
1569603600000,16.28,16.38,16.25,16.38,4775
1569604500000,16.35,16.37,16.27,16.3029,8850
1569605400000,16.29,16.29,16.22,16.27,8422
1569606300000,16.26,16.38,16.23,16.38,10753
1569607200000,16.36,16.36,16.25,16.28,2700
1569608100000,16.29,16.2925,16.23,16.25,9688
1569609000000,16.26,16.29,16.23,16.24,5994
1569609900000,16.23,16.245,16.15,16.205,17031
1569610800000,16.21,16.38,16.21,16.35,48926
1569611700000,16.35,16.375,16.26,16.325,7651
1569612600000,16.3241,16.3605,16.32,16.35,9427
1569613500000,16.37,16.43,16.33,16.41,33876
1569850200000,16.45,16.48,16.24,16.31,5713
1569851100000,16.3,16.4592,16.2164,16.4592,10051
1569852000000,16.37,16.39,16.29,16.3,4750
1569852900000,16.33,16.34,16.04,16.04,13206
1569853800000,16.11,16.1338,15.91,15.95,15842
1569854700000,15.91,15.97,15.81,15.97,15189
1569855600000,15.98,16.08,15.97,15.995,8345
1569856500000,15.97,16.025,15.89,16.0235,6834
1569857400000,16.01,16.04,15.96,16.01,4040
1569858300000,16.0195,16.08,15.98,16.02,15454
1569859200000,16.05,16.18,16.05,16.09,3674
1569860100000,16.12,16.16,16.1,16.15,6594
1569861000000,16.15,16.2196,16.13,16.21,5420
1569861900000,16.21,16.24,16.19,16.235,3057
1569862800000,16.24,16.29,16.21,16.27,2000
1569863700000,16.32,16.34,16.27,16.32,3925
1569864600000,16.34,16.39,16.335,16.38,1958
1569865500000,16.36,16.3862,16.33,16.37,1100
1569866400000,16.355,16.38,16.31,16.32,3398
1569867300000,16.3,16.31,16.28,16.2996,1100
1569868200000,16.24,16.2854,16.24,16.2854,2561
1569869100000,16.31,16.31,16.25,16.25,1400
1569870000000,16.25,16.28,16.22,16.245,4501
1569870900000,16.22,16.29,16.22,16.28,4460
1569871800000,16.29,16.33,16.29,16.29,10000
1569872700000,16.29,16.39,16.285,16.33,28644
1569936600000,16.41,16.7,16.41,16.46,15829
1569937500000,16.56,16.65,16.44,16.5635,9131
1569938400000,16.54,16.6,16.21,16.29,11007
1569939300000,16.28,16.35,16.12,16.16,10400
1569940200000,16.14,16.145,15.96,16.1,23968
1569941100000,16.11,16.125,16.0,16.0,8026
1569942000000,16.01,16.0567,16.0,16.0,6850
1569942900000,15.995,16.05,15.99,16.01,14467
1569943800000,16.0,16.07,15.99,16.0,30579
1569944700000,16.01,16.05,15.97,16.0,60587
1569945600000,16.01,16.015,15.84,15.88,74715
1569946500000,15.89,15.94,15.87,15.9,10038
1569947400000,15.91,15.94,15.88,15.92,8416
1569948300000,15.92,15.99,15.905,15.94,4992
1569949200000,15.9316,15.9389,15.895,15.91,18122
1569950100000,15.92,15.93,15.85,15.85,14203
1569951000000,15.8462,15.8462,15.81,15.82,2373
1569951900000,15.82,15.84,15.723,15.73,16938
1569952800000,15.7266,15.74,15.62,15.74,10856
1569953700000,15.75,15.8741,15.75,15.86,3800
1569954600000,15.88,15.94,15.88,15.88,5945
1569955500000,15.885,15.89,15.75,15.765,39195
1569956400000,15.76,15.81,15.74,15.8,15766
1569957300000,15.795,15.83,15.7565,15.8185,5810
1569958200000,15.82,15.82,15.74,15.76,16758
1569959100000,15.76,15.78,15.74,15.74,19183
1570023000000,15.63,15.82,15.27,15.56,29903
1570023900000,15.55,15.6225,15.4,15.44,12524
1570024800000,15.44,15.54,15.42,15.4946,32608
1570025700000,15.48,15.63,15.46,15.59,15812
1570026600000,15.58,15.71,15.5115,15.67,15999
1570027500000,15.66,15.66,15.58,15.6,3650
1570028400000,15.62,15.67,15.58,15.64,13188
1570029300000,15.6593,15.78,15.65,15.76,8824
1570030200000,15.7224,15.7224,15.6,15.6,2200
1570031100000,15.6,15.63,15.59,15.6,10650
1570032000000,15.6,15.7,15.6,15.64,6757
1570032900000,15.65,15.7,15.6,15.64,29607
1570033800000,15.65,15.67,15.6,15.635,4303
1570034700000,15.62,15.65,15.61,15.64,2500
1570035600000,15.64,15.7,15.64,15.68,2900
1570036500000,15.67,15.71,15.615,15.71,11477
1570037400000,15.7,15.7,15.66,15.7,2400
1570038300000,15.65,15.675,15.64,15.66,2055
1570039200000,15.65,15.68,15.62,15.66,8950
1570040100000,15.68,15.75,15.675,15.71,9699
1570041000000,15.7,15.735,15.685,15.73,3850
1570041900000,15.73,15.78,15.73,15.75,4290
1570042800000,15.73,15.76,15.71,15.74,4209
1570043700000,15.735,15.79,15.72,15.76,3848
1570044600000,15.75,15.78,15.74,15.74,9444
1570045500000,15.745,15.78,15.66,15.77,29850
1570109400000,15.78,15.79,15.43,15.45,15857
1570110300000,15.45,15.58,15.38,15.45,10686
1570111200000,15.45,15.45,15.19,15.27,18754
1570112100000,15.34,15.41,15.23,15.26,10837
1570113000000,15.2797,15.29,15.2,15.27,8861
1570113900000,15.28,15.44,15.25,15.4308,5608
1570114800000,15.45,15.57,15.42,15.535,8748
1570115700000,15.55,15.58,15.47,15.52,25797
1570116600000,15.52,15.54,15.34,15.3589,15637
1570117500000,15.38,15.38,15.3,15.34,3958
1570118400000,15.36,15.37,15.32,15.37,4300
1570119300000,15.35,15.39,15.2,15.39,10473
1570120200000,15.38,15.41,15.33,15.4,7548
1570121100000,15.41,15.46,15.4,15.41,4250
1570122000000,15.421,15.505,15.38,15.5,6014
1570122900000,15.49,15.64,15.49,15.62,9700
1570123800000,15.65,15.69,15.635,15.68,2750
1570124700000,15.65,15.74,15.64,15.685,6500
1570125600000,15.69,15.69,15.62,15.68,4591
1570126500000,15.685,15.86,15.67,15.84,10343
1570127400000,15.81,15.89,15.81,15.875,4350
1570128300000,15.86,15.98,15.85,15.95,22406
1570129200000,15.95,15.96,15.835,15.86,5313
1570130100000,15.86,15.86,15.79,15.84,7839
1570131000000,15.85,15.85,15.79,15.8,13560
1570131900000,15.79,15.9,15.76,15.89,32428
1570195800000,15.96,16.05,15.72,15.77,6024
1570196700000,15.71,15.9,15.71,15.9,2147
1570197600000,15.84,15.95,15.75,15.85,23893
1570198500000,15.84,15.84,15.61,15.61,4096
1570199400000,15.6,15.67,15.55,15.63,6400
