datetime,open,high,low,close,volume
1569504600000,2.15,2.15,2.1,2.125,145854
1569505500000,2.12,2.125,2.1,2.115,56615
1569506400000,2.115,2.12,2.1,2.105,52237
1569507300000,2.1,2.1,2.08,2.095,50344
1569508200000,2.095,2.1,2.08,2.085,42106
1569509100000,2.08,2.1,2.07,2.095,63487
1569510000000,2.095,2.1,2.08,2.08,95665
1569510900000,2.085,2.09,2.07,2.075,73336
1569511800000,2.075,2.105,2.07,2.095,128689
1569512700000,2.09,2.1,2.08,2.08,33377
1569513600000,2.085,2.09,2.08,2.09,15717
1569514500000,2.085,2.09,2.08,2.085,17528
1569515400000,2.085,2.09,2.08,2.085,21239
1569516300000,2.085,2.09,2.08,2.085,49164
1569517200000,2.085,2.09,2.08,2.085,33876
1569518100000,2.085,2.09,2.07,2.075,46084
1569519000000,2.08,2.08,2.07,2.08,31251
1569519900000,2.08,2.08,2.07,2.075,20571
1569520800000,2.075,2.1,2.07,2.09,151140
1569521700000,2.09,2.1,2.08,2.08,70295
1569522600000,2.0801,2.09,2.08,2.085,13708
1569523500000,2.085,2.1,2.08,2.095,52317
1569524400000,2.095,2.1,2.09,2.09,37377
1569525300000,2.1,2.1,2.09,2.09,22092
1569526200000,2.095,2.1,2.08,2.08,46325
1569527100000,2.08,2.09,2.06,2.09,515375
1569591000000,2.05,2.12,2.04,2.11,157376
1569591900000,2.1101,2.12,2.09,2.095,71595
1569592800000,2.09,2.13,2.09,2.115,134366
1569593700000,2.115,2.13,2.095,2.12,138833
1569594600000,2.12,2.14,2.11,2.125,130827
1569595500000,2.125,2.14,2.12,2.135,67447
1569596400000,2.14,2.15,2.13,2.13,75375
1569597300000,2.14,2.14,2.13,2.135,21016
1569598200000,2.14,2.14,2.095,2.12,109497
1569599100000,2.12,2.13,2.11,2.125,32812
1569600000000,2.125,2.125,2.095,2.115,70737
1569600900000,2.12,2.12,2.09,2.095,37720
1569601800000,2.095,2.1,2.085,2.085,21947
1569602700000,2.085,2.09,2.07,2.075,25519
1569603600000,2.075,2.095,2.07,2.095,48347
1569604500000,2.095,2.1,2.07,2.075,122736
1569605400000,2.075,2.09,2.07,2.075,28608
1569606300000,2.075,2.095,2.07,2.095,13829
1569607200000,2.095,2.1,2.07,2.075,32617
1569608100000,2.0787,2.08,2.07,2.075,47303
1569609000000,2.075,2.08,2.06,2.065,55860
