datetime,open,high,low,close,volume
1569504600000,10.29,10.495,10.29,10.46,51272
1569505500000,10.45,10.465,10.34,10.36,38931
1569506400000,10.35,10.35,10.2343,10.275,37359
1569507300000,10.28,10.28,10.205,10.205,20524
1569508200000,10.208,10.23,10.15,10.17,22205
1569509100000,10.17,10.22,10.15,10.19,55782
1569510000000,10.19,10.21,10.155,10.19,22610
1569510900000,10.19,10.23,10.16,10.1909,18221
1569511800000,10.19,10.19,10.13,10.13,21967
1569512700000,10.13,10.15,10.08,10.09,28981
1569513600000,10.08,10.09,10.04,10.085,41508
1569514500000,10.082,10.1,10.068,10.095,20122
1569515400000,10.0896,10.09,10.06,10.085,15784
1569516300000,10.08,10.09,10.04,10.08,26225
1569517200000,10.08,10.1,10.06,10.08,13072
1569518100000,10.08,10.165,10.075,10.155,26361
1569519000000,10.155,10.19,10.1549,10.17,31257
1569519900000,10.165,10.17,10.12,10.12,16737
1569520800000,10.12,10.13,10.095,10.11,23137
1569521700000,10.11,10.16,10.11,10.16,25578
1569522600000,10.16,10.17,10.13,10.17,49809
1569523500000,10.16,10.165,10.085,10.11,27884
1569524400000,10.11,10.11,10.065,10.08,18092
1569525300000,10.08,10.09,10.03,10.03,21467
1569526200000,10.03,10.07,10.01,10.055,44938
1569527100000,10.055,10.06,10.0,10.03,106520
1569591000000,9.95,10.0,9.83,9.875,221515
1569591900000,9.86,9.87,9.75,9.83,104971
1569592800000,9.82,9.9,9.78,9.83,60898
1569593700000,9.83,9.84,9.79,9.79,43862
1569594600000,9.79,9.79,9.73,9.7501,40593
1569595500000,9.755,9.76,9.715,9.745,51855
1569596400000,9.75,9.755,9.665,9.675,32649
1569597300000,9.67,9.715,9.65,9.67,46158
1569598200000,9.66,9.73,9.61,9.71,82474
1569599100000,9.71,9.72,9.67,9.68,31182
1569600000000,9.675,9.68,9.63,9.635,26270
1569600900000,9.6355,9.7,9.62,9.68,36844
1569601800000,9.69,9.7,9.665,9.68,19985
1569602700000,9.687,9.78,9.687,9.77,36681
1569603600000,9.77,9.795,9.705,9.725,49913
1569604500000,9.725,9.76,9.715,9.72,23447
1569605400000,9.73,9.8,9.725,9.7722,38873
1569606300000,9.775,9.79,9.74,9.75,37564
1569607200000,9.755,9.81,9.745,9.785,51152
1569608100000,9.78,9.78,9.71,9.74,19799
1569609000000,9.74,9.755,9.715,9.75,20264
1569609900000,9.75,9.7758,9.73,9.75,22130
1569610800000,9.76,9.765,9.74,9.75,15373
1569611700000,9.75,9.75,9.72,9.7242,22768
1569612600000,9.72,9.73,9.68,9.705,39383
1569613500000,9.705,9.715,9.68,9.69,109999
1569850200000,9.52,9.6,9.44,9.57,83581
1569851100000,9.55,9.6,9.4916,9.53,37165
1569852000000,9.53,9.54,9.49,9.49,31837
1569852900000,9.49,9.49,9.435,9.4679,49413
1569853800000,9.47,9.47,9.4,9.44,39713
1569854700000,9.44,9.45,9.355,9.3677,50189
1569855600000,9.355,9.355,9.245,9.25,133674
1569856500000,9.255,9.3,9.22,9.22,79251
1569857400000,9.215,9.3,9.19,9.27,56822
1569858300000,9.275,9.3,9.24,9.25,20433
1569859200000,9.25,9.27,9.235,9.24,17859
1569860100000,9.235,9.31,9.225,9.28,34310
1569861000000,9.28,9.3174,9.26,9.305,24404
1569861900000,9.31,9.32,9.28,9.29,19755
1569862800000,9.29,9.29,9.24,9.265,15445
1569863700000,9.27,9.27,9.23,9.245,33240
1569864600000,9.245,9.255,9.215,9.24,29129
1569865500000,9.25,9.26,9.235,9.25,21849
1569866400000,9.26,9.285,9.255,9.2736,20749
1569867300000,9.28,9.3282,9.28,9.325,28154
1569868200000,9.325,9.33,9.285,9.32,23028
1569869100000,9.315,9.35,9.3,9.315,26059
1569870000000,9.32,9.33,9.29,9.29,22775
1569870900000,9.29,9.32,9.27,9.3,40485
1569871800000,9.3,9.31,9.27,9.27,49847
1569872700000,9.27,9.31,9.265,9.3,118052
1569936600000,9.23,9.32,9.23,9.24,50552
1569937500000,9.235,9.27,9.207,9.24,39893
1569938400000,9.25,9.4,9.25,9.39,65253
1569939300000,9.385,9.388,9.35,9.37,35970
1569940200000,9.37,9.4565,9.36,9.44,52069
1569941100000,9.45,9.51,9.42,9.48,94837
1569942000000,9.48,9.56,9.465,9.535,59073
1569942900000,9.535,9.55,9.51,9.525,40739
1569943800000,9.52,9.545,9.5,9.515,47885
1569944700000,9.515,9.59,9.515,9.59,48857
1569945600000,9.585,9.59,9.58,9.585,33794
1569946500000,9.5861,9.61,9.54,9.565,70094
1569947400000,9.57,9.57,9.51,9.535,85093
1569948300000,9.535,9.59,9.525,9.58,28648
1569949200000,9.58,9.58,9.54,9.545,31045
1569950100000,9.55,9.575,9.54,9.575,18653
1569951000000,9.57,9.575,9.51,9.5199,20149
1569951900000,9.515,9.545,9.515,9.54,33458
1569952800000,9.535,9.545,9.49,9.495,59858
1569953700000,9.5,9.5,9.46,9.47,38513
1569954600000,9.47,9.4772,9.39,9.395,39222
1569955500000,9.395,9.41,9.385,9.405,42189
1569956400000,9.408,9.425,9.3937,9.4237,35122
1569957300000,9.43,9.45,9.4,9.42,61981
1569958200000,9.425,9.43,9.355,9.37,37750
1569959100000,9.36,9.38,9.31,9.33,205442
1570023000000,9.44,9.61,9.43,9.575,85175
1570023900000,9.575,9.59,9.495,9.52,71812
1570024800000,9.53,9.55,9.485,9.53,78702
1570025700000,9.52,9.6,9.485,9.6,47148
1570026600000,9.6,9.64,9.588,9.625,39266
1570027500000,9.64,9.64,9.53,9.53,33215
1570028400000,9.54,9.57,9.49,9.535,35460
1570029300000,9.54,9.565,9.505,9.5561,23083
1570030200000,9.55,9.6,9.55,9.56,52110
1570031100000,9.565,9.57,9.53,9.54,26417
1570032000000,9.545,9.57,9.5301,9.57,15856
1570032900000,9.56,9.585,9.51,9.525,30475
1570033800000,9.525,9.535,9.51,9.51,13628
1570034700000,9.51,9.545,9.48,9.5375,43559
1570035600000,9.53,9.53,9.49,9.4933,35110
1570036500000,9.495,9.555,9.495,9.54,22370
1570037400000,9.54,9.595,9.54,9.5757,24180
1570038300000,9.58,9.59,9.555,9.56,12939
1570039200000,9.56,9.58,9.55,9.555,13117
1570040100000,9.55,9.57,9.53,9.56,13263
1570041000000,9.56,9.57,9.52,9.53,15177
1570041900000,9.52,9.55,9.5,9.535,13794
1570042800000,9.53,9.565,9.5284,9.56,29836
1570043700000,9.565,9.59,9.565,9.585,30118
1570044600000,9.585,9.585,9.54,9.55,46319
1570045500000,9.545,9.56,9.53,9.56,87739
1570109400000,9.56,9.56,9.45,9.52,54681
1570110300000,9.51,9.53,9.47,9.52,25653
1570111200000,9.53,9.69,9.52,9.61,111844
1570112100000,9.615,9.6399,9.53,9.54,39480
1570113000000,9.54,9.6,9.52,9.6,26253
1570113900000,9.61,9.65,9.5899,9.59,23447
1570114800000,9.59,9.6,9.54,9.55,27432
1570115700000,9.55,9.565,9.52,9.565,13763
1570116600000,9.56,9.59,9.56,9.57,12116
1570117500000,9.57,9.59,9.56,9.56,8280
1570118400000,9.56,9.56,9.52,9.525,15384
1570119300000,9.52,9.54,9.515,9.52,7506
1570120200000,9.52,9.54,9.5183,9.53,10602
1570121100000,9.54,9.545,9.52,9.52,7066
1570122000000,9.52,9.57,9.515,9.56,12244
1570122900000,9.56,9.56,9.525,9.55,12538
1570123800000,9.544,9.55,9.52,9.5334,13850
1570124700000,9.535,9.555,9.53,9.55,11970
1570125600000,9.555,9.57,9.555,9.57,3700
1570126500000,9.56,9.58,9.55,9.55,14456
1570127400000,9.55,9.555,9.49,9.51,41235
1570128300000,9.51,9.53,9.5,9.515,9044
1570129200000,9.52,9.52,9.495,9.505,14643
1570130100000,9.51,9.525,9.48,9.525,53868
1570131000000,9.52,9.53,9.475,9.49,34165
1570131900000,9.49,9.52,9.49,9.5,76840
1570195800000,9.52,9.61,9.5,9.59,54897
1570196700000,9.59,9.605,9.555,9.56,18726
1570197600000,9.56,9.665,9.545,9.65,44929
1570198500000,9.65,9.65,9.59,9.62,15284
1570199400000,9.63,9.65,9.6,9.63,19463
1570200300000,9.63,9.67,9.62,9.67,21275
1570201200000,9.66,9.69,9.645,9.68,14342
1570202100000,9.68,9.72,9.67,9.69,15063
1570203000000,9.68,9.7,9.66,9.68,9847
1570203900000,9.675,9.6808,9.64,9.655,8599
1570204800000,9.6556,9.6556,9.63,9.64,12331
1570205700000,9.64,9.65,9.63,9.65,8461
1570206600000,9.655,9.7,9.655,9.7,9347
1570207500000,9.7,9.735,9.695,9.72,8791
1570208400000,9.715,9.73,9.7002,9.71,17063
1570209300000,9.7032,9.75,9.7032,9.74,16138
1570210200000,9.74,9.77,9.725,9.74,36669
1570211100000,9.74,9.76,9.72,9.72,21803
1570212000000,9.72,9.72,9.69,9.72,24380
1570212900000,9.72,9.74,9.72,9.73,9161
1570213800000,9.73,9.77,9.73,9.75,111484
1570214700000,9.75,9.77,9.72,9.73,22572
1570215600000,9.73,9.75,9.72,9.73,10235
1570216500000,9.725,9.73,9.67,9.69,23404
1570217400000,9.69,9.695,9.67,9.68,19109
1570218300000,9.685,9.69,9.67,9.69,47741
1570455000000,9.67,9.7,9.625,9.635,40934
1570455900000,9.63,9.68,9.625,9.675,6771
