datetime,open,high,low,close,volume
1569504600000,23.2,23.25,23.0,23.0,175185
1569505500000,23.025,23.15,23.0,23.075,106075
1569506400000,23.1,23.2,22.95,23.075,143555
1569507300000,23.075,23.15,23.0,23.0495,80830
1569508200000,23.05,23.05,22.85,22.975,145705
1569509100000,23.0,23.075,22.908,22.925,179565
1569510000000,22.925,23.05,22.85,22.9,243650
1569510900000,22.85,23.025,22.85,22.975,152165
1569511800000,22.975,23.075,22.9,23.05,146000
1569512700000,23.025,23.05,22.95,23.0,38445
1569513600000,23.0,23.125,22.9505,23.05,64470
1569514500000,23.025,23.15,23.025,23.0785,86440
1569515400000,23.075,23.2,23.0625,23.175,42245
1569516300000,23.175,23.175,23.0,23.075,66095
1569517200000,23.075,23.1,23.0,23.025,31980
1569518100000,23.025,23.05,23.0,23.025,31200
1569519000000,23.05,23.075,22.95,23.025,141295
1569519900000,23.025,23.1,23.0,23.1,58285
1569520800000,23.1,23.15,23.025,23.125,83420
1569521700000,23.125,23.25,23.1,23.1,103325
1569522600000,23.1,23.1995,23.1,23.1,24630
1569523500000,23.125,23.2,22.95,23.05,505020
1569524400000,23.025,23.1,23.0,23.05,311105
1569525300000,23.025,23.1,23.0,23.075,83910
1569526200000,23.1,23.1,23.0,23.075,170865
1569527100000,23.075,23.15,23.05,23.1,234450
1569591000000,22.7,23.2,22.65,23.025,279240
1569591900000,23.025,23.1,22.875,23.025,126120
1569592800000,23.025,23.2,22.95,23.05,212125
1569593700000,23.05,23.175,23.05,23.125,63730
1569594600000,23.15,23.25,23.1,23.15,110560
1569595500000,23.15,23.174,23.05,23.05,37875
1569596400000,23.05,23.15,23.0,23.1,152840
1569597300000,23.1,23.15,23.025,23.1,64030
1569598200000,23.1,23.125,22.85,22.925,167990
1569599100000,22.9,23.05,22.9,22.95,137915
1569600000000,22.95,23.025,22.925,22.975,143385
1569600900000,22.95,23.05,22.9,22.95,141920
1569601800000,22.975,23.05,22.95,22.975,120240
1569602700000,22.975,23.0,22.85,22.875,149345
1569603600000,22.9,23.025,22.9,22.95,246105
1569604500000,22.95,23.025,22.9,23.0,71450
1569605400000,23.0,23.05,23.0,23.025,145600
1569606300000,23.025,23.15,23.0,23.15,29370
1569607200000,23.1,23.15,23.05,23.05,58415
1569608100000,23.05,23.2,23.05,23.05,100880
1569609000000,23.05,23.1,23.0,23.05,77880
1569609900000,23.05,23.0905,23.0,23.0,58815
1569610800000,23.0,23.0495,23.0,23.0,122165
1569611700000,23.025,23.1,23.0,23.05,44820
1569612600000,23.05,23.0805,23.05,23.05,47490
1569613500000,23.05,23.0885,22.975,23.0,756090
1569850200000,23.0,23.1,22.75,22.85,281060
1569851100000,22.85,22.85,22.5,22.625,334910
1569852000000,22.6,22.7,22.35,22.6,510245
1569852900000,22.625,22.725,22.6,22.625,185430
1569853800000,22.625,22.7,22.6,22.625,100800
1569854700000,22.6,22.75,22.6,22.75,101875
1569855600000,22.725,22.75,22.65,22.7,168990
1569856500000,22.7,22.75,22.5,22.625,154145
1569857400000,22.625,22.65,22.55,22.55,130250
1569858300000,22.55,22.65,22.55,22.625,44420
1569859200000,22.625,22.75,22.6,22.675,140710
1569860100000,22.675,22.85,22.65,22.8435,177090
1569861000000,22.825,22.85,22.725,22.775,138015
1569861900000,22.775,22.825,22.75,22.8,94485
1569862800000,22.8,22.85,22.75,22.85,88830
1569863700000,22.825,22.95,22.8,22.875,158200
1569864600000,22.875,22.95,22.85,22.95,110055
1569865500000,22.95,23.05,22.95,23.0,62710
1569866400000,22.975,23.0,22.95,22.975,86105
1569867300000,22.975,23.0,22.75,22.775,137490
1569868200000,22.8,22.9,22.75,22.875,89720
1569869100000,22.875,23.0,22.85,22.95,140400
1569870000000,22.95,23.05,22.95,22.9815,131830
1569870900000,22.975,23.0,22.95,22.975,55590
1569871800000,22.975,23.1,22.975,23.05,439745
1569872700000,23.05,23.1,22.95,22.975,415125
1569936600000,23.0,23.15,22.95,23.1,97950
1569937500000,23.1,23.3,23.05,23.225,154485
1569938400000,23.2,23.25,22.85,22.9,153140
1569939300000,22.9,23.0265,22.875,22.925,235180
1569940200000,22.9,22.925,22.55,22.6,160925
1569941100000,22.55,22.6,22.45,22.525,394670
1569942000000,22.525,22.6,22.5,22.575,125105
1569942900000,22.575,22.7,22.55,22.65,93940
1569943800000,22.625,22.8,22.6,22.6,181770
1569944700000,22.65,22.7,22.55,22.65,125225
1569945600000,22.65,22.7,22.45,22.475,328100
1569946500000,22.5,22.55,22.45,22.525,194350
1569947400000,22.525,22.55,22.4,22.45,201130
1569948300000,22.475,22.5,22.35,22.4,129995
1569949200000,22.375,22.45,22.25,22.25,267365
1569950100000,22.275,22.3,22.05,22.2,573320
1569951000000,22.15,22.3,22.1,22.15,249600
1569951900000,22.125,22.2,22.0,22.025,118680
1569952800000,22.046,22.05,21.9,21.975,191830
1569953700000,21.975,22.15,21.95,22.125,143690
1569954600000,22.1,22.25,22.1,22.25,205045
1569955500000,22.225,22.325,22.15,22.3,331375
1569956400000,22.275,22.35,22.15,22.15,495130
1569957300000,22.15,22.35,22.1,22.325,196560
1569958200000,22.325,22.35,22.2,22.275,672160
1569959100000,22.25,22.425,22.25,22.25,1080620
1570023000000,22.1,22.1,21.55,21.65,358485
1570023900000,21.65,21.7,21.45,21.45,307205
1570024800000,21.45,22.1,21.4,21.975,394725
1570025700000,21.95,22.2,21.925,22.0,307865
1570026600000,22.0,22.0,21.6,21.775,166910
1570027500000,21.8,21.825,21.65,21.75,100630
1570028400000,21.75,21.8995,21.6,21.6,113200
1570029300000,21.6,21.7,21.55,21.625,155620
1570030200000,21.65,21.7,21.425,21.4325,245360
1570031100000,21.425,21.625,21.4,21.575,199260
1570032000000,21.557,21.6,21.45,21.45,165980
1570032900000,21.475,21.65,21.45,21.625,144025
1570033800000,21.6,21.6845,21.55,21.65,134285
1570034700000,21.65,21.6995,21.6,21.675,58025
1570035600000,21.65,21.8,21.6,21.775,111835
1570036500000,21.75,21.9,21.7,21.85,137905
1570037400000,21.85,21.875,21.65,21.7,101610
1570038300000,21.7,21.75,21.65,21.7,268825
1570039200000,21.7,21.825,21.55,21.6,188010
1570040100000,21.6,21.6665,21.55,21.55,201995
1570041000000,21.575,21.6,21.45,21.5,95070
1570041900000,21.475,21.55,21.45,21.5,213965
1570042800000,21.55,21.625,21.4,21.475,146640
1570043700000,21.45,21.5,21.4,21.425,144910
1570044600000,21.425,21.5,21.35,21.35,144410
1570045500000,21.35,21.45,21.3,21.325,545080
1570109400000,21.1,21.4,20.9,21.4,261395
1570110300000,21.375,21.65,21.375,21.575,213245
1570111200000,21.55,21.575,21.15,21.4,506835
1570112100000,21.4,21.5,21.3,21.4175,262290
1570113000000,21.425,21.425,21.125,21.2,168110
1570113900000,21.175,21.45,21.1,21.45,187455
1570114800000,21.4,21.55,21.35,21.45,252725
1570115700000,21.5,21.55,21.4,21.425,203760
1570116600000,21.425,21.45,21.3,21.375,155020
1570117500000,21.375,21.5,21.375,21.475,81555
1570118400000,21.475,21.65,21.45,21.625,98395
1570119300000,21.625,21.632,21.45,21.55,102740
1570120200000,21.575,21.675,21.55,21.6,92800
1570121100000,21.6,21.75,21.6,21.7,138910
1570122000000,21.7,21.75,21.6,21.725,117825
1570122900000,21.75,21.85,21.7,21.825,94235
1570123800000,21.825,21.9,21.75,21.85,96825
1570124700000,21.85,21.95,21.85,21.9005,109545
1570125600000,21.9,21.975,21.85,21.975,139780
1570126500000,21.95,22.05,21.9,21.95,210355
1570127400000,21.95,22.05,21.925,22.0,109750
1570128300000,22.05,22.1,22.0,22.0865,131175
1570129200000,22.1,22.1,22.0,22.075,171710
1570130100000,22.075,22.15,22.0,22.1,179285
1570131000000,22.075,22.15,22.0,22.1,204035
1570131900000,22.1,22.25,22.1,22.225,485645
1570195800000,22.4,22.55,21.95,22.2,340685
1570196700000,22.2,22.25,21.925,22.225,194105
1570197600000,22.225,22.3,21.925,21.975,251645
1570198500000,21.95,22.05,21.825,21.85,180330
1570199400000,21.825,21.9,21.75,21.8,137165
1570200300000,21.775,21.95,21.716,21.85,110830
1570201200000,21.875,21.95,21.65,21.75,261295
1570202100000,21.725,21.8,21.6,21.6235,103270
1570203000000,21.625,21.75,21.6,21.625,214265
1570203900000,21.6,21.8,21.6,21.675,160775
1570204800000,21.7,21.7,21.65,21.675,46970
1570205700000,21.675,21.85,21.65,21.832,48880
1570206600000,21.85,21.85,21.75,21.825,175715
1570207500000,21.8,21.825,21.625,21.725,162675
1570208400000,21.725,21.9,21.7,21.875,91385
1570209300000,21.85,21.95,21.85,21.95,74485
1570210200000,21.925,22.1,21.9,22.025,112950
1570211100000,22.025,22.025,21.85,21.925,105900
1570212000000,21.95,22.1,21.95,22.075,56725
1570212900000,22.1,22.1,21.9,21.925,62540
1570213800000,21.9,22.05,21.9,21.975,77035
1570214700000,21.975,22.0,21.85,21.9,92010
1570215600000,21.95,22.025,21.9215,22.0,58710
1570216500000,22.0,22.075,21.95,22.0,124000
1570217400000,22.0,22.1,21.975,22.1,150595
1570218300000,22.1,22.2,22.075,22.15,298240
1570455000000,22.025,22.1,21.65,21.725,179640
1570455900000,21.7,21.95,21.6,21.875,216765
1570456800000,21.875,22.0,21.75,21.975,131440
1570457700000,22.0,22.25,21.975,22.2,267185
1570458600000,22.15,22.225,22.05,22.1,175400
1570459500000,22.1,22.25,22.1,22.125,99695
1570460400000,22.1,22.4,22.1,22.25,117135
1570461300000,22.25,22.425,22.25,22.35,110565
1570462200000,22.325,22.425,22.25,22.4,84215
1570463100000,22.425,22.45,22.2,22.225,103500
1570464000000,22.25,22.3495,22.21,22.3,112900
