datetime,open,high,low,close,volume
1569504600000,22.59,22.67,22.505,22.54,3674
1569505500000,22.49,22.565,22.47,22.54,5219
1569506400000,22.54,22.61,22.4,22.4,5900
1569507300000,22.39,22.47,22.37,22.37,5955
1569508200000,22.34,22.34,22.2,22.22,2600
1569509100000,22.23,22.32,22.22,22.26,6668
1569510000000,22.27,22.27,22.12,22.13,1600
1569510900000,22.1248,22.17,22.06,22.075,2628
1569511800000,22.09,22.27,22.09,22.23,6900
1569512700000,22.24,22.29,22.23,22.25,2200
1569513600000,22.22,22.265,22.22,22.25,4165
1569514500000,22.25,22.39,22.25,22.39,4525
1569515400000,22.39,22.48,22.38,22.45,3719
1569516300000,22.47,22.5,22.455,22.455,1915
1569517200000,22.44,22.47,22.4,22.44,4889
1569518100000,22.435,22.48,22.435,22.46,1794
1569519000000,22.46,22.53,22.45,22.51,2184
1569519900000,22.5,22.55,22.45,22.55,4554
1569520800000,22.55,22.58,22.54,22.54,3440
1569521700000,22.54,22.62,22.5,22.57,4529
1569522600000,22.58,22.6,22.57,22.575,6700
1569523500000,22.575,22.575,22.5,22.5,3300
1569524400000,22.51,22.61,22.51,22.61,5570
1569525300000,22.5916,22.6,22.48,22.48,5360
1569526200000,22.49,22.53,22.47,22.47,3200
1569527100000,22.475,22.53,22.43,22.5,25191
1569591000000,22.51,22.81,22.41,22.765,4195
1569591900000,22.765,22.83,22.61,22.69,7554
1569592800000,22.725,22.8,22.65,22.7,4500
1569593700000,22.68,22.8,22.65,22.8,4213
1569594600000,22.8,22.82,22.77,22.8,4240
1569595500000,22.79,22.82,22.76,22.76,2645
1569596400000,22.75,22.75,22.66,22.7,6292
1569597300000,22.71,22.76,22.695,22.74,5170
1569598200000,22.755,22.755,22.63,22.66,5099
1569599100000,22.65,22.74,22.65,22.71,4200
1569600000000,22.68,22.73,22.67,22.71,3718
1569600900000,22.71,22.71,22.68,22.71,6698
1569601800000,22.69,22.72,22.6685,22.715,4022
1569602700000,22.73,22.73,22.61,22.61,3210
1569603600000,22.61,22.64,22.56,22.63,9946
1569604500000,22.62,22.625,22.56,22.62,8709
1569605400000,22.61,22.62,22.58,22.58,3636
1569606300000,22.59,22.6234,22.57,22.61,6539
1569607200000,22.59,22.6,22.51,22.52,4405
1569608100000,22.52,22.53,22.48,22.48,4404
1569609000000,22.5,22.5,22.44,22.45,4248
1569609900000,22.44,22.45,22.39,22.39,3231
1569610800000,22.38,22.39,22.34,22.39,7345
1569611700000,22.38,22.39,22.36,22.36,4245
1569612600000,22.36,22.43,22.355,22.42,11144
1569613500000,22.42,22.44,22.38,22.39,37786
1569850200000,22.33,22.65,22.33,22.65,5308
1569851100000,22.65,22.67,22.615,22.66,2056
1569852000000,22.63,22.65,22.57,22.57,1400
1569852900000,22.575,22.63,22.55,22.61,3432
1569853800000,22.585,22.62,22.51,22.51,3398
1569854700000,22.52,22.59,22.52,22.57,2511
1569855600000,22.56,22.62,22.53,22.58,5339
1569856500000,22.57,22.6225,22.55,22.61,4101
1569857400000,22.62,22.68,22.6,22.675,4600
1569858300000,22.68,22.69,22.65,22.68,4720
1569859200000,22.68,22.76,22.68,22.74,13444
1569860100000,22.75,22.82,22.75,22.81,3568
1569861000000,22.82,22.83,22.78,22.82,3860
1569861900000,22.815,22.84,22.79,22.825,8500
1569862800000,22.825,22.85,22.8,22.8,7101
1569863700000,22.805,22.83,22.8,22.825,4795
1569864600000,22.83,22.85,22.82,22.85,3700
1569865500000,22.85,22.92,22.83,22.835,5293
1569866400000,22.83,22.95,22.83,22.95,8309
1569867300000,22.94,22.95,22.9038,22.94,7695
1569868200000,22.94,22.98,22.94,22.955,7477
1569869100000,22.95,22.96,22.91,22.93,8955
1569870000000,22.93,22.935,22.905,22.93,6301
1569870900000,22.93,22.94,22.8814,22.885,7452
1569871800000,22.885,22.94,22.88,22.935,13365
1569872700000,22.94,22.97,22.86,22.87,48017
1569936600000,22.96,23.13,22.9,23.09,4710
1569937500000,23.09,23.19,23.09,23.19,1732
1569938400000,23.22,23.233,23.0,23.035,3821
1569939300000,23.035,23.17,22.99,23.03,5262
1569940200000,23.05,23.09,23.04,23.06,1602
1569941100000,23.09,23.1,23.0,23.08,6800
1569942000000,23.06,23.145,23.06,23.12,7396
1569942900000,23.1,23.215,23.1,23.2,2816
1569943800000,23.2,23.22,23.17,23.19,3324
1569944700000,23.18,23.18,23.11,23.125,3925
1569945600000,23.11,23.11,23.06,23.1,5839
1569946500000,23.11,23.12,23.07,23.07,3803
1569947400000,23.065,23.15,23.03,23.05,6138
1569948300000,23.04,23.06,23.0,23.0,1502
1569949200000,23.01,23.01,22.97,22.985,24836
1569950100000,22.98,22.99,22.86,22.87,6048
1569951000000,22.89,22.89,22.82,22.86,4079
1569951900000,22.84,22.86,22.83,22.845,3999
1569952800000,22.82,22.83,22.79,22.82,2311
1569953700000,22.8,22.88,22.8,22.88,3599
1569954600000,22.88,22.9,22.865,22.865,2579
1569955500000,22.87,22.91,22.87,22.91,3196
1569956400000,22.9,22.96,22.9,22.91,3417
1569957300000,22.93,22.93,22.885,22.93,3629
1569958200000,22.925,22.94,22.87,22.9,4688
1569959100000,22.9,22.92,22.86,22.86,20366
1570023000000,22.79,22.86,22.65,22.77,4982
1570023900000,22.75,22.83,22.67,22.73,11958
1570024800000,22.74,22.81,22.72,22.78,5009
1570025700000,22.76,22.81,22.76,22.81,3264
1570026600000,22.78,22.78,22.66,22.701,8068
1570027500000,22.7,22.72,22.675,22.72,11495
1570028400000,22.72,22.76,22.68,22.68,3502
1570029300000,22.645,22.69,22.63,22.65,4396
1570030200000,22.66,22.66,22.5594,22.56,2546
1570031100000,22.57,22.58,22.525,22.58,5195
1570032000000,22.58,22.61,22.47,22.5,7204
1570032900000,22.49,22.5,22.4,22.49,8106
1570033800000,22.48,22.48,22.43,22.44,4704
1570034700000,22.455,22.5,22.44,22.5,2762
1570035600000,22.5,22.51,22.48,22.49,4604
1570036500000,22.49,22.51,22.47,22.51,3481
1570037400000,22.505,22.505,22.44,22.44,4406
1570038300000,22.45,22.46,22.375,22.39,3428
1570039200000,22.38,22.4,22.37,22.39,7947
1570040100000,22.4,22.485,22.4,22.47,3087
1570041000000,22.475,22.51,22.47,22.49,5323
1570041900000,22.47,22.48,22.4,22.48,38434
1570042800000,22.48,22.505,22.44,22.48,6588
1570043700000,22.46,22.48,22.45,22.465,4812
1570044600000,22.46,22.49,22.43,22.485,7434
1570045500000,22.49,22.55,22.45,22.5,45154
1570109400000,22.37,22.62,22.25,22.6,8397
1570110300000,22.6,22.62,22.52,22.55,5303
1570111200000,22.53,22.5425,22.33,22.41,10562
1570112100000,22.44,22.5,22.38,22.495,8123
1570113000000,22.5,22.55,22.45,22.48,4718
1570113900000,22.48,22.52,22.4,22.52,5906
1570114800000,22.54,22.63,22.54,22.63,3501
1570115700000,22.63,22.65,22.51,22.54,4502
1570116600000,22.52,22.52,22.415,22.415,3767
1570117500000,22.43,22.43,22.37,22.37,2114
1570118400000,22.375,22.49,22.35,22.49,4039
1570119300000,22.495,22.54,22.47,22.54,2311
1570120200000,22.55,22.55,22.51,22.53,1800
1570121100000,22.54,22.59,22.54,22.58,3505
1570122000000,22.59,22.59,22.54,22.55,3064
1570122900000,22.53,22.56,22.53,22.55,1500
1570123800000,22.55,22.55,22.5,22.53,1700
1570124700000,22.53,22.55,22.53,22.54,1700
1570125600000,22.56,22.56,22.45,22.48,7423
1570126500000,22.48,22.55,22.48,22.54,3924
1570127400000,22.55,22.6,22.55,22.56,2000
1570128300000,22.57,22.64,22.52,22.54,7183
1570129200000,22.54,22.57,22.51,22.57,3409
1570130100000,22.54,22.565,22.49,22.5,4852
1570131000000,22.51,22.53,22.48,22.49,6628
1570131900000,22.495,22.52,22.44,22.44,43033
1570195800000,22.45,22.65,22.43,22.65,4615
1570196700000,22.63,22.71,22.58,22.61,6100
1570197600000,22.62,22.63,22.5,22.56,5400
1570198500000,22.56,22.68,22.56,22.65,7242
1570199400000,22.64,22.65,22.53,22.55,6347
1570200300000,22.55,22.6,22.54,22.58,2928
1570201200000,22.57,22.62,22.56,22.605,6534
1570202100000,22.61,22.7,22.58,22.7,4332
1570203000000,22.7,22.73,22.66,22.68,3995
1570203900000,22.66,22.67,22.61,22.62,2603
1570204800000,22.63,22.695,22.62,22.68,4099
1570205700000,22.68,22.715,22.68,22.71,2300
1570206600000,22.71,22.72,22.68,22.68,1800
1570207500000,22.68,22.68,22.58,22.61,4501
1570208400000,22.61,22.63,22.58,22.63,6979
1570209300000,22.62,22.66,22.62,22.63,4284
1570210200000,22.65,22.665,22.54,22.59,42724
1570211100000,22.59,22.6,22.51,22.53,8059
1570212000000,22.55,22.6,22.49,22.6,4100
1570212900000,22.61,22.64,22.57,22.62,4089
1570213800000,22.61,22.65,22.61,22.65,4973
1570214700000,22.65,22.68,22.645,22.68,3914
1570215600000,22.67,22.71,22.66,22.71,5324
1570216500000,22.705,22.8,22.7,22.8,10854
1570217400000,22.81,22.87,22.77,22.8,9143
1570218300000,22.79,22.94,22.78,22.93,25433
1570455000000,22.92,22.95,22.86,22.875,8823
1570455900000,22.89,22.9,22.83,22.88,6490
1570456800000,22.89,22.97,22.88,22.95,10180
1570457700000,22.99,22.99,22.88,22.925,5033
1570458600000,22.91,22.91,22.86,22.89,4227
1570459500000,22.89,22.98,22.89,22.96,5202
1570460400000,22.96,22.99,22.91,22.955,7042
1570461300000,22.955,23.0073,22.92,22.97,5930
1570462200000,22.96,22.97,22.94,22.97,2800
1570463100000,22.96,23.05,22.92,22.97,9063
1570464000000,22.98,23.0,22.96,22.97,2385
1570464900000,22.99,23.0,22.96,22.97,3495
1570465800000,22.97,22.99,22.97,22.97,2195
1570466700000,22.98,22.98,22.88,22.89,4720
1570467600000,22.89,22.9,22.85,22.88,2900
1570468500000,22.88,22.88,22.84,22.84,1900
1570469400000,22.845,22.93,22.84,22.91,7338
1570470300000,22.91,22.91,22.82,22.88,5449
1570471200000,22.88,22.9,22.8,22.8,8181
1570472100000,22.8,22.96,22.8,22.9,5934
1570473000000,22.92,22.93,22.86,22.89,6254
1570473900000,22.88,22.92,22.83,22.89,6889
1570474800000,22.88,22.905,22.865,22.905,6119
1570475700000,22.905,22.91,22.77,22.79,12107
1570476600000,22.76,22.81,22.74,22.81,13463
1570477500000,22.81,22.85,22.73,22.73,31508
1570541400000,22.62,22.7,22.55,22.65,2820
1570542300000,22.68,22.68,22.59,22.59,913
1570543200000,22.63,22.63,22.55,22.59,2295
1570544100000,22.57,22.57,22.35,22.36,3008
1570545000000,22.36,22.4,22.26,22.35,10540
1570545900000,22.35,22.45,22.31,22.45,4956
1570546800000,22.41,22.46,22.35,22.35,2307
1570547700000,22.37,22.37,22.33,22.34,1308
1570548600000,22.34,22.36,22.3,22.35,7455
1570549500000,22.36,22.38,22.325,22.35,2012
1570550400000,22.28,22.28,22.19,22.2,2937
1570551300000,22.21,22.24,22.2,22.2,6541
1570552200000,22.2,22.24,22.17,22.24,10527
1570553100000,22.25,22.29,22.2,22.21,3030
1570554000000,22.2,22.2,22.15,22.15,1890
1570554900000,22.15,22.21,22.15,22.21,2289
1570555800000,22.19,22.2,22.16,22.18,2253
1570556700000,22.18,22.19,22.14,22.16,6323
1570557600000,22.17,22.195,22.14,22.14,3785
1570558500000,22.13,22.18,22.12,22.18,7537
1570559400000,22.21,22.31,22.21,22.28,4924
1570560300000,22.27,22.29,22.2,22.28,4511
1570561200000,22.31,22.31,22.2893,22.3,3091
1570562100000,22.3057,22.37,22.3,22.37,3187
1570563000000,22.35,22.38,22.3,22.3,4232
1570563900000,22.32,22.34,22.23,22.25,23742
1570627800000,22.43,22.48,22.42,22.48,2658
