datetime,open,high,low,close,volume
1591968600000,7.4,7.6144,7.4,7.6144,14846
1591969500000,7.58,7.62,7.49,7.505,13764
1591970400000,7.5153,7.58,7.51,7.5799,4019
1591971300000,7.4501,7.55,7.43,7.455,6157
1591972200000,7.43,7.47,7.4,7.43,8457
1591973100000,7.42,7.49,7.27,7.2701,11002
1591974000000,7.28,7.3151,7.25,7.25,11545
1591974900000,7.26,7.31,7.2,7.265,9131
1591975800000,7.25,7.39,7.25,7.2709,13093
1591976700000,7.29,7.35,7.27,7.35,10480
1591977600000,7.35,7.42,7.33,7.34,3508
1591978500000,7.32,7.38,7.29,7.2902,7232
1591979400000,7.295,7.31,7.29,7.3,2480
1591980300000,7.29,7.3292,7.27,7.3292,1658
1591981200000,7.32,7.32,7.26,7.26,3882
1591982100000,7.25,7.25,7.2,7.22,5394
1591983000000,7.21,7.2499,7.19,7.2,6150
1591983900000,7.2199,7.23,7.16,7.1608,4494
1591984800000,7.17,7.2199,7.15,7.189,4299
1591985700000,7.18,7.215,7.1326,7.2,10400
1591986600000,7.21,7.23,7.16,7.19,3675
1591987500000,7.195,7.24,7.17,7.24,6163
1591988400000,7.22,7.29,7.22,7.26,4547
1591989300000,7.26,7.26,7.18,7.19,5933
1591990200000,7.2,7.28,7.18,7.27,5458
1591991100000,7.29,7.36,7.28,7.33,17219
