datetime,open,high,low,close,volume
1569504600000,25.94,26.5,25.94,26.5,69106
1569505500000,26.5,26.6,26.19,26.31,51639
1569506400000,26.305,26.38,26.23,26.3,31892
1569507300000,26.3,26.31,26.15,26.17,22222
1569508200000,26.17,26.2,26.1,26.13,24970
1569509100000,26.12,26.34,26.1,26.31,46300
1569510000000,26.32,26.39,26.24,26.36,35095
1569510900000,26.37,26.42,26.24,26.26,20209
1569511800000,26.28,26.38,26.23,26.28,33332
1569512700000,26.28,26.28,26.05,26.08,92736
1569513600000,26.07,26.3,26.06,26.295,41046
1569514500000,26.295,26.385,26.26,26.385,53398
1569515400000,26.4,26.57,26.37,26.53,36520
1569516300000,26.53,26.59,26.48,26.48,18929
1569517200000,26.48,26.6,26.475,26.51,20527
1569518100000,26.51,26.575,26.465,26.51,24487
1569519000000,26.51,26.55,26.48,26.54,11958
1569519900000,26.55,26.585,26.5,26.585,26755
1569520800000,26.59,26.625,26.53,26.56,21704
1569521700000,26.56,26.62,26.55,26.56,11187
1569522600000,26.56,26.62,26.56,26.615,8263
1569523500000,26.61,26.64,26.55,26.57,18462
1569524400000,26.56,26.63,26.56,26.63,16732
1569525300000,26.62,26.71,26.61,26.675,28198
1569526200000,26.68,26.71,26.56,26.59,58328
1569527100000,26.59,26.71,26.58,26.6,181814
1569591000000,26.58,26.83,26.55,26.65,35290
1569591900000,26.65,26.7,26.35,26.58,131370
1569592800000,26.58,26.76,26.52,26.735,109781
1569593700000,26.735,26.815,26.63,26.79,30588
1569594600000,26.78,26.97,26.71,26.84,54045
1569595500000,26.825,26.85,26.66,26.685,42083
1569596400000,26.68,26.77,26.66,26.69,38223
1569597300000,26.68,26.73,26.54,26.595,10865
1569598200000,26.59,26.65,26.42,26.53,26078
1569599100000,26.5,26.66,26.49,26.585,21600
1569600000000,26.57,26.6,26.53,26.57,26784
1569600900000,26.57,26.705,26.55,26.705,13462
1569601800000,26.69,26.82,26.68,26.81,31604
1569602700000,26.8,26.84,26.72,26.75,55517
1569603600000,26.74,26.81,26.56,26.57,30240
1569604500000,26.57,26.6,26.52,26.55,13624
1569605400000,26.56,26.59,26.52,26.55,40414
1569606300000,26.54,26.55,26.48,26.5178,24323
1569607200000,26.51,26.6,26.5,26.58,21275
1569608100000,26.6,26.6932,26.59,26.67,24390
1569609000000,26.67,26.7133,26.63,26.69,48809
1569609900000,26.68,26.705,26.65,26.665,33008
1569610800000,26.67,26.68,26.5,26.5,28542
1569611700000,26.5,26.56,26.5,26.54,28603
1569612600000,26.54,26.615,26.54,26.56,41244
1569613500000,26.565,26.58,26.45,26.5,183890
1569850200000,26.64,26.83,26.58,26.63,50730
1569851100000,26.63,26.72,26.53,26.7,25246
1569852000000,26.71,26.82,26.65,26.82,39123
1569852900000,26.805,26.94,26.79,26.9,24667
1569853800000,26.94,26.97,26.8,26.8,47006
1569854700000,26.8,26.97,26.79,26.92,36560
1569855600000,26.93,26.95,26.85,26.85,29891
1569856500000,26.85,27.04,26.845,27.01,31812
1569857400000,27.02,27.08,26.91,26.92,38496
1569858300000,26.92,26.97,26.86,26.955,27141
1569859200000,26.95,27.0,26.905,26.99,20075
1569860100000,26.985,27.06,26.95,27.03,16223
1569861000000,27.03,27.04,27.0,27.04,16539
1569861900000,27.04,27.1,27.01,27.05,25917
1569862800000,27.05,27.055,26.95,26.97,17345
1569863700000,26.96,27.0,26.91,27.0,60999
1569864600000,26.99,27.055,26.98,27.04,22289
1569865500000,27.04,27.085,27.01,27.08,50517
1569866400000,27.09,27.09,27.04,27.075,45356
1569867300000,27.075,27.11,27.065,27.11,44333
1569868200000,27.11,27.16,27.08,27.095,36263
1569869100000,27.095,27.25,27.095,27.23,46997
1569870000000,27.225,27.255,27.2,27.245,33693
1569870900000,27.24,27.26,27.215,27.22,24675
1569871800000,27.22,27.23,27.17,27.22,65660
1569872700000,27.22,27.26,27.19,27.21,221369
1569936600000,27.48,27.65,27.2619,27.65,34201
1569937500000,27.605,27.84,27.535,27.65,51957
1569938400000,27.64,27.64,27.26,27.4,85204
1569939300000,27.38,27.48,27.29,27.435,79032
1569940200000,27.41,27.47,27.34,27.34,39600
1569941100000,27.34,27.45,27.28,27.28,53585
1569942000000,27.26,27.45,27.2,27.39,37485
1569942900000,27.41,27.47,27.34,27.4248,57825
1569943800000,27.43,27.58,27.41,27.565,70341
1569944700000,27.565,27.69,27.53,27.69,54598
1569945600000,27.69,27.69,27.55,27.555,45043
1569946500000,27.555,27.66,27.5,27.51,49804
1569947400000,27.52,27.54,27.44,27.49,20023
1569948300000,27.5,27.51,27.33,27.335,63311
1569949200000,27.33,27.425,27.31,27.345,32607
1569950100000,27.345,27.42,27.3368,27.35,34516
1569951000000,27.36,27.47,27.34,27.47,57225
1569951900000,27.45,27.49,27.36,27.39,41728
1569952800000,27.39,27.425,27.34,27.425,77249
1569953700000,27.425,27.53,27.4,27.52,57383
1569954600000,27.52,27.62,27.51,27.59,35366
1569955500000,27.59,27.67,27.53,27.58,50636
1569956400000,27.57,27.58,27.45,27.465,48628
1569957300000,27.465,27.48,27.4,27.43,63436
1569958200000,27.415,27.48,27.37,27.48,67833
1569959100000,27.48,27.495,27.32,27.33,243213
1570023000000,27.1,27.16,26.57,26.62,71981
1570023900000,26.67,26.73,26.39,26.59,44383
1570024800000,26.63,26.8,26.52,26.77,25920
1570025700000,26.75,26.89,26.72,26.86,15904
1570026600000,26.82,26.82,26.34,26.38,96441
1570027500000,26.39,26.48,26.27,26.48,49429
1570028400000,26.465,26.54,26.22,26.24,42323
1570029300000,26.23,26.23,26.01,26.065,66060
1570030200000,26.07,26.12,25.86,25.9,37562
1570031100000,25.89,25.95,25.78,25.83,47781
1570032000000,25.79,25.79,25.66,25.66,40442
1570032900000,25.66,25.75,25.66,25.715,32559
1570033800000,25.715,25.715,25.55,25.6,43190
1570034700000,25.59,25.64,25.58,25.6358,20927
1570035600000,25.62,25.7,25.59,25.66,23385
1570036500000,25.65,25.72,25.62,25.7,22087
1570037400000,25.67,25.69,25.62,25.69,17826
1570038300000,25.68,25.72,25.64,25.66,19646
1570039200000,25.65,25.66,25.59,25.61,25884
1570040100000,25.61,25.69,25.59,25.62,53602
1570041000000,25.63,25.69,25.59,25.655,44056
1570041900000,25.655,25.72,25.63,25.68,30690
1570042800000,25.69,25.72,25.635,25.635,26895
1570043700000,25.63,25.63,25.54,25.575,44219
1570044600000,25.575,25.67,25.57,25.62,92195
1570045500000,25.615,25.75,25.54,25.69,263858
1570109400000,25.5,25.795,25.5,25.72,51410
1570110300000,25.74,25.84,25.66,25.8,17630
1570111200000,25.78,25.78,25.15,25.2675,149159
1570112100000,25.28,25.39,25.18,25.36,42787
1570113000000,25.32,25.37,25.13,25.2,35200
1570113900000,25.23,25.295,25.05,25.25,89018
1570114800000,25.245,25.39,25.21,25.32,68844
1570115700000,25.35,25.52,25.18,25.21,92613
1570116600000,25.21,25.22,25.11,25.14,39975
1570117500000,25.14,25.16,25.05,25.07,40879
1570118400000,25.09,25.26,25.08,25.25,25853
1570119300000,25.25,25.27,25.13,25.25,24877
1570120200000,25.26,25.35,25.255,25.28,27056
1570121100000,25.28,25.45,25.28,25.44,20793
1570122000000,25.43,25.46,25.36,25.365,17595
1570122900000,25.38,25.55,25.37,25.545,18082
1570123800000,25.55,25.6,25.46,25.55,19247
1570124700000,25.57,25.61,25.545,25.59,14502
1570125600000,25.58,25.84,25.58,25.84,88490
1570126500000,25.835,25.88,25.8075,25.83,24040
1570127400000,25.84,25.85,25.78,25.83,28103
1570128300000,25.825,25.85,25.74,25.77,16964
1570129200000,25.775,25.89,25.775,25.84,35210
1570130100000,25.83,25.85,25.805,25.835,18296
1570131000000,25.84,25.91,25.8,25.9,51165
1570131900000,25.91,26.02,25.83,25.98,147891
1570195800000,26.11,26.75,26.11,26.68,72012
1570196700000,26.69,26.86,26.545,26.78,23570
1570197600000,26.78,26.88,26.67,26.7,62207
1570198500000,26.7,26.74,26.49,26.49,34403
1570199400000,26.46,26.46,26.32,26.37,32510
1570200300000,26.36,26.57,26.34,26.51,31141
1570201200000,26.49,26.52,26.39,26.39,15173
1570202100000,26.4,26.45,26.3,26.38,19418
1570203000000,26.37,26.54,26.37,26.44,17171
1570203900000,26.44,26.44,26.315,26.33,12030
1570204800000,26.335,26.43,26.335,26.35,14839
1570205700000,26.33,26.52,26.32,26.5199,18274
1570206600000,26.51,26.51,26.46,26.47,9126
1570207500000,26.47,26.485,26.44,26.47,20852
1570208400000,26.48,26.49,26.43,26.47,15589
1570209300000,26.47,26.475,26.37,26.38,14239
1570210200000,26.39,26.53,26.36,26.49,24091
