datetime,open,high,low,close,volume
1569504600000,20.8,20.96,20.8,20.96,842
1569505500000,20.95,20.95,20.89,20.89,500
1569506400000,20.92,20.92,20.89,20.89,300
1569507300000,20.88,20.88,20.88,20.88,200
1569508200000,20.87,20.88,20.87,20.88,600
1569509100000,20.87,20.88,20.81,20.81,1093
1569510000000,20.82,20.87,20.82,20.87,500
1569510900000,20.88,20.88,20.88,20.88,200
1569511800000,20.88,20.88,20.88,20.88,300
1569512700000,20.91,20.91,20.87,20.87,400
1569513600000,20.88,20.9,20.84,20.87,2459
1569514500000,20.91,20.92,20.91,20.92,300
1569515400000,20.93,20.94,20.93,20.94,300
1569516300000,20.95,20.95,20.95,20.95,300
1569517200000,20.98,20.98,20.98,20.98,200
1569518100000,20.99,20.99,20.94,20.95,800
1569519900000,20.89,20.91,20.8598,20.88,1500
1569520800000,20.89,20.89,20.89,20.89,400
1569521700000,20.87,20.87,20.87,20.87,200
1569522600000,20.89,20.89,20.86,20.86,1485
1569523500000,20.8659,20.89,20.8659,20.88,2301
1569524400000,20.88,20.89,20.86,20.89,1100
1569525300000,20.86,20.86,20.82,20.82,1454
1569526200000,20.83,20.88,20.82,20.88,1068
1569527100000,20.88,20.89,20.86,20.87,2064
1569591000000,20.85,21.18,20.8,21.17,9371
1569591900000,21.147,21.2,21.0561,21.13,4457
1569592800000,21.14,21.24,21.14,21.24,3023
1569593700000,21.22,21.37,21.2089,21.32,3973
1569594600000,21.37,21.5,21.34,21.34,11682
1569595500000,21.42,21.44,21.3601,21.44,4448
1569596400000,21.46,21.6,21.46,21.52,11187
1569597300000,21.53,21.55,21.48,21.48,4500
1569598200000,21.55,21.55,21.4572,21.55,7353
1569599100000,21.55,21.7,21.54,21.7,5941
1569600000000,21.616,21.77,21.616,21.68,4629
1569600900000,21.6316,21.75,21.45,21.75,11445
1569601800000,21.75,21.75,21.62,21.62,8243
1569602700000,21.66,21.76,21.6,21.66,29296
1569603600000,21.64,21.66,21.5625,21.59,7517
1569604500000,21.61,21.69,21.56,21.65,7500
1569605400000,21.62,21.62,21.51,21.52,2953
1569606300000,21.54,21.5596,21.47,21.47,6240
1569607200000,21.46,21.46,21.37,21.45,1450
1569608100000,21.47,21.49,21.45,21.45,1315
1569609000000,21.46,21.49,21.44,21.44,1100
1569609900000,21.42,21.42,21.25,21.25,3300
1569610800000,21.23,21.27,21.22,21.23,4700
1569611700000,21.25,21.25,21.22,21.23,3500
1569612600000,21.23,21.27,21.23,21.23,6755
1569613500000,21.25,21.26,21.16,21.25,10182
1569850200000,21.2,21.2,21.06,21.06,559
1569851100000,21.275,21.275,21.275,21.275,100
1569853800000,21.252,21.252,21.252,21.252,100
1569856500000,21.23,21.2691,21.21,21.26,779
1569857400000,21.26,21.26,21.2595,21.2595,200
1569858300000,21.2431,21.26,21.19,21.19,3800
1569859200000,21.18,21.18,21.18,21.18,100
1569860100000,21.1604,21.2,21.16,21.16,1025
1569861000000,21.18,21.231,21.18,21.231,1382
1569862800000,21.22,21.23,21.19,21.19,847
1569863700000,21.15,21.15,21.15,21.15,100
1569864600000,21.18,21.18,21.17,21.17,200
1569867300000,21.21,21.21,21.21,21.21,300
1569868200000,21.2099,21.21,21.19,21.21,1100
1569869100000,21.2178,21.24,21.2178,21.24,221
1569870000000,21.2,21.2,21.2,21.2,200
1569870900000,21.18,21.18,21.18,21.18,400
1569871800000,21.19,21.2,21.18,21.19,900
1569872700000,21.1942,21.22,21.13,21.16,13245
1569936600000,21.24,21.42,21.01,21.42,1778
1569937500000,21.3385,21.3385,21.16,21.16,778
1569938400000,21.28,21.28,21.28,21.28,100
1569943800000,21.14,21.14,21.14,21.14,200
1569945600000,21.1251,21.14,21.1251,21.14,300
1569946500000,21.08,21.2105,21.08,21.17,4816
1569947400000,21.16,21.16,21.16,21.16,100
1569950100000,21.09,21.09,21.06,21.07,700
1569951000000,21.16,21.21,21.12,21.21,4144
1569951900000,21.21,21.27,21.18,21.23,7864
1569952800000,21.16,21.22,21.16,21.21,848
1569955500000,21.24,21.25,21.21,21.21,600
1569956400000,21.25,21.25,21.1667,21.1667,381
1569957300000,21.15,21.2,21.15,21.2,900
1569958200000,21.18,21.2,21.13,21.13,1567
1569959100000,21.13,21.21,21.13,21.18,2747
1570023000000,21.13,21.13,20.94,20.94,2704
1570023900000,20.98,21.04,20.86,20.955,2096
1570024800000,20.96,21.125,20.95,21.115,2600
1570025700000,21.05,21.1,20.98,20.98,2900
1570026600000,20.935,21.015,20.93,20.99,2400
1570027500000,20.99,20.99,20.92,20.97,2356
1570028400000,20.985,21.015,20.985,21.015,800
1570029300000,21.0,21.01,21.0,21.0,500
1570030200000,21.01,21.01,20.99,20.99,1100
1570031100000,20.99,21.0,20.9662,20.97,1970
1570032000000,20.99,21.0027,20.99,20.99,1800
1570032900000,20.9701,20.98,20.96,20.98,1445
1570033800000,20.99,21.0,20.99,21.0,600
1570034700000,21.005,21.11,21.005,21.05,3038
1570035600000,21.07,21.075,20.99,21.005,5185
1570036500000,21.03,21.07,20.98,21.06,12400
1570037400000,21.06,21.06,21.005,21.005,2985
1570038300000,21.005,21.05,20.99,21.05,2940
1570039200000,21.085,21.09,21.08,21.08,700
1570040100000,21.07,21.2,21.07,21.2,1717
1570041000000,21.18,21.18,21.13,21.13,1200
1570041900000,21.17,21.2,21.15,21.2,1687
1570042800000,21.2,21.27,21.2,21.24,2192
