datetime,open,high,low,close,volume
1569504600000,32.38,32.38,32.3,32.3699,8482
1569505500000,32.3647,32.38,32.33,32.36,7646
1569506400000,32.3564,32.3564,32.33,32.35,7836
1569507300000,32.37,32.3705,32.3436,32.359,1270
1569508200000,32.3795,32.3795,32.33,32.3615,3797
1569509100000,32.36,32.4172,32.36,32.4047,6596
1569510000000,32.38,32.3994,32.3634,32.3634,1100
1569510900000,32.3559,32.3559,32.3301,32.331,3800
1569511800000,32.355,32.355,32.3351,32.3351,768
1569512700000,32.3301,32.38,32.3301,32.365,3150
1569513600000,32.3999,32.3999,32.38,32.38,466
1569514500000,32.39,32.41,32.3855,32.3981,3978
1569515400000,32.39,32.4,32.37,32.3722,1775
1569516300000,32.39,32.4,32.3701,32.379,4078
1569517200000,32.38,32.44,32.365,32.429,4599
1569518100000,32.43,32.46,32.4158,32.46,5000
1569519000000,32.4401,32.4501,32.38,32.38,8215
1569519900000,32.405,32.405,32.39,32.39,300
1569520800000,32.4098,32.42,32.4,32.415,1747
1569521700000,32.4241,32.43,32.4,32.43,6594
1569522600000,32.39,32.404,32.35,32.4,7641
1569523500000,32.3801,32.43,32.3801,32.425,3983
1569524400000,32.4206,32.44,32.4206,32.44,3448
1569525300000,32.4202,32.44,32.4202,32.44,1995
1569526200000,32.43,32.46,32.4101,32.4301,12928
1569527100000,32.45,32.45,32.3446,32.42,12082
1569591000000,32.54,32.55,32.5,32.5,11931
1569591900000,32.5101,32.525,32.5,32.51,3825
1569592800000,32.51,32.51,32.46,32.48,11670
1569593700000,32.48,32.495,32.37,32.4,17903
1569594600000,32.388,32.4413,32.388,32.4413,797
1569595500000,32.48,32.49,32.48,32.4899,1193
1569596400000,32.4839,32.5,32.48,32.48,924
1569597300000,32.434,32.434,32.37,32.41,5995
1569598200000,32.415,32.443,32.39,32.443,2483
1569599100000,32.4174,32.47,32.39,32.4462,5740
1569600000000,32.406,32.44,32.406,32.44,419
1569600900000,32.4417,32.4699,32.4,32.43,980
1569601800000,32.445,32.45,32.44,32.45,500
1569602700000,32.44,32.468,32.44,32.468,2110
1569603600000,32.46,32.4737,32.46,32.4737,830
1569604500000,32.475,32.49,32.475,32.481,1700
1569605400000,32.49,32.51,32.47,32.4833,3188
1569606300000,32.47,32.47,32.456,32.46,4525
1569607200000,32.465,32.48,32.42,32.4433,4086
1569608100000,32.42,32.4497,32.42,32.4497,882
1569609000000,32.429,32.4416,32.426,32.4416,1384
1569609900000,32.4329,32.44,32.432,32.44,1604
1569610800000,32.4191,32.4191,32.3902,32.41,2676
1569611700000,32.4182,32.4182,32.41,32.41,604
1569612600000,32.417,32.4227,32.39,32.4063,5562
1569613500000,32.41,32.4553,32.41,32.43,1264
1569850200000,32.43,32.5369,32.43,32.5369,3868
1569851100000,32.546,32.546,32.5157,32.5157,1430
1569852000000,32.4799,32.48,32.4799,32.48,1347
1569852900000,32.4801,32.52,32.4601,32.4955,4432
1569853800000,32.5155,32.55,32.5027,32.54,8790
1569854700000,32.565,32.59,32.55,32.55,5607
1569855600000,32.5782,32.5782,32.54,32.56,4557
