datetime,open,high,low,close,volume
1569504600000,17.51,17.7099,17.34,17.67,15565
1569505500000,17.69,17.7,17.55,17.56,27615
1569506400000,17.57,17.57,17.43,17.47,15206
1569507300000,17.44,17.53,17.44,17.53,8753
1569508200000,17.52,17.53,17.5,17.5,4400
1569509100000,17.54,17.56,17.49,17.5,3901
1569510000000,17.49,17.64,17.47,17.64,30962
1569510900000,17.6297,17.67,17.58,17.62,13700
1569511800000,17.63,17.73,17.63,17.73,9202
1569512700000,17.725,17.7469,17.65,17.67,5766
1569513600000,17.66,17.8,17.66,17.745,12900
1569514500000,17.73,17.74,17.63,17.74,7570
1569515400000,17.74,17.92,17.72,17.85,64027
1569516300000,17.845,17.86,17.695,17.7,12558
1569517200000,17.705,17.79,17.65,17.65,5333
1569518100000,17.64,17.65,17.565,17.565,6001
1569519000000,17.58,17.67,17.56,17.67,6186
1569519900000,17.69,17.73,17.66,17.73,6000
1569520800000,17.73,17.74,17.67,17.71,9053
1569521700000,17.715,17.7219,17.67,17.67,10087
1569522600000,17.65,17.69,17.58,17.58,17224
1569523500000,17.58,17.6042,17.53,17.58,8672
1569524400000,17.58,17.59,17.51,17.53,13487
1569525300000,17.55,17.55,17.465,17.51,16056
1569526200000,17.5,17.555,17.5,17.555,19552
1569527100000,17.55,17.65,17.545,17.63,73297
1569591000000,17.72,17.93,17.72,17.85,13839
1569591900000,17.88,18.3,17.836,18.125,213264
1569592800000,18.12,18.12,17.82,18.04,44441
1569593700000,18.03,18.18,17.97,18.17,14103
1569594600000,18.15,18.395,17.9,18.02,58576
1569595500000,18.02,18.19,17.99,18.19,18857
1569596400000,18.16,18.27,18.16,18.19,17396
1569597300000,18.215,18.265,18.13,18.19,37679
1569598200000,18.175,18.26,18.0,18.0,25088
1569599100000,17.96,18.06,17.89,17.95,28927
1569600000000,17.9532,17.9532,17.815,17.87,16110
1569600900000,17.83,18.0195,17.73,17.96,43621
1569601800000,17.97,17.97,17.64,17.65,42501
1569602700000,17.65,17.71,17.59,17.64,18290
1569603600000,17.56,17.74,17.55,17.74,11592
1569604500000,17.78,17.91,17.78,17.85,10856
1569605400000,17.84,17.85,17.75,17.8,13483
