datetime,open,high,low,close,volume
1569504600000,5.12,5.145,5.1,5.12,8956
1569505500000,5.14,5.15,5.1,5.12,18100
1569506400000,5.15,5.16,5.12,5.12,2019
1569507300000,5.12,5.16,5.1,5.1439,18757
1569508200000,5.15,5.15,5.1,5.12,12089
1569509100000,5.12,5.15,5.08,5.08,8930
1569510000000,5.08,5.11,5.04,5.06,44493
1569510900000,5.0675,5.07,5.0,5.02,39928
1569511800000,5.02,5.03,5.0,5.02,8518
1569512700000,5.025,5.03,5.01,5.02,6315
1569513600000,5.0231,5.06,5.0,5.05,25653
1569514500000,5.06,5.09,5.05,5.08,13127
1569515400000,5.06,5.095,5.06,5.07,5100
1569516300000,5.075,5.08,5.04,5.05,15717
1569517200000,5.055,5.06,5.02,5.04,37012
1569518100000,5.035,5.06,5.03,5.05,30458
1569519000000,5.06,5.08,5.05,5.07,19873
1569519900000,5.07,5.14,5.06,5.13,90188
1569520800000,5.14,5.15,5.12,5.14,12459
1569521700000,5.14,5.17,5.14,5.15,31288
1569522600000,5.155,5.175,5.15,5.16,52975
1569523500000,5.16,5.23,5.13,5.22,204785
1569524400000,5.21,5.21,5.19,5.205,51832
1569525300000,5.205,5.25,5.19,5.225,59206
1569526200000,5.225,5.24,5.21,5.225,46652
1569527100000,5.22,5.25,5.18,5.22,147963
1569591000000,5.21,5.28,5.18,5.27,15913
1569591900000,5.27,5.29,5.24,5.29,24914
1569592800000,5.27,5.272,5.23,5.27,31886
1569593700000,5.25,5.32,5.24,5.32,16024
1569594600000,5.31,5.37,5.31,5.345,14628
1569595500000,5.35,5.37,5.32,5.325,14749
1569596400000,5.33,5.35,5.32,5.335,17331
1569597300000,5.34,5.35,5.305,5.345,20179
1569598200000,5.345,5.36,5.245,5.29,32486
1569599100000,5.28,5.31,5.26,5.26,21079
1569600000000,5.26,5.28,5.24,5.27,29278
1569600900000,5.28,5.28,5.24,5.245,17691
1569601800000,5.24,5.245,5.2201,5.225,15384
1569602700000,5.225,5.24,5.215,5.225,28194
1569603600000,5.225,5.235,5.19,5.215,21323
1569604500000,5.215,5.23,5.21,5.22,22192
1569605400000,5.215,5.22,5.15,5.17,15326
1569606300000,5.16,5.2,5.15,5.195,16449
1569607200000,5.19,5.21,5.19,5.195,44392
1569608100000,5.2,5.2,5.19,5.2,17397
1569609000000,5.19,5.23,5.16,5.17,14284
1569609900000,5.175,5.175,5.13,5.14,10631
1569610800000,5.14,5.16,5.14,5.15,10019
1569611700000,5.15,5.21,5.15,5.19,28998
1569612600000,5.195,5.24,5.1905,5.215,79411
1569613500000,5.215,5.27,5.21,5.25,137970
1569850200000,5.21,5.2399,5.15,5.2,28830
1569851100000,5.19,5.25,5.16,5.22,9203
1569852000000,5.21,5.21,5.125,5.135,8489
1569852900000,5.14,5.145,5.13,5.14,1300
1569853800000,5.14,5.16,5.125,5.13,10456
1569854700000,5.1234,5.135,5.09,5.1005,4111
1569855600000,5.1,5.11,5.07,5.075,7475
1569856500000,5.075,5.09,5.065,5.09,7094
1569857400000,5.0999,5.1129,5.08,5.11,9240
1569858300000,5.1029,5.105,5.065,5.0669,6677
1569859200000,5.07,5.09,5.065,5.065,3900
1569860100000,5.07,5.11,5.06,5.11,7825
1569861000000,5.11,5.11,5.09,5.1,6099
1569861900000,5.095,5.095,5.08,5.09,2215
1569862800000,5.09,5.12,5.09,5.11,5539
1569863700000,5.12,5.12,5.0827,5.1,8574
1569864600000,5.1,5.14,5.1,5.135,9842
1569865500000,5.14,5.16,5.13,5.14,10965
1569866400000,5.13,5.17,5.11,5.17,8199
1569867300000,5.16,5.165,5.12,5.125,8909
1569868200000,5.12,5.16,5.12,5.16,7832
1569869100000,5.16,5.17,5.13,5.15,11390
1569870000000,5.15,5.16,5.12,5.13,12220
1569870900000,5.125,5.13,5.1,5.1,6240
1569871800000,5.095,5.105,5.0798,5.08,14018
1569872700000,5.075,5.09,5.03,5.05,93440
1569936600000,5.06,5.18,5.05,5.18,40178
1569937500000,5.2,5.25,5.19,5.23,13469
1569938400000,5.22,5.23,5.16,5.17,6750
1569939300000,5.16,5.2,5.13,5.15,18933
1569940200000,5.1447,5.15,5.1,5.1,7387
1569941100000,5.1,5.11,5.06,5.07,8103
1569942000000,5.07,5.11,5.06,5.09,6553
1569942900000,5.09,5.105,5.08,5.095,10882
1569943800000,5.095,5.135,5.095,5.11,10100
1569944700000,5.11,5.125,5.095,5.12,7418
1569945600000,5.11,5.135,5.105,5.12,19169
1569946500000,5.125,5.13,5.11,5.11,10894
1569947400000,5.115,5.14,5.11,5.135,5342
1569948300000,5.1335,5.1335,5.09,5.09,17765
1569949200000,5.08,5.12,5.08,5.085,27392
1569950100000,5.085,5.09,5.065,5.065,21710
1569951000000,5.06,5.065,5.025,5.025,10813
1569951900000,5.02,5.03,4.97,4.97,32908
1569952800000,4.97,4.985,4.95,4.98,22511
1569953700000,4.97,4.97,4.94,4.96,17149
1569954600000,4.96,5.01,4.955,5.0,13939
1569955500000,5.01,5.01,4.96,4.99,12526
1569956400000,4.98,4.99,4.95,4.95,19691
1569957300000,4.955,4.98,4.95,4.98,23855
1569958200000,4.98,4.98,4.95,4.965,21295
1569959100000,4.965,4.965,4.93,4.96,115164
1570023000000,4.75,5.01,4.67,4.8,1579837
1570023900000,4.8,4.8,4.58,4.7299,871202
1570024800000,4.73,4.86,4.72,4.85,358637
1570025700000,4.845,5.0,4.805,4.96,372664
1570026600000,4.97,5.17,4.965,5.12,312551
1570027500000,5.11,5.19,5.03,5.05,276454
1570028400000,5.055,5.15,5.055,5.1,304848
1570029300000,5.1,5.16,5.075,5.145,282279
1570030200000,5.145,5.16,5.07,5.09,119300
1570031100000,5.0943,5.2,5.09,5.195,125555
1570032000000,5.2,5.275,5.19,5.25,235886
1570032900000,5.25,5.36,5.25,5.285,185054
1570033800000,5.29,5.36,5.245,5.3214,257905
1570034700000,5.33,5.35,5.18,5.2,190825
1570035600000,5.19,5.23,5.18,5.23,82523
1570036500000,5.23,5.24,5.12,5.155,161846
1570037400000,5.16,5.21,5.14,5.21,82599
1570038300000,5.21,5.34,5.18,5.34,203714
1570039200000,5.33,5.36,5.265,5.295,207264
1570040100000,5.3,5.35,5.28,5.34,185556
1570041000000,5.34,5.47,5.34,5.435,267956
1570041900000,5.435,5.48,5.38,5.455,202293
1570042800000,5.45,5.46,5.38,5.42,241962
1570043700000,5.42,5.54,5.4,5.535,263284
1570044600000,5.535,5.62,5.43,5.435,342732
1570045500000,5.44,5.51,5.4301,5.48,512684
1570109400000,5.43,5.53,5.25,5.3,443674
1570110300000,5.3,5.31,5.02,5.13,376831
1570111200000,5.13,5.13,5.0,5.1,64414
1570112100000,5.09,5.15,5.02,5.11,285065
1570113000000,5.1,5.115,5.03,5.07,110554
1570113900000,5.065,5.07,4.96,5.01,146356
1570114800000,5.01,5.1,4.995,5.015,236647
1570115700000,5.02,5.05,4.99,5.025,57247
