datetime,open,high,low,close,volume
1572015600000,13.5,14.4,13.29,14.355,1848968
1572016500000,14.355,14.85,13.9,14.645,461441
1572017400000,14.645,15.36,14.56,15.06,327555
1572018300000,15.0743,15.94,14.9,15.75,318983
1572019200000,15.75,15.84,14.9,15.05,229574
1572020100000,15.052,15.45,14.99,15.37,123867
1572021000000,15.42,15.6,15.02,15.16,82947
1572021900000,15.16,15.44,15.06,15.21,25660
1572022800000,15.19,15.4454,15.17,15.25,52749
1572023700000,15.25,15.37,14.91,14.9101,90253
1572024600000,14.99,15.15,14.89,14.94,52489
1572025500000,14.97,15.0,14.52,14.8557,122722
1572026400000,14.88,15.28,14.845,15.265,72466
1572027300000,15.28,15.35,15.06,15.3383,102400
1572028200000,15.35,15.48,15.13,15.39,63443
1572029100000,15.42,15.49,15.3101,15.47,40588
1572030000000,15.47,15.7,15.32,15.54,74233
1572030900000,15.54,15.65,15.291,15.5,62204
1572031800000,15.52,15.74,15.4,15.705,130478
1572032700000,15.71,16.0,15.5,15.88,364574
1572269400000,15.9,16.88,15.8606,16.778,80857
1572270300000,16.86,17.39,16.6,17.37,94687
1572271200000,17.37,17.37,16.83,17.25,104987
1572272100000,17.22,17.27,17.12,17.19,59668
1572273000000,17.14,17.9,17.14,17.6,69877
1572273900000,17.61,17.95,17.28,17.68,31009
1572274800000,17.65,17.95,17.51,17.9223,27520
1572275700000,17.8823,17.95,17.61,17.67,48705
1572276600000,17.66,17.73,17.5,17.53,16400
1572277500000,17.51,17.71,17.1,17.71,41448
1572278400000,17.59,17.68,17.02,17.12,27420
1572279300000,17.15,17.34,17.1,17.1,2590
1572280200000,17.19,17.61,17.12,17.25,20395
1572281100000,17.392,17.71,17.35,17.55,21967
1572282000000,17.5,17.6,17.3,17.3,15580
1572282900000,17.425,17.68,17.36,17.45,12890
1572283800000,17.5,17.71,17.35,17.46,10324
1572284700000,17.492,17.7036,17.492,17.59,9600
1572285600000,17.59,17.64,17.45,17.59,7947
1572286500000,17.57,17.825,17.46,17.77,21193
1572287400000,17.88,17.9,17.65,17.69,19454
