datetime,open,high,low,close,volume
1591968600000,8.01,8.11,7.89,8.0,107592
1591969500000,8.005,8.01,7.855,7.92,48823
1591970400000,7.92,7.94,7.87,7.88,42929
1591971300000,7.875,7.9,7.8001,7.8001,28730
1591972200000,7.8,7.825,7.74,7.805,82359
1591973100000,7.8,7.82,7.695,7.695,27051
1591974000000,7.695,7.785,7.63,7.735,59567
1591974900000,7.735,7.75,7.65,7.71,44132
1591975800000,7.7,7.795,7.685,7.765,51555
1591976700000,7.765,7.86,7.75,7.855,46520
1591977600000,7.86,7.9,7.85,7.895,46080
1591978500000,7.89,7.9,7.855,7.885,51256
1591979400000,7.88,7.915,7.85,7.88,42523
1591980300000,7.87,7.9,7.84,7.895,115849
1591981200000,7.9,7.9,7.84,7.84,46795
1591982100000,7.84,7.84,7.8,7.805,109979
1591983000000,7.805,7.815,7.77,7.795,39178
1591983900000,7.79,7.79,7.725,7.73,39202
1591984800000,7.73,7.81,7.725,7.79,43595
1591985700000,7.79,7.81,7.77,7.8,38538
1591986600000,7.795,7.88,7.795,7.81,57940
1591987500000,7.805,7.88,7.805,7.88,47762
1591988400000,7.88,7.975,7.88,7.96,63009
1591989300000,7.96,7.965,7.85,7.855,75853
1591990200000,7.86,7.95,7.855,7.945,90576
1591991100000,7.95,8.04,7.94,8.03,245885
