datetime,open,high,low,close,volume
1569504600000,7.79,7.8,7.78,7.78,28426
1569505500000,7.78,7.795,7.78,7.79,7292
1569506400000,7.79,7.7986,7.78,7.7831,10970
1569507300000,7.78,7.7814,7.78,7.7814,660
1569508200000,7.79,7.81,7.79,7.795,32380
1569509100000,7.7976,7.8007,7.79,7.79,6597
1569510000000,7.79,7.8,7.78,7.78,16886
1569510900000,7.78,7.78,7.77,7.77,6865
1569511800000,7.77,7.7788,7.76,7.76,9556
1569512700000,7.78,7.78,7.74,7.74,14320
1569513600000,7.745,7.7452,7.74,7.74,4873
1569514500000,7.74,7.7599,7.74,7.7599,2849
1569515400000,7.75,7.76,7.75,7.75,10665
1569516300000,7.7599,7.7599,7.75,7.75,2959
1569517200000,7.7525,7.757,7.74,7.7554,1756
1569518100000,7.74,7.7544,7.74,7.75,2882
1569519000000,7.755,7.76,7.7478,7.7561,2133
1569519900000,7.7501,7.7507,7.74,7.74,4095
1569520800000,7.74,7.751,7.74,7.74,3700
1569521700000,7.75,7.7593,7.74,7.7546,10317
1569522600000,7.74,7.75,7.74,7.74,1657
1569523500000,7.74,7.76,7.74,7.745,9811
1569524400000,7.745,7.7499,7.74,7.74,11239
1569525300000,7.74,7.75,7.74,7.745,5761
1569526200000,7.745,7.75,7.74,7.74,17662
1569527100000,7.745,7.7472,7.74,7.74,14209
1569591000000,7.74,7.7572,7.7301,7.7301,15678
1569591900000,7.7411,7.757,7.7341,7.7341,4424
1569592800000,7.7401,7.7401,7.73,7.7385,1568
1569593700000,7.737,7.737,7.737,7.737,4000
1569594600000,7.7373,7.7373,7.7348,7.7348,1654
1569595500000,7.7357,7.74,7.73,7.73,12302
1569596400000,7.735,7.735,7.725,7.73,6791
1569597300000,7.7299,7.74,7.7299,7.74,11581
1569598200000,7.74,7.74,7.73,7.74,13434
1569599100000,7.74,7.74,7.73,7.74,5917
1569600000000,7.74,7.74,7.7342,7.74,10100
1569600900000,7.74,7.74,7.7329,7.74,4889
1569601800000,7.7301,7.74,7.73,7.74,9977
1569602700000,7.735,7.74,7.72,7.72,24717
1569603600000,7.729,7.73,7.72,7.73,11654
1569604500000,7.73,7.73,7.72,7.72,400
1569605400000,7.72,7.73,7.72,7.7262,500
1569606300000,7.72,7.73,7.72,7.73,21908
1569607200000,7.725,7.73,7.71,7.7198,51393
1569608100000,7.7291,7.73,7.72,7.729,6201
1569609000000,7.725,7.73,7.71,7.7132,27884
1569609900000,7.7161,7.7161,7.71,7.71,9496
1569610800000,7.705,7.7058,7.7,7.702,5700
1569611700000,7.705,7.73,7.705,7.7237,14815
1569612600000,7.7145,7.7268,7.7145,7.7215,12472
1569613500000,7.72,7.73,7.72,7.73,4458
1569850200000,7.72,7.7332,7.72,7.7332,15855
1569851100000,7.7242,7.73,7.72,7.7252,2050
1569852000000,7.7282,7.73,7.71,7.71,13915
1569852900000,7.7151,7.7151,7.7,7.7,6646
1569853800000,7.7,7.71,7.6945,7.7044,23515
1569854700000,7.71,7.71,7.7,7.707,15188
1569855600000,7.7079,7.7079,7.695,7.7027,8350
1569856500000,7.7055,7.72,7.7018,7.72,5050
1569857400000,7.7,7.73,7.7,7.72,27438
1569858300000,7.7071,7.72,7.7071,7.71,11061
1569859200000,7.7137,7.72,7.7136,7.715,5990
1569860100000,7.715,7.7154,7.71,7.715,2100
1569861000000,7.715,7.72,7.7123,7.715,3338
1569861900000,7.7135,7.72,7.71,7.72,6470
1569862800000,7.7122,7.72,7.71,7.72,4650
1569863700000,7.715,7.72,7.71,7.71,2500
1569864600000,7.7174,7.7174,7.71,7.71,1700
1569865500000,7.715,7.72,7.7116,7.7195,5025
1569866400000,7.714,7.72,7.71,7.7168,15921
1569867300000,7.7199,7.75,7.7165,7.7499,19976
1569868200000,7.7456,7.75,7.7456,7.7481,3900
1569869100000,7.75,7.75,7.735,7.735,7993
1569870000000,7.7301,7.7369,7.72,7.72,12705
1569870900000,7.715,7.73,7.7132,7.725,15468
1569871800000,7.7263,7.7273,7.7205,7.725,6462
1569872700000,7.738,7.74,7.72,7.74,6514
1569936600000,7.74,7.7497,7.71,7.71,29500
1569937500000,7.7167,7.719,7.68,7.6979,32255
1569938400000,7.6921,7.74,7.6921,7.73,16117
1569939300000,7.7122,7.75,7.7122,7.7407,22101
1569940200000,7.7423,7.7516,7.74,7.75,7290
1569941100000,7.74,7.75,7.74,7.75,11702
1569942000000,7.74,7.7527,7.74,7.7527,19441
1569942900000,7.755,7.76,7.75,7.755,8106
1569943800000,7.753,7.755,7.75,7.755,1966
1569944700000,7.7518,7.755,7.745,7.745,14882
1569945600000,7.74,7.74,7.73,7.7338,1832
1569946500000,7.7368,7.7397,7.73,7.73,699
1569947400000,7.73,7.7399,7.73,7.73,11704
1569948300000,7.72,7.73,7.72,7.73,2050
1569949200000,7.7299,7.73,7.7261,7.7261,952
1569950100000,7.725,7.725,7.72,7.72,300
1569951000000,7.72,7.7288,7.72,7.7235,1907
1569951900000,7.7251,7.74,7.72,7.735,5830
1569952800000,7.7348,7.735,7.73,7.7337,2995
1569953700000,7.7369,7.74,7.73,7.7324,3381
1569954600000,7.735,7.7399,7.73,7.7391,4830
1569955500000,7.735,7.7392,7.73,7.735,4692
1569956400000,7.73,7.74,7.73,7.7319,6737
1569957300000,7.7332,7.735,7.73,7.7338,5980
1569958200000,7.735,7.7394,7.73,7.7394,4645
1569959100000,7.735,7.75,7.735,7.75,11278
1570023000000,7.74,7.759,7.74,7.744,40307
1570023900000,7.7495,7.75,7.72,7.74,12792
1570024800000,7.74,7.78,7.74,7.76,50820
1570025700000,7.77,7.775,7.75,7.755,48974
1570026600000,7.75,7.755,7.74,7.7417,10848
1570027500000,7.745,7.745,7.73,7.7338,25629
1570028400000,7.73,7.735,7.7201,7.725,22859
1570029300000,7.73,7.73,7.7249,7.725,12064
1570030200000,7.725,7.725,7.7,7.7,39396
1570031100000,7.7027,7.71,7.7,7.7076,17447
1570032000000,7.705,7.71,7.7,7.7,8165
1570032900000,7.71,7.72,7.705,7.715,8597
1570033800000,7.72,7.7379,7.7187,7.735,13697
1570034700000,7.725,7.7356,7.6987,7.6987,61227
1570035600000,7.7095,7.72,7.7095,7.72,6851
1570036500000,7.7262,7.73,7.7236,7.73,4616
1570037400000,7.74,7.74,7.7,7.7143,24101
1570038300000,7.707,7.715,7.7,7.715,4501
1570039200000,7.7174,7.7199,7.71,7.7176,12355
1570040100000,7.72,7.73,7.715,7.7299,7041
1570041000000,7.7249,7.725,7.71,7.7153,19495
1570041900000,7.72,7.7264,7.72,7.7218,10300
1570042800000,7.7265,7.7283,7.7204,7.7245,4175
1570043700000,7.725,7.73,7.72,7.725,9398
1570044600000,7.7266,7.7299,7.7206,7.7206,3933
1570045500000,7.725,7.727,7.7,7.705,37770
1570109400000,7.71,7.73,7.71,7.7104,15224
1570110300000,7.73,7.73,7.71,7.71,13041
1570111200000,7.71,7.7255,7.66,7.669,61998
1570112100000,7.68,7.7,7.6601,7.7,23747
1570113000000,7.71,7.71,7.695,7.695,9491
1570113900000,7.695,7.695,7.67,7.68,11755
1570114800000,7.68,7.6856,7.67,7.6856,12715
1570115700000,7.6826,7.69,7.68,7.68,4541
1570116600000,7.68,7.68,7.63,7.6487,56098
1570117500000,7.65,7.6644,7.65,7.6554,15383
1570118400000,7.6554,7.67,7.65,7.67,14453
1570119300000,7.66,7.66,7.65,7.65,1448
1570120200000,7.6554,7.6699,7.65,7.66,37954
1570121100000,7.6561,7.68,7.6561,7.67,33461
1570122000000,7.6757,7.68,7.67,7.6774,36244
1570122900000,7.68,7.7,7.6799,7.68,15703
1570123800000,7.685,7.69,7.68,7.68,5930
1570124700000,7.68,7.69,7.68,7.69,16816
1570125600000,7.685,7.69,7.68,7.69,5211
1570126500000,7.68,7.685,7.68,7.68,5822
1570127400000,7.6854,7.695,7.68,7.69,13300
1570128300000,7.69,7.6939,7.69,7.69,4206
1570129200000,7.6975,7.6975,7.68,7.685,6100
1570130100000,7.6878,7.69,7.68,7.6836,16538
1570131000000,7.6843,7.7,7.6843,7.7,17930
1570131900000,7.69,7.7,7.69,7.7,20367
1570195800000,7.72,7.74,7.72,7.7201,18560
1570196700000,7.72,7.75,7.72,7.75,16779
1570197600000,7.755,7.7677,7.745,7.7677,45458
1570198500000,7.77,7.77,7.75,7.7529,11462
1570199400000,7.7539,7.7591,7.74,7.7442,9570
1570200300000,7.7478,7.75,7.74,7.7487,12459
1570201200000,7.75,7.75,7.74,7.75,617
1570202100000,7.745,7.75,7.74,7.7499,4587
1570203000000,7.75,7.75,7.74,7.74,12698
1570203900000,7.74,7.745,7.74,7.7414,5180
1570204800000,7.745,7.75,7.74,7.7412,11437
1570205700000,7.7409,7.7464,7.74,7.74,5764
1570206600000,7.745,7.7482,7.745,7.745,968
1570207500000,7.7496,7.75,7.7301,7.7374,15295
1570208400000,7.7364,7.7364,7.735,7.735,216
1570209300000,7.73,7.74,7.73,7.74,1940
1570210200000,7.75,7.75,7.74,7.7461,5735
1570211100000,7.745,7.745,7.745,7.745,400
1570212000000,7.745,7.7481,7.745,7.745,1220
1570212900000,7.75,7.75,7.74,7.7401,11034
1570213800000,7.745,7.745,7.71,7.74,37828
1570214700000,7.7449,7.75,7.74,7.7447,17867
1570215600000,7.75,7.75,7.7331,7.735,6723
1570216500000,7.7308,7.76,7.73,7.7519,43373
1570217400000,7.755,7.7612,7.75,7.7612,18754
1570218300000,7.765,7.7899,7.765,7.77,28648
1570455000000,7.75,7.77,7.75,7.7644,13642
1570455900000,7.77,7.77,7.76,7.77,22997
1570456800000,7.777,7.78,7.775,7.775,950
1570457700000,7.7733,7.78,7.7701,7.7701,3015
1570458600000,7.77,7.78,7.77,7.7762,16532
1570459500000,7.78,7.79,7.7781,7.7842,52279
1570460400000,7.7847,7.79,7.784,7.784,5000
1570461300000,7.79,7.79,7.78,7.7823,2182
