datetime,open,high,low,close,volume
1569504600000,11.12,11.2367,11.11,11.23,25354
1569505500000,11.235,11.235,11.17,11.205,14500
1569506400000,11.205,11.315,11.2,11.275,22275
1569507300000,11.27,11.31,11.255,11.31,11251
1569508200000,11.3,11.31,11.26,11.3,15313
1569509100000,11.305,11.38,11.3,11.36,14393
1569510000000,11.37,11.395,11.33,11.395,14313
1569510900000,11.395,11.405,11.3,11.36,17145
1569511800000,11.37,11.405,11.345,11.35,17140
1569512700000,11.355,11.36,11.34,11.35,9291
1569513600000,11.35,11.365,11.32,11.34,14475
1569514500000,11.35,11.37,11.34,11.36,11072
1569515400000,11.365,11.37,11.33,11.34,9160
1569516300000,11.34,11.34,11.3,11.31,10869
1569517200000,11.32,11.36,11.3,11.325,11017
1569518100000,11.325,11.33,11.31,11.315,7423
1569519000000,11.32,11.35,11.31,11.35,10224
1569519900000,11.34,11.35,11.335,11.34,8200
1569520800000,11.35,11.405,11.34,11.4,28689
1569521700000,11.395,11.43,11.39,11.4,18522
1569522600000,11.4,11.43,11.4,11.405,11715
1569523500000,11.405,11.42,11.385,11.385,9234
1569524400000,11.385,11.41,11.36,11.385,19682
1569525300000,11.385,11.41,11.32,11.33,25153
1569526200000,11.33,11.35,11.32,11.335,22402
1569527100000,11.33,11.345,11.29,11.31,59457
1569591000000,11.31,11.45,11.2,11.44,19267
1569591900000,11.44,11.44,11.24,11.255,16812
1569592800000,11.25,11.25,11.15,11.1579,10370
1569593700000,11.17,11.18,11.08,11.115,15305
1569594600000,11.12,11.25,11.115,11.21,10137
1569595500000,11.21,11.23,11.18,11.23,3200
1569596400000,11.23,11.24,11.19,11.2,7300
1569597300000,11.2,11.2378,11.19,11.235,8725
1569598200000,11.235,11.235,11.06,11.12,11262
1569599100000,11.12,11.19,11.11,11.165,6800
1569600000000,11.16,11.19,11.155,11.19,4568
1569600900000,11.19,11.2,11.12,11.145,6100
1569601800000,11.14,11.16,11.13,11.14,3955
1569602700000,11.14,11.14,11.06,11.06,5674
1569603600000,11.05,11.115,11.05,11.09,5806
1569604500000,11.09,11.095,11.07,11.07,3000
1569605400000,11.07,11.085,11.07,11.07,5851
1569606300000,11.06,11.06,11.04,11.05,2700
1569607200000,11.055,11.06,11.02,11.02,7825
1569608100000,11.01,11.02,10.99,11.0,7992
1569609000000,11.0,11.0,10.98,10.9828,6363
1569609900000,10.99,10.9933,10.95,10.95,6940
1569610800000,10.95,10.96,10.935,10.94,5149
1569611700000,10.945,10.96,10.935,10.94,12688
1569612600000,10.94,10.96,10.93,10.95,14350
1569613500000,10.945,10.96,10.93,10.96,34644
1569850200000,10.97,11.0,10.94,10.95,9226
1569851100000,10.94,10.95,10.87,10.91,12523
1569852000000,10.92,10.93,10.8748,10.88,6242
1569852900000,10.91,10.93,10.9,10.91,4300
1569853800000,10.91,10.92,10.84,10.855,7242
1569854700000,10.86,10.91,10.84,10.905,6266
1569855600000,10.9,10.9003,10.8,10.83,24486
1569856500000,10.82,10.83,10.79,10.83,5564
1569857400000,10.83,10.83,10.805,10.81,7871
1569858300000,10.81,10.81,10.76,10.775,9179
1569859200000,10.78,10.805,10.765,10.79,10040
1569860100000,10.79,10.83,10.79,10.83,7100
1569861000000,10.83,10.83,10.81,10.82,5795
1569861900000,10.82,10.845,10.82,10.835,9027
1569862800000,10.837,10.86,10.837,10.84,6968
1569863700000,10.84,10.84,10.83,10.83,2468
1569864600000,10.83,10.83,10.805,10.82,2825
1569865500000,10.825,10.84,10.82,10.835,5788
1569866400000,10.84,10.86,10.83,10.845,3860
1569867300000,10.845,10.85,10.83,10.83,6030
1569868200000,10.84,10.85,10.84,10.85,2892
1569869100000,10.85,10.86,10.84,10.85,3618
1569870000000,10.855,10.88,10.845,10.88,5073
1569870900000,10.89,10.94,10.89,10.92,11215
1569871800000,10.92,10.955,10.92,10.93,15448
1569872700000,10.93,10.94,10.86,10.87,58393
1569936600000,10.92,11.12,10.89,11.12,15338
1569937500000,11.12,11.14,11.04,11.04,7537
1569938400000,11.04,11.04,10.93,10.93,3483
1569939300000,10.94,11.0,10.94,11.0,7128
1569940200000,11.02,11.02,10.94,10.96,9152
1569941100000,10.94,10.96,10.92,10.93,4900
1569942000000,10.92,10.95,10.92,10.945,4280
1569942900000,10.94,10.99,10.935,10.98,5320
1569943800000,10.98,10.99,10.94,10.95,6088
1569944700000,10.9552,10.9552,10.9,10.93,9800
1569945600000,10.93,10.93,10.86,10.86,5300
1569946500000,10.85,10.92,10.85,10.88,9345
1569947400000,10.88,10.885,10.865,10.87,2728
1569948300000,10.875,10.875,10.82,10.82,5123
1569949200000,10.825,10.825,10.79,10.8,9300
1569950100000,10.8,10.8,10.76,10.78,11876
1569951000000,10.78,10.78,10.685,10.7,42155
1569951900000,10.705,10.705,10.68,10.69,6179
1569952800000,10.695,10.71,10.66,10.71,8775
1569953700000,10.71,10.725,10.71,10.72,3905
