datetime,open,high,low,close,volume
1569504600000,0.3324,0.336,0.3302,0.3302,11290
1569505500000,0.3302,0.3302,0.32,0.33,67677
1569506400000,0.3251,0.327621,0.32,0.32,23930
1569507300000,0.3332,0.3332,0.322,0.3332,12858
1569508200000,0.3332,0.3332,0.32,0.32,18566
1569509100000,0.32,0.325,0.32,0.325,700
1569510000000,0.329,0.329,0.32,0.32,640
1569510900000,0.3302,0.3302,0.3289,0.3289,20959
1569511800000,0.32492,0.32492,0.3248,0.3248,301
1569512700000,0.3255,0.3255,0.3202,0.3239,7400
1569513600000,0.32449,0.324504,0.324,0.324,8238
1569514500000,0.3247,0.3248,0.3245,0.3245,1623
1569515400000,0.32478,0.3248,0.3247,0.3247,608
1569516300000,0.3245,0.326195,0.3245,0.326195,5649
1569517200000,0.3286,0.3286,0.3286,0.3286,100
1569518100000,0.329887,0.329887,0.329887,0.329887,200
1569519000000,0.329,0.32925,0.329,0.3291,18100
1569519900000,0.3295,0.3305,0.32728,0.3305,5095
1569520800000,0.33,0.3335,0.325,0.3335,15800
1569521700000,0.333256,0.333256,0.333256,0.333256,200
1569522600000,0.3305,0.333055,0.325,0.327898,100471
1569523500000,0.3304,0.3312,0.3202,0.330379,20900
1569524400000,0.33,0.33,0.33,0.33,4050
1569526200000,0.328806,0.33,0.328806,0.329115,13216
1569527100000,0.325,0.3296,0.3222,0.3296,8450
1569591000000,0.335,0.33501,0.3305,0.33501,4080
1569592800000,0.3354,0.3355,0.3354,0.3355,879
1569593700000,0.3354,0.3375,0.3354,0.3374,11600
1569595500000,0.3374,0.3374,0.3374,0.3374,200
1569598200000,0.3374,0.3374,0.3374,0.3374,400
1569599100000,0.3374,0.3374,0.335,0.335,7400
1569600900000,0.335,0.3362,0.322,0.322,8920
1569601800000,0.322,0.322,0.3219,0.321955,3200
1569602700000,0.322,0.322,0.322,0.322,7000
1569603600000,0.322,0.32495,0.321,0.321,22648
1569604500000,0.3202,0.3202,0.3202,0.3202,100
1569605400000,0.3219,0.322,0.3202,0.3205,39849
1569606300000,0.3218,0.3218,0.3203,0.3203,2100
1569607200000,0.321454,0.321454,0.321454,0.321454,4000
1569608100000,0.3209,0.3219,0.3209,0.3219,760
1569609000000,0.3214,0.3218,0.3214,0.3218,5000
1569609900000,0.322,0.322,0.3204,0.3204,11835
1569610800000,0.322,0.322,0.3205,0.3205,1700
1569611700000,0.3205,0.322,0.3205,0.321993,10600
1569612600000,0.322,0.322,0.322,0.322,10000
1569613500000,0.322,0.322,0.3205,0.322,1720
1569850200000,0.3202,0.33,0.32,0.3202,18511
1569851100000,0.3299,0.3299,0.3299,0.3299,5000
1569852000000,0.3283,0.3283,0.3283,0.3283,200
1569852900000,0.33,0.33,0.3299,0.33,978
1569853800000,0.324177,0.33,0.324177,0.33,2200
1569854700000,0.32081,0.32081,0.32081,0.32081,305
1569855600000,0.3279,0.3279,0.3208,0.3208,2354
1569856500000,0.3202,0.3205,0.3199,0.3204,56644
1569857400000,0.32,0.3205,0.32,0.3205,8200
1569858300000,0.3205,0.3205,0.3205,0.3205,3750
1569859200000,0.3205,0.3205,0.3205,0.3205,100
1569861000000,0.3205,0.3205,0.3205,0.3205,1000
1569861900000,0.3204,0.3205,0.3201,0.3201,15180
1569862800000,0.32,0.3205,0.32,0.32,6300
1569863700000,0.3203,0.3203,0.32,0.32,1625
1569865500000,0.3201,0.3201,0.3201,0.3201,100
1569866400000,0.32,0.32,0.32,0.32,378
1569868200000,0.3205,0.320803,0.3205,0.320803,10900
1569869100000,0.3204,0.320484,0.3203,0.3203,1000
1569870000000,0.3202,0.3202,0.32,0.32,920
1569870900000,0.32,0.3203,0.32,0.32,5920
1569871800000,0.3203,0.3203,0.3201,0.3201,3750
1569872700000,0.3202,0.3203,0.3202,0.3203,4000
1569936600000,0.3202,0.3202,0.32,0.32,21736
1569937500000,0.3202,0.328,0.3202,0.32021,3130
1569938400000,0.328,0.328,0.3204,0.3204,300
1569939300000,0.3202,0.3202,0.3202,0.3202,410
1569940200000,0.3274,0.36,0.3203,0.3469,377006
1569941100000,0.338,0.3422,0.31,0.32001,111677
1569942000000,0.3199,0.3289,0.31,0.315,37072
1569942900000,0.3167,0.330567,0.3167,0.33,15436
1569943800000,0.33,0.33,0.3185,0.3185,20163
1569944700000,0.318179,0.329884,0.318179,0.322401,20056
1569945600000,0.3279,0.328,0.3171,0.328,1500
1569946500000,0.3298,0.3298,0.32959,0.32959,4500
1569947400000,0.32,0.32237,0.3188,0.3189,3382
1569948300000,0.3189,0.3199,0.315,0.3175,12853
1569949200000,0.3181,0.318238,0.3155,0.3163,9385
1569950100000,0.3151,0.316471,0.3121,0.3142,9208
1569951000000,0.3145,0.319808,0.3145,0.316273,5600
1569951900000,0.3199,0.3199,0.3163,0.31805,980
1569952800000,0.323399,0.323399,0.316,0.316,1209
1569953700000,0.3209,0.3209,0.317778,0.3208,5475
1569954600000,0.3208,0.3232,0.3208,0.3232,1350
1569955500000,0.324,0.324,0.324,0.324,295
1569956400000,0.3204,0.3204,0.3203,0.3203,1000
1569957300000,0.3204,0.3249,0.3204,0.3249,1100
1569958200000,0.3248,0.327881,0.321,0.327881,43300
1569959100000,0.327,0.3279,0.321,0.3237,8000
1570023000000,0.34,0.3465,0.312,0.3389,9482
1570023900000,0.335,0.3389,0.318,0.33,9256
1570024800000,0.332,0.332,0.3181,0.3241,10560
1570025700000,0.327,0.33,0.327,0.329,22733
1570026600000,0.316,0.3309,0.316,0.3309,480
1570027500000,0.3176,0.326199,0.3176,0.326199,2600
1570029300000,0.317,0.324235,0.3161,0.324235,2474
1570030200000,0.3309,0.3309,0.3246,0.324664,4250
1570031100000,0.331,0.331,0.331,0.331,137
1570032900000,0.3296,0.331,0.3296,0.331,1802
1570033800000,0.329101,0.329101,0.329101,0.329101,1000
1570034700000,0.331,0.3333,0.3248,0.328993,19481
1570035600000,0.332375,0.332695,0.3292,0.332363,8299
1570037400000,0.332583,0.332583,0.3309,0.3309,2800
1570039200000,0.3291,0.3291,0.3291,0.3291,100
1570040100000,0.330452,0.330452,0.3291,0.3291,7900
1570041000000,0.3291,0.3291,0.32,0.32,2000
1570041900000,0.329712,0.329712,0.329712,0.329712,285
1570042800000,0.324,0.3261,0.32,0.3261,10100
1570043700000,0.32,0.32,0.32,0.32,10000
1570044600000,0.32,0.32,0.32,0.32,100
1570045500000,0.332773,0.3331,0.332773,0.3331,713
1570109400000,0.34,0.34,0.32,0.329723,8906
1570110300000,0.3313,0.3313,0.32695,0.32695,1620
1570111200000,0.321,0.321,0.321,0.321,100
1570112100000,0.33,0.33,0.32,0.32,14225
1570113000000,0.332578,0.3375,0.3216,0.3216,9242
