datetime,open,high,low,close,volume
1591198200000,25.0,26.0,24.0,25.4999,1616627
1591199100000,25.5,25.5,24.5,25.0,327038
1591200000000,24.95,25.0,24.3,24.4399,208799
1591200900000,24.41,24.8,24.33,24.52,93612
1591201800000,24.52,24.65,24.12,24.12,95010
1591202700000,24.2,24.49,23.82,24.01,185274
1591203600000,24.02,24.47,23.9,24.04,93286
1591204500000,24.04,24.3,23.92,24.23,77862
1591205400000,24.23,24.3598,23.55,23.55,62815
1591206300000,23.5501,23.735,23.5,23.55,85654
1591207200000,23.55,23.68,23.11,23.27,51236
1591208100000,23.28,23.535,23.0,23.0,72845
1591209000000,23.0,23.67,22.96,23.305,109435
1591209900000,23.3,23.32,23.07,23.07,64805
1591210800000,23.075,23.08,22.34,22.44,138298
1591211700000,22.6,23.26,22.18,22.345,182810
1591212600000,22.33,22.8,21.05,21.05,306352
1591213500000,21.15,22.37,21.12,21.21,253173
1591277400000,22.5,24.168,22.11,23.91,110534
1591278300000,24.105,24.41,23.5321,23.75,32283
1591279200000,23.725,24.36,23.58,24.03,45442
1591280100000,24.03,24.25,24.0,24.05,28519
1591281000000,24.04,24.23,23.78,23.98,14187
1591281900000,23.9799,24.0,23.67,23.67,10463
1591282800000,23.68,23.7489,23.2,23.2,15844
1591283700000,23.275,23.3899,22.95,23.01,13023
1591284600000,23.02,23.21,22.0,22.3,33442
1591285500000,22.21,23.2,22.07,22.79,39296
1591286400000,22.54,23.52,22.53,23.15,40657
1591287300000,23.02,23.17,22.73,23.0,42090
1591288200000,23.1301,23.25,22.98,22.9999,27620
1591289100000,22.9412,23.099,22.9,23.04,10130
1591290000000,23.06,23.2,23.0,23.05,8505
1591290900000,23.0,23.1,22.96,23.0,4022
1591291800000,22.98,23.66,22.96,23.09,34554
1591292700000,23.13,23.47,23.13,23.35,3176
1591293600000,23.25,23.29,23.17,23.17,450
1591294500000,23.3346,23.45,23.14,23.15,4476
1591295400000,23.08,23.2563,22.903,23.2563,36940
1591296300000,23.44,23.95,23.0,23.95,37084
1591297200000,23.94,24.05,23.15,23.26,44022
1591298100000,23.36,23.5,23.19,23.2,8220
1591299000000,23.2,23.2,22.935,23.065,20665
1591299900000,23.02,23.4,22.84,23.37,23808
1591363800000,24.2,24.25,23.6034,23.6034,13150
1591364700000,23.59,23.75,23.5001,23.625,7732
1591365600000,23.615,23.615,23.3,23.425,6128
1591366500000,23.4,23.4535,23.05,23.05,12135
1591367400000,23.02,23.34,23.0,23.1,24157
1591368300000,23.09,23.09,22.855,22.9455,14584
1591369200000,22.92,23.4999,22.92,23.155,76745
1591370100000,23.14,23.5,23.075,23.21,25807
1591371000000,23.21,23.45,23.0706,23.09,27638
1591371900000,23.07,23.2,22.5,22.5,42597
1591372800000,22.5,22.79,22.35,22.6116,4702
1591373700000,22.31,22.6,22.2,22.2,4911
1591374600000,22.46,22.46,22.0,22.1,29346
1591375500000,22.01,22.101,22.0,22.05,12197
1591376400000,22.09,22.7,22.09,22.5,7090
1591377300000,22.38,22.94,22.38,22.51,6180
1591378200000,22.51,22.51,22.1,22.21,6764
1591379100000,22.33,22.3456,22.12,22.12,500
1591380000000,22.46,22.46,22.14,22.21,1259
1591380900000,22.21,22.95,22.16,22.16,19857
1591381800000,22.39,22.44,22.19,22.32,75491
1591382700000,22.315,22.5,22.2,22.5,11198
1591383600000,22.5,22.5095,22.24,22.34,11262
1591384500000,22.23,22.4,22.19,22.345,32987
1591385400000,22.32,22.51,22.2301,22.3575,35030
1591386300000,22.36,22.67,22.265,22.32,40716
1591623000000,22.18,22.98,22.145,22.25,16746
1591623900000,22.5,22.88,22.25,22.5899,47704
1591624800000,22.5,22.5,22.208,22.208,9035
1591625700000,22.23,22.23,22.1201,22.185,43138
1591626600000,22.23,22.4,22.13,22.26,23084
1591627500000,22.25,22.46,22.13,22.22,14450
1591628400000,22.21,22.21,22.15,22.16,10800
1591629300000,22.16,22.33,22.11,22.24,33573
1591630200000,22.435,22.44,22.23,22.23,4020
1591631100000,22.27,22.305,22.25,22.305,4600
1591632000000,22.31,22.31,22.23,22.23,1407
1591632900000,22.23,22.26,22.23,22.26,1400
1591633800000,22.2,22.22,22.16,22.22,29900
1591634700000,22.23,22.4,22.23,22.4,15333
1591635600000,22.45,22.49,22.39,22.445,6273
1591636500000,22.445,22.6926,22.39,22.63,22570
1591637400000,22.6,22.6,22.519,22.519,225
1591638300000,22.55,22.55,22.5,22.5,70500
1591639200000,22.67,22.97,22.54,22.6221,9105
1591640100000,22.79,22.84,22.52,22.63,18459
1591641000000,22.74,22.77,22.6,22.65,13187
1591641900000,22.64,22.6707,22.55,22.6707,1956
1591642800000,22.49,22.6936,22.49,22.675,2038
1591643700000,22.6,22.8534,22.6,22.71,32400
1591644600000,22.54,22.74,22.51,22.74,3339
1591645500000,22.73,23.21,22.5,23.105,32560
1591709400000,22.75,23.0,22.59,23.0,1386
1591710300000,23.0,23.2,22.84,22.84,9770
1591711200000,22.83,22.9,22.195,22.3505,12862
1591712100000,22.5,22.85,22.35,22.5,1579
1591713000000,22.305,22.305,22.11,22.18,4129
1591713900000,22.46,22.46,21.51,21.76,20420
1591714800000,21.9464,22.0518,21.85,22.0518,5184
1591715700000,21.93,22.14,21.61,21.71,16489
1591716600000,21.77,22.1,21.65,21.89,4990
1591717500000,21.87,22.0,21.8,22.0,13389
1591718400000,21.85,21.97,21.81,21.87,3858
1591719300000,21.883,21.8837,21.74,21.74,2306
1591720200000,21.9699,21.9699,21.62,21.77,4300
1591721100000,21.77,22.0,21.77,21.8764,3000
1591722000000,21.89,21.95,21.89,21.95,250
1591722900000,21.85,22.0,21.85,21.853,10534
1591723800000,21.89,22.0,21.89,22.0,14830
1591724700000,21.82,22.0,21.82,22.0,6598
1591725600000,22.0,22.0,21.905,21.905,1800
1591726500000,21.885,21.885,21.885,21.885,100
1591727400000,21.81,21.9235,21.81,21.9235,300
1591728300000,21.87,21.919,21.87,21.919,700
1591729200000,21.84,21.904,21.81,21.9,800
1591730100000,21.81,21.9362,21.81,21.9,929
1591731000000,21.945,22.45,21.91,22.45,10400
1591731900000,22.12,22.38,22.0,22.22,12215
1591795800000,22.0,22.45,22.0,22.45,7662
1591796700000,22.525,22.84,22.455,22.7,25203
1591797600000,22.94,22.94,22.5,22.843,9555
1591798500000,22.825,22.827,22.5,22.5,7292
1591799400000,22.5,22.665,22.0,22.54,7860
1591800300000,22.45,22.87,22.45,22.75,67415
1591801200000,22.48,23.55,22.45,23.1,32796
1591802100000,23.38,23.38,22.725,22.725,11173
1591803000000,22.7629,23.0,22.7629,22.9364,1433
1591803900000,22.925,23.0,22.875,22.96,18490
1591804800000,22.95,22.95,22.78,22.95,2990
1591805700000,22.95,22.95,22.76,22.825,3208
1591806600000,22.89,23.0,22.81,22.89,66011
1591807500000,22.9,23.05,22.88,22.9,32869
1591808400000,23.04,23.06,22.89,23.03,18497
1591809300000,23.06,23.13,23.045,23.07,16715
1591810200000,23.065,23.15,23.02,23.04,2600
1591811100000,23.05,23.12,22.98,23.085,58751
1591812000000,23.085,23.1,22.98,23.1,4277
1591812900000,23.1799,23.1799,22.98,23.08,560
1591813800000,22.98,23.08,22.98,23.08,25100
1591814700000,23.0,23.09,22.96,23.03,4647
1591815600000,22.97,23.4994,22.97,23.19,52315
1591816500000,23.25,23.3392,23.15,23.3,2500
1591817400000,23.3,23.3,23.15,23.18,4265
1591818300000,23.17,23.3,23.0,23.01,4055
1591882200000,22.68,22.825,22.02,22.3591,5351
1591883100000,22.36,23.1,22.36,22.66,7900
1591884000000,22.65,22.99,22.23,22.62,10867
1591884900000,22.46,23.05,22.42,23.05,13402
1591885800000,22.99,23.05,22.79,22.79,3986
1591886700000,23.05,23.19,22.92,22.92,8520
1591887600000,22.8,22.8926,22.79,22.7901,2374
1591888500000,22.865,22.865,22.865,22.865,200
1591889400000,22.87,23.25,22.87,23.08,11146
1591890300000,22.8845,22.935,22.425,22.559,12944
1591891200000,22.5051,22.99,22.4,22.99,2488
1591892100000,22.8254,22.8254,22.39,22.41,18623
1591893000000,22.41,22.57,22.35,22.35,1800
1591893900000,22.455,22.455,22.455,22.455,200
1591894800000,22.45,22.483,22.45,22.483,400
1591895700000,22.49,22.49,22.49,22.49,400
1591896600000,22.49,22.61,22.4,22.55,14616
1591897500000,22.57,22.57,22.57,22.57,100
