datetime,open,high,low,close,volume
1569504600000,37.42,38.12,37.42,37.75,12896
1569505500000,37.88,38.4,37.7955,37.95,12259
1569506400000,37.975,38.2,37.93,38.195,8469
1569507300000,38.195,38.195,37.995,38.09,7860
1569508200000,38.09,38.28,37.98,38.245,10497
1569509100000,38.24,38.39,38.16,38.16,20225
1569510000000,38.125,38.14,38.01,38.125,8058
1569510900000,38.125,38.15,38.03,38.065,6088
1569511800000,38.05,38.2,38.02,38.16,5110
1569512700000,38.16,38.27,38.12,38.205,7381
1569513600000,38.205,38.595,38.205,38.51,13482
1569514500000,38.51,38.78,38.505,38.685,19066
1569515400000,38.69,38.84,38.66,38.81,5789
1569516300000,38.81,38.96,38.78,38.87,11393
1569517200000,38.865,38.925,38.66,38.66,8873
1569518100000,38.66,38.66,38.52,38.52,6138
1569519000000,38.55,38.55,38.405,38.46,4136
1569519900000,38.46,38.46,38.17,38.24,18337
1569520800000,38.24,38.28,38.07,38.155,11331
1569521700000,38.13,38.235,38.1,38.18,12703
1569522600000,38.2,38.445,38.2,38.4,7412
1569523500000,38.405,38.43,38.21,38.21,6988
1569524400000,38.21,38.31,38.17,38.23,10994
1569525300000,38.23,38.42,38.23,38.36,12261
1569526200000,38.375,38.375,38.22,38.3,13967
1569527100000,38.295,38.32,38.2,38.22,60161
1569591000000,38.32,38.95,38.215,38.95,6354
1569591900000,38.785,38.8534,38.39,38.61,4372
1569592800000,38.495,38.5,38.175,38.19,5825
1569593700000,38.1681,38.31,38.095,38.3,5218
1569594600000,38.275,38.33,38.09,38.175,3744
1569595500000,38.12,38.2,38.025,38.025,3724
1569596400000,38.08,38.1,37.975,38.02,7581
1569597300000,38.03,38.09,37.95,38.08,3424
1569598200000,38.06,38.285,37.82,38.105,11615
1569599100000,38.11,38.34,38.055,38.23,2789
1569600000000,38.18,38.22,38.065,38.15,3372
1569600900000,38.09,38.09,37.92,37.98,2409
1569601800000,37.935,37.98,37.855,37.855,6700
1569602700000,37.85,37.85,37.71,37.725,6300
1569603600000,37.65,37.85,37.65,37.82,4256
1569604500000,37.81,37.9,37.76,37.9,3400
1569605400000,37.86,37.9,37.83,37.865,3618
1569606300000,37.785,37.94,37.77,37.94,2466
1569607200000,37.885,37.91,37.785,37.81,2903
1569608100000,37.775,37.83,37.69,37.69,2200
1569609000000,37.67,37.72,37.625,37.64,4146
1569609900000,37.64,37.66,37.55,37.56,5411
1569610800000,37.555,37.59,37.465,37.5476,6864
1569611700000,37.53,37.77,37.53,37.75,8930
1569612600000,37.75,37.795,37.56,37.63,10512
1569613500000,37.64,37.72,37.6,37.7,32022
1569850200000,37.93,38.02,37.6,37.68,10364
1569851100000,37.68,37.78,37.44,37.62,6111
1569852000000,37.55,37.62,37.37,37.62,10121
1569852900000,37.635,37.69,37.57,37.57,2720
1569853800000,37.61,37.66,37.38,37.405,2320
1569854700000,37.45,37.57,37.42,37.42,2132
1569855600000,37.39,37.39,37.26,37.34,3400
1569856500000,37.315,37.315,37.205,37.255,2677
1569857400000,37.255,37.285,37.15,37.285,3446
1569858300000,37.3,37.302,37.22,37.26,7386
1569859200000,37.23,37.41,37.23,37.37,2914
1569860100000,37.33,37.42,37.32,37.42,3606
1569861000000,37.39,37.44,37.39,37.44,841
1569861900000,37.44,37.56,37.44,37.44,7396
1569862800000,37.46,37.53,37.46,37.53,3126
1569863700000,37.495,37.495,37.36,37.365,1950
1569864600000,37.35,37.39,37.3,37.39,4644
1569865500000,37.41,37.52,37.41,37.495,2666
1569866400000,37.48,37.51,37.45,37.5,2300
1569867300000,37.51,37.51,37.43,37.43,1300
1569868200000,37.44,37.47,37.415,37.44,2951
1569869100000,37.47,37.54,37.45,37.47,3318
1569870000000,37.5,37.515,37.45,37.515,1392
1569870900000,37.52,37.58,37.5,37.56,4975
1569871800000,37.555,37.565,37.5,37.52,5954
1569872700000,37.52,37.55,37.3,37.33,28784
1569936600000,37.38,37.665,37.14,37.665,7364
1569937500000,37.67,38.09,37.6,37.75,4330
1569938400000,37.67,37.72,37.01,37.05,4600
1569939300000,37.0,37.1,36.81,36.86,6352
1569940200000,36.575,36.595,36.305,36.31,6765
1569941100000,36.28,36.3,36.09,36.13,8643
1569942000000,36.11,36.15,35.89,36.06,10576
1569942900000,36.02,36.35,36.02,36.2963,21095
1569943800000,36.3,36.35,36.1227,36.1227,7575
1569944700000,36.14,36.14,35.77,35.86,5513
1569945600000,35.86,35.89,35.73,35.735,3438
1569946500000,35.63,35.79,35.63,35.68,3983
1569947400000,35.68,35.755,35.66,35.72,2896
1569948300000,35.7,35.71,35.31,35.31,5029
1569949200000,35.33,35.38,35.24,35.24,4046
1569950100000,35.2,35.23,35.06,35.06,5137
1569951000000,35.03,35.03,34.8,34.89,10535
1569951900000,34.85,34.855,34.73,34.735,4947
1569952800000,34.71,34.83,34.67,34.81,4878
1569953700000,34.8287,34.93,34.77,34.93,3656
1569954600000,34.95,35.17,34.95,35.125,3967
1569955500000,35.13,35.18,35.09,35.135,3911
1569956400000,35.13,35.14,35.03,35.06,4331
1569957300000,35.065,35.13,35.045,35.085,3636
1569958200000,35.06,35.06,34.915,35.05,8048
1569959100000,35.05,35.11,34.94,34.99,24599
1570023000000,34.6,34.6,33.839,33.91,11692
1570023900000,34.14,34.17,33.96,34.17,5743
1570024800000,34.17,34.76,34.165,34.68,6110
1570025700000,34.75,34.9,34.68,34.765,6169
1570026600000,34.72,34.72,34.42,34.52,3293
1570027500000,34.61,34.61,34.39,34.43,5737
1570028400000,34.446,34.95,34.446,34.73,7885
1570029300000,34.72,34.88,34.49,34.49,5002
1570030200000,34.5,34.53,34.23,34.27,6757
1570031100000,34.3,34.31,34.16,34.16,3905
1570032000000,34.13,34.21,33.9513,33.97,6013
1570032900000,33.97,34.13,33.92,34.13,6238
1570033800000,34.105,34.105,33.95,33.96,4960
