datetime,open,high,low,close,volume
1591968600000,16.09,16.55,15.73,16.26,171231
1591969500000,16.235,16.29,15.84,16.12,76257
1591970400000,16.125,16.29,16.05,16.06,61494
1591971300000,16.07,16.23,16.0,16.0,23980
1591972200000,16.01,16.01,15.58,15.6847,81598
1591973100000,15.685,15.86,15.33,15.34,27037
1591974000000,15.35,15.73,15.19,15.52,50936
1591974900000,15.55,15.81,15.53,15.725,86269
1591975800000,15.73,15.96,15.68,15.84,85987
1591976700000,15.84,16.19,15.83,16.19,21726
1591977600000,16.18,16.25,16.13,16.25,52430
1591978500000,16.24,16.25,16.11,16.221,39177
1591979400000,16.22,16.225,16.0274,16.09,23158
1591980300000,16.08,16.17,15.9801,16.145,34080
1591981200000,16.15,16.15,15.985,16.055,23769
1591982100000,16.05,16.09,15.96,16.05,32545
1591983000000,16.05,16.055,15.92,16.0055,79850
1591983900000,16.0,16.02,15.73,15.815,117358
1591984800000,15.81,16.025,15.81,16.02,48036
1591985700000,16.025,16.19,16.02,16.13,48174
1591986600000,16.135,16.25,16.1,16.2401,56516
1591987500000,16.245,16.34,16.2413,16.34,45503
1591988400000,16.345,16.46,16.34,16.405,192502
1591989300000,16.405,16.41,16.24,16.37,68059
1591990200000,16.375,16.47,16.33,16.47,57939
1591991100000,16.465,16.55,16.45,16.55,188969
