datetime,open,high,low,close,volume
1569504600000,4.68,4.69,4.68,4.69,122145
1569505500000,4.695,4.695,4.69,4.69,112400
1569506400000,4.69,4.695,4.69,4.6927,1320
1569507300000,4.695,4.695,4.695,4.695,2300
1569509100000,4.6971,4.6971,4.685,4.69,18510
1569510000000,4.685,4.685,4.68,4.68,11400
1569510900000,4.685,4.685,4.68,4.68,2103
1569511800000,4.69,4.69,4.68,4.683,606868
1569512700000,4.68,4.685,4.68,4.685,20750
1569513600000,4.685,4.6853,4.685,4.6853,1000
1569514500000,4.6801,4.69,4.67,4.685,44147
1569515400000,4.6833,4.6833,4.6833,4.6833,1000
1569517200000,4.685,4.685,4.685,4.685,100
1569518100000,4.6838,4.6868,4.6801,4.6868,2270
1569519000000,4.685,4.685,4.6801,4.683,500
1569519900000,4.6811,4.685,4.68,4.685,53214
1569520800000,4.69,4.69,4.685,4.69,22004
1569521700000,4.69,4.69,4.69,4.69,600
1569522600000,4.68,4.69,4.68,4.69,5400
1569523500000,4.6876,4.69,4.6837,4.6837,3632
1569524400000,4.6836,4.69,4.68,4.69,5976
1569525300000,4.69,4.69,4.69,4.69,28400
1569526200000,4.69,4.69,4.68,4.69,19474
1569527100000,4.6827,4.7,4.68,4.69,9423
1569591000000,4.69,4.703,4.69,4.7,26240
1569591900000,4.7,4.7,4.7,4.7,4328
1569592800000,4.7,4.7,4.69,4.69,8377
1569593700000,4.6908,4.7094,4.69,4.7094,38392
1569595500000,4.705,4.71,4.7,4.71,6418
1569596400000,4.7001,4.7001,4.7,4.7,2100
1569597300000,4.7001,4.7001,4.69,4.6979,16619
1569598200000,4.6967,4.6967,4.6967,4.6967,1100
1569599100000,4.7,4.7,4.695,4.695,14686
1569600000000,4.6901,4.6901,4.6901,4.6901,2000
1569600900000,4.695,4.71,4.69,4.7,49531
1569601800000,4.7,4.701,4.6923,4.6923,12329
1569602700000,4.695,4.695,4.69,4.69,300
1569603600000,4.6932,4.705,4.69,4.7,24891
1569604500000,4.6944,4.7,4.69,4.69,2789
1569605400000,4.69,4.7,4.69,4.69,1695
1569606300000,4.69,4.7,4.69,4.69,2315
1569607200000,4.69,4.696,4.69,4.69,19197
1569608100000,4.69,4.69,4.68,4.68,12900
