datetime,open,high,low,close,volume
1569504600000,9.0,9.0,8.85,8.925,212566
1569505500000,8.93,9.015,8.91,8.93,89405
1569506400000,8.93,8.99,8.91,8.94,56007
1569507300000,8.94,8.95,8.88,8.94,56984
1569508200000,8.945,8.945,8.88,8.92,49188
1569509100000,8.92,9.0,8.91,8.95,59622
1569510000000,8.96,9.0,8.92,8.955,50273
1569510900000,8.96,8.995,8.9301,8.97,77645
1569511800000,8.97,9.03,8.93,9.03,62811
1569512700000,9.02,9.03,8.94,8.94,53221
1569513600000,8.94,8.96,8.915,8.94,67841
1569514500000,8.935,9.015,8.91,9.01,53923
1569515400000,9.01,9.07,9.0,9.03,48548
1569516300000,9.03,9.05,8.99,9.005,42476
1569517200000,9.01,9.055,8.99,9.015,47893
1569518100000,9.02,9.02,8.965,8.9705,39388
1569519000000,8.97,9.015,8.97,9.015,44346
1569519900000,9.015,9.025,8.985,9.025,39600
1569520800000,9.025,9.04,8.98,9.04,51544
1569521700000,9.035,9.075,9.0,9.005,72223
1569522600000,9.01,9.035,9.0,9.02,40653
1569523500000,9.02,9.04,8.98,8.99,67714
1569524400000,8.995,9.03,8.99,9.02,48759
1569525300000,9.01,9.015,8.95,8.96,142222
1569526200000,8.97,8.98,8.92,8.94,127246
1569527100000,8.95,8.955,8.91,8.93,186673
1569591000000,8.72,8.97,8.72,8.95,121238
1569591900000,8.95,8.96,8.85,8.88,115400
1569592800000,8.88,8.88,8.75,8.835,153558
1569593700000,8.835,8.945,8.82,8.945,78984
1569594600000,8.94,8.95,8.8,8.82,109124
1569595500000,8.82,8.825,8.77,8.81,60579
1569596400000,8.81,8.85,8.79,8.8,63730
1569597300000,8.8,8.825,8.78,8.81,52361
1569598200000,8.81,8.815,8.69,8.7,108934
1569599100000,8.69,8.77,8.68,8.74,106451
1569600000000,8.74,8.76,8.74,8.75,59427
1569600900000,8.75,8.77,8.7,8.71,106902
1569601800000,8.7,8.71,8.6,8.605,78142
1569602700000,8.61,8.61,8.515,8.5395,289759
1569603600000,8.53,8.56,8.52,8.54,99806
1569604500000,8.53,8.54,8.5,8.515,87220
1569605400000,8.515,8.57,8.515,8.54,87196
1569606300000,8.54,8.59,8.515,8.585,104859
1569607200000,8.585,8.59,8.555,8.57,86008
1569608100000,8.575,8.63,8.575,8.61,73444
1569609000000,8.6,8.63,8.57,8.61,80107
1569609900000,8.605,8.64,8.6,8.625,85829
1569610800000,8.63,8.64,8.59,8.605,114091
1569611700000,8.605,8.67,8.605,8.65,177037
1569612600000,8.65,8.67,8.61,8.625,171691
1569613500000,8.63,8.65,8.595,8.635,469391
1569850200000,8.51,8.59,8.45,8.46,195124
1569851100000,8.46,8.46,8.36,8.44,122451
1569852000000,8.43,8.5,8.405,8.48,186782
1569852900000,8.485,8.57,8.47,8.48,127212
1569853800000,8.48,8.55,8.475,8.495,90745
1569854700000,8.49,8.58,8.49,8.5,102327
1569855600000,8.5,8.5,8.45,8.485,98748
1569856500000,8.48,8.48,8.375,8.46,160092
1569857400000,8.465,8.51,8.405,8.445,126574
1569858300000,8.44,8.44,8.4,8.41,108787
1569859200000,8.405,8.45,8.4,8.4,121153
1569860100000,8.405,8.53,8.39,8.4924,148726
1569861000000,8.495,8.5,8.435,8.44,42489
1569861900000,8.44,8.46,8.42,8.46,50383
1569862800000,8.46,8.475,8.43,8.465,72340
1569863700000,8.465,8.47,8.425,8.43,70121
1569864600000,8.44,8.475,8.42,8.475,121921
1569865500000,8.475,8.51,8.45,8.455,87751
1569866400000,8.45,8.5,8.45,8.49,59636
1569867300000,8.485,8.49,8.44,8.45,62852
1569868200000,8.445,8.58,8.44,8.555,117925
1569869100000,8.55,8.59,8.54,8.54,75459
1569870000000,8.545,8.58,8.53,8.575,76007
1569870900000,8.57,8.6,8.55,8.56,178580
1569871800000,8.56,8.58,8.545,8.56,115458
1569872700000,8.56,8.58,8.52,8.54,398275
1569936600000,8.61,8.66,8.55,8.66,95608
1569937500000,8.65,8.815,8.63,8.76,122815
1569938400000,8.76,8.76,8.62,8.645,117378
1569939300000,8.65,8.7,8.58,8.61,106195
1569940200000,8.61,8.62,8.52,8.535,91881
1569941100000,8.54,8.56,8.45,8.46,64961
1569942000000,8.45,8.53,8.45,8.5,94759
1569942900000,8.505,8.55,8.48,8.505,67683
1569943800000,8.5,8.57,8.475,8.51,76052
1569944700000,8.515,8.515,8.455,8.48,68540
1569945600000,8.48,8.485,8.36,8.37,84186
1569946500000,8.375,8.41,8.36,8.37,72709
1569947400000,8.37,8.4,8.36,8.4,55219
1569948300000,8.4,8.42,8.34,8.345,68275
1569949200000,8.34,8.39,8.34,8.35,61173
1569950100000,8.35,8.355,8.3,8.305,82190
1569951000000,8.305,8.31,8.225,8.255,163557
1569951900000,8.255,8.275,8.24,8.255,60503
1569952800000,8.25,8.285,8.215,8.27,60965
1569953700000,8.275,8.335,8.255,8.335,50399
1569954600000,8.34,8.41,8.33,8.39,96751
1569955500000,8.39,8.41,8.31,8.33,69728
1569956400000,8.33,8.335,8.27,8.3156,75933
1569957300000,8.31,8.36,8.31,8.345,93493
1569958200000,8.34,8.36,8.3,8.36,111077
1569959100000,8.36,8.375,8.33,8.355,444380
1570023000000,8.34,8.36,8.09,8.21,125786
1570023900000,8.2,8.28,8.19,8.26,67759
1570024800000,8.27,8.48,8.265,8.45,158644
1570025700000,8.45,8.6,8.45,8.57,168206
1570026600000,8.565,8.565,8.4,8.455,191262
1570027500000,8.46,8.46,8.37,8.44,127790
1570028400000,8.435,8.54,8.4,8.4,101318
1570029300000,8.405,8.42,8.36,8.39,155925
1570030200000,8.39,8.4,8.295,8.3,77443
1570031100000,8.3,8.325,8.265,8.31,288193
1570032000000,8.31,8.35,8.295,8.305,74075
1570032900000,8.3,8.36,8.295,8.355,59118
1570033800000,8.36,8.36,8.325,8.35,113010
1570034700000,8.35,8.36,8.325,8.343,144308
1570035600000,8.34,8.345,8.25,8.31,179659
1570036500000,8.305,8.355,8.3,8.325,316644
1570037400000,8.32,8.33,8.24,8.28,70570
1570038300000,8.28,8.29,8.22,8.23,110651
1570039200000,8.23,8.275,8.18,8.195,109398
1570040100000,8.195,8.23,8.14,8.15,110632
1570041000000,8.15,8.18,8.11,8.145,77481
1570041900000,8.145,8.165,8.1,8.115,94299
1570042800000,8.115,8.14,8.07,8.13,123022
1570043700000,8.13,8.16,8.11,8.125,152418
1570044600000,8.12,8.19,8.11,8.14,224460
1570045500000,8.14,8.18,8.1,8.13,460009
1570109400000,7.99,8.11,7.99,8.1,108703
1570110300000,8.1,8.13,8.04,8.05,104121
1570111200000,8.05,8.05,7.89,7.94,119565
1570112100000,7.95,8.01,7.92,7.96,91009
1570113000000,7.94,7.96,7.85,7.86,294192
1570113900000,7.8599,8.0,7.85,7.98,235635
1570114800000,7.98,8.095,7.98,8.045,75492
1570115700000,8.045,8.065,7.98,7.995,58132
1570116600000,8.0,8.01,7.91,7.94,64352
1570117500000,7.95,7.96,7.92,7.94,91112
1570118400000,7.935,8.03,7.93,8.0,207214
1570119300000,8.005,8.04,7.9401,8.03,115933
1570120200000,8.03,8.06,8.02,8.02,54998
1570121100000,8.02,8.06,8.01,8.02,88272
1570122000000,8.02,8.04,7.985,8.035,70865
1570122900000,8.03,8.07,8.03,8.06,114880
1570123800000,8.06,8.09,8.04,8.075,110042
1570124700000,8.07,8.14,8.07,8.095,142923
1570125600000,8.1,8.12,8.07,8.12,102796
1570126500000,8.115,8.19,8.1,8.19,324967
1570127400000,8.19,8.27,8.18,8.26,187612
1570128300000,8.26,8.3,8.255,8.265,115999
1570129200000,8.265,8.27,8.21,8.265,147395
1570130100000,8.26,8.27,8.21,8.23,156679
1570131000000,8.225,8.23,8.21,8.23,157870
1570131900000,8.23,8.29,8.22,8.28,429942
1570195800000,8.33,8.41,8.22,8.24,118427
1570196700000,8.24,8.31,8.2,8.26,45748
1570197600000,8.25,8.32,8.175,8.21,139610
1570198500000,8.2,8.25,8.165,8.175,132083
1570199400000,8.175,8.205,8.11,8.12,127771
1570200300000,8.12,8.17,8.08,8.135,103398
1570201200000,8.14,8.195,8.13,8.17,95161
1570202100000,8.17,8.18,8.11,8.155,41230
1570203000000,8.155,8.2,8.15,8.165,57131
1570203900000,8.16,8.2,8.13,8.18,50822
1570204800000,8.19,8.2,8.17,8.17,37980
1570205700000,8.17,8.22,8.155,8.213,43294
1570206600000,8.21,8.22,8.19,8.22,27021
1570207500000,8.21,8.215,8.19,8.195,31556
1570208400000,8.2,8.25,8.18,8.245,61919
1570209300000,8.24,8.26,8.225,8.24,45509
1570210200000,8.23,8.26,8.21,8.24,63600
1570211100000,8.24,8.24,8.2,8.205,35921
1570212000000,8.21,8.25,8.21,8.24,57370
1570212900000,8.25,8.26,8.2,8.23,64070
1570213800000,8.22,8.26,8.22,8.255,71801
1570214700000,8.255,8.28,8.23,8.275,113734
1570215600000,8.28,8.285,8.2256,8.235,134836
1570216500000,8.24,8.27,8.21,8.235,127536
1570217400000,8.24,8.275,8.23,8.265,154792
1570218300000,8.26,8.31,8.23,8.285,862609
1570455000000,8.34,8.35,8.17,8.215,88005
1570455900000,8.21,8.265,8.15,8.19,178560
1570456800000,8.195,8.265,8.17,8.26,202332
1570457700000,8.265,8.38,8.26,8.36,52510
1570458600000,8.36,8.4,8.35,8.4,43421
1570459500000,8.39,8.42,8.38,8.395,47057
1570460400000,8.395,8.45,8.35,8.36,82265
1570461300000,8.355,8.38,8.34,8.34,38082
1570462200000,8.345,8.35,8.3,8.34,40574
1570463100000,8.35,8.36,8.26,8.265,52873
1570464000000,8.27,8.31,8.26,8.28,38251
1570464900000,8.28,8.31,8.275,8.305,46702
1570465800000,8.3,8.31,8.26,8.3,40057
1570466700000,8.3,8.31,8.27,8.285,30763
1570467600000,8.285,8.285,8.23,8.25,39596
1570468500000,8.245,8.27,8.23,8.24,31492
1570469400000,8.25,8.31,8.25,8.275,90770
1570470300000,8.27,8.305,8.24,8.24,46816
1570471200000,8.24,8.25,8.17,8.21,294813
1570472100000,8.22,8.245,8.2,8.21,37817
1570473000000,8.21,8.22,8.155,8.16,59692
1570473900000,8.16,8.165,8.12,8.15,72340
1570474800000,8.15,8.16,8.12,8.16,46610
1570475700000,8.16,8.16,8.1,8.105,38450
1570476600000,8.105,8.13,8.06,8.06,170531
1570477500000,8.06,8.075,8.0,8.0,598383
1570541400000,7.7,7.88,7.69,7.87,288172
1570542300000,7.87,7.94,7.845,7.87,89897
1570543200000,7.87,8.08,7.85,8.03,130485
1570544100000,8.04,8.05,7.93,7.97,125366
1570545000000,7.98,8.03,7.94,7.95,58230
