datetime,open,high,low,close,volume
1569504600000,9.16,9.278,9.15,9.21,12440
1569505500000,9.22,9.28,9.21,9.27,3090
1569506400000,9.28,9.3,9.23,9.27,1740
1569507300000,9.17,9.23,9.17,9.23,500
1569508200000,9.17,9.2,9.17,9.2,774
1569509100000,9.18,9.24,9.15,9.16,8191
1569510000000,9.16,9.19,9.15,9.19,14551
1569510900000,9.15,9.19,9.15,9.19,10095
1569511800000,9.19,9.23,9.16,9.19,9822
1569512700000,9.1695,9.2,9.16,9.16,2045
1569513600000,9.16,9.165,9.16,9.16,575
1569515400000,9.165,9.165,9.165,9.165,100
1569516300000,9.18,9.19,9.16,9.16,3300
1569517200000,9.16,9.1872,9.15,9.15,30104
1569518100000,9.11,9.11,9.04,9.04,65361
1569519000000,9.04,9.09,9.04,9.09,1233
1569519900000,9.06,9.09,9.06,9.09,2600
1569520800000,9.08,9.11,9.05,9.1,4295
1569521700000,9.07,9.0738,9.07,9.07,1000
1569522600000,9.08,9.08,9.05,9.05,1258
1569523500000,9.05,9.055,9.05,9.055,2277
1569524400000,9.05,9.07,8.99,8.99,32256
1569525300000,8.99,9.01,8.96,8.98,6695
1569526200000,9.0,9.0,8.98,8.98,2960
1569527100000,8.97,9.03,8.97,9.0,12381
1569591000000,9.05,9.15,9.05,9.15,2664
1569591900000,9.13,9.2,9.13,9.19,10739
1569592800000,9.2,9.22,9.17,9.175,540
1569593700000,9.16,9.26,9.16,9.25,9541
1569594600000,9.17,9.17,9.05,9.05,25864
1569595500000,9.05,9.065,9.025,9.05,10367
1569596400000,9.07,9.11,9.05,9.07,6078
1569597300000,9.1,9.1,9.05,9.07,2284
1569598200000,9.07,9.085,9.0238,9.045,11236
1569599100000,9.06,9.085,8.9627,9.07,29542
1569600000000,9.07,9.07,8.96,9.05,3604
1569600900000,9.05,9.05,8.9611,9.05,19555
1569601800000,9.05,9.05,8.97,9.03,22610
1569602700000,9.015,9.05,8.98,9.05,6596
1569603600000,9.05,9.05,9.01,9.05,14039
1569604500000,9.0401,9.09,9.02,9.04,12143
1569605400000,9.05,9.065,9.015,9.045,6239
1569606300000,9.05,9.05,9.01,9.04,9563
1569607200000,9.03,9.04,8.99,8.99,4470
1569608100000,8.99,8.99,8.94,8.94,3237
1569609000000,8.94,8.99,8.94,8.965,1329
1569609900000,8.9623,8.965,8.76,8.76,17113
1569610800000,8.8,8.84,8.77,8.79,26925
1569611700000,8.78,8.9,8.77,8.84,26392
1569612600000,8.84,8.87,8.84,8.85,12816
1569613500000,8.85,8.95,8.82,8.91,19307
1569850200000,8.77,8.8,8.75,8.75,5909
1569851100000,8.67,8.79,8.67,8.79,5932
1569852000000,8.803,8.81,8.73,8.775,5731
1569852900000,8.78,8.78,8.78,8.78,100
1569853800000,8.77,8.86,8.76,8.86,5674
1569854700000,8.86,8.8638,8.775,8.775,9488
1569855600000,8.81,8.81,8.74,8.76,1707
1569856500000,8.78,8.88,8.76,8.88,9477
1569857400000,8.85,8.88,8.76,8.84,8811
1569858300000,8.78,8.85,8.78,8.85,13432
1569859200000,8.85,8.88,8.84,8.88,5527
1569860100000,8.88,8.9,8.81,8.875,4394
1569861000000,8.89,8.9,8.88,8.89,1866
1569861900000,8.9,8.9,8.88,8.9,2770
1569862800000,8.9,8.92,8.88,8.905,15312
1569863700000,8.92,8.93,8.91,8.93,6395
1569864600000,8.93,8.93,8.92,8.93,3699
1569865500000,8.945,8.96,8.94,8.96,1800
1569866400000,8.96,8.96,8.95,8.96,2359
1569867300000,8.96,8.96,8.94,8.94,3090
