datetime,open,high,low,close,volume
1591968600000,10.62,10.91,10.62,10.79,11407
1591969500000,10.76,10.76,10.66,10.69,1306
1591970400000,10.7,10.79,10.69,10.76,2586
1591971300000,10.755,10.755,10.7,10.71,7736
1591972200000,10.66,10.68,10.6,10.655,7614
1591973100000,10.65,10.69,10.585,10.59,15526
1591974000000,10.59,10.64,10.43,10.44,13399
1591974900000,10.47,10.495,10.41,10.44,10503
1591975800000,10.44,10.55,10.435,10.5,11179
1591976700000,10.505,10.595,10.5,10.595,8818
1591977600000,10.6,10.62,10.59,10.615,7580
1591978500000,10.615,10.67,10.615,10.66,13027
1591979400000,10.665,10.68,10.65,10.67,4092
1591980300000,10.66,10.66,10.54,10.63,3870
1591981200000,10.63,10.635,10.52,10.52,4324
1591982100000,10.51,10.51,10.4,10.4,7871
1591983000000,10.39,10.42,10.33,10.38,7560
1591983900000,10.33,10.34,10.29,10.3,3086
1591984800000,10.3,10.44,10.3,10.44,2600
1591985700000,10.4,10.42,10.39,10.395,1810
1591986600000,10.48,10.5,10.38,10.41,4136
1591987500000,10.41,10.46,10.41,10.46,2862
1591988400000,10.5,10.565,10.48,10.51,6436
1591989300000,10.5,10.51,10.4,10.4,5129
1591990200000,10.4,10.5,10.4,10.5,4194
1591991100000,10.5,10.6,10.5,10.59,28848
