datetime,open,high,low,close,volume
1569504600000,7.61,7.63,7.58,7.59,5904
1569505500000,7.6,7.63,7.59,7.6,1200
1569506400000,7.63,7.63,7.58,7.585,5023
1569507300000,7.56,7.58,7.555,7.58,6242
1569508200000,7.585,7.6,7.58,7.59,4199
1569509100000,7.59,7.6,7.56,7.575,7915
1569510000000,7.57,7.58,7.555,7.56,6928
1569510900000,7.55,7.575,7.535,7.575,8649
1569511800000,7.58,7.64,7.565,7.63,6169
1569512700000,7.635,7.635,7.59,7.62,17326
1569513600000,7.63,7.72,7.625,7.71,6246
1569514500000,7.7,7.71,7.69,7.71,5110
1569515400000,7.72,7.72,7.68,7.68,3914
1569516300000,7.67,7.69,7.67,7.69,6390
1569517200000,7.68,7.7,7.68,7.685,7192
1569518100000,7.68,7.69,7.66,7.66,3400
1569519000000,7.66,7.67,7.625,7.625,5989
1569519900000,7.62,7.63,7.62,7.625,4392
1569520800000,7.63,7.66,7.63,7.65,5665
1569521700000,7.645,7.65,7.64,7.64,2516
1569522600000,7.64,7.64,7.63,7.63,3491
1569523500000,7.632,7.632,7.62,7.62,4575
1569524400000,7.6211,7.63,7.615,7.62,5849
1569525300000,7.62,7.635,7.61,7.63,14953
1569526200000,7.63,7.64,7.615,7.62,8608
1569527100000,7.615,7.62,7.6,7.6,48786
1569591000000,7.61,7.73,7.6,7.73,3944
1569591900000,7.7,7.71,7.61,7.63,2290
1569592800000,7.62,7.63,7.59,7.63,3600
1569593700000,7.62,7.64,7.601,7.601,6477
1569594600000,7.61,7.61,7.58,7.61,3969
1569595500000,7.625,7.63,7.625,7.63,1400
1569596400000,7.63,7.64,7.62,7.63,1500
1569597300000,7.63,7.64,7.62,7.63,23517
1569598200000,7.63,7.63,7.55,7.55,10798
1569599100000,7.55,7.59,7.54,7.58,3150
1569600000000,7.59,7.6,7.57,7.6,1600
1569600900000,7.58,7.59,7.545,7.545,5198
1569601800000,7.55,7.55,7.54,7.545,5898
1569602700000,7.545,7.545,7.52,7.525,10700
1569603600000,7.525,7.58,7.52,7.575,8767
1569604500000,7.58,7.58,7.57,7.575,3047
1569605400000,7.575,7.585,7.56,7.585,4406
1569606300000,7.58,7.61,7.56,7.61,4064
1569607200000,7.61,7.61,7.6,7.6,2461
1569608100000,7.61,7.61,7.6,7.6,2158
1569609000000,7.6,7.6,7.59,7.595,1500
1569609900000,7.595,7.6,7.59,7.6,6316
1569610800000,7.6,7.6,7.59,7.595,5403
1569611700000,7.595,7.62,7.595,7.6188,4965
1569612600000,7.6168,7.62,7.59,7.5999,10905
1569613500000,7.595,7.64,7.59,7.62,54273
1569850200000,7.65,7.66,7.62,7.66,8051
1569851100000,7.66,7.77,7.64,7.77,21618
1569852000000,7.79,7.79,7.7,7.7,6100
1569852900000,7.72,7.73,7.68,7.68,3496
1569853800000,7.68,7.76,7.67,7.7588,13756
1569854700000,7.76,7.81,7.75,7.805,12960
1569855600000,7.81,7.84,7.78,7.83,5653
1569856500000,7.82,7.825,7.78,7.82,10069
1569857400000,7.81,7.82,7.78,7.81,6461
1569858300000,7.82,7.82,7.78,7.8,6453
1569859200000,7.81,7.845,7.81,7.815,7829
1569860100000,7.815,7.85,7.81,7.85,5518
1569861000000,7.845,7.86,7.83,7.85,5486
1569861900000,7.85,7.86,7.84,7.845,4700
1569862800000,7.84,7.85,7.83,7.835,3798
1569863700000,7.83,7.85,7.83,7.845,4464
1569864600000,7.84,7.84,7.83,7.83,2330
1569865500000,7.84,7.85,7.835,7.85,3300
1569866400000,7.84,7.86,7.84,7.85,6099
1569867300000,7.85,7.85,7.82,7.825,6579
1569868200000,7.825,7.825,7.8,7.815,8080
1569869100000,7.815,7.825,7.81,7.815,4016
1569870000000,7.815,7.815,7.78,7.78,7052
1569870900000,7.78,7.79,7.77,7.775,4305
1569871800000,7.775,7.82,7.775,7.81,23261
1569872700000,7.81,7.85,7.81,7.81,59190
1569936600000,7.85,8.02,7.84,8.0,11707
1569937500000,8.01,8.03,8.0,8.02,4703
1569938400000,8.0,8.02,7.94,8.02,8488
1569939300000,8.02,8.145,8.01,8.13,25579
1569940200000,8.13,8.19,8.1,8.19,16904
1569941100000,8.19,8.22,8.07,8.09,21383
1569942000000,8.08,8.08,8.06,8.07,1697
1569942900000,8.06,8.14,8.055,8.11,16877
1569943800000,8.115,8.13,8.09,8.09,4205
1569944700000,8.08,8.08,8.06,8.07,2100
1569945600000,8.06,8.09,8.05,8.055,5210
1569946500000,8.05,8.07,8.04,8.05,3818
1569947400000,8.04,8.08,8.04,8.08,2544
1569948300000,8.08,8.08,8.05,8.055,3031
1569949200000,8.05,8.06,8.04,8.05,4079
1569950100000,8.045,8.05,8.0,8.01,8951
1569951000000,8.01,8.01,7.96,7.97,9676
1569951900000,7.97,7.975,7.95,7.95,6346
1569952800000,7.955,7.975,7.94,7.975,9883
1569953700000,7.98,8.08,7.97,8.07,40083
1569954600000,8.08,8.08,8.04,8.06,8151
1569955500000,8.05,8.06,8.02,8.03,7575
1569956400000,8.03,8.06,8.03,8.05,7764
1569957300000,8.045,8.05,8.035,8.045,6466
1569958200000,8.04,8.05,8.02,8.035,10608
1569959100000,8.035,8.035,7.98,7.98,38069
1570023000000,7.89,7.89,7.785,7.86,8848
1570023900000,7.86,7.86,7.79,7.82,2969
1570024800000,7.79,7.85,7.78,7.845,4537
1570025700000,7.84,7.91,7.76,7.77,18926
1570026600000,7.75,7.75,7.64,7.695,46414
1570027500000,7.705,7.81,7.705,7.81,25554
1570028400000,7.81,7.825,7.74,7.76,34372
1570029300000,7.74,7.76,7.67,7.67,33688
1570030200000,7.67,7.67,7.61,7.635,76553
1570031100000,7.635,7.64,7.52,7.52,123937
1570032000000,7.525,7.6,7.45,7.57,122010
1570032900000,7.57,7.58,7.53,7.58,7671
1570033800000,7.58,7.58,7.51,7.53,17394
1570034700000,7.53,7.57,7.52,7.535,9724
1570035600000,7.53,7.53,7.51,7.53,36993
1570036500000,7.53,7.57,7.525,7.525,26405
1570037400000,7.525,7.55,7.52,7.54,9925
1570038300000,7.54,7.56,7.53,7.56,7772
1570039200000,7.555,7.57,7.52,7.54,6750
1570040100000,7.54,7.63,7.54,7.63,11102
1570041000000,7.63,7.64,7.62,7.64,2900
1570041900000,7.64,7.68,7.64,7.67,8749
1570042800000,7.67,7.67,7.61,7.63,12619
1570043700000,7.63,7.67,7.62,7.67,13181
1570044600000,7.66,7.72,7.66,7.71,13610
1570045500000,7.7065,7.7065,7.66,7.67,66270
1570109400000,7.63,7.69,7.6,7.6,3015
1570110300000,7.6,7.66,7.57,7.58,6558
1570111200000,7.57,7.57,7.51,7.54,12479
1570112100000,7.545,7.57,7.51,7.56,15513
1570113000000,7.565,7.65,7.55,7.65,10041
1570113900000,7.64,7.7,7.62,7.7,6294
1570114800000,7.7,7.74,7.7,7.74,2873
1570115700000,7.74,7.77,7.71,7.73,2999
1570116600000,7.71,7.71,7.67,7.68,4550
1570117500000,7.69,7.69,7.66,7.68,5182
1570118400000,7.69,7.71,7.675,7.69,2100
1570119300000,7.69,7.72,7.67,7.72,5251
1570120200000,7.73,7.74,7.72,7.74,1600
1570121100000,7.74,7.76,7.725,7.73,4200
1570122000000,7.72,7.73,7.69,7.73,8633
1570122900000,7.74,7.76,7.74,7.755,2021
1570123800000,7.76,7.78,7.75,7.78,3906
1570124700000,7.775,7.81,7.775,7.78,5183
1570125600000,7.79,7.81,7.775,7.805,9366
1570126500000,7.81,7.85,7.81,7.84,8682
1570127400000,7.83,7.85,7.82,7.85,9968
1570128300000,7.85,7.88,7.845,7.85,14622
1570129200000,7.84,7.85,7.83,7.84,15314
1570130100000,7.83,7.835,7.8,7.82,16242
1570131000000,7.82,7.83,7.8,7.805,17462
1570131900000,7.81,7.85,7.8,7.84,61469
1570195800000,7.83,7.88,7.83,7.88,1703
1570196700000,7.86,7.86,7.74,7.755,10971
1570197600000,7.74,7.76,7.71,7.74,5604
1570198500000,7.74,7.75,7.71,7.72,5582
1570199400000,7.73,7.73,7.69,7.69,3937
1570200300000,7.69,7.72,7.69,7.715,3299
1570201200000,7.71,7.73,7.695,7.72,9658
1570202100000,7.72,7.73,7.6768,7.6768,14847
1570203000000,7.69,7.73,7.69,7.72,3024
1570203900000,7.73,7.73,7.71,7.725,1800
1570204800000,7.73,7.74,7.715,7.725,7197
1570205700000,7.73,7.74,7.72,7.74,1400
1570206600000,7.74,7.75,7.735,7.75,4497
1570207500000,7.75,7.82,7.73,7.815,112207
1570208400000,7.82,7.86,7.815,7.815,18391
1570209300000,7.82,7.82,7.81,7.815,3088
1570210200000,7.815,7.845,7.8,7.835,8948
1570211100000,7.835,7.835,7.79,7.795,11330
1570212000000,7.795,7.795,7.745,7.745,12823
1570212900000,7.75,7.75,7.7,7.705,14930
1570213800000,7.705,7.735,7.705,7.72,14023
1570214700000,7.715,7.715,7.695,7.7,9104
1570215600000,7.695,7.701,7.68,7.695,15274
1570216500000,7.695,7.725,7.695,7.725,6174
1570217400000,7.725,7.73,7.68,7.68,20504
1570218300000,7.69,7.745,7.685,7.7,106818
1570455000000,7.68,7.72,7.61,7.64,22714
1570455900000,7.65,7.68,7.62,7.68,40619
1570456800000,7.69,7.75,7.68,7.71,7864
1570457700000,7.725,7.73,7.71,7.72,6179
1570458600000,7.71,7.73,7.7,7.73,5967
1570459500000,7.73,7.85,7.73,7.81,20169
1570460400000,7.825,7.96,7.8,7.93,179065
1570461300000,7.95,7.95,7.89,7.9,11014
1570462200000,7.9,7.915,7.89,7.91,8098
1570463100000,7.92,7.93,7.9,7.9,9064
1570464000000,7.9,7.905,7.86,7.88,4765
1570464900000,7.89,7.93,7.89,7.92,4435
1570465800000,7.925,7.935,7.915,7.935,3880
1570466700000,7.94,7.96,7.94,7.945,4716
1570467600000,7.945,7.98,7.945,7.955,7330
1570468500000,7.95,7.975,7.945,7.97,4109
1570469400000,7.965,7.98,7.96,7.965,6499
1570470300000,7.9668,7.9668,7.95,7.96,3111
1570471200000,7.955,7.96,7.92,7.92,5324
1570472100000,7.91,7.92,7.905,7.92,2679
1570473000000,7.92,7.92,7.88,7.89,4541
1570473900000,7.895,7.91,7.875,7.91,3987
1570474800000,7.9,7.92,7.89,7.92,4812
1570475700000,7.92,7.925,7.905,7.915,4706
1570476600000,7.915,7.93,7.905,7.93,12595
1570477500000,7.93,7.94,7.92,7.93,41695
1570541400000,7.82,7.9,7.82,7.9,3634
1570542300000,7.82,7.86,7.81,7.85,8002
1570543200000,7.84,7.875,7.78,7.86,25494
1570544100000,7.86,7.87,7.84,7.86,2412
1570545000000,7.87,7.87,7.83,7.84,5788
1570545900000,7.84,7.88,7.81,7.86,4572
1570546800000,7.86,7.89,7.85,7.87,7097
1570547700000,7.87,7.88,7.85,7.86,4651
1570548600000,7.85,7.85,7.82,7.85,2244
1570549500000,7.85,7.88,7.82,7.88,5400
