datetime,open,high,low,close,volume
1569504600000,52.0,52.0,51.35,51.58,8166
1569505500000,51.585,51.76,51.42,51.7,5600
1569506400000,51.81,51.925,51.34,51.34,7343
1569507300000,51.29,51.35,51.08,51.32,13197
1569508200000,51.315,51.35,51.19,51.305,9360
1569509100000,51.28,51.39,51.21,51.22,13730
1569510000000,51.28,51.28,51.06,51.06,4119
1569510900000,51.08,51.15,51.0,51.05,13217
1569511800000,51.1,51.22,51.04,51.165,13893
1569512700000,51.17,51.46,51.15,51.445,4579
1569513600000,51.43,51.692,51.4,51.675,4970
1569514500000,51.64,51.69,51.55,51.645,3594
1569515400000,51.64,51.82,51.64,51.74,7353
1569516300000,51.74,51.74,51.47,51.47,6257
1569517200000,51.49,51.5,51.2,51.22,3907
1569518100000,51.17,51.1925,51.025,51.085,4032
1569519000000,51.085,51.28,51.085,51.26,7821
1569519900000,51.26,51.37,51.23,51.36,5697
1569520800000,51.39,51.41,51.2688,51.38,3439
1569521700000,51.41,51.465,51.35,51.365,6522
1569522600000,51.3405,51.54,51.305,51.525,5969
1569523500000,51.545,51.56,51.48,51.5,7853
1569524400000,51.51,51.57,51.5,51.55,11607
1569525300000,51.55,51.665,51.52,51.6348,14097
1569526200000,51.66,51.855,51.63,51.67,14924
1569527100000,51.6691,51.81,51.56,51.68,38456
1569591000000,51.64,52.26,51.61,52.24,12322
1569591900000,52.22,52.22,51.32,51.54,5019
1569592800000,51.53,51.53,51.03,51.14,7714
1569593700000,51.145,51.21,50.91,51.14,10570
1569594600000,51.115,51.22,51.08,51.175,3937
1569595500000,51.17,51.39,51.08,51.255,8199
1569596400000,51.24,51.36,51.18,51.28,18079
1569597300000,51.28,51.35,51.22,51.25,12743
1569598200000,51.24,51.37,50.75,51.075,25213
1569599100000,51.02,51.3,50.925,51.16,6500
1569600000000,51.08,51.22,51.06,51.22,3900
1569600900000,51.23,51.23,50.99,51.0,6500
1569601800000,51.0,51.14,50.99,51.05,6609
1569602700000,50.99,51.06,50.86,50.915,15809
1569603600000,50.9,51.11,50.86,51.06,2812
1569604500000,51.02,51.08,50.985,51.01,3676
1569605400000,51.015,51.09,50.96,51.03,6896
1569606300000,51.01,51.055,50.865,51.05,3553
1569607200000,51.05,51.0975,51.015,51.0975,2702
1569608100000,51.1199,51.15,51.02,51.07,4400
1569609000000,51.06,51.06,50.97,50.97,2935
1569609900000,50.98,50.98,50.845,50.88,5436
1569610800000,50.9,50.9,50.81,50.845,8084
1569611700000,50.87,50.96,50.86,50.9,6637
1569612600000,50.87,50.93,50.83,50.845,11327
1569613500000,50.86,50.88,50.75,50.88,28743
1569850200000,51.05,51.3499,51.05,51.23,9238
1569851100000,51.23,51.3,50.83,51.16,5605
1569852000000,51.08,51.17,50.82,51.17,3400
1569852900000,51.12,51.205,50.86,50.91,2799
1569853800000,50.93,51.1194,50.85,50.95,7537
1569854700000,50.97,51.14,50.97,51.14,2358
1569855600000,51.07,51.21,51.03,51.17,8232
1569856500000,51.18,51.36,51.17,51.32,3025
1569857400000,51.36,51.43,51.28,51.43,2600
1569858300000,51.44,51.46,51.29,51.3664,4400
1569859200000,51.37,51.58,51.37,51.505,5857
1569860100000,51.5,51.63,51.5,51.63,2494
1569861000000,51.64,51.71,51.58,51.71,4510
