datetime,open,high,low,close,volume
1591968600000,13.46,13.64,13.25,13.4552,259660
1591969500000,13.4797,13.56,13.23,13.365,199088
1591970400000,13.38,13.48,13.26,13.26,127606
1591971300000,13.27,13.39,13.16,13.16,94060
1591972200000,13.17,13.2,13.06,13.1,101663
1591973100000,13.08,13.1501,13.0,13.0,70078
1591974000000,13.0,13.04,12.8,12.885,123739
1591974900000,12.88,12.9697,12.75,12.89,109633
1591975800000,12.9,13.09,12.9,12.985,76814
1591976700000,13.0274,13.25,13.0132,13.24,79869
1591977600000,13.2401,13.2401,13.13,13.19,57374
1591978500000,13.1701,13.22,13.12,13.16,48306
1591979400000,13.15,13.18,13.1,13.15,55836
1591980300000,13.15,13.15,13.07,13.07,26629
1591981200000,13.05,13.05,12.93,13.02,61703
1591982100000,13.02,13.02,12.91,12.929,83003
1591983000000,12.92,12.93,12.825,12.825,92408
1591983900000,12.82,12.875,12.8,12.815,49919
1591984800000,12.82,12.93,12.8,12.88,57411
1591985700000,12.88,12.9886,12.835,12.98,57457
1591986600000,12.98,13.09,12.905,12.91,106830
1591987500000,12.91,12.99,12.905,12.94,34260
1591988400000,12.95,13.048,12.94,13.035,40829
1591989300000,13.04,13.0401,12.9,12.97,60421
1591990200000,12.98,13.17,12.95,13.15,93013
1591991100000,13.155,13.19,13.13,13.17,196770
