datetime,open,high,low,close,volume
1569504600000,9.76,9.85,9.66,9.77,40644
1569505500000,9.774,9.785,9.63,9.67,29790
1569506400000,9.67,9.705,9.63,9.655,50859
1569507300000,9.655,9.695,9.59,9.65,130225
1569508200000,9.65,9.67,9.62,9.66,23990
1569509100000,9.655,9.68,9.61,9.61,28557
1569510000000,9.615,9.618,9.525,9.555,24284
1569510900000,9.545,9.55,9.505,9.518,12768
1569511800000,9.52,9.6,9.5,9.6,19695
1569512700000,9.6,9.62,9.56,9.57,32935
1569513600000,9.57,9.6,9.545,9.58,22357
1569514500000,9.58,9.615,9.58,9.615,10294
1569515400000,9.61,9.64,9.6,9.615,14112
1569516300000,9.61,9.64,9.585,9.62,20099
1569517200000,9.625,9.665,9.6,9.605,37986
1569518100000,9.61,9.61,9.565,9.595,10992
1569519000000,9.595,9.605,9.58,9.585,11460
1569519900000,9.58,9.595,9.56,9.595,14512
1569520800000,9.6,9.6,9.55,9.575,31669
1569521700000,9.57,9.62,9.57,9.6,75958
1569522600000,9.605,9.605,9.56,9.56,15146
1569523500000,9.56,9.57,9.49,9.49,77357
1569524400000,9.49,9.525,9.45,9.45,30757
1569525300000,9.45,9.5,9.4075,9.46,68815
1569526200000,9.47,9.49,9.42,9.455,82339
1569527100000,9.455,9.47,9.43,9.45,189885
1569591000000,9.52,9.65,9.42,9.445,38234
1569591900000,9.43,9.45,9.28,9.3,32908
1569592800000,9.305,9.35,9.27,9.29,20135
1569593700000,9.295,9.34,9.28,9.315,25350
1569594600000,9.32,9.32,9.25,9.26,16858
1569595500000,9.26,9.28,9.24,9.24,14238
1569596400000,9.24,9.26,9.18,9.2,48385
1569597300000,9.2021,9.225,9.19,9.195,13283
1569598200000,9.19,9.21,9.1,9.12,25674
1569599100000,9.12,9.19,9.105,9.16,19263
1569600000000,9.17,9.17,9.1,9.14,22363
1569600900000,9.1465,9.22,9.12,9.215,18602
1569601800000,9.21,9.21,9.17,9.175,36264
1569602700000,9.18,9.185,9.145,9.155,17965
1569603600000,9.16,9.17,9.14,9.17,21320
1569604500000,9.165,9.2,9.15,9.18,23306
1569605400000,9.18,9.18,9.085,9.1,17484
1569606300000,9.09,9.11,9.07,9.1,11887
1569607200000,9.1,9.1,9.03,9.05,10990
1569608100000,9.055,9.055,8.95,8.97,48923
1569609000000,8.97,9.005,8.915,8.925,62813
1569609900000,8.925,8.975,8.915,8.9672,20830
1569610800000,8.965,8.995,8.93,8.945,19020
1569611700000,8.94,9.005,8.93,8.995,39997
1569612600000,8.99,9.04,8.975,9.005,55103
1569613500000,9.005,9.12,8.995,9.1,211740
1569850200000,9.02,9.21,8.96,8.98,49435
1569851100000,8.98,9.01,8.94,8.95,28632
1569852000000,8.95,8.985,8.94,8.97,30131
1569852900000,8.97,8.99,8.93,8.95,21452
1569853800000,8.97,8.99,8.95,8.9545,25009
1569854700000,8.95,8.965,8.86,8.92,56928
1569855600000,8.92,8.92,8.84,8.85,16408
1569856500000,8.85,8.865,8.83,8.8542,17742
1569857400000,8.85,8.87,8.81,8.845,30692
1569858300000,8.85,8.85,8.785,8.795,36758
1569859200000,8.795,8.805,8.78,8.785,23730
1569860100000,8.7801,8.875,8.77,8.865,38830
1569861000000,8.8601,8.875,8.84,8.875,24330
1569861900000,8.88,8.88,8.86,8.86,15355
1569862800000,8.865,8.9188,8.865,8.915,35900
1569863700000,8.92,8.92,8.87,8.875,38704
1569864600000,8.875,8.91,8.87,8.91,42040
1569865500000,8.91,9.01,8.91,8.97,22151
1569866400000,8.97,9.0,8.96,9.0,27135
1569867300000,8.995,8.995,8.95,8.95,24576
1569868200000,8.95,8.98,8.95,8.97,15644
1569869100000,8.97,8.985,8.965,8.97,14734
1569870000000,8.965,8.995,8.965,8.98,54356
1569870900000,8.98,8.995,8.95,8.95,26006
1569871800000,8.95,8.97,8.93,8.93,32922
1569872700000,8.935,8.94,8.9,8.92,105965
1569936600000,9.01,9.08,8.99,9.065,49291
1569937500000,9.08,9.31,9.08,9.27,48442
1569938400000,9.27,9.28,9.174,9.205,29109
1569939300000,9.21,9.27,9.14,9.22,16319
1569940200000,9.23,9.27,9.18,9.21,23292
1569941100000,9.205,9.27,9.2,9.235,23219
1569942000000,9.23,9.23,9.155,9.165,17999
1569942900000,9.165,9.24,9.15,9.235,27844
1569943800000,9.235,9.28,9.22,9.235,30238
1569944700000,9.235,9.26,9.2,9.215,29088
1569945600000,9.215,9.22,9.15,9.165,29841
1569946500000,9.17,9.19,9.15,9.15,19034
1569947400000,9.155,9.17,9.145,9.165,13060
1569948300000,9.165,9.225,9.165,9.195,23673
1569949200000,9.19,9.19,9.14,9.15,28474
1569950100000,9.145,9.145,9.1,9.115,17145
1569951000000,9.11,9.11,9.07,9.1,24705
1569951900000,9.095,9.095,9.02,9.03,22786
1569952800000,9.035,9.035,8.98,8.995,19450
1569953700000,8.995,9.085,8.995,9.06,35245
1569954600000,9.07,9.09,9.06,9.06,21265
1569955500000,9.065,9.07,9.03,9.045,31043
1569956400000,9.05,9.08,9.03,9.065,40319
1569957300000,9.06,9.1,9.04,9.065,35923
1569958200000,9.065,9.07,9.02,9.045,69081
1569959100000,9.05,9.08,9.045,9.055,120412
1570023000000,8.97,9.22,8.837,8.905,34023
1570023900000,8.9033,8.93,8.815,8.85,160930
1570024800000,8.87,8.94,8.83,8.93,35025
1570025700000,8.94,9.03,8.93,9.015,38695
1570026600000,9.01,9.07,8.98,9.035,38864
1570027500000,9.04,9.045,9.0,9.025,19054
1570028400000,9.03,9.045,9.0,9.045,17015
1570029300000,9.05,9.055,8.99,9.0,21590
1570030200000,8.99,9.0,8.945,8.955,48504
1570031100000,8.96,8.96,8.88,8.92,29739
1570032000000,8.915,8.94,8.9,8.93,21296
1570032900000,8.925,8.985,8.91,8.98,54226
1570033800000,8.97,9.0,8.9,8.915,26907
1570034700000,8.91,8.94,8.9,8.94,14915
1570035600000,8.94,8.98,8.93,8.97,12589
1570036500000,8.96,8.96,8.93,8.955,14972
1570037400000,8.96,8.97,8.94,8.95,18690
1570038300000,8.95,8.95,8.9,8.93,19974
1570039200000,8.92,8.95,8.86,8.87,25354
1570040100000,8.87,8.91,8.87,8.89,11690
1570041000000,8.89,8.94,8.89,8.935,32517
1570041900000,8.935,9.01,8.935,8.995,30377
1570042800000,9.01,9.04,8.99,9.015,26692
1570043700000,9.015,9.08,9.01,9.08,37395
1570044600000,9.075,9.085,9.04,9.065,50230
1570045500000,9.07,9.11,9.04,9.11,370514
1570109400000,9.05,9.19,8.99,9.19,18555
1570110300000,9.185,9.21,9.04,9.06,47331
1570111200000,9.05,9.07,8.97,9.065,27548
1570112100000,9.055,9.09,9.01,9.05,17064
1570113000000,9.04,9.08,9.03,9.035,7895
1570113900000,9.03,9.04,8.98,9.04,9212
1570114800000,9.03,9.1,9.03,9.09,13488
1570115700000,9.1,9.11,9.07,9.075,12250
