datetime,open,high,low,close,volume
1569504600000,8.98,9.165,8.98,9.01,804
1569506400000,8.97,9.03,8.97,9.03,600
1569507300000,8.98,8.98,8.81,8.86,4617
1569508200000,8.84,8.93,8.82,8.84,5748
1569509100000,8.83,8.9,8.77,8.77,4385
1569510000000,8.78,8.78,8.72,8.78,800
1569510900000,8.72,8.78,8.69,8.77,3656
1569511800000,8.77,8.83,8.73,8.78,106400
1569512700000,8.8,8.82,8.78,8.79,900
1569513600000,8.81,8.85,8.74,8.84,500
1569514500000,8.85,8.88,8.82,8.84,1302
1569515400000,8.84,8.87,8.73,8.8,3935
1569516300000,8.77,8.77,8.7,8.73,1704
1569517200000,8.71,8.71,8.51,8.61,5212
1569518100000,8.61,8.63,8.6,8.63,700
1569519000000,8.64,8.705,8.6197,8.67,1300
1569519900000,8.6948,8.74,8.6948,8.74,400
1569520800000,8.71,8.725,8.63,8.64,2100
1569521700000,8.62,8.76,8.62,8.76,2513
1569522600000,8.76,8.955,8.71,8.95,8339
1569523500000,8.98,9.005,8.8,8.9,9501
1569524400000,8.9,9.035,8.87,8.93,9925
1569525300000,8.905,8.94,8.79,8.84,4952
1569526200000,8.89,8.89,8.75,8.85,8162
1569527100000,8.84,8.87,8.81,8.81,18644
1569591000000,9.19,9.8,9.07,9.8,17418
1569591900000,9.8,9.865,9.53,9.53,16457
1569592800000,9.57,9.5951,9.46,9.55,5269
1569593700000,9.5,9.57,9.49,9.57,1164
1569594600000,9.56,9.645,9.54,9.6179,17364
1569595500000,9.61,9.66,9.61,9.64,4547
1569596400000,9.64,9.7,9.5688,9.5688,7450
1569597300000,9.54,9.58,9.5097,9.58,1000
1569598200000,9.55,9.58,9.29,9.35,3750
1569599100000,9.43,9.43,9.29,9.3,7161
1569600000000,9.27,9.33,9.15,9.33,4488
1569600900000,9.36,9.47,9.35,9.39,2694
1569601800000,9.39,9.49,9.33,9.33,2139
1569602700000,9.32,9.33,9.11,9.26,6617
1569603600000,9.2,9.4,9.2,9.34,3901
1569604500000,9.34,9.43,9.33,9.36,7818
1569605400000,9.36,9.395,9.34,9.395,1280
1569606300000,9.4,9.4,9.33,9.35,1000
1569607200000,9.4,9.4,9.36,9.37,772
1569608100000,9.38,9.38,9.3,9.3,1200
1569609000000,9.28,9.29,9.26,9.29,3409
1569609900000,9.285,9.43,9.285,9.34,1900
1569610800000,9.33,9.96,9.33,9.92,262195
1569611700000,9.9042,10.3393,9.82,10.2026,152781
1569612600000,10.1834,10.29,10.12,10.15,43792
1569613500000,10.17,10.28,10.13,10.1999,56507
1569850200000,10.2,10.21,9.385,9.58,118958
1569851100000,9.5175,9.5359,9.1,9.18,39365
1569852000000,9.23,9.23,8.87,8.905,18389
1569852900000,8.905,9.05,8.905,8.99,16764
1569853800000,8.9852,8.9852,8.9,8.94,16500
1569854700000,8.9313,8.94,8.79,8.79,9400
1569855600000,8.79,8.81,8.62,8.67,13131
1569856500000,8.6589,8.7,8.62,8.63,6532
1569857400000,8.66,8.78,8.66,8.74,8301
1569858300000,8.755,8.755,8.67,8.69,5183
1569859200000,8.68,8.74,8.68,8.705,6307
1569860100000,8.695,8.73,8.67,8.7,13900
1569861000000,8.69,8.7572,8.67,8.7572,7101
1569861900000,8.76,8.76,8.68,8.715,8307
1569862800000,8.7068,8.75,8.7068,8.72,2504
1569863700000,8.72,8.8,8.715,8.74,8096
1569864600000,8.725,8.8,8.725,8.8,2101
1569865500000,8.795,8.87,8.795,8.8323,5675
1569866400000,8.83,8.85,8.795,8.83,5865
1569867300000,8.83,8.83,8.8,8.82,1300
1569868200000,8.82,8.94,8.7709,8.93,23574
1569869100000,8.93,8.96,8.92,8.93,4997
1569870000000,8.95,9.085,8.9448,9.04,20645
1569870900000,9.068,9.07,9.04,9.055,5122
1569871800000,9.055,9.06,9.05,9.055,7200
1569872700000,9.06,9.12,9.055,9.07,38416
1569936600000,8.93,9.08,8.8,8.82,21311
1569937500000,8.82,8.915,8.8,8.86,7172
1569938400000,8.81,8.8765,8.75,8.75,7167
1569939300000,8.755,8.755,8.63,8.705,38318
1569940200000,8.71,8.72,8.665,8.71,10501
1569941100000,8.71,8.73,8.69,8.69,5138
1569942000000,8.68,8.83,8.68,8.83,51061
1569942900000,8.81,8.87,8.745,8.76,7800
1569943800000,8.785,8.95,8.785,8.9,7714
1569944700000,8.98,8.98,8.88,8.9,4426
1569945600000,8.9,8.91,8.84,8.84,2500
1569946500000,8.86,8.9,8.845,8.875,2982
1569947400000,8.855,8.86,8.81,8.83,5368
1569948300000,8.825,8.83,8.81,8.82,5049
1569949200000,8.815,8.82,8.8,8.8,3689
1569950100000,8.8,8.81,8.76,8.76,4078
1569951000000,8.77,8.77,8.75,8.76,3400
1569951900000,8.755,8.76,8.735,8.735,3700
1569952800000,8.7353,8.7353,8.72,8.725,7936
1569953700000,8.72,8.72,8.67,8.67,6444
1569954600000,8.665,8.68,8.63,8.64,7461
1569955500000,8.64,8.69,8.64,8.68,2267
1569956400000,8.6693,8.68,8.64,8.64,7572
1569957300000,8.64,8.65,8.63,8.63,8354
1569958200000,8.63,8.66,8.63,8.66,9076
1569959100000,8.65,8.66,8.59,8.59,18371
1570023000000,8.43,8.56,8.38,8.4445,5979
1570023900000,8.39,8.39,8.31,8.36,2119
1570024800000,8.32,8.48,8.32,8.425,13383
1570025700000,8.425,8.52,8.41,8.52,8017
1570026600000,8.53,8.56,8.4,8.46,10409
1570027500000,8.44,8.48,8.405,8.4262,2947
1570028400000,8.4,8.4999,8.4,8.4999,2126
1570029300000,8.5,8.52,8.46,8.48,7453
1570030200000,8.48,8.48,8.43,8.445,900
1570031100000,8.43,8.45,8.38,8.4,5725
1570032000000,8.37,8.385,8.36,8.38,1310
1570032900000,8.37,8.385,8.3,8.32,3001
1570033800000,8.33,8.4,8.32,8.385,3019
1570034700000,8.38,8.42,8.37,8.375,5331
1570035600000,8.4,8.4,8.3,8.35,8511
1570036500000,8.37,8.38,8.3,8.3,3242
1570037400000,8.29,8.29,8.2,8.26,7277
1570038300000,8.24,8.27,8.1985,8.215,1801
1570039200000,8.2,8.21,8.12,8.19,6112
1570040100000,8.1886,8.211,8.17,8.17,4157
1570041000000,8.2,8.22,8.15,8.21,5568
1570041900000,8.22,8.22,8.17,8.21,5780
1570042800000,8.2,8.225,8.175,8.22,5935
1570043700000,8.215,8.24,8.2,8.21,7775
1570044600000,8.21,8.22,8.18,8.18,11452
1570045500000,8.16,8.17,8.03,8.17,37537
