datetime,open,high,low,close,volume
1591968600000,13.08,13.08,12.16,12.46,234918
1591969500000,12.44,12.56,12.31,12.47,73664
1591970400000,12.47,12.6,12.41,12.56,62233
1591971300000,12.555,12.555,12.35,12.355,68633
1591972200000,12.35,12.36,12.21,12.31,58534
1591973100000,12.3,12.345,12.16,12.16,69570
1591974000000,12.16,12.21,11.97,12.1,60721
1591974900000,12.1,12.14,12.07,12.1242,55688
1591975800000,12.12,12.33,12.12,12.31,39261
1591976700000,12.31,12.45,12.3001,12.45,32141
1591977600000,12.46,12.56,12.43,12.445,71769
1591978500000,12.4413,12.47,12.32,12.44,52801
1591979400000,12.44,12.445,12.34,12.415,39019
1591980300000,12.415,12.5,12.37,12.4913,30024
1591981200000,12.5,12.5,12.445,12.47,18805
1591982100000,12.475,12.48,12.37,12.375,35081
1591983000000,12.38,12.43,12.34,12.39,45422
1591983900000,12.39,12.4,12.18,12.195,45363
1591984800000,12.195,12.35,12.155,12.285,48832
1591985700000,12.29,12.35,12.2,12.35,28032
1591986600000,12.33,12.375,12.25,12.31,41516
1591987500000,12.32,12.43,12.32,12.39,43587
1591988400000,12.385,12.47,12.385,12.44,52241
1591989300000,12.44,12.44,12.28,12.295,58905
1591990200000,12.295,12.39,12.26,12.38,106283
1591991100000,12.37,12.56,12.34,12.54,266731
