datetime,open,high,low,close,volume
1569504600000,5.2,5.22,5.06,5.095,90583
1569505500000,5.09,5.115,5.07,5.11,49707
1569506400000,5.11,5.12,5.07,5.08,71482
1569507300000,5.085,5.11,5.075,5.08,76728
1569508200000,5.075,5.08,5.05,5.075,70146
1569509100000,5.07,5.12,5.07,5.097,39830
1569510000000,5.1,5.11,5.085,5.09,51873
1569510900000,5.095,5.11,5.09,5.105,58048
1569511800000,5.105,5.125,5.085,5.105,52981
1569512700000,5.11,5.165,5.09,5.16,47043
1569513600000,5.16,5.21,5.16,5.21,41738
1569514500000,5.21,5.26,5.195,5.26,34370
1569515400000,5.26,5.32,5.255,5.285,48622
1569516300000,5.285,5.29,5.25,5.25,46056
1569517200000,5.25,5.31,5.245,5.27,56211
1569518100000,5.27,5.27,5.22,5.225,27865
1569519000000,5.225,5.26,5.225,5.245,34254
1569519900000,5.24,5.255,5.215,5.245,41302
1569520800000,5.245,5.25,5.22,5.245,46963
1569521700000,5.25,5.26,5.215,5.215,62706
1569522600000,5.215,5.225,5.2,5.215,46691
1569523500000,5.215,5.23,5.2,5.21,76655
1569524400000,5.205,5.215,5.17,5.2,72057
1569525300000,5.2,5.2,5.16,5.185,63373
1569526200000,5.185,5.19,5.16,5.175,76513
1569527100000,5.18,5.18,5.15,5.17,244328
1569591000000,5.1,5.3,5.05,5.3,61985
1569591900000,5.3,5.3,5.21,5.255,70785
1569592800000,5.255,5.32,5.225,5.3,39893
1569593700000,5.3,5.35,5.295,5.325,49104
1569594600000,5.325,5.33,5.26,5.275,112414
1569595500000,5.28,5.305,5.27,5.295,37396
1569596400000,5.29,5.295,5.235,5.25,58323
1569597300000,5.255,5.29,5.25,5.285,83877
1569598200000,5.28,5.3,5.23,5.25,107208
1569599100000,5.24,5.3,5.24,5.27,80937
1569600000000,5.27,5.305,5.265,5.3,88273
1569600900000,5.29,5.29,5.25,5.255,39744
1569601800000,5.25,5.27,5.235,5.24,46171
1569602700000,5.24,5.25,5.22,5.235,37570
1569603600000,5.23,5.24,5.21,5.215,48272
1569604500000,5.22,5.22,5.2,5.22,44480
1569605400000,5.22,5.27,5.22,5.26,58496
1569606300000,5.26,5.305,5.24,5.305,53476
1569607200000,5.3,5.32,5.29,5.32,58403
1569608100000,5.32,5.37,5.31,5.36,68202
1569609000000,5.35,5.37,5.34,5.365,37656
1569609900000,5.365,5.39,5.35,5.38,48141
1569610800000,5.375,5.38,5.3264,5.34,61490
1569611700000,5.345,5.36,5.335,5.355,43680
1569612600000,5.355,5.39,5.355,5.38,107534
1569613500000,5.375,5.415,5.365,5.41,339423
1569850200000,5.29,5.37,5.27,5.35,67181
1569851100000,5.34,5.4,5.32,5.4,37502
1569852000000,5.395,5.485,5.36,5.48,59992
1569852900000,5.48,5.54,5.47,5.52,66302
1569853800000,5.52,5.56,5.5124,5.54,45190
1569854700000,5.53,5.61,5.53,5.58,74923
1569855600000,5.58,5.605,5.54,5.565,117198
1569856500000,5.56,5.59,5.53,5.54,279535
1569857400000,5.545,5.56,5.52,5.545,90017
1569858300000,5.54,5.57,5.535,5.55,43688
1569859200000,5.55,5.585,5.545,5.56,73736
1569860100000,5.56,5.61,5.56,5.6,46153
1569861000000,5.595,5.6,5.54,5.55,55915
1569861900000,5.54,5.6,5.54,5.575,80658
1569862800000,5.575,5.61,5.56,5.585,61735
1569863700000,5.59,5.63,5.55,5.615,616157
1569864600000,5.615,5.64,5.61,5.64,69946
1569865500000,5.64,5.65,5.62,5.645,58094
1569866400000,5.64,5.7,5.64,5.675,117623
1569867300000,5.675,5.7,5.66,5.665,101420
1569868200000,5.665,5.7,5.655,5.67,126680
1569869100000,5.665,5.695,5.66,5.67,50345
1569870000000,5.68,5.7,5.64,5.66,97929
1569870900000,5.67,5.71,5.65,5.67,109825
1569871800000,5.68,5.71,5.675,5.695,237358
1569872700000,5.695,5.7,5.6,5.62,605421
1569936600000,5.64,5.7,5.55,5.62,62607
1569937500000,5.62,5.69,5.605,5.65,34284
1569938400000,5.64,5.65,5.53,5.53,168311
1569939300000,5.53,5.56,5.48,5.49,29966
1569940200000,5.49,5.49,5.395,5.4,41836
