datetime,open,high,low,close,volume
1569504600000,11.54,11.62,11.54,11.54,5208
1569505500000,11.57,11.6,11.57,11.6,3000
1569506400000,11.63,11.63,11.58,11.58,1098
1569507300000,11.585,11.585,11.57,11.57,500
1569508200000,11.57,11.58,11.57,11.58,1299
1569509100000,11.58,11.59,11.57,11.58,5221
1569510000000,11.58,11.58,11.57,11.58,800
1569510900000,11.57,11.59,11.57,11.57,13854
1569511800000,11.57,11.65,11.57,11.65,7372
1569512700000,11.625,11.625,11.6083,11.61,1200
1569513600000,11.62,11.64,11.615,11.63,2382
1569514500000,11.63,11.63,11.62,11.62,719
1569515400000,11.615,11.62,11.61,11.62,700
1569516300000,11.61,11.61,11.6,11.6,2500
1569517200000,11.61,11.61,11.61,11.61,400
1569518100000,11.6,11.61,11.6,11.6,700
1569519000000,11.6,11.62,11.6,11.615,1600
1569519900000,11.615,11.67,11.615,11.665,17866
1569520800000,11.67,11.69,11.66,11.69,12557
1569521700000,11.69,11.74,11.6575,11.695,16836
1569522600000,11.695,11.695,11.68,11.68,800
1569523500000,11.67,11.67,11.62,11.62,925
1569524400000,11.62,11.62,11.59,11.6,2069
1569525300000,11.6,11.6,11.59,11.59,1430
1569526200000,11.59,11.59,11.56,11.56,5213
1569527100000,11.57,11.58,11.53,11.57,12890
1569591000000,11.5,11.5,11.5,11.5,2374
1569591900000,11.47,11.6057,11.47,11.6057,8932
1569592800000,11.63,11.68,11.63,11.66,1758
1569593700000,11.65,11.65,11.59,11.59,1476
1569594600000,11.56,11.56,11.56,11.56,100
1569595500000,11.57,11.6,11.57,11.6,400
1569596400000,11.605,11.61,11.5711,11.5711,1396
1569597300000,11.575,11.59,11.57,11.59,1325
1569598200000,11.59,11.6,11.45,11.46,47971
1569599100000,11.48,11.57,11.48,11.57,17900
1569600000000,11.57,11.58,11.555,11.56,3645
1569600900000,11.56,11.56,11.56,11.56,100
1569601800000,11.51,11.52,11.49,11.5,5544
1569602700000,11.5,11.51,11.45,11.45,12279
1569603600000,11.44,11.455,11.44,11.455,3800
1569604500000,11.45,11.455,11.41,11.43,3429
1569605400000,11.43,11.46,11.425,11.46,4283
1569606300000,11.45,11.47,11.44,11.47,2962
1569607200000,11.48,11.48,11.45,11.45,2724
1569608100000,11.45,11.48,11.45,11.47,1317
1569609000000,11.47,11.48,11.45,11.45,2900
1569609900000,11.45,11.45,11.445,11.445,1711
1569610800000,11.445,11.46,11.44,11.455,11796
1569611700000,11.46,11.47,11.455,11.455,1419
1569612600000,11.46,11.48,11.455,11.46,5529
1569613500000,11.455,11.46,11.43,11.44,35428
1569850200000,11.44,11.44,11.44,11.44,861
1569851100000,11.51,11.51,11.49,11.5,1200
1569852000000,11.5,11.51,11.45,11.45,2738
1569852900000,11.435,11.47,11.435,11.47,1841
1569853800000,11.48,11.48,11.44,11.44,200
1569854700000,11.47,11.54,11.47,11.515,3882
1569855600000,11.53,11.53,11.47,11.47,2500
1569856500000,11.47,11.48,11.45,11.48,2768
1569857400000,11.48,11.53,11.475,11.53,3161
1569858300000,11.53,11.55,11.52,11.55,8587
1569859200000,11.545,11.56,11.545,11.56,300
1569860100000,11.55,11.58,11.54,11.58,1995
1569861000000,11.58,11.62,11.58,11.62,2100
1569861900000,11.6,11.64,11.6,11.63,2677
1569862800000,11.64,11.64,11.63,11.64,500
1569863700000,11.64,11.64,11.62,11.63,6244
1569864600000,11.64,11.66,11.64,11.65,3145
1569865500000,11.65,11.67,11.64,11.64,2954
1569866400000,11.64,11.665,11.64,11.65,1598
1569867300000,11.655,11.66,11.65,11.65,1300
1569868200000,11.655,11.68,11.65,11.68,2546
1569869100000,11.68,11.68,11.6525,11.6525,1500
1569870000000,11.655,11.67,11.655,11.66,4614
1569870900000,11.66,11.67,11.59,11.59,4300
1569871800000,11.55,11.59,11.55,11.59,6496
1569872700000,11.59,11.62,11.55,11.55,44791
1569936600000,11.56,11.75,11.56,11.65,1573
1569937500000,11.615,11.665,11.61,11.635,3200
1569938400000,11.61,11.61,11.555,11.555,200
1569939300000,11.535,11.535,11.52,11.53,601
1569940200000,11.53,11.55,11.53,11.5432,1400
1569941100000,11.55,11.625,11.53,11.625,12901
1569942000000,11.62,11.62,11.62,11.62,1848
1569942900000,11.62,11.63,11.62,11.63,600
1569943800000,11.63,11.65,11.615,11.615,2649
1569944700000,11.62,11.62,11.61,11.62,300
1569945600000,11.62,11.62,11.58,11.58,1200
1569946500000,11.58,11.58,11.57,11.57,500
1569947400000,11.58,11.59,11.58,11.59,1100
1569948300000,11.6,11.6,11.57,11.57,1512
1569949200000,11.56,11.56,11.55,11.55,2400
1569950100000,11.55,11.56,11.55,11.55,3628
1569951000000,11.555,11.555,11.55,11.555,2745
1569951900000,11.55,11.56,11.55,11.555,2993
1569952800000,11.5539,11.58,11.55,11.57,23269
1569953700000,11.57,11.58,11.56,11.56,1400
1569954600000,11.57,11.59,11.57,11.59,2678
1569955500000,11.58,11.5801,11.55,11.55,2783
1569956400000,11.55,11.57,11.55,11.55,3214
1569957300000,11.56,11.56,11.55,11.55,1978
1569958200000,11.555,11.56,11.55,11.55,4371
1569959100000,11.55,11.56,11.52,11.55,44811
1570023000000,11.5,11.5,11.5,11.5,1791
1570023900000,11.49,11.49,11.44,11.47,1900
1570024800000,11.47,11.5,11.47,11.5,1300
1570025700000,11.515,11.53,11.5,11.5,919
1570026600000,11.46,11.5,11.45,11.485,1421
1570027500000,11.51,11.53,11.481,11.495,3909
1570028400000,11.52,11.54,11.52,11.54,500
1570029300000,11.53,11.5775,11.5281,11.56,3548
1570030200000,11.55,11.56,11.54,11.55,1800
1570031100000,11.55,11.55,11.535,11.535,400
1570032000000,11.54,11.545,11.5,11.5,1400
1570032900000,11.5,11.5,11.4712,11.49,1200
1570033800000,11.48,11.49,11.45,11.46,3573
1570034700000,11.47,11.485,11.46,11.485,1000
1570035600000,11.485,11.49,11.47,11.475,1700
1570036500000,11.49,11.49,11.48,11.48,200
1570037400000,11.49,11.49,11.465,11.48,2009
1570038300000,11.465,11.48,11.465,11.465,400
1570039200000,11.45,11.48,11.45,11.47,700
1570040100000,11.48,11.5,11.48,11.49,933
1570041000000,11.51,11.54,11.51,11.54,1476
1570041900000,11.54,11.54,11.51,11.52,2347
1570042800000,11.52,11.55,11.52,11.54,13200
1570043700000,11.53,11.55,11.52,11.53,5680
1570044600000,11.52,11.55,11.52,11.545,2500
1570045500000,11.545,11.59,11.54,11.57,17793
1570109400000,11.55,11.56,11.55,11.56,1107
1570110300000,11.65,11.73,11.62,11.625,9387
1570111200000,11.625,11.63,11.55,11.57,4221
1570112100000,11.57,11.7,11.57,11.7,4306
1570113000000,11.71,11.77,11.71,11.77,10315
1570113900000,11.77,11.77,11.63,11.63,2930
1570114800000,11.63,11.65,11.63,11.643,1914
1570115700000,11.65,11.65,11.64,11.64,500
1570116600000,11.63,11.65,11.57,11.61,5572
1570117500000,11.61,11.613,11.6,11.613,1100
1570118400000,11.61,11.64,11.61,11.64,1384
1570119300000,11.62,11.64,11.58,11.64,3414
1570120200000,11.65,11.66,11.65,11.655,400
1570121100000,11.67,11.67,11.65,11.65,1587
1570122000000,11.64,11.6456,11.62,11.62,1400
1570122900000,11.63,11.65,11.63,11.65,300
1570123800000,11.63,11.63,11.62,11.63,1100
1570124700000,11.63,11.64,11.63,11.63,400
1570125600000,11.63,11.63,11.61,11.62,2074
1570126500000,11.62,11.63,11.62,11.63,400
1570127400000,11.63,11.64,11.63,11.64,200
1570128300000,11.62,11.64,11.61,11.61,1004
1570129200000,11.62,11.62,11.59,11.595,2097
1570130100000,11.595,11.64,11.58,11.64,3024
1570131000000,11.64,11.64,11.59,11.6,4150
1570131900000,11.6,11.62,11.59,11.62,16524
1570195800000,11.62,11.63,11.62,11.63,837
1570196700000,11.65,11.66,11.6,11.66,1103
1570197600000,11.68,11.68,11.65,11.66,700
1570198500000,11.63,11.63,11.55,11.63,2810
1570199400000,11.63,11.63,11.62,11.62,422
1570200300000,11.61,11.61,11.59,11.59,1526
1570201200000,11.6,11.6,11.57,11.5929,1770
1570202100000,11.6,11.6,11.57,11.59,3904
1570203000000,11.58,11.59,11.57,11.58,1619
1570203900000,11.58,11.61,11.57,11.61,10467
1570204800000,11.64,11.72,11.64,11.72,3200
1570205700000,11.695,11.71,11.695,11.71,300
1570206600000,11.75,11.76,11.75,11.76,1100
1570207500000,11.7418,11.76,11.73,11.76,2700
1570208400000,11.75,11.755,11.74,11.755,2424
1570209300000,11.75,11.76,11.75,11.76,2913
1570210200000,11.76,11.79,11.76,11.78,2600
1570211100000,11.78,11.8,11.78,11.785,7415
1570212000000,11.78,11.785,11.71,11.71,1185
1570212900000,11.69,11.7,11.69,11.69,1100
1570213800000,11.69,11.69,11.67,11.67,600
1570214700000,11.66,11.6618,11.64,11.64,6374
1570215600000,11.64,11.64,11.62,11.635,1200
1570216500000,11.64,11.66,11.62,11.65,2180
1570217400000,11.67,11.71,11.66,11.68,2482
1570218300000,11.7,11.7,11.67,11.69,9942
1570455000000,11.65,11.65,11.65,11.65,2410
1570455900000,11.7,11.71,11.69,11.69,1992
1570456800000,11.67,11.675,11.67,11.675,200
1570459500000,11.7,11.72,11.67,11.71,1149
1570460400000,11.7,11.7,11.7,11.7,300
1570461300000,11.7,11.71,11.7,11.71,300
1570462200000,11.71,11.72,11.7,11.705,2399
1570463100000,11.71,11.71,11.66,11.67,1800
1570464000000,11.65,11.65,11.65,11.65,1300
1570464900000,11.66,11.66,11.65,11.655,839
1570465800000,11.66,11.66,11.6404,11.66,2159
1570466700000,11.66,11.66,11.66,11.66,100
1570467600000,11.6715,11.68,11.66,11.68,10828
1570468500000,11.68,11.68,11.67,11.67,470
1570469400000,11.68,11.71,11.68,11.7,4204
1570470300000,11.7,11.7,11.69,11.69,200
1570471200000,11.66,11.66,11.64,11.65,1800
1570472100000,11.64,11.66,11.64,11.66,600
1570473000000,11.67,11.67,11.67,11.67,100
1570473900000,11.66,11.7,11.64,11.69,2451
1570474800000,11.69,11.7,11.69,11.7,400
1570475700000,11.7,11.7,11.7,11.7,200
1570476600000,11.695,11.7,11.67,11.67,3346
1570477500000,11.68,11.7,11.65,11.65,12867
1570541400000,11.6,11.72,11.6,11.72,2159
1570542300000,11.63,11.63,11.57,11.595,1650
1570543200000,11.59,11.64,11.565,11.64,4861
1570544100000,11.65,11.66,11.63,11.63,1101
1570545000000,11.64,11.64,11.58,11.58,1800
1570545900000,11.58,11.65,11.5794,11.65,5711
1570546800000,11.63,11.63,11.62,11.62,700
1570547700000,11.62,11.66,11.58,11.58,2226
1570548600000,11.57,11.6,11.57,11.6,1426
1570549500000,11.61,11.65,11.61,11.65,1800
1570550400000,11.67,11.68,11.66,11.68,3277
1570551300000,11.68,11.71,11.68,11.71,796
1570552200000,11.7,11.72,11.69,11.69,1983
