datetime,open,high,low,close,volume
1591968600000,11.0,11.09,10.62,11.06,244254
1591969500000,11.06,11.08,10.91,11.02,217572
1591970400000,11.04,11.055,10.915,10.93,106496
1591971300000,10.93,11.0,10.9,10.92,172930
1591972200000,10.92,10.93,10.605,10.69,59417
1591973100000,10.66,10.76,10.48,10.49,55048
1591974000000,10.49,10.665,10.42,10.5,177368
1591974900000,10.5,10.59,10.46,10.52,80858
1591975800000,10.52,10.58,10.505,10.51,106853
1591976700000,10.505,10.76,10.5,10.755,58703
1591977600000,10.765,10.85,10.72,10.84,112999
1591978500000,10.835,11.04,10.82,11.0,90451
1591979400000,11.005,11.02,10.96,10.985,110525
1591980300000,10.99,11.0,10.9225,11.0,85143
1591981200000,11.0,11.03,10.96,11.01,62665
1591982100000,11.015,11.04,10.9901,11.02,53365
1591983000000,11.02,11.03,10.86,10.9,52795
1591983900000,10.89,10.895,10.78,10.78,62854
1591984800000,10.79,10.96,10.785,10.915,98881
1591985700000,10.9,10.955,10.86,10.885,44326
1591986600000,10.885,10.94,10.7,10.825,89168
1591987500000,10.825,10.96,10.825,10.9401,91587
1591988400000,10.94,11.04,10.92,11.035,118307
1591989300000,11.035,11.035,10.96,10.9625,52623
1591990200000,10.965,11.02,10.95,11.0,128871
1591991100000,10.995,11.11,10.995,11.1,219926
