datetime,open,high,low,close,volume
1569504600000,13.53,13.53,13.431,13.431,10156
1569505500000,13.43,13.43,13.4,13.41,1700
1569506400000,13.41,13.44,13.32,13.32,5800
1569507300000,13.325,13.335,13.27,13.31,10150
1569508200000,13.33,13.33,13.3,13.3,3747
1569509100000,13.315,13.39,13.31,13.33,44603
1569510000000,13.33,13.33,13.25,13.27,6062
1569510900000,13.27,13.28,13.24,13.24,7266
1569511800000,13.245,13.295,13.245,13.27,4188
1569512700000,13.26,13.28,13.25,13.28,9455
1569513600000,13.27,13.3,13.25,13.28,19042
1569514500000,13.28,13.33,13.28,13.33,3700
1569515400000,13.31,13.35,13.31,13.34,4270
1569516300000,13.35,13.35,13.31,13.34,2000
1569517200000,13.34,13.36,13.3123,13.33,2342
1569518100000,13.33,13.33,13.3,13.31,3590
1569519000000,13.31,13.37,13.31,13.36,18571
1569519900000,13.36,13.4,13.35,13.4,8913
1569520800000,13.41,13.46,13.4,13.43,13173
1569521700000,13.44,13.475,13.4301,13.47,11079
1569522600000,13.465,13.52,13.465,13.49,10810
1569523500000,13.48,13.5,13.46,13.46,3301
1569524400000,13.46,13.52,13.46,13.5,13277
1569525300000,13.52,13.56,13.51,13.54,20168
1569526200000,13.545,13.56,13.525,13.53,19635
1569527100000,13.52,13.54,13.47,13.48,112544
1569591000000,13.45,13.5,13.35,13.47,14741
1569591900000,13.4725,13.505,13.41,13.47,8734
1569592800000,13.46,13.51,13.42,13.5,5563
1569593700000,13.5,13.53,13.465,13.5,8814
1569594600000,13.51,13.55,13.49,13.55,4311
1569595500000,13.54,13.58,13.54,13.575,6166
1569596400000,13.58,13.585,13.505,13.505,7127
1569597300000,13.5076,13.53,13.5,13.53,6506
1569598200000,13.525,13.53,13.37,13.45,16000
1569599100000,13.44,13.52,13.43,13.4956,5284
1569600000000,13.48,13.49,13.44,13.48,8358
1569600900000,13.49,13.495,13.46,13.46,3461
1569601800000,13.45,13.475,13.43,13.44,7541
1569602700000,13.45,13.455,13.34,13.34,12974
1569603600000,13.34,13.375,13.31,13.375,8126
1569604500000,13.37,13.4,13.36,13.4,8175
1569605400000,13.4,13.4,13.355,13.39,10873
1569606300000,13.38,13.4,13.36,13.39,11051
1569607200000,13.4,13.4,13.345,13.36,8979
