datetime,open,high,low,close,volume
1591968600000,13.84,13.84,13.0,13.4,214697
1591969500000,13.4,13.41,13.11,13.26,75763
1591970400000,13.275,13.49,13.26,13.28,95075
1591971300000,13.2575,13.37,13.24,13.3,35110
1591972200000,13.305,13.4,13.195,13.397,79283
1591973100000,13.39,13.4565,13.01,13.01,62125
1591974000000,13.02,13.2,13.0,13.145,92500
1591974900000,13.145,13.18,12.84,13.12,96440
1591975800000,13.12,13.27,13.03,13.225,29072
1591976700000,13.22,13.46,13.22,13.46,65867
1591977600000,13.465,13.5,13.375,13.47,41355
1591978500000,13.47,13.52,13.34,13.43,49496
1591979400000,13.42,13.51,13.29,13.44,31489
1591980300000,13.43,13.59,13.31,13.54,43754
1591981200000,13.5,13.52,13.35,13.52,27233
1591982100000,13.5,13.5267,13.41,13.44,24159
1591983000000,13.45,13.47,13.22,13.27,35526
1591983900000,13.2601,13.28,13.0,13.02,70922
1591984800000,13.01,13.17,13.01,13.12,84132
1591985700000,13.125,13.19,13.085,13.14,46662
1591986600000,13.14,13.17,13.01,13.1,191993
1591987500000,13.115,13.26,13.115,13.205,58007
1591988400000,13.205,13.315,13.2,13.29,55987
1591989300000,13.29,13.294,13.1201,13.16,94130
1591990200000,13.16,13.23,13.13,13.17,81332
1591991100000,13.175,13.3,13.175,13.22,255673
