datetime,open,high,low,close,volume
1569504600000,18.15,18.675,18.15,18.675,654
1569505500000,18.2499,18.555,18.2499,18.445,500
1569506400000,18.315,18.315,18.0,18.05,4095
1569507300000,18.255,18.265,17.96,17.96,1585
1569508200000,17.96,18.315,17.8,17.91,2712
1569509100000,17.85,18.255,17.84,18.08,2500
1569510000000,18.0,18.12,17.95,18.12,2300
1569510900000,18.185,18.185,18.05,18.09,1300
1569511800000,18.04,18.135,17.95,18.05,3700
1569512700000,18.02,18.15,18.0,18.145,2200
1569513600000,18.06,18.07,17.68,17.95,7405
1569514500000,17.96,18.105,17.95,18.05,2680
1569515400000,18.11,18.11,18.0,18.05,2200
1569516300000,18.0,18.0,17.99,17.99,300
1569517200000,17.99,18.23,17.99,18.0,3753
1569518100000,18.01,18.02,17.93,17.965,5761
1569519000000,17.99,18.0955,17.98,18.01,2000
1569519900000,18.2875,18.2875,18.01,18.1,3700
1569520800000,18.05,18.13,18.01,18.01,3203
1569521700000,18.04,18.1,18.01,18.05,1500
1569522600000,18.07,18.07,17.99,17.99,1900
1569523500000,17.99,18.115,17.99,18.0,1700
1569524400000,18.0,18.125,18.0,18.0,2300
1569525300000,18.02,18.02,17.87,17.88,6307
1569526200000,17.9,18.0,17.9,17.94,1580
1569527100000,17.94,18.135,17.9,18.13,9875
1569591000000,18.09,18.09,18.09,18.09,329
1569596400000,18.395,18.47,18.395,18.415,1500
1569597300000,18.32,18.48,18.15,18.2,24683
1569598200000,18.15,18.15,18.0,18.0,3100
1569599100000,18.02,18.23,18.0,18.0,9299
1569600000000,18.02,18.07,18.005,18.005,700
1569600900000,18.0,18.07,17.88,17.9,16712
1569601800000,17.995,18.11,17.975,17.975,800
1569602700000,18.08,18.14,17.995,18.015,1217
1569603600000,18.0,18.0,18.0,18.0,100
1569604500000,18.06,18.135,18.04,18.04,1300
1569605400000,18.02,18.15,18.02,18.1002,1200
1569606300000,18.06,18.325,18.06,18.17,3077
1569607200000,18.17,18.3,18.03,18.07,4210
1569608100000,18.07,18.26,18.07,18.26,800
1569609000000,18.09,18.12,18.03,18.05,1200
1569609900000,18.07,18.25,18.05,18.06,3100
1569610800000,18.06,18.16,18.02,18.07,1200
1569611700000,18.03,18.095,18.01,18.03,1700
1569612600000,18.01,18.095,18.0,18.055,2916
1569613500000,18.07,18.17,18.04,18.16,6095
1569850200000,18.02,18.4,17.82,18.09,1868
1569851100000,18.04,18.49,18.0,18.22,4200
1569852000000,18.03,18.425,17.75,18.0,5000
1569852900000,18.03,18.03,17.86,17.9906,600
1569853800000,17.94,17.94,17.94,17.94,200
1569854700000,17.9,17.93,17.81,17.81,800
1569855600000,17.83,17.88,17.5929,17.88,1500
1569856500000,17.74,17.95,17.73,17.95,1700
1569857400000,17.86,17.93,17.8,17.8,800
1569858300000,17.85,17.87,17.76,17.76,800
1569859200000,17.8,17.99,17.655,17.75,7807
1569860100000,17.75,17.82,17.57,17.57,600
1569861000000,17.78,17.94,17.78,17.8,700
1569861900000,17.79,18.09,17.6,17.97,3530
1569862800000,17.96,18.08,17.9,18.08,2600
1569863700000,17.94,17.99,17.87,17.91,1212
1569864600000,17.91,17.99,17.775,17.88,3010
1569865500000,17.89,17.89,17.83,17.83,800
1569866400000,17.875,17.93,17.83,17.92,1742
1569867300000,17.865,17.96,17.865,17.9,2259
1569868200000,17.885,18.03,17.885,17.95,2400
1569869100000,17.895,18.21,17.6,17.81,3442
1569870000000,17.85,18.115,17.83,18.02,5075
1569870900000,17.98,18.01,17.82,18.01,2463
1569871800000,17.92,17.97,17.8,17.9,3775
1569872700000,17.89,17.89,17.67,17.82,9061
1569936600000,17.86,17.96,17.555,17.9,4382
1569937500000,17.87,17.98,17.63,17.89,7135
1569938400000,17.92,17.925,17.725,17.795,13630
1569939300000,17.795,17.795,17.71,17.7717,600
1569940200000,17.7717,17.7717,17.65,17.68,10098
1569941100000,17.635,17.68,17.635,17.68,1200
1569942000000,17.55,17.69,17.55,17.67,900
1569942900000,17.585,17.6,17.5682,17.5682,1503
1569943800000,17.65,17.75,17.65,17.65,4573
1569944700000,17.67,17.67,17.67,17.67,200
1569945600000,17.68,17.715,17.65,17.66,13142
1569946500000,17.65,17.685,17.6,17.6,10755
1569947400000,17.6,17.605,17.6,17.6,1800
1569948300000,17.601,17.68,17.57,17.67,12334
1569949200000,17.7,17.7,17.61,17.61,400
1569950100000,17.62,17.63,17.62,17.62,400
1569951000000,17.65,17.73,17.65,17.67,1200
1569951900000,17.715,17.725,17.65,17.65,4792
1569952800000,17.62,17.62,17.62,17.62,100
1569954600000,17.6721,17.68,17.645,17.68,300
1569955500000,17.65,17.65,17.61,17.65,500
1569956400000,17.65,17.65,17.5,17.5,4039
1569957300000,17.47,17.55,17.4206,17.4206,12443
1569958200000,17.45,17.49,17.34,17.42,800
1569959100000,17.385,17.445,17.2,17.2,18543
1570023000000,17.11,17.2353,16.895,16.945,14148
1570023900000,16.82,17.01,16.775,16.885,9411
1570024800000,16.77,17.15,16.77,17.15,17664
1570025700000,17.3681,17.43,16.97,17.25,8463
1570026600000,17.29,17.31,17.17,17.24,9233
1570027500000,17.23,17.2799,17.2,17.22,6600
1570028400000,17.22,17.25,16.96,17.245,16331
1570029300000,17.28,17.28,17.28,17.28,200
1570030200000,17.25,17.3,17.13,17.13,3090
1570031100000,17.06,17.14,17.06,17.06,447
1570032000000,17.16,17.19,17.16,17.19,1452
1570032900000,17.2,17.2,17.145,17.2,870
1570033800000,17.13,17.25,17.13,17.25,1500
1570034700000,17.25,17.26,17.15,17.21,2500
1570035600000,17.23,17.27,17.21,17.22,2200
1570036500000,17.22,17.25,17.17,17.24,1005
1570037400000,17.31,17.39,17.3,17.3,875
1570038300000,17.3,17.41,17.3,17.39,1300
1570039200000,17.39,17.4,17.27,17.35,3500
1570040100000,17.36,17.36,17.305,17.36,1100
1570041000000,17.36,17.36,17.11,17.17,3914
1570041900000,17.25,17.34,17.23,17.23,3800
1570042800000,17.23,17.34,17.23,17.255,2796
1570043700000,17.255,17.3,17.205,17.205,6737
1570044600000,17.205,17.32,17.19,17.25,8859
1570045500000,17.25,17.49,17.22,17.28,11066
1570109400000,17.2,17.34,17.2,17.34,1005
1570111200000,17.5,17.5,16.92,16.92,2700
1570112100000,16.87,17.55,16.87,17.49,6470
1570113000000,17.49,17.53,16.92,16.92,3699
1570113900000,16.93,17.24,16.92,17.115,2629
1570114800000,17.17,17.2,17.01,17.13,4100
1570115700000,17.145,17.37,17.12,17.2,2800
1570116600000,17.25,17.4,17.14,17.14,1300
1570117500000,17.175,17.33,17.06,17.28,1600
1570118400000,17.1,17.235,16.9,16.955,108468
1570119300000,16.985,17.14,16.52,17.14,39776
1570120200000,17.17,17.28,16.85,17.08,32468
1570121100000,16.88,17.2,16.82,16.9,10640
1570122000000,16.97,17.0,16.61,16.75,26627
1570122900000,16.8,17.155,16.8,17.0,2000
1570123800000,16.83,17.0291,16.83,16.84,1291
1570124700000,16.86,16.975,16.83,16.87,1761
1570125600000,16.97,17.57,16.9,17.2,30375
1570126500000,17.4434,17.4434,17.04,17.26,3400
1570127400000,17.395,17.54,17.18,17.4,3543
1570128300000,17.37,17.445,17.3,17.3,1733
1570129200000,17.12,17.315,17.12,17.25,1400
1570130100000,17.17,17.39,17.13,17.13,800
1570131000000,17.285,17.71,17.2,17.68,50836
1570131900000,17.69,17.82,17.55,17.56,56615
1570195800000,17.8,17.8,17.72,17.78,2695
1570196700000,17.78,17.95,17.72,17.95,3900
1570197600000,17.92,17.995,17.55,17.55,7360
1570198500000,17.54,17.67,17.33,17.59,3575
1570199400000,17.57,17.59,17.52,17.52,883
1570200300000,17.28,17.28,17.245,17.245,656
1570201200000,17.235,17.54,17.235,17.52,1774
1570202100000,17.3,17.69,17.24,17.475,2211
1570203000000,17.4,17.4,17.3,17.3,300
1570203900000,17.26,17.3,17.26,17.3,233
1570204800000,17.28,17.44,17.25,17.36,1655
1570205700000,17.28,17.65,17.28,17.65,900
1570206600000,17.32,17.34,17.32,17.32,500
1570207500000,17.28,17.335,17.27,17.27,800
1570208400000,17.28,17.345,17.25,17.27,1300
1570209300000,17.315,17.545,17.28,17.5,8800
1570210200000,17.5,17.7,17.435,17.46,17686
1570211100000,17.425,17.58,17.425,17.51,3938
1570212000000,17.46,17.48,17.44,17.455,445
1570212900000,17.45,17.53,17.41,17.435,3816
1570213800000,17.31,17.32,17.31,17.32,200
1570214700000,17.62,17.66,17.26,17.455,2595
1570215600000,17.2931,17.33,17.29,17.33,749
1570216500000,17.335,17.4,17.3,17.34,2400
1570217400000,17.31,17.41,17.3,17.38,3545
1570218300000,17.42,17.44,17.29,17.29,8516
1570455000000,17.39,17.39,16.85,17.05,11929
1570455900000,17.05,17.3327,16.95,17.05,8392
1570456800000,17.02,17.1,16.97,17.05,5117
1570457700000,17.09,17.24,17.09,17.24,300
1570458600000,17.06,17.29,16.97,16.99,16078
1570459500000,16.9857,17.105,16.9,16.9,8912
1570460400000,16.9,17.145,16.85,16.95,20879
1570461300000,16.97,17.02,16.9,16.9,7951
1570462200000,16.99,16.99,16.85,16.88,4084
1570463100000,16.885,16.95,16.7,16.75,8557
1570464000000,16.74,16.79,16.74,16.75,1400
1570464900000,16.73,16.925,16.72,16.73,26059
1570465800000,16.72,16.78,16.6,16.72,72267
1570466700000,16.63,16.805,16.6,16.75,8100
1570467600000,16.715,16.715,16.665,16.705,1100
1570468500000,16.705,16.75,16.65,16.67,23400
1570469400000,16.75,16.85,16.66,16.68,94162
1570470300000,16.68,16.725,16.65,16.725,6802
1570471200000,16.72,16.7275,16.65,16.67,8953
1570472100000,16.658,16.825,16.65,16.66,39189
1570473000000,16.69,16.78,16.66,16.68,3800
1570473900000,16.77,16.77,16.65,16.65,1400
1570474800000,16.655,16.73,16.59,16.67,69949
1570475700000,16.79,16.79,16.63,16.65,1917
1570476600000,16.66,16.66,16.47,16.52,16590
1570477500000,16.555,16.6,16.49,16.49,37797
1570541400000,16.5,16.86,16.5,16.57,10449
1570542300000,16.61,16.61,16.26,16.27,20355
1570543200000,16.26,16.395,16.04,16.345,22859
1570544100000,16.3277,16.45,16.24,16.35,4723
1570545000000,16.3,16.345,16.22,16.3,4567
1570545900000,16.29,16.305,16.24,16.265,2850
1570546800000,16.24,16.3,16.24,16.29,1600
1570547700000,16.2526,16.31,16.15,16.15,3702
1570548600000,16.11,16.1933,16.05,16.05,2510
1570549500000,16.1,16.23,16.1,16.13,2768
1570550400000,16.14,16.29,16.06,16.255,12730
1570551300000,16.255,16.3,16.09,16.25,6744
1570552200000,16.39,16.4749,16.195,16.205,13199
1570553100000,16.25,16.285,16.25,16.285,10000
1570554000000,16.24,16.275,16.24,16.24,600
1570554900000,16.275,16.275,16.23,16.265,1400
1570555800000,16.27,16.31,16.23,16.24,2027
1570556700000,16.29,16.31,16.23,16.25,8424
1570557600000,16.25,16.42,16.25,16.26,8948
1570558500000,16.34,16.34,16.25,16.25,5609
1570559400000,16.355,16.365,16.2023,16.22,8374
1570560300000,16.25,16.2823,16.22,16.28,4969
1570561200000,16.31,16.31,16.2,16.23,10400
1570562100000,16.22,16.355,16.16,16.255,55987
1570563000000,16.255,16.36,16.21,16.27,41817
1570563900000,16.27,16.295,16.17,16.17,35076
1570627800000,16.19,16.34,16.1,16.1,27103
1570628700000,16.2,16.5,16.2,16.225,4739
1570629600000,16.13,16.31,16.1,16.23,1499
1570630500000,16.27,16.47,16.233,16.233,1627
1570631400000,16.2516,16.33,16.2516,16.33,652
1570633200000,16.495,16.495,16.495,16.495,100
1570634100000,16.39,16.39,16.25,16.25,500
1570635000000,16.3,16.34,16.2,16.27,3600
1570635900000,16.255,16.255,16.2,16.25,427
1570636800000,16.27,16.37,16.25,16.25,1427
1570638600000,16.36,16.39,16.2,16.22,8074
1570639500000,16.2,16.2673,16.15,16.18,5278
1570640400000,16.19,16.2538,16.15,16.2538,15585
1570642200000,16.175,16.22,16.175,16.22,968
1570643100000,16.24,16.25,16.24,16.25,200
1570644000000,16.21,16.21,16.1206,16.19,5381
1570644900000,16.16,16.19,16.16,16.19,900
1570645800000,16.2,16.28,16.2,16.215,2760
1570646700000,16.25,16.33,16.19,16.215,5111
1570647600000,16.21,16.23,16.13,16.22,2099
1570648500000,16.19,16.25,16.185,16.25,941
1570649400000,16.21,16.21,16.16,16.18,1340
1570650300000,16.18,16.21,16.14,16.16,3921
1570714200000,16.1,16.29,16.0902,16.17,2412
1570715100000,16.12,16.21,16.01,16.13,3000
1570716000000,16.11,16.21,16.1,16.1,1600
1570716900000,16.05,16.23,16.04,16.04,44600
1570717800000,16.16,16.2,15.75,15.75,6905
1570718700000,15.75,15.9,15.725,15.7304,5746
1570719600000,15.8,16.01,15.75,16.01,9691
1570720500000,16.0,16.01,15.87,15.975,10071
1570721400000,15.93,16.01,15.89,15.97,3756
1570722300000,15.97,15.97,15.9,15.93,1600
1570723200000,15.95,15.98,15.9,15.9,2500
1570724100000,15.89,16.0,15.825,16.0,16646
1570725000000,16.02,16.07,15.95,15.99,3550
1570725900000,15.96,16.03,15.96,16.0,2153
1570726800000,16.0,16.05,15.98,16.01,1800
1570727700000,16.05,16.05,16.0,16.0,1400
1570728600000,16.02,16.1,16.005,16.07,2502
1570729500000,16.04,16.1,16.04,16.1,1912
1570730400000,16.1,16.36,16.04,16.04,64721
1570731300000,16.125,16.24,16.05,16.1,49311
1570732200000,16.1,16.18,16.085,16.17,9185
1570733100000,16.12,16.195,16.12,16.15,5770
1570734000000,16.12,16.155,16.05,16.15,34587
1570734900000,16.15,16.22,16.11,16.11,7026
1570735800000,16.11,16.11,15.96,16.05,2215
1570736700000,16.05,16.14,15.99,15.99,31591
1570800600000,16.15,16.155,15.846,16.12,2261
1570801500000,16.0,16.11,15.86,16.04,3147
1570802400000,16.14,16.16,16.0,16.08,2500
1570803300000,16.0,16.1041,15.98,16.0,7038
1570804200000,15.965,15.965,15.69,15.75,3750
1570805100000,15.73,15.7884,15.73,15.7884,900
1570806000000,15.8,15.95,15.8,15.95,3090
1570806900000,15.98,15.98,15.85,15.9,12569
1570807800000,15.81,16.065,15.81,15.84,21895
1570808700000,15.9,16.0,15.9,15.91,8246
1570809600000,15.98,16.0,15.97,15.97,1363
1570810500000,15.9,15.96,15.84,15.84,3202
1570811400000,15.86,15.86,15.83,15.83,1200
1570812300000,15.83,15.915,15.83,15.9,13695
1570813200000,15.9,15.9257,15.67,15.68,2113
1570814100000,15.6245,15.67,15.59,15.67,1781
1570815000000,15.66,15.66,15.51,15.51,11456
1570815900000,15.64,15.64,15.6,15.64,700
1570816800000,15.66,15.66,15.57,15.625,1600
1570817700000,15.63,15.95,15.6,15.67,3984
1570818600000,15.835,15.835,15.74,15.74,493
1570819500000,15.74,15.88,15.74,15.88,1444
1570820400000,15.88,16.025,15.74,16.025,2905
1570821300000,16.0,16.02,15.86,15.915,400
1570822200000,15.84,16.04,15.785,16.0,10056
1570823100000,16.006,16.01,15.76,15.8,24655
1571059800000,15.71,15.71,15.2,15.2,3309
1571060700000,15.51,15.51,15.17,15.3,7129
1571061600000,15.4,15.87,15.25,15.87,5875
1571062500000,15.56,16.02,15.51,15.51,4518
1571063400000,15.51,15.71,15.5,15.71,1558
1571064300000,15.7,15.84,15.54,15.595,29752
1571065200000,15.58,15.8015,15.575,15.575,2400
1571066100000,15.69,15.78,15.56,15.63,1305
1571067000000,15.6,15.68,15.51,15.53,3100
1571067900000,15.68,15.68,15.68,15.68,700
1571068800000,15.705,15.705,15.59,15.59,200
1571069700000,15.6567,15.66,15.6567,15.66,287
1571070600000,15.66,15.9,15.66,15.9,31746
1571071500000,15.89,15.99,15.76,15.76,5107
1571072400000,15.94,15.94,15.7136,15.79,1000
1571073300000,15.79,15.96,15.785,15.94,1988
1571074200000,15.87,15.95,15.83,15.9,2600
1571075100000,15.93,15.93,15.8,15.82,5048
1571076000000,15.88,15.95,15.83,15.83,1900
1571076900000,15.8,15.8,15.6001,15.8,14122
1571077800000,15.8,15.8,15.615,15.71,3800
1571078700000,15.7,15.75,15.67,15.75,3300
1571079600000,15.685,15.685,15.6,15.6,4266
1571080500000,15.64,15.69,15.575,15.575,800
1571081400000,15.5,15.61,15.5,15.55,2100
1571082300000,15.55,15.6499,15.5,15.5,7914
1571146200000,15.46,15.46,15.1,15.3001,4895
1571147100000,15.33,15.48,15.21,15.35,4031
1571148000000,15.35,15.435,15.26,15.435,2969
1571148900000,15.4,15.645,15.4,15.59,30100
1571149800000,15.53,15.9,15.51,15.63,58195
1571150700000,15.62,15.7,15.55,15.635,11600
1571151600000,15.7,15.73,15.63,15.65,800
1571152500000,15.715,15.76,15.6,15.65,27236
1571153400000,15.62,15.67,15.57,15.67,1200
1571154300000,15.5565,15.5565,15.51,15.55,1440
1571155200000,15.51,15.55,15.5,15.55,1000
1571156100000,15.64,15.65,15.58,15.58,500
1571157000000,15.58,15.6,15.52,15.54,700
1571157900000,15.53,15.575,15.52,15.55,500
1571158800000,15.53,15.6,15.53,15.53,800
1571159700000,15.62,15.62,15.5,15.54,35432
1571160600000,15.54,15.59,15.5,15.5,4500
1571161500000,15.5,15.52,15.45,15.5,68597
1571162400000,15.5,15.565,15.46,15.5,5908
1571163300000,15.5,15.57,15.5,15.57,3000
1571164200000,15.57,15.6,15.54,15.59,4776
1571165100000,15.585,15.585,15.5,15.5,7235
1571166000000,15.505,15.52,15.5,15.5,2900
1571166900000,15.515,15.515,15.48,15.48,2799
1571167800000,15.48,15.48,15.45,15.47,4365
1571168700000,15.49,15.5396,15.47,15.52,9838
1571232600000,15.46,15.46,15.46,15.46,372
1571233500000,15.37,15.51,15.28,15.48,13383
1571234400000,15.45,15.5,15.35,15.415,6532
1571235300000,15.42,15.425,15.35,15.42,500
1571236200000,15.43,15.43,15.32,15.32,500
1571237100000,15.31,15.46,15.24,15.3299,9196
1571238000000,15.27,15.41,15.23,15.29,6104
1571238900000,15.3,15.3931,15.18,15.18,2992
1571239800000,15.185,15.39,15.17,15.25,12562
1571240700000,15.29,15.29,15.25,15.25,1800
1571241600000,15.25,15.25,15.12,15.15,21121
1571242500000,15.24,15.345,15.1343,15.25,23899
1571243400000,15.25,15.345,15.175,15.33,5614
1571244300000,15.31,15.31,15.24,15.265,5100
1571245200000,15.26,15.29,15.18,15.21,16993
1571246100000,15.19,15.23,15.18,15.2,3300
1571247000000,15.2,15.26,15.195,15.245,2400
1571247900000,15.24,15.26,15.11,15.18,37050
1571248800000,15.225,15.31,15.1,15.26,15419
1571249700000,15.28,15.37,15.19,15.265,57193
1571250600000,15.29,15.29,15.23,15.27,15481
1571251500000,15.265,15.305,15.26,15.28,3600
1571252400000,15.3,15.33,15.24,15.3,1400
1571253300000,15.19,15.26,15.19,15.23,5138
