datetime,open,high,low,close,volume
1569504600000,13.98,13.98,13.75,13.77,2245
1569505500000,13.8,14.0,13.74,13.74,1700
1569506400000,13.82,13.82,13.74,13.78,2958
1569507300000,13.76,13.82,13.74,13.82,1600
1569508200000,13.78,13.78,13.7,13.72,1700
1569509100000,13.7,13.73,13.6,13.61,10080
1569510000000,13.6,13.625,13.5,13.53,13267
1569510900000,13.5,13.5,13.445,13.46,3478
1569511800000,13.45,13.52,13.44,13.51,9531
1569512700000,13.5,13.51,13.44,13.44,8203
1569513600000,13.4769,13.52,13.46,13.48,5915
1569514500000,13.48,13.53,13.48,13.5,3600
1569515400000,13.485,13.53,13.48,13.49,4700
1569516300000,13.48,13.495,13.44,13.48,6298
1569517200000,13.5039,13.5039,13.42,13.45,2600
1569518100000,13.4369,13.45,13.4,13.42,5120
1569519000000,13.41,13.45,13.3838,13.43,7000
1569519900000,13.43,13.44,13.4,13.43,3757
1569520800000,13.45,13.47,13.41,13.45,1900
1569521700000,13.47,13.51,13.46,13.51,5131
1569522600000,13.5,13.54,13.48,13.53,6495
1569523500000,13.55,13.61,13.55,13.61,3800
1569524400000,13.58,13.65,13.58,13.63,3364
1569525300000,13.64,13.69,13.6,13.65,9847
1569526200000,13.65,13.66,13.51,13.51,10207
1569527100000,13.52,13.54,13.48,13.52,18808
1569591000000,13.57,13.6901,13.57,13.69,3476
1569591900000,13.645,13.645,13.54,13.54,525
1569592800000,13.5,13.67,13.5,13.635,5318
1569593700000,13.63,13.74,13.58,13.74,1811
1569594600000,13.77,13.83,13.725,13.725,6891
1569595500000,13.73,13.79,13.7,13.79,12592
1569596400000,13.82,13.8699,13.79,13.8,11674
1569597300000,13.7985,13.81,13.74,13.76,3985
1569598200000,13.795,13.81,13.63,13.71,2500
1569599100000,13.71,13.8,13.68,13.7,2400
1569600000000,13.71,13.75,13.68,13.75,3206
1569600900000,13.75,13.77,13.71,13.75,3017
1569601800000,13.735,13.74,13.71,13.71,3100
1569602700000,13.71,13.72,13.66,13.66,3949
1569603600000,13.63,13.78,13.63,13.77,2201
1569604500000,13.78,13.78,13.72,13.76,4107
1569605400000,13.75,13.81,13.75,13.8,9869
