datetime,open,high,low,close,volume
1569504600000,16.78,16.84,16.75,16.78,21963
1569505500000,16.78,16.8,16.72,16.73,18333
1569506400000,16.74,16.765,16.73,16.74,34015
1569507300000,16.74,16.77,16.74,16.755,12269
1569508200000,16.75,16.76,16.735,16.745,49850
1569509100000,16.75,16.755,16.73,16.74,26678
1569510000000,16.75,16.75,16.715,16.725,12812
1569510900000,16.7263,16.73,16.7,16.72,12931
1569511800000,16.72,16.72,16.68,16.7,37258
1569512700000,16.69,16.7,16.675,16.69,15321
1569513600000,16.69,16.72,16.68,16.695,29173
1569514500000,16.7,16.71,16.69,16.71,18252
1569515400000,16.7,16.73,16.69,16.72,21690
1569516300000,16.72,16.76,16.7,16.75,46801
1569517200000,16.755,16.77,16.74,16.74,12470
1569518100000,16.745,16.76,16.74,16.74,9635
1569519000000,16.75,16.75,16.72,16.72,20993
1569519900000,16.72,16.74,16.7,16.74,19302
1569520800000,16.74,16.75,16.73,16.74,6509
1569521700000,16.7397,16.75,16.73,16.73,57385
1569522600000,16.735,16.74,16.705,16.725,26304
1569523500000,16.725,16.73,16.695,16.7,55467
1569524400000,16.7,16.71,16.69,16.69,167139
1569525300000,16.69,16.73,16.69,16.715,30463
1569526200000,16.715,16.72,16.69,16.695,36550
1569527100000,16.695,16.7,16.67,16.68,255192
1569591000000,16.69,16.75,16.675,16.69,19859
1569591900000,16.69,16.71,16.64,16.65,11060
1569592800000,16.65,16.65,16.61,16.62,7618
1569593700000,16.62,16.62,16.59,16.595,18955
1569594600000,16.6,16.62,16.595,16.615,5683
1569595500000,16.62,16.62,16.58,16.58,11869
1569596400000,16.585,16.6,16.58,16.595,25178
1569597300000,16.59,16.6,16.58,16.59,16814
1569598200000,16.59,16.59,16.525,16.53,45317
1569599100000,16.52,16.54,16.505,16.54,14066
1569600000000,16.53,16.54,16.52,16.53,6635
1569600900000,16.52,16.54,16.51,16.525,19234
1569601800000,16.52,16.54,16.52,16.52,12122
1569602700000,16.525,16.53,16.485,16.49,36418
1569603600000,16.48,16.505,16.48,16.505,10124
1569604500000,16.505,16.53,16.485,16.52,45148
1569605400000,16.51,16.5154,16.48,16.5,21304
1569606300000,16.51,16.52,16.49,16.515,9398
1569607200000,16.51,16.51,16.49,16.505,8673
1569608100000,16.5,16.51,16.4999,16.5,30106
1569609000000,16.495,16.5,16.47,16.47,10830
1569609900000,16.47,16.48,16.45,16.45,13719
1569610800000,16.455,16.46,16.42,16.425,16018
1569611700000,16.42,16.43,16.4,16.405,16768
1569612600000,16.405,16.43,16.39,16.425,59649
1569613500000,16.425,16.48,16.42,16.47,64853
1569850200000,16.45,16.475,16.35,16.4,33870
1569851100000,16.39,16.43,16.37,16.42,20813
1569852000000,16.42,16.42,16.385,16.4076,44625
1569852900000,16.405,16.41,16.38,16.38,18270
1569853800000,16.38,16.39,16.37,16.385,13035
1569854700000,16.385,16.385,16.35,16.36,27112
1569855600000,16.355,16.38,16.355,16.365,13430
1569856500000,16.36,16.36,16.33,16.355,17572
1569857400000,16.355,16.36,16.325,16.335,22299
1569858300000,16.34,16.36,16.335,16.355,22886
1569859200000,16.35,16.4,16.35,16.38,16180
1569860100000,16.39,16.44,16.39,16.435,22139
1569861000000,16.435,16.44,16.415,16.425,11563
1569861900000,16.43,16.46,16.42,16.44,8772
1569862800000,16.45,16.475,16.44,16.445,10973
1569863700000,16.44,16.45,16.43,16.44,7355
1569864600000,16.447,16.46,16.44,16.45,8069
1569865500000,16.44,16.46,16.43,16.455,39851
1569866400000,16.46,16.485,16.45,16.465,29575
1569867300000,16.465,16.48,16.42,16.43,325032
1569868200000,16.43,16.45,16.43,16.435,19819
1569869100000,16.44,16.45,16.43,16.43,15413
1569870000000,16.435,16.465,16.43,16.45,28757
1569870900000,16.45,16.455,16.44,16.44,18097
1569871800000,16.44,16.465,16.43,16.455,71302
1569872700000,16.455,16.46,16.405,16.42,132154
1569936600000,16.43,16.54,16.41,16.49,53505
1569937500000,16.5,16.525,16.48,16.52,25204
1569938400000,16.51,16.54,16.48,16.485,23981
1569939300000,16.49,16.505,16.47,16.505,11839
1569940200000,16.505,16.535,16.495,16.51,12170
1569941100000,16.515,16.555,16.515,16.555,9202
1569942000000,16.55,16.555,16.53,16.55,7812
1569942900000,16.55,16.59,16.55,16.585,16742
1569943800000,16.58,16.62,16.57,16.57,15771
1569944700000,16.57,16.575,16.55,16.555,5446
1569945600000,16.55,16.55,16.535,16.55,9997
1569946500000,16.55,16.56,16.54,16.54,19093
1569947400000,16.54,16.55,16.51,16.51,7626
1569948300000,16.51,16.515,16.47,16.475,33453
1569949200000,16.47,16.47,16.405,16.405,8911
1569950100000,16.41,16.425,16.41,16.41,18567
1569951000000,16.41,16.415,16.38,16.415,26197
1569951900000,16.41,16.41,16.39,16.395,14038
1569952800000,16.39,16.395,16.35,16.385,21120
1569953700000,16.39,16.39,16.37,16.385,14194
1569954600000,16.39,16.405,16.37,16.39,9831
1569955500000,16.385,16.4082,16.385,16.4,18401
1569956400000,16.41,16.425,16.4,16.42,14486
1569957300000,16.42,16.46,16.41,16.45,22939
1569958200000,16.455,16.46,16.43,16.45,54567
1569959100000,16.455,16.48,16.45,16.46,91259
1570023000000,16.4,16.47,16.33,16.42,42595
1570023900000,16.42,16.43,16.3665,16.38,23666
1570024800000,16.3749,16.4,16.34,16.4,24184
1570025700000,16.395,16.42,16.39,16.39,13017
1570026600000,16.38,16.385,16.34,16.35,20243
1570027500000,16.35,16.36,16.34,16.35,9906
1570028400000,16.355,16.37,16.35,16.37,6201
1570029300000,16.365,16.38,16.355,16.36,10226
1570030200000,16.36,16.36,16.315,16.315,6482
1570031100000,16.31,16.34,16.31,16.32,29542
1570032000000,16.32,16.335,16.3,16.3,12140
1570032900000,16.3,16.31,16.28,16.31,14512
1570033800000,16.31,16.31,16.29,16.3,10525
1570034700000,16.3,16.33,16.28,16.33,18786
1570035600000,16.325,16.345,16.32,16.33,15618
1570036500000,16.33,16.33,16.315,16.32,6385
1570037400000,16.32,16.34,16.32,16.32,9341
1570038300000,16.32,16.34,16.3,16.335,13461
1570039200000,16.33,16.34,16.32,16.32,14581
1570040100000,16.32,16.33,16.31,16.31,19680
1570041000000,16.31,16.33,16.305,16.32,10264
1570041900000,16.325,16.33,16.31,16.31,9636
1570042800000,16.31,16.3251,16.3,16.3251,14680
1570043700000,16.32,16.335,16.3,16.335,27643
1570044600000,16.335,16.34,16.33,16.335,17971
1570045500000,16.335,16.35,16.3,16.35,117181
1570109400000,16.33,16.46,16.33,16.44,25397
1570110300000,16.44,16.445,16.4,16.42,15600
1570111200000,16.41,16.41,16.275,16.28,30792
1570112100000,16.28,16.28,16.25,16.26,14059
1570113000000,16.26,16.265,16.235,16.24,33607
1570113900000,16.245,16.285,16.24,16.275,18373
1570114800000,16.28,16.41,16.275,16.41,61542
1570115700000,16.4,16.41,16.365,16.365,5676
1570116600000,16.365,16.37,16.3,16.33,12432
1570117500000,16.35,16.35,16.32,16.34,9592
1570118400000,16.35,16.38,16.34,16.365,23785
1570119300000,16.365,16.365,16.34,16.365,8577
1570120200000,16.365,16.39,16.36,16.38,11277
1570121100000,16.39,16.4,16.38,16.385,9392
1570122000000,16.38,16.38,16.37,16.37,4062
1570122900000,16.375,16.38,16.37,16.375,3900
1570123800000,16.3701,16.38,16.35,16.375,5974
1570124700000,16.38,16.39,16.37,16.37,8980
1570125600000,16.37,16.39,16.36,16.38,7017
1570126500000,16.385,16.39,16.38,16.385,6888
1570127400000,16.38,16.395,16.38,16.395,7166
1570128300000,16.3965,16.4,16.355,16.36,14792
1570129200000,16.365,16.37,16.35,16.35,7958
1570130100000,16.35,16.36,16.34,16.35,34120
1570131000000,16.34,16.35,16.32,16.335,27745
1570131900000,16.335,16.38,16.33,16.38,78703
1570195800000,16.34,16.43,16.3,16.4,13482
1570196700000,16.4,16.41,16.38,16.4,11110
1570197600000,16.41,16.42,16.39,16.41,13513
1570198500000,16.4,16.44,16.39,16.39,19740
1570199400000,16.395,16.41,16.38,16.38,16450
1570200300000,16.38,16.395,16.37,16.38,6102
1570201200000,16.38,16.39,16.36,16.39,6328
1570202100000,16.39,16.435,16.39,16.42,27633
1570203000000,16.42,16.43,16.41,16.41,7545
1570203900000,16.4033,16.44,16.4033,16.43,6406
1570204800000,16.43,16.445,16.42,16.42,7031
1570205700000,16.415,16.45,16.415,16.445,16796
1570206600000,16.44,16.45,16.44,16.44,13102
1570207500000,16.44,16.47,16.44,16.465,6941
