datetime,open,high,low,close,volume
1569504600000,13.78,14.05,13.75,13.98,33988
1569505500000,13.97,13.98,13.83,13.87,10360
1569506400000,13.85,13.86,13.77,13.79,8936
1569507300000,13.7836,13.82,13.72,13.756,4733
1569508200000,13.78,13.81,13.65,13.66,11513
1569509100000,13.67,13.73,13.64,13.73,4006
1569510000000,13.74,13.82,13.67,13.67,2510
1569510900000,13.69,13.76,13.66,13.74,3924
1569511800000,13.72,13.75,13.64,13.64,10396
1569512700000,13.65,13.69,13.61,13.61,3647
1569513600000,13.61,13.6302,13.55,13.6,23471
1569514500000,13.59,13.67,13.57,13.66,12133
1569515400000,13.65,13.66,13.56,13.58,5750
1569516300000,13.58,13.65,13.56,13.64,3516
1569517200000,13.65,13.65,13.58,13.6,10022
1569518100000,13.59,13.69,13.59,13.69,3134
1569519000000,13.68,13.69,13.63,13.63,2721
1569519900000,13.62,13.63,13.6,13.61,2450
1569520800000,13.63,13.64,13.61,13.61,3078
1569521700000,13.62,13.7,13.58,13.585,13043
1569522600000,13.58,13.5884,13.5,13.5197,13560
1569523500000,13.5,13.55,13.46,13.55,35888
1569524400000,13.57,13.57,13.53,13.54,2494
1569525300000,13.55,13.57,13.51,13.52,3491
1569526200000,13.51,13.51,13.42,13.47,26161
1569527100000,13.49,13.49,13.42,13.44,31850
1569591000000,13.2,13.22,13.0,13.21,130717
1569591900000,13.21,13.31,13.135,13.28,20614
1569592800000,13.29,13.39,13.245,13.39,12437
1569593700000,13.38,13.39,13.275,13.2792,10305
1569594600000,13.2735,13.33,13.22,13.33,11888
1569595500000,13.33,13.4,13.29,13.4,11456
1569596400000,13.42,13.45,13.21,13.2661,12547
1569597300000,13.25,13.31,13.17,13.19,12263
1569598200000,13.15,13.39,13.13,13.34,16629
1569599100000,13.34,13.36,13.2401,13.28,3845
1569600000000,13.26,13.2802,13.1906,13.24,4982
1569600900000,13.25,13.29,13.225,13.24,4088
1569601800000,13.2221,13.33,13.2221,13.29,6797
1569602700000,13.3,13.3671,13.3,13.33,10264
1569603600000,13.33,13.3652,13.26,13.3,7800
1569604500000,13.31,13.38,13.31,13.35,5110
1569605400000,13.36,13.44,13.35,13.39,17340
1569606300000,13.4,13.401,13.34,13.34,2799
1569607200000,13.34,13.4,13.33,13.34,5000
1569608100000,13.3303,13.34,13.275,13.2943,4904
1569609000000,13.28,13.3573,13.28,13.35,9476
1569609900000,13.36,13.38,13.33,13.38,6302
1569610800000,13.3744,13.38,13.34,13.34,19961
1569611700000,13.34,13.35,13.2726,13.28,7552
1569612600000,13.3,13.3,13.23,13.26,13722
1569613500000,13.265,13.28,13.18,13.22,30472
1569850200000,13.01,13.16,12.96,13.1287,37187
1569851100000,13.16,13.2,13.0672,13.09,13473
1569852000000,13.06,13.13,13.0191,13.0191,12159
1569852900000,13.01,13.02,12.96,13.01,10050
1569853800000,13.02,13.02,12.92,12.97,53740
1569854700000,12.98,12.98,12.81,12.83,59064
1569855600000,12.85,12.87,12.6672,12.6672,37603
1569856500000,12.6821,12.72,12.64,12.64,20798
1569857400000,12.64,12.6581,12.56,12.64,9696
1569858300000,12.645,12.66,12.52,12.54,18387
1569859200000,12.55,12.6,12.52,12.6,17511
1569860100000,12.6,12.73,12.57,12.69,11889
1569861000000,12.68,12.72,12.64,12.67,13858
1569861900000,12.68,12.6981,12.6,12.66,14065
1569862800000,12.62,12.64,12.56,12.58,20043
1569863700000,12.59,12.61,12.53,12.57,8919
1569864600000,12.57,12.58,12.5102,12.52,9429
1569865500000,12.53,12.6,12.52,12.59,14611
1569866400000,12.59,12.6199,12.56,12.61,13872
1569867300000,12.62,12.67,12.62,12.65,4990
1569868200000,12.67,12.72,12.63,12.72,5643
1569869100000,12.71,12.7342,12.634,12.67,17436
1569870000000,12.66,12.69,12.61,12.61,11314
1569870900000,12.6227,12.69,12.61,12.66,14718
1569871800000,12.67,12.68,12.6,12.6015,16135
1569872700000,12.61,12.665,12.6,12.64,28893
1569936600000,12.5,12.65,12.38,12.38,88225
1569937500000,12.38,12.47,12.287,12.37,38804
1569938400000,12.42,12.77,12.4,12.75,32713
1569939300000,12.755,12.805,12.69,12.77,23519
1569940200000,12.8,12.9297,12.7244,12.8751,28988
1569941100000,12.91,12.9122,12.74,12.86,18794
1569942000000,12.85,12.895,12.8,12.8045,6538
1569942900000,12.8,12.88,12.7899,12.82,12141
1569943800000,12.81,12.9235,12.79,12.91,20662
1569944700000,12.93,12.95,12.87,12.9187,12154
1569945600000,12.915,12.935,12.84,12.86,3282
1569946500000,12.8467,12.95,12.81,12.92,36060
1569947400000,12.915,12.915,12.75,12.77,14533
1569948300000,12.77,12.9,12.768,12.88,7798
1569949200000,12.86,12.9,12.83,12.87,5153
1569950100000,12.85,12.89,12.8142,12.87,9488
1569951000000,12.86,12.86,12.73,12.73,3755
1569951900000,12.74,12.79,12.74,12.7742,4757
1569952800000,12.75,12.77,12.72,12.72,6050
1569953700000,12.72,12.73,12.66,12.67,4800
1569954600000,12.63,12.65,12.57,12.59,11945
1569955500000,12.56,12.59,12.53,12.58,7503
1569956400000,12.59,12.63,12.5778,12.62,6100
1569957300000,12.64,12.69,12.62,12.64,14302
1569958200000,12.6268,12.65,12.6,12.61,14888
1569959100000,12.61,12.65,12.58,12.61,28357
1570023000000,12.76,13.06,12.76,12.9,48792
1570023900000,12.91,12.92,12.73,12.74,27755
1570024800000,12.75,12.8,12.64,12.73,33995
1570025700000,12.72,12.81,12.671,12.7157,8366
1570026600000,12.73,12.8837,12.73,12.85,10093
1570027500000,12.88,12.9,12.75,12.75,9678
1570028400000,12.74,12.81,12.71,12.79,8745
1570029300000,12.795,12.84,12.76,12.81,6970
1570030200000,12.83,12.92,12.83,12.845,3308
1570031100000,12.83,12.83,12.772,12.8,3657
1570032000000,12.8,12.85,12.7992,12.85,4185
1570032900000,12.86,12.86,12.78,12.79,3427
1570033800000,12.7817,12.83,12.7817,12.8,4761
1570034700000,12.79,12.84,12.75,12.84,5325
1570035600000,12.83,12.87,12.78,12.8558,8826
1570036500000,12.84,12.9,12.8299,12.87,4013
1570037400000,12.87,12.91,12.86,12.87,17964
1570038300000,12.87,12.89,12.82,12.83,4933
1570039200000,12.85,12.87,12.79,12.79,1601
1570040100000,12.76,12.77,12.754,12.76,1600
1570041000000,12.79,12.81,12.74,12.74,3350
1570041900000,12.73,12.82,12.72,12.7968,3962
1570042800000,12.78,12.79,12.76,12.78,7145
1570043700000,12.78,12.84,12.78,12.82,5981
1570044600000,12.83,12.84,12.7442,12.76,11375
1570045500000,12.75,12.79,12.74,12.78,19568
1570109400000,12.79,12.88,12.7,12.74,16457
1570110300000,12.71,12.72,12.61,12.65,8600
1570111200000,12.66,13.0,12.66,12.84,28143
1570112100000,12.85,12.93,12.745,12.76,6744
1570113000000,12.77,12.87,12.73,12.87,5396
1570113900000,12.85,12.93,12.85,12.9,10643
1570114800000,12.87,12.885,12.7901,12.8,5101
1570115700000,12.785,12.9,12.75,12.88,9739
1570116600000,12.88,12.94,12.85,12.87,5029
1570117500000,12.9257,12.94,12.88,12.882,3025
1570118400000,12.89,12.89,12.81,12.86,4999
1570119300000,12.86,12.925,12.86,12.89,14223
1570120200000,12.88,12.95,12.88,12.9,2849
1570121100000,12.93,12.97,12.9,12.9,3960
1570122000000,12.8911,12.98,12.8911,12.95,2900
1570122900000,12.94,12.94,12.87,12.9,2500
1570123800000,12.9,12.92,12.865,12.87,3513
1570124700000,12.88,12.9165,12.84,12.9,7192
1570125600000,12.895,12.93,12.87,12.87,3705
1570126500000,12.89,12.89,12.833,12.85,2870
1570127400000,12.8566,12.9,12.8412,12.87,4950
1570128300000,12.88,12.885,12.84,12.88,5850
1570129200000,12.89,12.89,12.84,12.84,4789
1570130100000,12.87,12.89,12.81,12.82,3590
1570131000000,12.82,12.82,12.72,12.72,9288
1570131900000,12.73,12.76,12.71,12.74,21911
1570195800000,12.72,12.8198,12.56,12.7,37044
1570196700000,12.6773,12.68,12.6,12.6,15901
1570197600000,12.57,12.64,12.53,12.59,12388
1570198500000,12.57,12.62,12.51,12.62,7451
1570199400000,12.61,12.6358,12.535,12.62,10523
1570200300000,12.58,12.68,12.58,12.61,1600
1570201200000,12.635,12.72,12.605,12.71,20751
1570202100000,12.68,12.75,12.6192,12.63,13685
1570203000000,12.65,12.65,12.55,12.64,3400
1570203900000,12.65,12.65,12.54,12.585,3204
1570204800000,12.63,12.64,12.6247,12.63,2100
1570205700000,12.63,12.67,12.63,12.64,1952
1570206600000,12.6321,12.695,12.63,12.695,11827
1570207500000,12.7,12.77,12.7,12.73,3558
1570208400000,12.73,12.73,12.6886,12.7,1926
1570209300000,12.71,12.74,12.69,12.69,4795
1570210200000,12.71,12.79,12.71,12.75,3212
1570211100000,12.7688,12.77,12.7257,12.73,3066
1570212000000,12.71,12.74,12.69,12.71,7360
1570212900000,12.7,12.72,12.66,12.72,6995
1570213800000,12.71,12.79,12.71,12.7599,6647
1570214700000,12.76,12.7687,12.72,12.75,2900
1570215600000,12.7541,12.83,12.7541,12.76,9115
1570216500000,12.77,12.77,12.73,12.74,7006
1570217400000,12.75,12.7699,12.72,12.76,8200
1570218300000,12.76,12.79,12.75,12.78,18928
1570455000000,12.7,12.78,12.64,12.645,16209
1570455900000,12.67,12.72,12.6,12.68,7812
1570456800000,12.72,12.73,12.63,12.675,7470
1570457700000,12.7,12.7621,12.69,12.725,3308
1570458600000,12.68,12.74,12.65,12.74,1500
1570459500000,12.74,12.74,12.67,12.68,7923
1570460400000,12.67,12.7454,12.66,12.7454,7780
1570461300000,12.72,12.77,12.7,12.7,9363
1570462200000,12.7432,12.7636,12.71,12.75,4573
1570463100000,12.76,12.76,12.67,12.68,15543
1570464000000,12.7,12.72,12.68,12.69,4806
1570464900000,12.69,12.69,12.65,12.68,1418
1570465800000,12.675,12.68,12.66,12.67,1320
1570466700000,12.63,12.65,12.63,12.63,1245
1570467600000,12.66,12.66,12.6382,12.64,1300
1570468500000,12.66,12.67,12.64,12.66,2550
1570469400000,12.66,12.66,12.55,12.6,13866
1570470300000,12.61,12.6172,12.59,12.6172,8730
1570471200000,12.63,12.67,12.61,12.61,3355
1570472100000,12.63,12.649,12.6,12.61,3565
1570473000000,12.619,12.63,12.5802,12.6051,4861
1570473900000,12.61,12.63,12.61,12.62,4077
1570474800000,12.62,12.62,12.575,12.61,7544
1570475700000,12.6,12.62,12.58,12.59,4975
1570476600000,12.58,12.6,12.5785,12.5999,3150
1570477500000,12.59,12.605,12.55,12.57,15027
1570541400000,12.84,12.92,12.78,12.82,32756
1570542300000,12.8,12.8413,12.65,12.68,23879
1570543200000,12.68,12.85,12.67,12.73,86262
1570544100000,12.74,12.8,12.72,12.7702,14963
1570545000000,12.76,12.795,12.73,12.795,7800
1570545900000,12.78,12.8474,12.7551,12.77,11908
1570546800000,12.74,12.8059,12.73,12.76,7250
1570547700000,12.76,12.82,12.72,12.82,4938
1570548600000,12.82,12.885,12.82,12.885,7480
1570549500000,12.87,12.91,12.82,12.91,10722
1570550400000,12.92,12.98,12.88,12.9,14227
1570551300000,12.9,12.94,12.9,12.91,2600
1570552200000,12.89,13.0,12.89,12.96,12191
1570553100000,12.96,12.97,12.93,12.9614,13297
1570554000000,12.95,12.96,12.93,12.96,5806
1570554900000,12.97,12.98,12.9599,12.9644,3246
1570555800000,12.96,12.99,12.96,12.99,5277
1570556700000,12.98,13.04,12.98,13.04,7200
1570557600000,13.02,13.02,12.97,12.975,2843
1570558500000,12.97,13.01,12.97,12.99,4274
1570559400000,12.97,12.98,12.89,12.96,12149
1570560300000,12.96,13.035,12.955,13.035,6042
1570561200000,13.0235,13.0273,12.95,13.016,5299
1570562100000,13.0,13.0,12.94,12.98,12221
1570563000000,12.9768,13.05,12.9768,13.05,13055
1570563900000,13.05,13.17,13.03,13.15,60659
1570627800000,13.18,13.28,13.0756,13.1,19417
1570628700000,13.06,13.12,12.97,13.006,28929
1570629600000,13.01,13.06,12.97,12.98,10364
1570630500000,12.99,13.0,12.9201,12.9241,4962
1570631400000,12.91,12.915,12.83,12.86,12717
1570632300000,12.84,12.92,12.84,12.87,11935
1570633200000,12.87,12.89,12.83,12.875,6283
1570634100000,12.89,12.9,12.84,12.84,2841
1570635000000,12.8371,12.89,12.8371,12.89,1600
1570635900000,12.88,12.944,12.85,12.92,6936
1570636800000,12.92,12.92,12.85,12.85,3088
1570637700000,12.84,12.85,12.78,12.81,5762
1570638600000,12.815,12.88,12.815,12.88,2500
1570639500000,12.885,12.9,12.8,12.8,14301
1570640400000,12.81,12.88,12.79,12.88,6905
1570641300000,12.875,12.9,12.87,12.9,4109
1570642200000,12.91,12.94,12.89,12.91,5200
1570643100000,12.9,12.935,12.89,12.935,6010
1570644000000,12.96,12.99,12.9,12.92,5769
1570644900000,12.94,12.951,12.86,12.864,8335
1570645800000,12.88,12.93,12.88,12.9,17818
1570646700000,12.8971,12.8971,12.8371,12.84,5411
1570647600000,12.85,12.88,12.83,12.8301,2700
1570648500000,12.83,12.89,12.829,12.88,11149
1570649400000,12.87,12.9,12.85,12.9,10623
1570650300000,12.89,12.895,12.83,12.87,27676
1570714200000,12.86,12.9,12.67,12.67,23151
1570715100000,12.71,12.7203,12.62,12.62,13244
1570716000000,12.65,12.71,12.64,12.71,5550
1570716900000,12.67,12.675,12.63,12.65,3500
1570717800000,12.65,12.725,12.65,12.725,2400
1570718700000,12.73,12.79,12.72,12.77,2594
1570719600000,12.77,12.84,12.7601,12.83,4760
1570720500000,12.85,12.85,12.78,12.8,4656
1570721400000,12.8,12.8,12.72,12.74,3511
1570722300000,12.735,12.79,12.735,12.78,950
1570723200000,12.7472,12.84,12.7472,12.84,6625
1570724100000,12.8349,12.8889,12.82,12.86,12400
1570725000000,12.83,12.85,12.77,12.77,13058
1570725900000,12.78,12.82,12.78,12.81,3318
1570726800000,12.83,12.87,12.825,12.84,6363
1570727700000,12.84,12.88,12.84,12.87,4486
1570728600000,12.88,12.92,12.88,12.92,2297
1570729500000,12.9,12.91,12.87,12.91,2248
1570730400000,12.9099,12.93,12.89,12.91,3315
1570731300000,12.91,12.921,12.9,12.91,901
1570732200000,12.92,12.94,12.87,12.94,2914
1570733100000,12.97,12.97,12.9052,12.93,5311
1570734000000,12.94,12.96,12.94,12.94,3228
1570734900000,12.94,12.97,12.935,12.94,4895
1570735800000,12.94,12.9499,12.92,12.93,6854
1570736700000,12.9313,12.9699,12.93,12.95,20254
1570800600000,12.79,12.79,12.6659,12.6659,17677
1570801500000,12.65,12.67,12.51,12.543,21716
1570802400000,12.51,12.59,12.46,12.46,34266
1570803300000,12.47,12.47,12.37,12.4,35975
1570804200000,12.37,12.43,12.32,12.43,20630
1570805100000,12.41,12.52,12.41,12.48,16971
1570806000000,12.51,12.53,12.45,12.5075,11164
1570806900000,12.51,12.51,12.42,12.42,7160
1570807800000,12.4,12.42,12.38,12.42,8478
1570808700000,12.4,12.435,12.39,12.42,5407
1570809600000,12.4,12.4721,12.4,12.43,18325
1570810500000,12.4092,12.44,12.39,12.435,8889
1570811400000,12.43,12.46,12.4,12.417,4093
1570812300000,12.41,12.4534,12.41,12.45,3533
1570813200000,12.45,12.505,12.45,12.5,4460
1570814100000,12.49,12.4953,12.45,12.455,6675
1570815000000,12.4464,12.4464,12.4,12.41,5380
1570815900000,12.4,12.43,12.39,12.4276,3650
1570816800000,12.415,12.44,12.4,12.43,2655
1570817700000,12.41,12.42,12.4,12.42,7392
1570818600000,12.4146,12.42,12.4,12.41,3450
1570819500000,12.41,12.44,12.4,12.42,2482
1570820400000,12.41,12.41,12.4,12.4017,3400
1570821300000,12.41,12.43,12.37,12.375,11155
1570822200000,12.37,12.39,12.29,12.31,34660
1570823100000,12.32,12.34,12.29,12.32,41259
1571059800000,12.25,12.33,12.21,12.3001,23619
1571060700000,12.2813,12.2813,12.179,12.2,13499
1571061600000,12.2,12.23,12.17,12.19,12217
1571062500000,12.19,12.25,12.17,12.24,16507
1571063400000,12.23,12.31,12.2229,12.28,9756
1571064300000,12.2727,12.345,12.27,12.325,8232
1571065200000,12.33,12.35,12.314,12.32,7635
1571066100000,12.32,12.33,12.31,12.33,2550
1571067000000,12.33,12.35,12.329,12.35,3293
1571067900000,12.35,12.35,12.31,12.3382,4260
1571068800000,12.35,12.36,12.34,12.34,4044
1571069700000,12.36,12.3775,12.36,12.3775,877
1571070600000,12.39,12.45,12.39,12.43,12087
1571071500000,12.41,12.48,12.41,12.465,11100
1571072400000,12.45,12.47,12.43,12.47,14269
1571073300000,12.47,12.49,12.47,12.49,2911
1571074200000,12.4941,12.4963,12.45,12.45,3700
1571075100000,12.47,12.47,12.445,12.47,1817
1571076000000,12.465,12.465,12.44,12.45,6900
1571076900000,12.47,12.47,12.42,12.42,2042
1571077800000,12.41,12.43,12.41,12.42,1745
1571078700000,12.42,12.43,12.4,12.41,11612
1571079600000,12.41,12.435,12.36,12.37,15379
1571080500000,12.3751,12.3751,12.3301,12.35,4475
