datetime,open,high,low,close,volume
1569504600000,32.5,32.81,32.5,32.79,8291
1569505500000,32.7031,32.72,32.49,32.56,3100
1569506400000,32.56,32.675,32.52,32.565,2300
1569507300000,32.51,32.59,32.47,32.59,2400
1569508200000,32.57,32.67,32.56,32.61,2002
1569509100000,32.6592,32.71,32.6,32.61,1880
1569510000000,32.53,32.56,32.43,32.5,2700
1569510900000,32.49,32.5,32.385,32.44,1605
1569511800000,32.43,32.54,32.43,32.46,600
1569512700000,32.46,32.48,32.38,32.38,1100
1569513600000,32.385,32.495,32.385,32.495,1100
1569514500000,32.45,32.5,32.42,32.475,1700
1569515400000,32.51,32.54,32.51,32.52,1762
1569516300000,32.5499,32.55,32.465,32.47,2600
1569517200000,32.495,32.57,32.475,32.475,8301
1569518100000,32.48,32.5,32.39,32.465,7031
1569519000000,32.48,32.5,32.46,32.5,3669
1569519900000,32.47,32.495,32.42,32.495,1429
1569520800000,32.51,32.56,32.49,32.51,2100
1569521700000,32.49,32.59,32.47,32.47,5596
1569522600000,32.47,32.56,32.47,32.53,2299
1569523500000,32.505,32.53,32.48,32.48,3000
1569524400000,32.47,32.5,32.45,32.466,2900
1569525300000,32.49,32.565,32.48,32.485,2100
1569526200000,32.5,32.55,32.45,32.48,5028
1569527100000,32.47,32.5,32.39,32.46,20675
1569591000000,32.6,32.83,32.56,32.76,3479
1569591900000,32.885,32.885,32.6719,32.73,2907
1569592800000,32.765,32.765,32.6251,32.67,3500
1569593700000,32.66,32.71,32.62,32.69,2100
1569594600000,32.72,32.79,32.69,32.76,1900
1569595500000,32.79,32.84,32.74,32.75,6200
1569596400000,32.77,32.77,32.65,32.71,2222
1569597300000,32.7,32.75,32.7,32.73,1400
1569598200000,32.755,32.77,32.43,32.58,4175
1569599100000,32.52,32.68,32.4,32.58,7297
1569600000000,32.52,32.66,32.5,32.66,1500
1569600900000,32.6136,32.6136,32.45,32.465,2300
1569601800000,32.42,32.49,32.41,32.41,3100
1569602700000,32.39,32.4,32.25,32.26,2992
1569603600000,32.26,32.26,32.17,32.22,7000
1569604500000,32.19,32.27,32.17,32.25,3100
1569605400000,32.24,32.27,32.19,32.27,8018
1569606300000,32.22,32.24,32.1,32.21,1548
1569607200000,32.2,32.22,32.145,32.21,2500
1569608100000,32.17,32.19,32.1,32.11,1630
1569609000000,32.105,32.11,32.03,32.06,1200
1569609900000,32.09,32.09,31.92,31.96,2550
1569610800000,31.95,31.985,31.87,31.93,2698
1569611700000,31.95,32.09,31.93,32.07,4825
1569612600000,32.09,32.16,32.08,32.12,3150
1569613500000,32.11,32.17,32.08,32.14,11607
1569850200000,32.22,32.26,32.049,32.16,2613
1569851100000,32.105,32.24,32.03,32.24,2600
1569852000000,32.09,32.24,32.09,32.23,1200
1569852900000,32.22,32.22,32.165,32.204,867
1569853800000,32.27,32.27,32.1833,32.21,2915
1569854700000,32.22,32.29,32.22,32.29,900
1569855600000,32.27,32.3,32.23,32.27,3910
1569856500000,32.31,32.31,32.24,32.28,2700
1569857400000,32.285,32.29,32.16,32.16,8220
1569858300000,32.12,32.13,32.1,32.1,900
1569859200000,32.12,32.24,32.12,32.24,1100
1569860100000,32.25,32.25,32.21,32.24,2300
1569861000000,32.24,32.24,32.18,32.19,1700
1569861900000,32.17,32.2,32.15,32.18,2727
1569862800000,32.15,32.18,32.14,32.14,800
1569863700000,32.145,32.16,32.05,32.05,4731
1569864600000,32.03,32.03,31.96,31.99,1996
1569865500000,32.03,32.04,32.03,32.03,1200
1569866400000,32.05,32.05,31.95,31.95,5553
1569867300000,31.95,32.005,31.95,31.97,2652
1569868200000,31.94,31.97,31.9,31.92,4452
1569869100000,31.94,32.0081,31.94,31.99,4951
1569870000000,31.99,32.18,31.975,32.18,8407
1569870900000,32.19,32.34,32.17,32.26,10525
1569871800000,32.28,32.33,32.24,32.31,13078
1569872700000,32.31,32.315,32.09,32.09,56264
1569936600000,32.28,32.66,32.28,32.58,11970
1569937500000,32.56,32.725,32.53,32.55,9177
1569938400000,32.5,32.5,32.12,32.12,3476
1569939300000,32.13,32.16,31.87,31.98,2705
1569940200000,32.035,32.105,31.95,32.105,7909
1569941100000,32.16,32.17,32.04,32.06,6700
1569942000000,31.985,32.02,31.85,31.86,5463
1569942900000,31.84,31.97,31.8068,31.955,5037
1569943800000,31.96,31.99,31.91,31.93,3200
1569944700000,31.89,31.9,31.82,31.85,3402
1569945600000,31.85,31.85,31.7,31.7,2500
1569946500000,31.675,31.8,31.675,31.69,2743
1569947400000,31.695,31.8,31.685,31.7749,2101
1569948300000,31.74,31.8,31.65,31.65,2913
1569949200000,31.61,31.63,31.52,31.55,5030
1569950100000,31.57,31.57,31.47,31.52,2733
1569951000000,31.5,31.5,31.37,31.4,4663
1569951900000,31.4,31.4,31.3,31.3,4558
1569952800000,31.27,31.415,31.245,31.415,3664
1569953700000,31.43,31.49,31.4,31.46,3172
1569954600000,31.49,31.555,31.41,31.465,3500
1569955500000,31.45,31.5,31.4,31.44,4409
1569956400000,31.43,31.58,31.4,31.47,4800
1569957300000,31.49,31.545,31.4603,31.53,5274
1569958200000,31.54,31.58,31.465,31.58,7351
1569959100000,31.58,31.58,31.48,31.5,17627
1570023000000,31.17,31.35,30.825,30.865,7845
1570023900000,31.02,31.09,30.9,31.0,8886
1570024800000,30.95,31.16,30.88,31.12,21962
1570025700000,31.11,31.23,31.07,31.07,5400
1570026600000,31.02,31.02,30.83,30.97,5600
1570027500000,30.915,31.03,30.845,30.99,2300
1570028400000,31.03,31.05,30.925,30.925,2788
1570029300000,30.91,31.03,30.91,30.96,3200
1570030200000,30.985,30.985,30.84,30.91,5035
1570031100000,30.94,30.95,30.86,30.92,5592
1570032000000,30.92,30.94,30.79,30.79,4400
1570032900000,30.79,30.82,30.75,30.76,2700
1570033800000,30.75,30.8,30.74,30.74,3300
1570034700000,30.78,30.78,30.7,30.745,3885
1570035600000,30.76,30.89,30.74,30.89,3035
1570036500000,30.88,30.93,30.8599,30.93,2568
1570037400000,30.89,30.94,30.89,30.93,1800
1570038300000,30.92,30.92,30.85,30.9,3250
1570039200000,30.89,30.94,30.88,30.89,2800
1570040100000,30.93,31.05,30.93,31.0123,5114
1570041000000,31.03,31.1,31.03,31.07,1600
1570041900000,31.09,31.1,31.025,31.09,3400
1570042800000,31.08,31.09,30.99,31.07,3682
1570043700000,31.05,31.11,31.05,31.065,4000
1570044600000,31.055,31.1,31.025,31.08,7089
1570045500000,31.07,31.11,30.98,31.11,19759
1570109400000,31.05,31.05,30.71,30.865,5818
1570110300000,30.93,31.0753,30.89,30.94,2562
1570111200000,30.88,30.9,30.37,30.515,7440
1570112100000,30.51,30.78,30.44,30.78,3624
1570113000000,30.71,30.712,30.585,30.625,11861
1570113900000,30.63,30.7397,30.5,30.7397,3299
1570114800000,30.755,30.97,30.755,30.895,4950
1570115700000,30.94,30.98,30.83,30.84,2740
1570116600000,30.85,30.88,30.69,30.76,4317
1570117500000,30.78,30.78,30.66,30.72,3777
1570118400000,30.72,30.85,30.72,30.85,2825
1570119300000,30.82,30.82,30.73,30.78,1714
1570120200000,30.78,30.88,30.78,30.88,2695
1570121100000,30.87,30.95,30.87,30.9,1834
1570122000000,30.9,30.9,30.81,30.81,1581
1570122900000,30.825,30.86,30.8,30.82,3949
1570123800000,30.87,30.94,30.82,30.935,2800
1570124700000,30.96,30.97,30.91,30.91,800
1570125600000,30.86,30.8801,30.81,30.8801,4072
1570126500000,30.88,30.96,30.88,30.92,2400
1570127400000,30.92,30.94,30.89,30.89,2600
1570128300000,30.89,30.89,30.8,30.8,4180
1570129200000,30.8,30.82,30.76,30.78,4158
1570130100000,30.77,30.78,30.69,30.73,6981
1570131000000,30.74,30.75,30.66,30.68,6158
1570131900000,30.67,30.72,30.58,30.68,26750
1570195800000,30.6,31.88,30.6,30.83,13741
1570196700000,30.775,30.93,30.72,30.87,1500
1570197600000,30.895,30.91,30.6361,30.69,5944
1570198500000,30.74,30.76,30.705,30.71,3100
1570199400000,30.71,30.75,30.65,30.75,3012
1570200300000,30.75,30.88,30.75,30.81,4264
1570201200000,30.785,30.9,30.75,30.885,3839
1570202100000,30.91,30.94,30.865,30.93,2012
1570203000000,30.96,30.96,30.9,30.9,1600
1570203900000,30.92,30.98,30.92,30.945,2300
1570204800000,30.94,31.02,30.94,30.95,3600
1570205700000,30.955,30.98,30.95,30.98,800
1570206600000,30.97,30.97,30.955,30.955,900
1570207500000,30.915,30.94,30.87,30.88,1300
1570208400000,30.86,30.885,30.83,30.885,2500
1570209300000,30.885,30.9441,30.88,30.93,1335
1570210200000,30.96,31.03,30.93,31.03,2504
1570211100000,30.995,30.995,30.91,30.91,1300
1570212000000,30.925,30.93,30.89,30.93,4102
1570212900000,30.97,31.04,30.97,31.035,2400
1570213800000,31.05,31.11,31.045,31.08,4322
1570214700000,31.075,31.085,31.0,31.07,3100
1570215600000,31.06,31.08,31.05,31.06,1917
1570216500000,31.07,31.07,30.99,31.03,7888
1570217400000,31.03,31.07,31.03,31.07,3529
1570218300000,31.085,31.19,31.075,31.16,17951
1570455000000,30.93,31.2,30.93,31.13,12364
1570455900000,31.13,31.32,31.1,31.28,14176
1570456800000,31.28,31.28,31.2,31.235,7600
1570457700000,31.23,31.25,31.15,31.17,3314
1570458600000,31.17,31.17,31.05,31.09,5106
1570459500000,31.05,31.13,31.0,31.11,3257
1570460400000,31.125,31.25,31.125,31.21,2760
1570461300000,31.215,31.23,31.12,31.15,4770
1570462200000,31.13,31.15,31.03,31.115,5710
1570463100000,31.11,31.17,31.07,31.15,3676
1570464000000,31.17,31.19,31.09,31.14,3081
1570464900000,31.17,31.22,31.1435,31.17,2400
1570465800000,31.14,31.15,31.08,31.14,2700
1570466700000,31.16,31.22,31.15,31.15,2200
1570467600000,31.17,31.18,31.02,31.025,2414
1570468500000,31.02,31.055,31.0,31.02,4311
1570469400000,31.03,31.22,31.02,31.16,9418
1570470300000,31.12,31.14,31.06,31.08,4128
1570471200000,31.08,31.08,30.925,30.925,4250
1570472100000,30.95,30.975,30.913,30.925,5357
1570473000000,30.93,30.93,30.8,30.815,5303
1570473900000,30.8,30.85,30.74,30.85,4110
1570474800000,30.84,30.86,30.77,30.84,6787
1570475700000,30.845,30.8497,30.73,30.78,8338
1570476600000,30.78,30.79,30.71,30.71,7607
1570477500000,30.72,30.765,30.62,30.63,23830
1570541400000,30.27,30.27,29.71,29.85,10353
1570542300000,29.87,29.87,29.765,29.78,2210
1570543200000,29.74,30.0,29.65,29.95,3537
1570544100000,29.96,30.04,29.885,29.93,4434
1570545000000,29.93,30.01,29.8,29.85,6009
1570545900000,29.85,29.915,29.75,29.885,5104
1570546800000,29.85,29.855,29.69,29.75,5713
1570547700000,29.76,29.935,29.72,29.72,11515
1570548600000,29.73,29.74,29.58,29.59,4700
1570549500000,29.585,29.7,29.5393,29.6965,4203
1570550400000,29.71,29.72,29.54,29.57,6893
1570551300000,29.555,29.69,29.54,29.665,11391
1570552200000,29.65,29.69,29.58,29.69,5666
1570553100000,29.66,29.76,29.61,29.65,5880
1570554000000,29.615,29.66,29.575,29.59,4500
1570554900000,29.59,29.635,29.585,29.625,6101
1570555800000,29.65,29.71,29.61,29.7,4835
1570556700000,29.72,29.72,29.62,29.64,7590
1570557600000,29.63,29.66,29.6,29.615,9589
1570558500000,29.62,29.62,29.53,29.54,6923
1570559400000,29.54,29.78,29.54,29.725,10799
1570560300000,29.75,29.805,29.61,29.61,11830
1570561200000,29.65,29.7,29.56,29.56,6866
1570562100000,29.565,29.6,29.52,29.55,7428
1570563000000,29.54,29.56,29.405,29.43,14492
1570563900000,29.44,29.445,29.27,29.34,45481
1570627800000,29.73,29.73,29.3311,29.49,2979
1570628700000,29.53,29.675,29.53,29.63,4495
1570629600000,29.72,29.8,29.68,29.71,2610
1570630500000,29.67,29.78,29.67,29.73,2080
1570631400000,29.7,29.72,29.62,29.64,2400
1570632300000,29.66,29.66,29.58,29.66,4800
1570633200000,29.66,29.69,29.6,29.62,4100
1570634100000,29.62,29.725,29.595,29.69,4294
1570635000000,29.71,29.78,29.71,29.77,2505
1570635900000,29.75,29.82,29.75,29.78,1865
1570636800000,29.79,29.92,29.78,29.9,6616
1570637700000,29.91,29.91,29.835,29.835,2298
1570638600000,29.86,29.88,29.82,29.855,3545
1570639500000,29.84,29.88,29.8,29.88,4652
1570640400000,29.92,29.96,29.86,29.87,4400
1570641300000,29.87,29.89,29.86,29.88,2100
1570642200000,29.9,29.98,29.9,29.9686,2215
1570643100000,29.98,30.04,29.93,30.01,10829
1570644000000,29.98,29.98,29.97,29.97,1000
1570644900000,29.97,30.04,29.96,30.01,6615
1570645800000,30.01,30.03,29.96,30.02,5100
1570646700000,30.03,30.06,29.97,30.035,7972
1570647600000,30.06,30.06,29.99,30.0,3250
1570648500000,30.01,30.055,29.975,30.055,5676
1570649400000,30.065,30.09,29.93,29.99,9435
1570650300000,29.91,29.96,29.84,29.89,19340
1570714200000,30.04,30.055,30.01,30.01,5094
1570715100000,29.99,30.26,29.99,30.21,2200
1570716000000,30.215,30.25,30.1,30.12,3668
1570716900000,30.14,30.205,30.07,30.14,2873
1570717800000,30.12,30.16,30.1,30.145,2829
1570718700000,30.13,30.21,30.1,30.21,3372
1570719600000,30.19,30.2,30.09,30.09,3600
1570720500000,30.11,30.18,30.06,30.06,2600
1570721400000,30.05,30.09,30.02,30.045,3600
1570722300000,30.01,30.03,29.95,29.95,2900
1570723200000,29.95,30.015,29.93,29.9681,3400
1570724100000,29.93,29.95,29.9,29.92,6100
1570725000000,29.93,29.93,29.88,29.9,1000
1570725900000,29.89,29.9,29.88,29.89,1500
1570726800000,29.91,29.91,29.86,29.86,955
1570727700000,29.875,29.875,29.8163,29.8163,2021
1570728600000,29.8,29.8,29.72,29.76,3423
1570729500000,29.74,29.79,29.735,29.77,2740
1570730400000,29.78,29.78,29.585,29.74,5470
1570731300000,29.74,29.77,29.74,29.755,1100
1570732200000,29.74,29.75,29.71,29.725,1600
1570733100000,29.71,29.79,29.69,29.79,2638
1570734000000,29.79,29.84,29.79,29.84,1300
1570734900000,29.855,29.86,29.79,29.79,4700
1570735800000,29.8,29.84,29.73,29.73,10092
1570736700000,29.74,29.86,29.72,29.8,38424
1570800600000,30.28,30.2966,30.02,30.2966,2668
1570801500000,30.52,30.78,30.52,30.72,2194
1570802400000,30.82,30.94,30.78,30.92,3800
1570803300000,30.92,30.97,30.837,30.97,7768
1570804200000,30.98,31.15,30.98,31.08,6086
1570805100000,31.06,31.14,31.0,31.02,5600
1570806000000,31.0,31.05,30.96,31.02,2700
1570806900000,31.1,31.17,31.08,31.12,3400
1570807800000,31.12,31.13,30.9887,31.03,8200
1570808700000,30.96,30.97,30.83,30.83,4474
1570809600000,30.83,30.83,30.66,30.66,13489
1570810500000,30.66,30.76,30.64,30.73,25673
1570811400000,30.75,30.79,30.6,30.775,9099
1570812300000,30.75,30.775,30.725,30.73,5508
1570813200000,30.73,30.77,30.6764,30.7,3620
1570814100000,30.685,30.83,30.66,30.69,4916
1570815000000,30.64,30.73,30.64,30.69,3226
1570815900000,30.71,30.73,30.69,30.7,4500
1570816800000,30.69,30.71,30.625,30.625,12209
1570817700000,30.63,30.77,30.62,30.77,2294
1570818600000,30.81,30.87,30.76,30.81,2797
1570819500000,30.81,30.85,30.74,30.75,4787
1570820400000,30.74,30.74,30.69,30.73,3884
1570821300000,30.75,30.75,30.68,30.69,7907
1570822200000,30.68,30.69,30.6,30.61,8769
1570823100000,30.57,30.61,30.4,30.43,13329
1571059800000,30.2,30.5,30.14,30.34,5374
1571060700000,30.36,30.43,30.16,30.25,6143
1571061600000,30.25,30.33,30.2,30.26,6371
1571062500000,30.23,30.3,30.1,30.13,3999
1571063400000,30.165,30.24,30.13,30.17,5600
1571064300000,30.19,30.22,30.1,30.16,6002
1571065200000,30.16,30.185,30.09,30.12,5300
1571066100000,30.12,30.18,30.12,30.15,2500
1571067000000,30.18,30.24,30.15,30.175,3200
1571067900000,30.2,30.26,30.18,30.25,3457
1571068800000,30.25,30.38,30.25,30.37,5420
1571069700000,30.37,30.42,30.33,30.33,3112
1571070600000,30.31,30.35,30.28,30.35,3633
1571071500000,30.37,30.4,30.3,30.34,2700
1571072400000,30.32,30.37,30.32,30.34,1700
1571073300000,30.34,30.34,30.27,30.28,4646
1571074200000,30.28,30.3,30.27,30.28,2200
1571075100000,30.29,30.315,30.23,30.315,3300
1571076000000,30.34,30.43,30.31,30.41,3712
1571076900000,30.4,30.42,30.38,30.38,4501
1571077800000,30.38,30.42,30.38,30.38,5229
1571078700000,30.37,30.37,30.31,30.31,5200
1571079600000,30.33,30.33,30.26,30.31,3604
1571080500000,30.3,30.38,30.28,30.34,6363
1571081400000,30.33,30.33,30.24,30.25,8041
1571082300000,30.25,30.35,30.24,30.31,22296
1571146200000,30.18,30.54,30.18,30.45,9919
1571147100000,30.51,30.52,30.37,30.3701,1996
1571148000000,30.3701,30.57,30.3701,30.57,3200
1571148900000,30.55,30.7,30.515,30.67,4703
1571149800000,30.68,30.86,30.66,30.83,8700
1571150700000,30.82,30.86,30.795,30.8,4800
1571151600000,30.79,30.83,30.71,30.74,5171
1571152500000,30.75,30.9,30.7256,30.85,9854
1571153400000,30.85,30.892,30.78,30.8,4003
1571154300000,30.8,30.86,30.8,30.85,3770
1571155200000,30.81,30.87,30.8,30.83,3307
1571156100000,30.83,30.91,30.83,30.87,3939
1571157000000,30.88,30.88,30.87,30.87,2200
1571157900000,30.89,30.96,30.86,30.95,6800
1571158800000,30.94,30.94,30.87,30.89,2400
1571159700000,30.89,30.91,30.88,30.89,2300
1571160600000,30.88,30.92,30.86,30.8872,3995
1571161500000,30.9,30.91,30.86,30.89,5028
1571162400000,30.89,30.89,30.84,30.85,2901
1571163300000,30.86,30.91,30.86,30.8601,3843
1571164200000,30.88,30.88,30.815,30.815,3665
1571165100000,30.81,30.82,30.78,30.8,5796
1571166000000,30.795,30.795,30.76,30.78,3987
1571166900000,30.77,30.785,30.74,30.76,7319
1571167800000,30.76,30.785,30.74,30.74,7714
1571168700000,30.74,30.84,30.73,30.83,29138
1571232600000,30.84,31.12,30.84,31.12,4198
1571233500000,31.07,31.25,31.01,31.01,2300
