datetime,open,high,low,close,volume
1569504600000,10.12,10.12,9.98,10.0,18106
1569505500000,10.0,10.005,9.98,10.005,3580
1569506400000,10.02,10.0401,9.93,9.965,8866
1569507300000,9.98,9.98,9.93,9.93,3285
1569508200000,9.93,9.94,9.93,9.93,1326
1569509100000,9.93,9.99,9.92,9.95,9862
1569510000000,9.96,9.96,9.9,9.9,900
1569510900000,9.9,9.905,9.84,9.89,12771
1569511800000,9.89,9.91,9.86,9.9,10632
1569512700000,9.89,9.97,9.89,9.91,30000
1569513600000,9.915,9.94,9.89,9.94,24350
1569514500000,9.94,9.965,9.93,9.96,4498
1569515400000,9.96,9.96,9.95,9.95,800
1569516300000,9.945,9.945,9.92,9.93,1800
1569517200000,9.93,10.0,9.905,10.0,25459
1569518100000,10.0,10.02,10.0,10.02,1359
1569519000000,10.02,10.04,10.01,10.04,2126
1569519900000,10.02,10.045,10.02,10.04,2100
1569520800000,10.05,10.06,10.05,10.06,2148
1569521700000,10.07,10.09,10.06,10.06,3049
1569522600000,10.07,10.09,10.07,10.08,600
1569523500000,10.09,10.09,10.06,10.07,4100
1569524400000,10.07,10.09,10.07,10.09,900
1569525300000,10.09,10.12,10.08,10.11,4900
1569526200000,10.11,10.115,10.07,10.08,7507
1569527100000,10.08,10.09,10.06,10.07,17939
1569591000000,10.1,10.16,10.1,10.1533,20923
1569591900000,10.145,10.145,10.05,10.06,3900
1569592800000,10.05,10.2,10.04,10.2,37876
1569593700000,10.205,10.29,10.19,10.2,12508
1569594600000,10.19,10.23,10.19,10.215,3500
1569595500000,10.21,10.21,10.16,10.2,6339
1569596400000,10.21,10.25,10.17,10.185,16698
1569597300000,10.18,10.22,10.14,10.2,33866
1569598200000,10.2,10.2,10.11,10.17,13584
1569599100000,10.17,10.24,10.14,10.2,8899
1569600000000,10.16,10.16,10.1,10.11,29672
1569600900000,10.11,10.12,10.08,10.12,2975
1569601800000,10.1,10.16,10.1,10.12,5500
1569602700000,10.11,10.12,10.05,10.06,5698
1569603600000,10.05,10.15,10.05,10.13,41213
1569604500000,10.115,10.15,10.1,10.14,8970
1569605400000,10.145,10.16,10.145,10.145,1682
1569606300000,10.14,10.14,10.09,10.12,3044
1569607200000,10.12,10.12,10.09,10.12,2100
1569608100000,10.12,10.13,10.105,10.11,1600
1569609000000,10.09,10.09,10.06,10.06,1600
1569609900000,10.055,10.055,10.01,10.03,8774
1569610800000,10.02,10.075,10.0,10.05,36669
1569611700000,10.06,10.08,10.05,10.05,3050
1569612600000,10.06,10.0789,10.04,10.0784,3767
1569613500000,10.075,10.08,10.03,10.06,19488
1569850200000,10.17,10.17,10.13,10.13,15860
1569851100000,10.1,10.1,10.06,10.06,2770
1569852000000,10.06,10.087,10.03,10.06,4528
1569852900000,10.06,10.07,10.01,10.03,3800
1569853800000,10.04,10.05,10.01,10.02,2763
1569854700000,10.03,10.06,10.005,10.06,5902
1569855600000,10.06,10.06,10.03,10.045,1300
1569856500000,10.02,10.05,9.99,10.05,11363
1569857400000,10.05,10.07,10.035,10.07,3393
1569858300000,10.06,10.06,10.01,10.02,2000
1569859200000,10.05,10.05,10.03,10.05,1788
1569860100000,10.04,10.06,10.03,10.06,1600
1569861000000,10.05,10.06,10.0425,10.06,1206
1569861900000,10.05,10.08,10.04,10.08,3000
1569862800000,10.08,10.11,10.08,10.09,4240
1569863700000,10.09,10.1032,10.07,10.095,13777
1569864600000,10.1,10.12,10.0901,10.12,2200
1569865500000,10.11,10.14,10.11,10.14,2400
1569866400000,10.14,10.16,10.14,10.16,4323
1569867300000,10.17,10.17,10.15,10.15,800
1569868200000,10.1364,10.14,10.13,10.13,3028
1569869100000,10.13,10.14,10.12,10.14,900
1569870000000,10.13,10.13,10.13,10.13,200
1569870900000,10.125,10.15,10.12,10.12,3177
1569871800000,10.12,10.12,10.09,10.11,6980
1569872700000,10.1,10.1,10.0401,10.08,34898
1569936600000,10.07,10.26,10.07,10.25,47203
1569937500000,10.26,10.33,10.24,10.2898,15776
1569938400000,10.27,10.27,10.1,10.2,32884
1569939300000,10.23,10.34,10.23,10.325,9792
1569940200000,10.32,10.39,10.31,10.31,4226
1569941100000,10.32,10.32,10.29,10.3,3220
1569942000000,10.29,10.36,10.29,10.35,5472
1569942900000,10.35,10.44,10.35,10.4,12824
1569943800000,10.41,10.425,10.39,10.39,6585
1569944700000,10.395,10.395,10.345,10.36,5660
1569945600000,10.35,10.36,10.27,10.28,10503
1569946500000,10.27,10.3,10.27,10.28,2291
1569947400000,10.27,10.29,10.27,10.28,3088
1569948300000,10.28,10.29,10.24,10.25,10981
1569949200000,10.25,10.26,10.22,10.235,5326
1569950100000,10.23,10.25,10.21,10.22,14917
1569951000000,10.22,10.23,10.2,10.23,9726
1569951900000,10.23,10.23,10.19,10.19,4017
1569952800000,10.18,10.21,10.15,10.15,10940
1569953700000,10.15,10.16,10.14,10.16,1511
1569954600000,10.17,10.18,10.15,10.15,3531
1569955500000,10.15,10.15,10.12,10.12,3972
1569956400000,10.1173,10.12,10.08,10.08,3841
1569957300000,10.09,10.1,10.015,10.015,14887
1569958200000,10.01,10.045,10.0,10.045,25246
1569959100000,10.04,10.06,10.02,10.03,13632
1570023000000,10.01,10.15,9.98,10.0,100831
1570023900000,10.024,10.14,10.024,10.04,12270
1570024800000,10.04,10.11,10.01,10.09,6085
1570025700000,10.09,10.12,10.05,10.06,7666
1570026600000,10.05,10.05,9.91,9.92,14626
1570027500000,9.9,9.93,9.885,9.9023,24010
1570028400000,9.92,9.94,9.84,9.86,46843
1570029300000,9.87,9.93,9.86,9.92,21852
1570030200000,9.93,9.99,9.92,9.99,13180
1570031100000,10.0,10.0,9.92,9.96,13632
1570032000000,9.95,9.95,9.93,9.93,2635
1570032900000,9.93,9.96,9.93,9.9586,5510
1570033800000,9.96,9.97,9.92,9.93,6351
1570034700000,9.94,9.95,9.935,9.94,3389
1570035600000,9.9433,9.975,9.93,9.97,2700
1570036500000,9.98,9.99,9.97,9.99,2520
1570037400000,9.98,9.98,9.945,9.945,1300
1570038300000,9.945,9.96,9.9402,9.951,4000
1570039200000,9.94,9.965,9.94,9.965,2300
1570040100000,9.97,10.03,9.97,9.995,17910
1570041000000,9.98,10.02,9.98,10.0,4844
1570041900000,10.02,10.02,9.96,9.9973,2900
1570042800000,10.01,10.03,9.9999,10.02,4714
1570043700000,10.01,10.02,10.0,10.01,2481
1570044600000,10.0,10.025,10.0,10.01,7300
1570045500000,10.01,10.01,9.955,10.01,21192
1570109400000,9.92,9.97,9.91,9.97,19556
1570110300000,9.97,10.0125,9.94,9.95,15200
1570111200000,9.95,9.97,9.869,9.945,60457
1570112100000,9.94,9.98,9.93,9.96,16838
1570113000000,9.96,9.99,9.95,9.955,10107
1570113900000,9.96,10.05,9.955,10.05,9127
1570114800000,10.05,10.11,10.02,10.09,34001
1570115700000,10.08,10.1,9.96,9.98,9000
1570116600000,9.98,9.98,9.89,9.92,27986
1570117500000,9.91,9.95,9.88,9.95,13166
1570118400000,9.95,9.99,9.945,9.98,10304
1570119300000,9.98,10.01,9.95,10.01,5826
1570120200000,10.0,10.015,9.99,10.0,5767
1570121100000,9.99,10.04,9.99,10.0,5725
1570122000000,9.99,10.0,9.97,9.99,3699
1570122900000,9.98,10.01,9.98,10.005,3250
1570123800000,10.0024,10.04,9.98,10.02,5681
1570124700000,10.02,10.03,10.01,10.01,5100
1570125600000,10.01,10.01,9.97,9.99,4100
1570126500000,9.99,10.06,9.99,10.04,4700
1570127400000,10.05,10.075,10.04,10.04,7399
1570128300000,10.04,10.05,10.01,10.05,11067
1570129200000,10.05,10.07,10.035,10.07,10969
1570130100000,10.07,10.07,10.035,10.04,9200
1570131000000,10.05,10.07,10.035,10.055,21965
1570131900000,10.05,10.095,10.03,10.085,46776
1570195800000,10.17,10.345,10.1,10.34,28105
1570196700000,10.32,10.35,10.21,10.33,18177
1570197600000,10.33,10.33,10.27,10.28,6550
1570198500000,10.29,10.35,10.27,10.31,4565
1570199400000,10.32,10.34,10.3,10.33,2900
1570200300000,10.34,10.46,10.33,10.41,22467
1570201200000,10.42,10.48,10.37,10.41,21943
1570202100000,10.41,10.49,10.4,10.485,12450
1570203000000,10.48,10.49,10.4,10.415,24777
1570203900000,10.41,10.41,10.38,10.4,7020
1570204800000,10.4,10.4573,10.39,10.43,26719
1570205700000,10.43,10.43,10.385,10.4,9460
1570206600000,10.41,10.43,10.385,10.385,9960
1570207500000,10.3802,10.42,10.36,10.42,6180
1570208400000,10.41,10.43,10.4,10.41,10076
1570209300000,10.42,10.42,10.31,10.32,13972
1570210200000,10.31,10.33,10.29,10.31,10974
