datetime,open,high,low,close,volume
1591968600000,15.1,15.54,14.7,15.23,202156
1591969500000,15.1913,15.2,14.43,14.695,216034
1591970400000,14.71,14.73,14.5,14.51,81204
1591971300000,14.5,14.55,14.19,14.19,104390
1591972200000,14.2,14.48,14.1435,14.42,70705
1591973100000,14.42,14.56,14.19,14.2,79069
1591974000000,14.2,14.235,13.81,13.89,84115
1591974900000,13.94,14.1,13.82,13.98,41413
1591975800000,13.975,14.33,13.902,14.07,149168
1591976700000,14.13,14.219,14.0,14.17,127807
1591977600000,14.17,14.285,14.1,14.16,44567
1591978500000,14.15,14.2461,14.07,14.125,49086
1591979400000,14.13,14.2,14.05,14.1,55404
1591980300000,14.09,14.37,14.02,14.3498,83106
1591981200000,14.35,14.48,14.29,14.48,30052
1591982100000,14.46,14.4841,14.325,14.35,35042
1591983000000,14.34,14.35,14.11,14.11,51039
1591983900000,14.11,14.165,13.95,14.02,30406
1591984800000,14.03,14.35,14.03,14.29,48472
1591985700000,14.295,14.44,14.23,14.4275,36104
1591986600000,14.425,14.53,14.32,14.355,58922
1591987500000,14.36,14.55,14.36,14.55,65533
1591988400000,14.54,14.77,14.535,14.74,84927
1591989300000,14.75,14.81,14.6,14.8001,78507
1591990200000,14.81,14.965,14.73,14.96,136107
1591991100000,14.96,15.27,14.94,15.24,202947
