datetime,open,high,low,close,volume
1591968600000,11.87,11.8835,11.22,11.5172,261449
1591969500000,11.51,11.54,11.2301,11.25,120736
1591970400000,11.26,11.4,11.16,11.16,163754
1591971300000,11.17,11.6,11.13,11.385,163896
1591972200000,11.39,11.4,11.1533,11.27,74175
1591973100000,11.25,11.39,11.16,11.16,71521
1591974000000,11.16,11.16,10.8,10.97,147960
1591974900000,10.98,11.08,10.81,10.982,119953
1591975800000,11.0146,11.21,10.88,11.08,87581
1591976700000,11.05,11.295,11.02,11.295,91344
1591977600000,11.3,11.35,11.15,11.27,64702
1591978500000,11.24,11.26,11.0901,11.17,50178
1591979400000,11.15,11.19,11.115,11.16,50347
1591980300000,11.15,11.205,11.06,11.18,45993
1591981200000,11.19,11.19,11.055,11.19,32485
1591982100000,11.18,11.185,11.06,11.1171,35613
1591983000000,11.12,11.135,10.94,10.96,38947
1591983900000,10.94,10.95,10.81,10.8284,77341
1591984800000,10.83,11.0,10.811,10.94,75537
1591985700000,10.93,10.99,10.88,10.99,36570
1591986600000,10.985,11.04,10.9,10.96,92938
1591987500000,10.96,11.13,10.96,11.0701,94587
1591988400000,11.08,11.135,11.05,11.0837,128901
1591989300000,11.09,11.1,10.91,10.99,101548
1591990200000,10.99,11.3,10.975,11.185,141387
1591991100000,11.19,11.35,11.18,11.33,228660
