datetime,open,high,low,close,volume
1591968600000,7.88,8.07,7.705,8.0,66489
1591969500000,8.0,8.02,7.895,7.96,52594
1591970400000,7.96,8.01,7.93,7.96,73772
1591971300000,7.96,7.995,7.93,7.95,51726
1591972200000,7.95,7.965,7.87,7.915,90911
1591973100000,7.915,7.96,7.79,7.795,55712
1591974000000,7.795,7.9,7.75,7.815,64353
1591974900000,7.815,7.88,7.7,7.745,52384
1591975800000,7.75,7.77,7.69,7.76,74182
1591976700000,7.76,7.95,7.76,7.95,50036
1591977600000,7.955,8.0,7.935,7.985,23648
1591978500000,7.98,7.995,7.9,7.945,45496
1591979400000,7.95,7.99,7.91,7.955,46505
1591980300000,7.95,7.99,7.895,7.98,57716
1591981200000,7.99,8.01,7.98,8.005,31078
1591982100000,8.0,8.01,7.96,7.98,38429
1591983000000,7.99,7.99,7.9549,7.96,50197
1591983900000,7.96,7.97,7.825,7.83,87005
1591984800000,7.825,7.875,7.81,7.87,69368
1591985700000,7.87,7.93,7.865,7.925,35618
1591986600000,7.93,7.98,7.93,7.95,70800
1591987500000,7.955,8.01,7.955,8.01,43188
1591988400000,8.01,8.11,8.01,8.11,53199
1591989300000,8.105,8.11,8.06,8.095,82509
1591990200000,8.095,8.1,8.09,8.095,52687
1591991100000,8.095,8.1,8.02,8.03,318445
