datetime,open,high,low,close,volume
1591968600000,23.4,23.79,22.76,23.625,213249
1591969500000,23.545,23.5552,22.6218,22.805,149428
1591970400000,22.84,23.19,22.79,22.8553,139813
1591971300000,22.8539,22.9512,22.58,22.59,123321
1591972200000,22.565,22.73,22.25,22.44,116070
1591973100000,22.45,22.58,21.975,21.975,117618
1591974000000,21.96,22.15,21.6,21.73,183929
1591974900000,21.73,21.86,21.56,21.74,224253
1591975800000,21.76,21.96,21.45,21.71,163998
1591976700000,21.71,22.14,21.69,22.1398,107842
1591977600000,22.11,22.36,22.06,22.22,76719
1591978500000,22.21,22.37,22.1,22.24,55939
1591979400000,22.235,22.32,22.075,22.26,50205
1591980300000,22.277,22.3965,22.1401,22.3568,39142
1591981200000,22.33,22.38,22.19,22.34,32828
1591982100000,22.34,22.44,22.24,22.29,50160
1591983000000,22.31,22.35,22.07,22.11,54355
1591983900000,22.14,22.21,21.895,21.955,93217
1591984800000,21.94,22.26,21.89,22.19,85562
1591985700000,22.175,22.31,22.11,22.26,40511
1591986600000,22.2517,22.4717,22.1401,22.26,35076
1591987500000,22.31,22.4412,22.29,22.41,50784
1591988400000,22.42,22.59,22.41,22.55,81842
1591989300000,22.56,22.56,22.31,22.385,75796
1591990200000,22.385,22.585,22.38,22.555,60295
1591991100000,22.55,22.77,22.55,22.74,228814
