datetime,open,high,low,close,volume
1591968600000,7.64,7.7,7.36,7.6003,270104
1591969500000,7.6,7.6,7.43,7.505,135832
1591970400000,7.53,7.6051,7.49,7.495,88320
1591971300000,7.495,7.58,7.4622,7.4622,147960
1591972200000,7.47,7.515,7.385,7.4599,159089
1591973100000,7.45,7.52,7.28,7.28,75679
1591974000000,7.285,7.42,7.205,7.3329,115301
1591974900000,7.32,7.365,7.25,7.315,65658
1591975800000,7.3239,7.47,7.32,7.39,121688
1591976700000,7.39,7.5299,7.39,7.5237,87500
1591977600000,7.525,7.55,7.4878,7.5201,73285
1591978500000,7.52,7.56,7.49,7.54,50813
1591979400000,7.53,7.59,7.505,7.5668,45513
1591980300000,7.56,7.6,7.5,7.6,44633
1591981200000,7.595,7.6,7.55,7.5756,40082
1591982100000,7.5756,7.58,7.52,7.52,20436
1591983000000,7.53,7.54,7.47,7.47,39963
1591983900000,7.46,7.49,7.385,7.4,53410
1591984800000,7.4,7.575,7.3911,7.53,122795
1591985700000,7.535,7.57,7.5,7.56,49564
1591986600000,7.565,7.635,7.52,7.56,61474
1591987500000,7.57,7.63,7.56,7.63,55808
1591988400000,7.63,7.675,7.605,7.666,57538
1591989300000,7.66,7.665,7.56,7.615,57485
1591990200000,7.62,7.7,7.61,7.6636,123696
1591991100000,7.66,7.74,7.66,7.72,218805
