datetime,open,high,low,close,volume
1569504600000,30.64,30.87,30.58,30.73,9515
1569505500000,30.745,30.78,30.46,30.56,3464
1569506400000,30.49,30.49,30.08,30.145,8327
1569507300000,30.12,30.12,29.9,29.99,4241
1569508200000,29.97,30.11,29.97,30.06,6639
1569509100000,30.06,30.17,30.01,30.01,3567
1569510000000,30.0,30.0,29.74,29.82,5407
1569510900000,29.85,29.85,29.52,29.63,7349
1569511800000,29.64,29.72,29.53,29.56,7549
1569512700000,29.59,29.73,29.47,29.66,11039
1569513600000,29.69,29.81,29.64,29.79,14675
1569514500000,29.8,29.96,29.77,29.87,5493
1569515400000,29.86,29.88,29.8,29.8,3270
1569516300000,29.8,29.89,29.76,29.89,3776
1569517200000,29.89,29.895,29.69,29.73,5392
1569518100000,29.73,29.77,29.62,29.68,15837
1569519000000,29.68,29.74,29.68,29.7,17097
1569519900000,29.71,29.71,29.61,29.63,4297
1569520800000,29.66,29.68,29.62,29.67,3864
1569521700000,29.67,29.885,29.65,29.885,5980
1569522600000,29.895,30.02,29.895,30.0,24569
1569523500000,30.0,30.03,29.945,29.945,4232
1569524400000,29.94,29.99,29.92,29.92,4174
1569525300000,29.92,30.05,29.92,30.025,6740
1569526200000,30.02,30.13,30.015,30.05,17068
1569527100000,30.05,30.06,29.9,29.91,19928
1569591000000,30.0,30.11,29.73,29.75,5972
1569591900000,29.735,29.74,29.41,29.46,6557
1569592800000,29.43,29.46,29.21,29.44,22017
1569593700000,29.35,29.49,29.3,29.45,25944
1569594600000,29.46,29.81,29.46,29.66,22407
1569595500000,29.7,29.74,29.67,29.74,3448
1569596400000,29.73,29.795,29.5,29.57,12037
1569597300000,29.56,29.56,29.34,29.41,8106
1569598200000,29.4,29.49,29.13,29.24,5739
1569599100000,29.26,29.39,29.16,29.3,10896
1569600000000,29.3,29.35,29.19,29.35,6090
1569600900000,29.36,29.36,29.17,29.17,4258
1569601800000,29.14,29.14,28.97,28.97,12193
1569602700000,28.99,29.05,28.81,28.84,7057
1569603600000,28.86,29.05,28.8,29.05,20734
1569604500000,29.03,29.07,28.995,29.0,5655
1569605400000,29.0,29.12,28.96,29.12,5386
1569606300000,29.1,29.24,29.05,29.24,1923
1569607200000,29.24,29.24,29.15,29.22,5824
1569608100000,29.23,29.23,29.09,29.09,2919
1569609000000,29.085,29.14,29.06,29.13,13502
1569609900000,29.13,29.15,29.02,29.04,4474
1569610800000,29.05,29.1,29.0,29.0,5289
1569611700000,29.02,29.08,29.0,29.06,4973
1569612600000,29.06,29.18,29.045,29.065,10820
1569613500000,29.06,29.22,29.03,29.17,51432
1569850200000,29.21,29.75,29.19,29.75,11421
1569851100000,29.695,29.88,29.5015,29.83,7450
1569852000000,29.88,30.11,29.86,30.05,10349
1569852900000,30.1,30.17,29.72,29.72,10676
1569853800000,29.77,29.77,29.535,29.58,26489
1569854700000,29.57,29.78,29.56,29.71,13671
1569855600000,29.73,29.74,29.59,29.62,10577
1569856500000,29.61,29.7,29.59,29.69,6469
1569857400000,29.71,29.865,29.7,29.79,7601
1569858300000,29.805,29.84,29.78,29.79,5950
1569859200000,29.79,29.97,29.79,29.94,6543
1569860100000,29.94,30.16,29.93,30.09,12621
1569861000000,30.09,30.27,30.09,30.24,5358
1569861900000,30.21,30.21,30.13,30.16,7308
1569862800000,30.16,30.16,30.0,30.09,4338
1569863700000,30.12,30.14,30.015,30.02,4415
1569864600000,30.0074,30.0875,29.93,30.0875,8291
1569865500000,30.07,30.23,30.05,30.2,6301
1569866400000,30.22,30.22,30.14,30.18,4147
1569867300000,30.17,30.35,30.15,30.275,8607
