datetime,open,high,low,close,volume
1569504600000,10.6,10.72,10.59,10.66,69071
1569505500000,10.65,10.69,10.54,10.57,73653
1569506400000,10.58,10.62,10.51,10.55,71803
1569507300000,10.55,10.615,10.525,10.57,72456
1569508200000,10.575,10.575,10.46,10.51,115221
1569509100000,10.515,10.57,10.47,10.49,122881
1569510000000,10.49,10.5,10.42,10.445,171081
1569510900000,10.44,10.49,10.3839,10.435,56835
1569511800000,10.43,10.53,10.3821,10.51,104272
1569512700000,10.51,10.52,10.45,10.46,65479
1569513600000,10.455,10.54,10.44,10.5,50575
1569514500000,10.51,10.52,10.455,10.49,26656
1569515400000,10.5,10.55,10.48,10.5,22264
1569516300000,10.5,10.51,10.43,10.45,38166
1569517200000,10.45,10.4893,10.37,10.4,81451
1569518100000,10.39,10.4,10.36,10.36,48958
1569519000000,10.35,10.38,10.34,10.345,35627
1569519900000,10.34,10.36,10.29,10.3577,66283
1569520800000,10.355,10.395,10.31,10.395,48267
1569521700000,10.4,10.5,10.39,10.41,78168
1569522600000,10.395,10.44,10.385,10.43,22596
1569523500000,10.43,10.455,10.405,10.42,32518
1569524400000,10.42,10.45,10.37,10.39,62578
1569525300000,10.385,10.4,10.34,10.3899,54766
1569526200000,10.385,10.3869,10.335,10.345,78821
1569527100000,10.345,10.35,10.31,10.31,366896
1569591000000,10.01,10.23,10.01,10.21,115435
1569591900000,10.215,10.215,10.07,10.125,54737
1569592800000,10.11,10.195,10.03,10.145,74295
1569593700000,10.15,10.22,10.115,10.19,51765
1569594600000,10.18,10.25,10.15,10.17,90074
1569595500000,10.18,10.18,10.08,10.08,52905
1569596400000,10.08,10.12,10.05,10.07,65292
1569597300000,10.065,10.12,10.065,10.11,27056
1569598200000,10.1,10.14,9.97,10.01,73070
1569599100000,10.0,10.075,9.975,10.04,31352
1569600000000,10.02,10.07,10.0,10.05,32613
1569600900000,10.05,10.05,9.975,9.975,18453
1569601800000,9.98,9.99,9.92,9.93,39338
1569602700000,9.93,9.93,9.85,9.875,37404
1569603600000,9.87,9.95,9.84,9.95,50529
1569604500000,9.95,9.98,9.945,9.97,11968
1569605400000,9.96,9.97,9.9158,9.93,33548
1569606300000,9.92,10.0,9.9,9.9881,28890
1569607200000,9.98,10.02,9.965,10.0,97108
1569608100000,10.0,10.03,9.99,10.0,43180
1569609000000,10.0,10.01,9.96,9.975,56807
1569609900000,9.97,9.97,9.91,9.92,78475
1569610800000,9.91,9.915,9.8,9.815,59628
1569611700000,9.82,9.86,9.82,9.84,111736
1569612600000,9.84,9.865,9.78,9.785,120140
1569613500000,9.785,9.785,9.725,9.77,371246
1569850200000,9.6,9.7099,9.54,9.57,103863
1569851100000,9.56,9.71,9.52,9.71,88862
1569852000000,9.7,9.84,9.63,9.84,73741
1569852900000,9.84,9.87,9.81,9.83,44164
1569853800000,9.825,9.91,9.825,9.84,76929
1569854700000,9.84,9.87,9.8,9.84,61301
1569855600000,9.84,9.84,9.675,9.675,88285
1569856500000,9.67,9.675,9.54,9.565,64501
1569857400000,9.57,9.58,9.47,9.49,72788
1569858300000,9.49,9.54,9.455,9.46,77395
1569859200000,9.465,9.5,9.39,9.3944,74191
1569860100000,9.41,9.54,9.405,9.51,53041
1569861000000,9.505,9.51,9.43,9.43,39250
1569861900000,9.43,9.51,9.4094,9.49,52755
1569862800000,9.49,9.51,9.445,9.5,38558
1569863700000,9.49,9.515,9.42,9.47,62381
1569864600000,9.465,9.51,9.43,9.4999,56646
1569865500000,9.5,9.54,9.46,9.4691,59821
1569866400000,9.47,9.49,9.44,9.44,49657
1569867300000,9.45,9.46,9.41,9.42,60916
1569868200000,9.42,9.42,9.38,9.38,86918
1569869100000,9.38,9.39,9.34,9.345,60133
1569870000000,9.35,9.355,9.31,9.35,111711
1569870900000,9.35,9.57,9.33,9.57,378742
1569871800000,9.56,9.76,9.56,9.73,260363
1569872700000,9.725,9.73,9.68,9.7,513490
1569936600000,9.73,9.8864,9.68,9.79,89724
1569937500000,9.8,9.9,9.765,9.865,113255
1569938400000,9.85,9.88,9.65,9.68,92719
1569939300000,9.68,9.8,9.65,9.685,107636
1569940200000,9.68,9.72,9.61,9.64,63543
1569941100000,9.635,9.67,9.56,9.56,108710
1569942000000,9.56,9.58,9.51,9.53,132533
1569942900000,9.54,9.58,9.52,9.57,94295
1569943800000,9.57,9.65,9.515,9.53,34800
1569944700000,9.525,9.535,9.44,9.44,82412
1569945600000,9.44,9.44,9.28,9.305,68070
1569946500000,9.3,9.39,9.27,9.295,285107
1569947400000,9.3,9.31,9.23,9.28,105346
1569948300000,9.27,9.29,9.2,9.205,96080
1569949200000,9.21,9.23,9.17,9.175,69814
1569950100000,9.175,9.18,9.01,9.0953,193526
1569951000000,9.09,9.13,9.05,9.11,90417
1569951900000,9.1,9.13,9.065,9.09,47025
1569952800000,9.09,9.145,9.02,9.14,96787
1569953700000,9.135,9.18,9.105,9.165,49625
1569954600000,9.16,9.175,9.065,9.085,71959
1569955500000,9.08,9.085,9.0,9.01,54237
1569956400000,9.01,9.0499,8.95,9.049,160963
1569957300000,9.05,9.11,9.04,9.08,196396
1569958200000,9.08,9.085,8.995,9.035,200264
1569959100000,9.035,9.065,9.0,9.03,462694
1570023000000,8.97,9.09,8.83,9.06,159981
1570023900000,9.1,9.16,8.9,9.0,153567
1570024800000,9.0,9.2,8.975,9.055,198735
1570025700000,9.05,9.27,9.04,9.12,98518
1570026600000,9.11,9.11,8.85,8.97,131343
1570027500000,8.96,8.965,8.78,8.88,136370
1570028400000,8.87,8.96,8.86,8.91,80089
1570029300000,8.905,8.94,8.68,8.74,198710
1570030200000,8.735,8.79,8.69,8.695,169832
1570031100000,8.695,8.72,8.62,8.69,72448
1570032000000,8.71,8.79,8.7,8.7,125154
1570032900000,8.7,8.73,8.64,8.71,73937
1570033800000,8.7,8.71,8.63,8.64,110154
1570034700000,8.64,8.7,8.63,8.68,47100
1570035600000,8.68,8.825,8.66,8.82,88064
1570036500000,8.81,8.81,8.73,8.7344,82286
1570037400000,8.735,8.74,8.65,8.7,75673
1570038300000,8.7,8.72,8.63,8.66,58491
1570039200000,8.66,8.67,8.6,8.62,90555
1570040100000,8.62,8.72,8.61,8.67,82425
1570041000000,8.67,8.715,8.66,8.7,39166
1570041900000,8.71,8.72,8.67,8.7,31693
1570042800000,8.71,8.76,8.67,8.715,80339
1570043700000,8.7,8.7392,8.68,8.707,64021
1570044600000,8.7,8.74,8.66,8.68,87005
1570045500000,8.68,8.715,8.62,8.69,439572
1570109400000,8.57,8.8,8.57,8.79,153209
1570110300000,8.8,8.93,8.68,8.69,221715
1570111200000,8.68,8.69,8.51,8.67,203638
1570112100000,8.67,8.81,8.67,8.68,196717
1570113000000,8.68,8.75,8.63,8.655,79703
1570113900000,8.66,8.69,8.49,8.67,305404
1570114800000,8.66,8.77,8.64,8.71,180379
1570115700000,8.71,8.73,8.5895,8.59,119718
1570116600000,8.6,8.64,8.51,8.63,87322
1570117500000,8.64,8.75,8.61,8.735,69379
1570118400000,8.74,8.8625,8.715,8.845,138377
1570119300000,8.84,8.89,8.77,8.885,89017
1570120200000,8.89,8.93,8.81,8.84,72168
1570121100000,8.85,8.9,8.83,8.835,51549
1570122000000,8.835,8.88,8.81,8.88,57621
1570122900000,8.87,8.955,8.87,8.95,80646
1570123800000,8.955,8.98,8.9,8.95,85982
1570124700000,8.955,9.14,8.92,9.055,129028
1570125600000,9.055,9.12,9.0,9.12,74978
1570126500000,9.115,9.135,9.05,9.08,79631
1570127400000,9.08,9.1,9.06,9.075,39426
1570128300000,9.075,9.16,9.075,9.1151,59555
1570129200000,9.12,9.1356,9.06,9.11,50296
1570130100000,9.115,9.14,9.07,9.09,74242
1570131000000,9.1,9.1,8.905,8.92,226092
