datetime,open,high,low,close,volume
1569504600000,40.13,40.13,39.97,40.06,4216
1569505500000,40.02,40.02,39.6,39.6,5835
1569506400000,39.54,39.63,38.89,38.95,7276
1569507300000,38.91,38.99,38.47,38.537,13907
1569508200000,38.545,39.25,38.53,39.25,15974
1569509100000,39.15,39.3,39.09,39.14,8247
1569510000000,39.02,39.24,38.88,39.145,7819
1569510900000,39.11,39.19,39.06,39.16,5735
1569511800000,39.18,39.29,39.15,39.16,12763
1569512700000,39.155,39.155,38.97,38.975,2201
1569513600000,38.99,39.24,38.955,39.19,7501
1569514500000,39.19,39.305,39.15,39.305,3986
1569515400000,39.3,39.34,39.25,39.25,3405
1569516300000,39.25,39.29,39.23,39.24,2970
1569517200000,39.27,39.31,39.14,39.21,2919
1569518100000,39.21,39.22,39.13,39.185,2841
1569519000000,39.18,39.36,39.18,39.33,2410
1569519900000,39.35,39.38,39.28,39.38,3610
1569520800000,39.41,39.475,39.37,39.475,3220
1569521700000,39.53,39.59,39.51,39.51,3219
1569522600000,39.47,39.63,39.465,39.63,3947
1569523500000,39.6264,39.99,39.6264,39.95,10748
1569524400000,39.94,39.96,39.86,39.9,9025
1569525300000,39.915,40.06,39.91,39.97,7760
1569526200000,39.99,40.01,39.87,39.87,13823
1569527100000,39.83,39.85,39.72,39.73,18173
1569591000000,39.57,40.305,39.57,40.28,10410
1569591900000,40.22,40.46,40.18,40.3,16235
1569592800000,40.27,40.3,39.89,40.09,11433
1569593700000,40.04,40.43,39.98,40.425,5311
1569594600000,40.45,40.595,40.41,40.55,6017
1569595500000,40.58,40.62,40.43,40.59,7118
1569596400000,40.51,40.51,40.39,40.44,3014
1569597300000,40.49,40.5,40.39,40.43,4288
1569598200000,40.41,40.41,39.81,40.03,8210
1569599100000,40.03,40.19,40.03,40.16,1700
1569600000000,40.16,40.16,39.86,39.95,5784
1569600900000,39.92,39.92,39.77,39.89,5182
1569601800000,39.855,39.93,39.79,39.81,5211
1569602700000,39.83,39.85,39.49,39.56,6108
1569603600000,39.43,39.71,39.43,39.71,4100
1569604500000,39.65,39.69,39.6,39.65,5314
1569605400000,39.65,39.74,39.6,39.71,4334
1569606300000,39.7,39.81,39.65,39.81,6000
1569607200000,39.81,39.86,39.72,39.79,5500
1569608100000,39.76,39.83,39.72,39.75,3900
1569609000000,39.73,39.74,39.655,39.73,5938
1569609900000,39.73,39.77,39.7,39.75,4400
1569610800000,39.75,39.8,39.605,39.63,7281
1569611700000,39.625,39.74,39.545,39.57,8506
1569612600000,39.54,39.585,39.44,39.455,13151
1569613500000,39.455,39.74,39.42,39.73,41746
1569850200000,39.98,41.02,39.6957,41.02,9453
1569851100000,41.02,41.2,40.8101,41.025,7315
1569852000000,41.015,41.06,40.4301,40.88,10016
1569852900000,40.835,41.24,40.83,41.24,7526
1569853800000,41.205,41.24,41.03,41.225,7700
1569854700000,41.19,41.29,41.1,41.18,8000
1569855600000,41.17,41.27,40.98,41.185,7774
1569856500000,41.2,41.42,41.05,41.42,9799
1569857400000,41.3647,41.5,41.29,41.49,8576
1569858300000,41.46,41.53,41.32,41.53,6100
1569859200000,41.47,41.64,41.47,41.53,4812
1569860100000,41.535,41.73,41.535,41.68,6814
1569861000000,41.705,41.83,41.67,41.83,4624
1569861900000,41.81,41.92,41.76,41.79,6639
1569862800000,41.77,41.77,41.48,41.51,5693
1569863700000,41.515,41.69,41.49,41.64,5895
1569864600000,41.68,41.8,41.64,41.77,4600
1569865500000,41.72,41.88,41.72,41.88,5214
1569866400000,41.88,41.995,41.86,41.965,6200
1569867300000,41.96,41.99,41.88,41.97,6205
1569868200000,41.95,42.03,41.89,41.92,7359
1569869100000,41.925,41.925,41.75,41.83,6680
1569870000000,41.85,41.895,41.82,41.87,6453
1569870900000,41.86,41.905,41.655,41.655,12607
1569871800000,41.63,41.66,41.46,41.46,14146
1569872700000,41.47,41.535,41.205,41.32,58166
1569936600000,41.48,42.52,41.48,42.52,4315
1569937500000,42.475,42.57,42.24,42.48,5261
1569938400000,42.42,42.52,42.11,42.2,7533
1569939300000,42.25,42.33,42.085,42.22,6633
1569940200000,42.205,42.3485,42.14,42.277,4699
1569941100000,42.31,42.35,41.82,41.83,8700
1569942000000,41.765,41.93,41.73,41.83,18639
1569942900000,41.79,41.96,41.76,41.87,21000
1569943800000,41.91,41.92,41.655,41.6984,10095
1569944700000,41.61,41.65,41.55,41.625,8096
1569945600000,41.63,41.63,41.38,41.42,4979
1569946500000,41.48,41.71,41.45,41.62,4670
1569947400000,41.6,41.72,41.57,41.72,1800
1569948300000,41.725,41.87,41.69,41.83,4875
1569949200000,41.82,41.82,41.66,41.66,4091
1569950100000,41.62,41.62,41.42,41.51,5662
1569951000000,41.52,41.52,41.38,41.415,3600
1569951900000,41.41,41.44,40.9,40.95,15758
1569952800000,40.91,40.99,40.65,40.87,7118
1569953700000,40.89,40.97,40.83,40.87,4491
1569954600000,40.89,41.02,40.86,40.98,5141
1569955500000,40.99,41.05,40.94,41.0091,7842
1569956400000,40.99,41.04,40.9,40.95,9613
1569957300000,40.9,41.03,40.9,41.03,6183
1569958200000,41.015,41.04,40.86,40.89,15952
1569959100000,40.895,40.9,40.63,40.67,41954
1570023000000,40.51,40.74,39.49,39.7,11884
1570023900000,39.55,39.92,39.03,39.21,13943
1570024800000,39.12,39.16,38.79,39.16,11492
1570025700000,39.125,39.52,39.11,39.11,4801
1570026600000,39.09,39.09,38.725,38.79,8494
1570027500000,38.8,39.04,38.7,38.915,5550
1570028400000,38.89,39.08,38.83,38.835,8879
1570029300000,38.81,38.84,38.545,38.545,8145
1570030200000,38.56,38.56,38.31,38.46,14655
1570031100000,38.49,38.72,38.43,38.655,7415
1570032000000,38.62,38.68,38.27,38.31,12704
1570032900000,38.29,38.31,38.2,38.265,5943
1570033800000,38.31,38.47,38.25,38.42,7454
1570034700000,38.44,38.61,38.42,38.55,5683
1570035600000,38.56,38.76,38.56,38.74,3400
1570036500000,38.75,38.84,38.7,38.84,4400
1570037400000,38.85,38.87,38.71,38.73,5802
1570038300000,38.725,38.83,38.62,38.75,3343
1570039200000,38.78,39.0,38.77,38.94,9443
1570040100000,38.95,39.0,38.89,38.905,9958
1570041000000,38.9,39.2,38.89,39.11,7830
1570041900000,39.09,39.16,39.01,39.035,9819
1570042800000,39.05,39.3,38.99,39.3,11400
1570043700000,39.24,39.45,39.24,39.42,9815
1570044600000,39.41,39.57,39.38,39.395,13487
1570045500000,39.39,39.4,39.22,39.36,27065
1570109400000,39.35,39.5528,39.188,39.315,6072
1570110300000,39.27,39.94,39.27,39.86,3050
1570111200000,39.84,39.91,39.3945,39.73,9515
1570112100000,39.695,40.49,39.695,40.26,8100
1570113000000,40.15,40.15,39.75,39.76,8426
1570113900000,39.775,40.08,39.76,40.06,5900
1570114800000,40.04,40.61,40.04,40.53,8745
1570115700000,40.56,40.63,40.34,40.48,7500
1570116600000,40.525,40.56,40.0,40.12,8900
1570117500000,40.17,40.22,40.13,40.16,4500
1570118400000,40.15,40.6,40.15,40.6,11923
1570119300000,40.63,40.63,40.25,40.44,16647
1570120200000,40.49,40.49,40.23,40.33,24510
1570121100000,40.34,40.45,40.27,40.29,11246
1570122000000,40.38,40.38,40.175,40.25,10153
1570122900000,40.23,40.245,40.08,40.1,18600
1570123800000,40.11,40.39,40.06,40.39,4152
1570124700000,40.4,40.455,40.18,40.21,17526
1570125600000,40.19,40.21,40.07,40.21,14500
1570126500000,40.27,40.47,40.21,40.3,26183
1570127400000,40.28,40.31,40.16,40.205,9300
1570128300000,40.21,40.355,40.2,40.27,12400
1570129200000,40.27,40.35,40.19,40.35,19767
1570130100000,40.33,40.4,40.2006,40.305,22858
1570131000000,40.3,40.39,40.21,40.285,35914
1570131900000,40.28,40.57,40.21,40.51,98401
1570195800000,40.49,41.0775,40.34,40.34,8305
1570196700000,40.33,40.78,40.2,40.76,14063
1570197600000,40.755,40.8,40.24,40.39,26600
1570198500000,40.41,40.41,40.27,40.33,3199
1570199400000,40.29,40.375,40.21,40.21,7399
1570200300000,40.18,40.19,40.02,40.05,16412
1570201200000,40.01,40.4,40.0,40.36,8655
1570202100000,40.38,40.39,40.1,40.23,17930
1570203000000,40.25,40.34,40.19,40.2,19935
1570203900000,40.225,40.2722,40.13,40.215,21140
1570204800000,40.19,40.225,40.09,40.12,17409
1570205700000,40.15,40.23,40.14,40.23,5400
1570206600000,40.26,40.26,40.14,40.17,18031
1570207500000,40.165,40.24,40.14,40.15,7786
1570208400000,40.12,40.19,40.1,40.19,2900
1570209300000,40.175,40.18,40.11,40.11,4290
1570210200000,40.14,40.19,40.06,40.14,4520
