datetime,open,high,low,close,volume
1569504600000,10.58,10.8,10.58,10.645,13535
1569505500000,10.69,10.7175,10.67,10.67,3820
1569506400000,10.7,10.76,10.6555,10.73,1800
1569507300000,10.73,10.73,10.6632,10.73,1300
1569508200000,10.72,10.72,10.68,10.72,3200
1569509100000,10.71,10.73,10.57,10.57,6750
1569510000000,10.56,10.64,10.53,10.585,3755
1569510900000,10.52,10.57,10.5,10.5527,9410
1569511800000,10.555,10.58,10.55,10.58,1500
1569512700000,10.56,10.5799,10.51,10.51,3480
1569513600000,10.51,10.52,10.48,10.5,2000
1569514500000,10.505,10.53,10.5,10.5,1000
1569515400000,10.515,10.53,10.515,10.53,1782
1569516300000,10.5,10.5,10.4494,10.4699,11275
1569517200000,10.49,10.51,10.46,10.46,1200
1569518100000,10.49,10.49,10.4,10.41,3289
1569519000000,10.41,10.49,10.39,10.49,2000
1569519900000,10.495,10.5,10.45,10.5,900
1569520800000,10.485,10.49,10.43,10.465,3843
1569521700000,10.4691,10.48,10.44,10.48,2700
1569522600000,10.46,10.51,10.46,10.49,6319
1569523500000,10.51,10.51,10.47,10.47,2300
1569524400000,10.51,10.57,10.5,10.54,1495
1569525300000,10.53,10.57,10.53,10.57,1100
1569526200000,10.54,10.58,10.48,10.48,8101
1569527100000,10.51,10.53,10.47,10.49,27626
1569591000000,10.46,10.63,10.46,10.63,2867
1569591900000,10.615,10.615,10.5,10.55,2799
1569592800000,10.57,10.68,10.57,10.6657,2550
1569593700000,10.6478,10.73,10.6478,10.73,3994
1569594600000,10.73,10.86,10.73,10.86,14081
1569595500000,10.8899,10.91,10.8562,10.91,5650
1569596400000,10.93,10.94,10.82,10.87,7800
1569597300000,10.82,10.82,10.75,10.82,5474
1569598200000,10.82,10.83,10.54,10.6,10807
1569599100000,10.59,10.61,10.47,10.47,14445
1569600000000,10.46,10.49,10.37,10.49,12175
1569600900000,10.41,10.46,10.355,10.355,6168
1569601800000,10.38,10.38,10.28,10.28,9415
1569602700000,10.27,10.27,10.175,10.2,8330
1569603600000,10.22,10.22,10.11,10.11,13064
1569604500000,10.1285,10.13,10.07,10.1204,14474
1569605400000,10.13,10.14,10.08,10.14,14115
1569606300000,10.13,10.17,10.1,10.17,3220
1569607200000,10.15,10.19,10.11,10.11,3000
1569608100000,10.11,10.15,10.06,10.06,18553
1569609000000,10.075,10.09,10.01,10.03,12302
1569609900000,10.03,10.07,10.0137,10.06,18000
1569610800000,10.07,10.11,10.07,10.097,4334
1569611700000,10.11,10.15,10.11,10.11,3747
1569612600000,10.11,10.16,10.11,10.14,5150
1569613500000,10.135,10.18,10.11,10.17,30865
1569850200000,10.29,10.33,10.2,10.22,15711
1569851100000,10.28,10.3,10.225,10.225,1800
1569852000000,10.23,10.38,10.21,10.38,9134
1569852900000,10.38,10.45,10.3301,10.3301,10700
1569853800000,10.34,10.37,10.255,10.2567,32446
1569854700000,10.25,10.27,10.19,10.265,2500
1569855600000,10.26,10.27,10.22,10.26,4623
1569856500000,10.26,10.29,10.24,10.27,3200
1569857400000,10.28,10.29,10.2,10.2,7082
1569858300000,10.17,10.2,10.15,10.165,3550
1569859200000,10.17,10.22,10.1689,10.22,2100
1569860100000,10.195,10.23,10.15,10.2,4003
1569861000000,10.22,10.23,10.205,10.215,1700
1569861900000,10.215,10.23,10.2,10.23,1600
1569862800000,10.22,10.27,10.22,10.255,2700
1569863700000,10.255,10.2799,10.23,10.25,1380
1569864600000,10.23,10.3,10.2,10.29,13412
1569865500000,10.3,10.31,10.26,10.26,2350
1569866400000,10.27,10.3,10.26,10.275,1626
