datetime,open,high,low,close,volume
1569504600000,13.58,13.69,13.415,13.43,6098
1569505500000,13.415,13.5,13.36,13.455,11033
1569506400000,13.5,13.52,13.44,13.46,5608
1569507300000,13.4429,13.49,13.41,13.48,7173
1569508200000,13.45,13.49,13.45,13.465,2300
1569509100000,13.46,13.51,13.43,13.43,2311
1569510000000,13.45,13.46,13.38,13.43,4991
1569510900000,13.46,13.47,13.445,13.47,1490
1569511800000,13.48,13.54,13.4611,13.5,2347
1569512700000,13.49,13.49,13.46,13.48,1442
1569513600000,13.47,13.52,13.47,13.495,18234
1569514500000,13.46,13.5,13.46,13.49,2500
1569515400000,13.5,13.545,13.5,13.53,1573
1569516300000,13.52,13.52,13.45,13.46,900
1569517200000,13.45,13.49,13.43,13.475,3085
1569518100000,13.475,13.48,13.435,13.475,2600
1569519000000,13.4899,13.5,13.475,13.48,1311
1569519900000,13.47,13.48,13.44,13.475,2756
1569520800000,13.475,13.53,13.475,13.53,2580
1569521700000,13.56,13.6,13.545,13.545,2249
1569522600000,13.56,13.58,13.56,13.5632,2231
1569523500000,13.57,13.58,13.55,13.58,3328
1569524400000,13.6099,13.62,13.58,13.61,2326
1569525300000,13.6,13.65,13.6,13.63,3965
1569526200000,13.63,13.68,13.595,13.595,9202
1569527100000,13.6,13.6,13.54,13.55,27757
1569591000000,13.45,13.67,13.45,13.67,6888
1569591900000,13.73,13.73,13.61,13.66,3173
1569592800000,13.6476,13.6476,13.57,13.61,7742
1569593700000,13.64,13.67,13.59,13.67,6240
1569594600000,13.615,13.63,13.54,13.54,1780
1569595500000,13.54,13.54,13.4939,13.52,1000
1569596400000,13.53,13.62,13.48,13.55,15676
1569597300000,13.555,13.6179,13.53,13.575,17462
1569598200000,13.56,13.58,13.48,13.495,10328
1569599100000,13.495,13.545,13.485,13.53,6324
1569600000000,13.53,13.59,13.53,13.58,11429
1569600900000,13.585,13.59,13.44,13.49,47169
1569601800000,13.48,13.49,13.46,13.46,800
1569602700000,13.44,13.44,13.38,13.405,4122
1569603600000,13.42,13.52,13.41,13.495,27499
1569604500000,13.495,13.495,13.46,13.46,1100
1569605400000,13.47,13.51,13.44,13.51,2152
1569606300000,13.48,13.525,13.445,13.525,7324
1569607200000,13.52,13.56,13.49,13.56,2907
1569608100000,13.57,13.6,13.57,13.6,700
1569609000000,13.57,13.57,13.52,13.57,16304
1569609900000,13.565,13.565,13.52,13.55,2470
1569610800000,13.51,13.53,13.48,13.48,3059
1569611700000,13.5,13.54,13.5,13.52,1500
1569612600000,13.49,13.55,13.49,13.55,25415
1569613500000,13.55,13.56,13.48,13.53,13569
1569850200000,13.56,13.56,13.42,13.42,8636
1569851100000,13.39,13.55,13.39,13.55,2105
1569852000000,13.555,13.59,13.55,13.55,13950
1569852900000,13.58,13.6,13.505,13.505,1802
1569853800000,13.52,13.56,13.5,13.5,3578
1569854700000,13.47,13.56,13.47,13.535,19200
1569855600000,13.535,13.55,13.46,13.46,4600
1569856500000,13.44,13.45,13.365,13.445,7190
1569857400000,13.45,13.51,13.44,13.49,19900
1569858300000,13.48,13.5,13.45,13.475,28400
1569859200000,13.49,13.51,13.47,13.47,2381
1569860100000,13.48,13.53,13.48,13.515,5291
1569861000000,13.515,13.515,13.45,13.4809,8524
1569861900000,13.47,13.5,13.47,13.49,2026
1569862800000,13.5,13.52,13.475,13.48,4085
1569863700000,13.48,13.48,13.41,13.45,6057
1569864600000,13.45,13.5,13.44,13.5,2311
1569865500000,13.49,13.49,13.38,13.42,13747
1569866400000,13.4187,13.49,13.41,13.49,2085
1569867300000,13.48,13.48,13.42,13.42,1661
1569868200000,13.42,13.49,13.42,13.46,6023
1569869100000,13.47,13.505,13.47,13.5,3663
1569870000000,13.495,13.505,13.48,13.48,7648
1569870900000,13.49,13.495,13.44,13.48,4745
1569871800000,13.475,13.48,13.45,13.47,3533
1569872700000,13.465,13.49,13.41,13.42,32081
1569936600000,13.6,13.6,13.495,13.6,5164
1569937500000,13.59,13.63,13.53,13.53,30081
1569938400000,13.51,13.57,13.43,13.48,11210
1569939300000,13.495,13.53,13.48,13.53,3272
1569940200000,13.5,13.53,13.45,13.46,12633
1569941100000,13.45,13.46,13.41,13.45,20348
1569942000000,13.445,13.47,13.335,13.335,16649
1569942900000,13.325,13.445,13.325,13.425,9863
1569943800000,13.425,13.47,13.39,13.39,12400
1569944700000,13.379,13.41,13.35,13.35,13063
1569945600000,13.345,13.37,13.34,13.36,15687
1569946500000,13.38,13.38,13.26,13.26,10652
1569947400000,13.25,13.31,13.23,13.3,4851
1569948300000,13.3,13.3,13.27,13.28,2600
1569949200000,13.28,13.29,13.24,13.24,8298
1569950100000,13.24,13.28,13.21,13.25,9736
1569951000000,13.26,13.26,13.23,13.25,8771
1569951900000,13.25,13.26,13.18,13.2,11055
1569952800000,13.1905,13.24,13.19,13.24,8727
1569953700000,13.23,13.28,13.22,13.28,15489
1569954600000,13.28,13.29,13.26,13.27,6685
1569955500000,13.27,13.28,13.215,13.24,3600
1569956400000,13.22,13.26,13.2,13.23,13582
1569957300000,13.221,13.265,13.2,13.24,8789
1569958200000,13.25,13.26,13.21,13.25,10795
1569959100000,13.25,13.26,13.22,13.26,49922
1570023000000,13.2,13.2,12.95,13.055,9022
1570023900000,13.04,13.04,12.95,13.0,31471
1570024800000,12.975,13.21,12.975,13.2,5244
1570025700000,13.22,13.27,13.18,13.195,3248
1570026600000,13.17,13.18,13.04,13.08,10100
1570027500000,13.1,13.1,13.065,13.09,3400
1570028400000,13.11,13.15,13.01,13.01,7201
1570029300000,13.02,13.04,12.97,13.01,8931
1570030200000,13.015,13.045,13.0,13.01,10472
1570031100000,13.0,13.005,12.95,12.96,6975
1570032000000,12.96,12.99,12.93,12.95,21379
1570032900000,12.94,12.98,12.87,12.9,46936
1570033800000,12.9,12.95,12.85,12.86,13578
1570034700000,12.89,12.93,12.89,12.91,16301
1570035600000,12.9,12.95,12.89,12.95,4435
1570036500000,12.9322,12.96,12.9,12.92,2546
1570037400000,12.91,12.92,12.87,12.88,7138
1570038300000,12.87,12.91,12.86,12.9,7471
1570039200000,12.9,12.9,12.84,12.86,22372
1570040100000,12.86,12.92,12.85,12.88,5224
1570041000000,12.85,12.88,12.78,12.78,75139
1570041900000,12.795,12.83,12.75,12.77,21165
1570042800000,12.76,12.82,12.74,12.795,19230
1570043700000,12.78,12.84,12.78,12.805,9983
1570044600000,12.8,12.84,12.79,12.81,38674
1570045500000,12.8,12.84,12.79,12.82,59530
1570109400000,12.78,12.82,12.67,12.75,8956
1570110300000,12.7733,12.8,12.74,12.75,13797
