datetime,open,high,low,close,volume
1591968600000,12.58,12.64,12.2212,12.33,153459
1591969500000,12.33,12.54,12.221,12.49,172404
1591970400000,12.455,12.88,12.4,12.64,292818
1591971300000,12.645,12.96,12.53,12.6,223352
1591972200000,12.64,12.65,12.4201,12.56,91934
1591973100000,12.56,12.63,12.38,12.38,63373
1591974000000,12.395,12.5503,12.39,12.4534,78139
1591974900000,12.45,12.645,12.39,12.615,118990
1591975800000,12.615,12.78,12.53,12.68,127132
1591976700000,12.6942,12.735,12.66,12.735,40669
1591977600000,12.74,12.76,12.68,12.745,33162
1591978500000,12.745,12.75,12.54,12.59,35901
1591979400000,12.58,12.5909,12.49,12.49,28524
1591980300000,12.48,12.5,12.43,12.47,41189
1591981200000,12.48,12.5273,12.42,12.43,76359
1591982100000,12.42,12.45,12.3901,12.41,33374
1591983000000,12.43,12.44,12.26,12.27,64505
1591983900000,12.275,12.32,12.11,12.23,92480
1591984800000,12.22,12.36,12.21,12.33,51722
1591985700000,12.33,12.35,12.15,12.19,44827
1591986600000,12.185,12.3,12.12,12.145,66591
1591987500000,12.145,12.21,12.12,12.19,58276
1591988400000,12.19,12.27,12.165,12.21,96492
1591989300000,12.22,12.22,12.145,12.16,91802
1591990200000,12.16,12.27,12.1401,12.25,65802
1591991100000,12.255,12.3,12.2,12.24,197531
