datetime,open,high,low,close,volume
1569504600000,50.45,50.4872,50.11,50.13,3973
1569505500000,50.21,50.23,50.06,50.06,7725
1569506400000,50.06,50.16,49.73,49.73,8378
1569507300000,49.73,49.95,49.52,49.95,11765
1569508200000,49.94,50.04,49.88,49.88,4003
1569509100000,49.8,50.13,49.8,49.97,6401
1569510000000,50.03,50.07,49.64,49.655,8529
1569510900000,49.655,49.9,49.655,49.9,8353
1569511800000,49.89,50.17,49.89,50.17,25747
1569512700000,50.2,50.23,50.03,50.045,6222
1569513600000,50.045,50.07,49.94,49.94,8144
1569514500000,49.96,49.99,49.84,49.99,3548
1569515400000,50.05,50.295,50.01,50.15,6400
1569516300000,50.15,50.18,49.94,49.94,8635
1569517200000,49.99,50.04,49.945,50.0,4319
1569518100000,49.99,50.0,49.89,49.891,3830
1569519000000,49.9153,50.03,49.9153,50.0,3804
1569519900000,50.0,50.0,49.74,49.74,4840
1569520800000,49.77,50.09,49.76,49.97,6846
1569521700000,50.005,50.04,49.94,49.95,7519
1569522600000,49.96,50.05,49.94,49.955,4653
1569523500000,49.955,50.0,49.93,49.93,5681
1569524400000,49.94,50.185,49.94,50.16,16778
1569525300000,50.165,50.165,49.975,50.03,12486
1569526200000,50.035,50.095,49.935,49.995,21013
1569527100000,49.99,50.015,49.8,49.97,45033
1569591000000,50.0,50.0,49.41,49.565,11285
1569591900000,49.6,49.85,49.47,49.85,26955
1569592800000,49.83,50.315,49.82,50.165,28109
1569593700000,50.14,50.43,50.1,50.36,32318
1569594600000,50.43,51.42,50.37,51.39,33824
1569595500000,51.35,51.9,51.35,51.66,24028
1569596400000,51.63,52.25,51.63,52.2,29461
1569597300000,52.23,52.48,52.06,52.06,36564
1569598200000,52.055,52.0594,51.52,51.9675,38900
1569599100000,51.99,52.22,51.84,52.22,47294
1569600000000,52.21,52.3,52.15,52.25,21850
1569600900000,52.225,52.225,51.89,52.15,14295
1569601800000,52.13,52.32,52.13,52.15,14574
1569602700000,52.17,52.3,52.07,52.12,18321
1569603600000,52.09,52.19,51.88,52.165,26447
1569604500000,52.165,52.3,52.045,52.3,21659
1569605400000,52.29,52.49,52.24,52.48,27696
1569606300000,52.48,52.55,52.31,52.45,14666
1569607200000,52.46,52.57,52.38,52.44,23592
1569608100000,52.49,52.6,52.41,52.55,18599
1569609000000,52.575,52.6,52.48,52.51,13646
1569609900000,52.52,52.55,52.29,52.54,15874
1569610800000,52.51,52.58,52.42,52.58,25532
1569611700000,52.59,52.895,52.59,52.685,23443
1569612600000,52.685,52.82,52.64,52.64,30829
1569613500000,52.625,52.78,52.49,52.59,78687
