datetime,open,high,low,close,volume
1569504600000,12.43,12.55,12.4,12.53,11063
1569505500000,12.525,12.54,12.37,12.44,4550
1569506400000,12.445,12.46,12.38,12.38,5000
1569507300000,12.32,12.33,12.2054,12.27,26603
1569508200000,12.27,12.31,12.24,12.26,6797
1569509100000,12.26,12.26,12.17,12.18,3080
1569510000000,12.17,12.21,12.15,12.18,3262
1569510900000,12.19,12.1965,12.15,12.185,4867
1569511800000,12.185,12.26,12.185,12.23,3607
1569512700000,12.23,12.26,12.2,12.2,4731
1569513600000,12.2,12.22,12.19,12.19,4161
1569514500000,12.19,12.19,12.12,12.13,3946
1569515400000,12.13,12.15,12.11,12.145,3917
1569516300000,12.13,12.16,12.075,12.075,800
1569517200000,12.075,12.09,12.03,12.09,9895
1569518100000,12.08,12.1,12.03,12.03,2096
1569519000000,12.01,12.07,12.01,12.07,6919
1569519900000,12.04,12.06,12.04,12.0558,1796
1569520800000,12.06,12.12,12.06,12.12,3600
1569521700000,12.13,12.16,12.11,12.13,4743
1569522600000,12.12,12.12,12.08,12.1,7149
1569523500000,12.11,12.14,12.11,12.125,2472
1569524400000,12.13,12.15,12.12,12.14,6154
1569525300000,12.14,12.15,12.1,12.15,6324
1569526200000,12.14,12.14,12.1,12.115,3179
1569527100000,12.12,12.15,12.08,12.13,26238
1569591000000,12.18,12.27,12.11,12.222,5286
1569591900000,12.2,12.24,12.14,12.2,7450
1569592800000,12.16,12.16,12.04,12.09,6891
1569593700000,12.09,12.15,12.09,12.12,2211
1569594600000,12.14,12.23,12.12,12.12,7100
1569595500000,12.12,12.15,12.09,12.15,2300
1569596400000,12.15,12.155,12.1,12.15,5600
1569597300000,12.13,12.17,12.13,12.17,1100
1569598200000,12.17,12.195,12.075,12.08,4800
1569599100000,12.07,12.11,12.06,12.09,911
1569600000000,12.07,12.09,12.05,12.08,1600
1569600900000,12.08,12.08,12.02,12.025,2100
1569601800000,12.04,12.05,11.99,11.99,9344
1569602700000,11.99,12.0,11.915,11.94,4903
1569603600000,11.94,12.03,11.8801,12.0,14816
1569604500000,12.0002,12.0095,11.92,11.94,6438
1569605400000,11.94,11.97,11.91,11.95,3100
1569606300000,11.92,11.93,11.86,11.91,3696
1569607200000,11.9,11.91,11.81,11.875,6950
1569608100000,11.875,11.895,11.78,11.88,23641
1569609000000,11.89,11.93,11.88,11.93,7390
1569609900000,11.94,11.94,11.88,11.9,2603
1569610800000,11.89,11.96,11.88,11.93,6011
1569611700000,11.93,12.0,11.93,11.97,6200
1569612600000,11.98,12.0,11.96,11.99,7200
