datetime,open,high,low,close,volume
1591968600000,7.32,7.37,7.195,7.35,294924
1591969500000,7.345,7.428,7.305,7.355,266970
1591970400000,7.36,7.39,7.2,7.2,137537
1591971300000,7.205,7.23,7.14,7.14,161419
1591972200000,7.14,7.155,7.02,7.04,214040
1591973100000,7.04,7.13,7.03,7.03,168884
1591974000000,7.04,7.0782,6.96,7.01,212363
1591974900000,7.01,7.095,6.99,7.085,101904
1591975800000,7.086,7.115,7.06,7.08,105107
1591976700000,7.08,7.135,7.07,7.135,67044
1591977600000,7.135,7.2,7.13,7.18,85808
1591978500000,7.18,7.18,7.13,7.145,42831
1591979400000,7.14,7.1499,7.09,7.14,74657
1591980300000,7.14,7.23,7.11,7.215,44714
1591981200000,7.215,7.22,7.17,7.21,33956
1591982100000,7.21,7.217,7.15,7.16,53662
1591983000000,7.17,7.17,7.11,7.11,63328
1591983900000,7.11,7.11,7.02,7.0201,109224
1591984800000,7.03,7.16,7.025,7.13,53377
1591985700000,7.14,7.185,7.11,7.17,54573
1591986600000,7.175,7.215,7.13,7.17,64639
1591987500000,7.185,7.22,7.175,7.22,59363
1591988400000,7.23,7.31,7.23,7.3,86568
1591989300000,7.3,7.3,7.18,7.23,147803
1591990200000,7.23,7.3,7.21,7.3,55288
1591991100000,7.3,7.4,7.29,7.37,392693
