datetime,open,high,low,close,volume
1569504600000,21.86,21.86,21.42,21.53,32959
1569505500000,21.42,21.72,21.42,21.68,13473
1569506400000,21.65,21.73,21.5,21.52,8400
1569507300000,21.54,21.55,21.35,21.36,6003
1569508200000,21.37,21.59,21.365,21.59,11804
1569509100000,21.585,21.65,21.46,21.46,4615
1569510000000,21.47,21.47,21.35,21.425,7100
1569510900000,21.425,21.425,21.275,21.295,9378
1569511800000,21.295,21.3549,21.23,21.325,9335
1569512700000,21.325,21.34,21.27,21.33,4152
1569513600000,21.33,21.49,21.33,21.465,7142
1569514500000,21.49,21.6,21.47,21.575,4830
1569515400000,21.575,21.59,21.55,21.56,3447
1569516300000,21.56,21.58,21.44,21.49,9524
1569517200000,21.5,21.62,21.5,21.6,5432
1569518100000,21.595,21.6,21.52,21.5701,7920
1569519000000,21.57,21.735,21.57,21.735,5976
1569519900000,21.73,21.73,21.66,21.67,3323
1569520800000,21.7,21.715,21.62,21.7,13472
1569521700000,21.685,21.7,21.625,21.625,4442
1569522600000,21.625,21.625,21.5,21.505,8900
1569523500000,21.505,21.505,21.4,21.445,17612
1569524400000,21.445,21.5,21.44,21.44,7410
1569525300000,21.425,21.52,21.425,21.5,7080
1569526200000,21.49,21.49,21.425,21.445,14631
1569527100000,21.44,21.45,21.39,21.43,36318
1569591000000,21.53,21.62,21.3976,21.62,4440
1569591900000,21.69,21.69,21.445,21.48,6300
1569592800000,21.47,21.49,21.31,21.385,6551
1569593700000,21.37,21.4522,21.36,21.42,4716
1569594600000,21.43,21.6248,21.3603,21.55,24742
1569595500000,21.55,21.67,21.55,21.67,4667
1569596400000,21.675,21.73,21.67,21.705,9848
1569597300000,21.68,21.7,21.65,21.695,2980
1569598200000,21.7,21.74,21.475,21.58,6556
1569599100000,21.58,21.62,21.48,21.57,16955
1569600000000,21.55,21.57,21.46,21.57,16865
1569600900000,21.55,21.619,21.48,21.505,4481
1569601800000,21.52,21.52,21.395,21.395,4211
1569602700000,21.39,21.405,21.26,21.27,5156
1569603600000,21.24,21.2976,21.23,21.23,3750
1569604500000,21.245,21.2837,21.21,21.28,4200
1569605400000,21.28,21.2897,21.22,21.26,3366
1569606300000,21.24,21.275,21.21,21.255,4248
1569607200000,21.2512,21.2512,21.18,21.22,4901
1569608100000,21.225,21.225,21.11,21.135,4800
1569609000000,21.12,21.17,21.12,21.15,4000
1569609900000,21.14,21.1459,21.1,21.115,7551
1569610800000,21.12,21.14,21.09,21.095,5936
1569611700000,21.105,21.21,21.105,21.165,5884
1569612600000,21.145,21.21,21.13,21.175,11417
1569613500000,21.18,21.195,21.12,21.17,34468
1569850200000,21.12,21.16,20.82,20.885,17963
1569851100000,20.845,21.0599,20.81,21.04,5166
1569852000000,21.02,21.11,21.01,21.105,4655
1569852900000,21.15,21.15,21.1,21.11,4475
1569853800000,21.13,21.22,21.11,21.11,6191
1569854700000,21.14,21.18,21.04,21.07,6505
1569855600000,21.07,21.12,20.95,20.97,6950
1569856500000,20.96,21.09,20.96,21.065,8418
1569857400000,21.07,21.1,21.01,21.09,2539
1569858300000,21.09,21.11,21.01,21.035,5703
1569859200000,21.08,21.15,21.07,21.14,3350
1569860100000,21.14,21.21,21.14,21.21,3873
1569861000000,21.2,21.26,21.2,21.22,3256
1569861900000,21.22,21.28,21.22,21.2701,3318
1569862800000,21.29,21.33,21.26,21.32,7972
1569863700000,21.3,21.33,21.21,21.22,2144
1569864600000,21.22,21.26,21.2,21.24,4881
1569865500000,21.26,21.33,21.26,21.28,3592
1569866400000,21.28,21.3067,21.28,21.2909,2226
1569867300000,21.29,21.36,21.28,21.34,4850
1569868200000,21.35,21.365,21.31,21.35,2851
1569869100000,21.355,21.41,21.34,21.395,6096
1569870000000,21.4,21.42,21.38,21.41,5600
1569870900000,21.42,21.44,21.4,21.43,5833
1569871800000,21.43,21.49,21.41,21.41,16176
1569872700000,21.41,21.45,21.29,21.3,51164
1569936600000,21.31,21.68,21.31,21.68,21522
1569937500000,21.68,21.7,21.42,21.46,33726
1569938400000,21.4,21.45,20.94,20.96,11013
1569939300000,21.06,21.08,20.91,21.04,14814
1569940200000,21.045,21.05,20.91,21.0,46887
1569941100000,21.0,21.14,20.88,20.88,22480
1569942000000,20.9175,20.95,20.9073,20.91,3943
1569942900000,20.9077,21.04,20.9077,21.04,1562
1569943800000,21.06,21.1,20.96,20.96,5700
1569944700000,20.97,20.97,20.861,20.88,3513
1569945600000,20.92,20.92,20.83,20.83,5253
1569946500000,20.82,20.905,20.82,20.83,1600
1569947400000,20.82,20.87,20.82,20.87,1751
1569948300000,20.88,20.88,20.75,20.75,4612
1569949200000,20.73,20.74,20.67,20.69,3313
1569950100000,20.6708,20.6708,20.6,20.64,2178
1569951000000,20.64,20.64,20.55,20.5852,5099
1569951900000,20.6,20.6,20.4756,20.4935,4735
1569952800000,20.48,20.51,20.42,20.5,4398
1569953700000,20.5,20.52,20.47,20.52,9634
1569954600000,20.52,20.59,20.52,20.56,6542
1569955500000,20.56,20.58,20.52,20.533,4646
1569956400000,20.54,20.58,20.5,20.54,4562
1569957300000,20.525,20.59,20.52,20.55,5821
1569958200000,20.56,20.56,20.485,20.5599,10629
1569959100000,20.56,20.575,20.42,20.44,50626
1570023000000,20.26,20.26,20.0,20.08,19308
1570023900000,20.101,20.101,19.86,19.9,19163
1570024800000,19.92,20.18,19.88,20.15,19657
1570025700000,20.12,20.21,20.05,20.1599,9455
1570026600000,20.11,20.12,19.99,20.1,4990
1570027500000,20.09,20.1,20.01,20.05,11586
1570028400000,20.06,20.17,20.0246,20.0246,6540
1570029300000,20.035,20.05,19.99,20.0,5039
1570030200000,20.005,20.02,19.92,19.93,7546
1570031100000,19.94,19.9599,19.84,19.94,15263
1570032000000,19.94,19.96,19.86,19.86,8752
1570032900000,19.86,19.9757,19.84,19.965,5416
1570033800000,19.97,19.99,19.91,19.92,6214
1570034700000,19.9,19.92,19.885,19.89,8150
1570035600000,19.89,20.04,19.87,20.02,6446
1570036500000,20.01,20.04,20.0,20.02,4999
1570037400000,20.0,20.005,19.97,20.0,3150
1570038300000,19.99,19.99,19.92,19.965,4200
1570039200000,19.95,19.99,19.94,19.98,4636
1570040100000,19.98,20.03,19.98,20.0,4835
1570041000000,19.99,20.03,19.96,20.03,8684
1570041900000,20.04,20.1,19.9,19.95,15857
1570042800000,19.97,20.09,19.91,20.05,27339
1570043700000,20.045,20.16,20.03,20.16,13421
1570044600000,20.13,20.2,20.09,20.2,17463
1570045500000,20.19,20.28,20.14,20.25,73690
1570109400000,20.17,20.2169,20.0,20.04,7100
1570110300000,20.04,20.195,19.93,19.93,7167
1570111200000,19.9,19.9,19.585,19.74,10336
1570112100000,19.755,19.865,19.68,19.865,4543
1570113000000,19.84,19.86,19.74,19.75,7422
1570113900000,19.73,19.77,19.63,19.7408,18120
1570114800000,19.72,19.9199,19.71,19.82,13586
1570115700000,19.79,19.95,19.79,19.94,42566
1570116600000,19.94,20.08,19.94,20.05,14190
1570117500000,20.08,20.1,19.91,19.91,52361
1570118400000,19.93,20.0,19.89,19.89,31664
1570119300000,19.88,19.93,19.8,19.93,10531
1570120200000,19.93,20.0,19.93,19.97,6035
1570121100000,19.97,20.04,19.97,19.9749,6760
1570122000000,19.9785,20.0,19.94,19.941,4002
1570122900000,19.95,20.0189,19.91,19.98,3790
1570123800000,19.98,20.02,19.9,19.995,11383
1570124700000,20.0,20.04,19.94,19.975,3308
1570125600000,19.96,19.98,19.93,19.97,3895
1570126500000,19.96,20.025,19.96,20.0,3918
1570127400000,20.01,20.06,20.0,20.045,3660
1570128300000,20.0362,20.08,20.0,20.01,10218
1570129200000,20.0,20.02,19.96,19.97,6767
1570130100000,19.97,19.985,19.9,19.9,8843
1570131000000,19.92,19.94,19.83,19.91,22088
1570131900000,19.9,20.0,19.875,19.985,37894
1570195800000,20.03,20.215,19.94,20.0,15017
1570196700000,20.06,20.07,19.937,20.07,4509
1570197600000,20.11,20.11,19.94,19.96,4161
1570198500000,19.965,20.03,19.89,19.94,5214
1570199400000,19.935,20.02,19.91,19.95,3802
1570200300000,19.9404,20.0,19.85,19.96,5122
1570201200000,19.9,19.91,19.78,19.83,8310
1570202100000,19.85,19.87,19.81,19.81,5008
1570203000000,19.82,19.89,19.82,19.83,2454
1570203900000,19.83,19.91,19.82,19.865,17637
1570204800000,19.87,19.91,19.837,19.91,4016
1570205700000,19.91,19.94,19.8906,19.94,1453
1570206600000,19.955,19.96,19.94,19.94,1938
1570207500000,19.93,19.9411,19.83,19.84,6269
1570208400000,19.85,19.88,19.81,19.85,5154
1570209300000,19.85,19.87,19.84,19.87,5487
1570210200000,19.87,19.91,19.86,19.905,3461
1570211100000,19.905,19.905,19.81,19.81,5319
1570212000000,19.82,19.85,19.81,19.85,2081
1570212900000,19.85,19.85,19.79,19.79,7878
1570213800000,19.81,19.89,19.79,19.865,2165
1570214700000,19.86,19.86,19.75,19.76,5688
1570215600000,19.78,19.807,19.76,19.8,4049
1570216500000,19.8,19.8625,19.79,19.845,9785
1570217400000,19.85,19.88,19.83,19.875,9821
1570218300000,19.88,19.96,19.86,19.95,26578
1570455000000,19.72,20.12,19.65,19.7616,14932
1570455900000,19.8,19.9452,19.79,19.8174,4700
1570456800000,19.81,20.08,19.81,20.05,20307
