datetime,open,high,low,close,volume
1569504600000,13.23,13.28,13.23,13.25,13116
1569505500000,13.25,13.26,13.23,13.25,4670
1569506400000,13.26,13.27,13.245,13.25,9745
1569507300000,13.24,13.26,13.22,13.24,7330
1569508200000,13.24,13.255,13.24,13.245,10040
1569509100000,13.24,13.25,13.23,13.24,7336
1569510000000,13.24,13.24,13.225,13.23,5879
1569510900000,13.23,13.25,13.22,13.235,9252
1569511800000,13.235,13.25,13.235,13.24,8701
1569512700000,13.2326,13.24,13.23,13.23,4207
1569513600000,13.235,13.28,13.235,13.27,21261
1569514500000,13.27,13.28,13.25,13.28,6459
1569515400000,13.275,13.29,13.27,13.29,7457
1569516300000,13.285,13.315,13.28,13.28,14354
1569517200000,13.275,13.28,13.27,13.275,3300
1569518100000,13.28,13.33,13.28,13.32,20217
1569519000000,13.33,13.37,13.33,13.345,8912
1569519900000,13.345,13.365,13.345,13.365,3600
1569520800000,13.365,13.43,13.365,13.395,13227
1569521700000,13.395,13.42,13.39,13.39,4283
1569522600000,13.395,13.41,13.395,13.4,6513
1569523500000,13.4,13.405,13.38,13.385,8726
1569524400000,13.38,13.38,13.34,13.345,13291
1569525300000,13.35,13.35,13.33,13.33,10895
1569526200000,13.33,13.34,13.32,13.33,9875
1569527100000,13.325,13.34,13.3,13.31,49366
1569591000000,13.33,13.4,13.33,13.335,11504
1569591900000,13.34,13.35,13.265,13.27,18626
1569592800000,13.275,13.28,13.25,13.265,3231
1569593700000,13.27,13.27,13.23,13.24,3018
1569594600000,13.24,13.2456,13.23,13.2456,5202
1569595500000,13.25,13.25,13.22,13.24,12749
1569596400000,13.245,13.255,13.23,13.245,8060
1569597300000,13.25,13.27,13.225,13.23,29114
1569598200000,13.23,13.24,13.19,13.215,15243
1569599100000,13.21,13.23,13.2,13.21,4100
1569600000000,13.215,13.215,13.19,13.2,5206
1569600900000,13.195,13.195,13.15,13.16,4283
1569601800000,13.16,13.165,13.14,13.14,3119
1569602700000,13.14,13.14,13.11,13.115,4284
1569603600000,13.115,13.145,13.11,13.14,3898
1569604500000,13.145,13.145,13.1,13.105,10380
1569605400000,13.1,13.1,13.06,13.095,8776
1569606300000,13.09,13.09,13.075,13.09,6227
1569607200000,13.08,13.09,13.07,13.07,3462
1569608100000,13.07,13.095,13.06,13.09,9307
1569609000000,13.085,13.1,13.065,13.065,6243
1569609900000,13.065,13.075,13.05,13.05,6669
1569610800000,13.055,13.08,13.05,13.06,11682
1569611700000,13.06,13.065,13.05,13.05,7395
1569612600000,13.05,13.08,13.05,13.05,13649
1569613500000,13.05,13.08,13.045,13.06,55970
1569850200000,13.04,13.1,13.015,13.02,7684
1569851100000,13.03,13.07,13.0,13.07,10184
1569852000000,13.08,13.08,13.05,13.07,4544
1569852900000,13.06,13.065,13.045,13.045,6169
1569853800000,13.03,13.035,13.02,13.035,1905
1569854700000,13.04,13.045,13.04,13.045,2229
1569855600000,13.05,13.07,13.045,13.065,4880
1569856500000,13.065,13.08,13.045,13.06,4732
1569857400000,13.065,13.065,13.04,13.05,2715
1569858300000,13.045,13.045,13.035,13.035,2000
1569859200000,13.035,13.07,13.035,13.065,4188
1569860100000,13.07,13.11,13.07,13.1,6800
1569861000000,13.1,13.11,13.09,13.11,1423
1569861900000,13.105,13.115,13.1,13.11,1998
1569862800000,13.12,13.14,13.115,13.135,3935
1569863700000,13.135,13.1765,13.135,13.145,16345
1569864600000,13.145,13.145,13.115,13.115,8514
1569865500000,13.115,13.135,13.115,13.13,3670
1569866400000,13.12,13.125,13.11,13.125,12083
1569867300000,13.13,13.15,13.13,13.145,1800
1569868200000,13.15,13.16,13.145,13.155,5320
1569869100000,13.15,13.16,13.145,13.15,3217
1569870000000,13.155,13.17,13.15,13.165,10215
1569870900000,13.165,13.175,13.13,13.14,4908
1569871800000,13.14,13.14,13.11,13.11,7650
1569872700000,13.1,13.1,13.03,13.04,59680
1569936600000,13.02,13.03,12.97,13.0,12659
1569937500000,13.0,13.04,13.0,13.01,5992
1569938400000,12.99,13.0,12.84,12.87,33245
1569939300000,12.87,12.94,12.85,12.93,10138
1569940200000,12.96,12.96,12.93,12.955,7406
1569941100000,12.96,12.99,12.95,12.985,7983
1569942000000,12.98,12.985,12.97,12.975,7134
1569942900000,12.975,13.01,12.975,12.98,10900
1569943800000,12.985,12.995,12.94,12.945,3135
